Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Steven Adams,20.3,OKC,Big,300,19,-6.1,25,-4.6,24,-5.3%,11,+4.3%,52,+0.4,39,-1.1,57,+7.4
LaMarcus Aldridge,28.3,POR,Big,440,89,+14.7,95,+15.7,86,+6.8%,34,+1.5%,61,+1.8,52,+0.1,63,+11.0
Ray Allen,38.3,MIA,Wing,526,71,+5.2,75,+6.8,93,+10.1%,53,-0.2%,69,+3.5,81,+4.3,16,-23.2
Tony Allen,31.8,MEM,Wing,230,92,+16.4,72,+5.8,98,+12.3%,98,-7.1%,77,+5.6,96,+8.9,22,-18.2
Chris Andersen,35.3,MIA,Big,316,44,-0.9,45,-0.3,94,+10.3%,42,+0.6%,76,+5.2,94,+7.1,6,-34.8
Alan Anderson,31.0,BKN,Wing,257,12,-9.4,9,-9.8,45,-0.8%,75,-2.0%,64,+2.2,64,+1.5,51,+2.3
Pero Antic,31.3,ATL,Big,169,74,+8.3,89,+11.4,91,+8.7%,56,-0.5%,63,+2.1,83,+4.6,11,-29.8
Trevor Ariza,28.3,WAS,Wing,407,58,+1.3,32,-3.2,77,+5.1%,95,-5.6%,55,+0.7,66,+1.9,31,-8.8
Omer Asik,27.3,HOU,Big,162,70,+5.1,31,-3.2,78,+5.2%,40,+0.7%,67,+2.8,74,+3.0,43,-2.5
D.J. Augustin,26.0,CHI,Point,140,88,+14.6,62,+3.3,95,+10.6%,93,-4.5%,98,+15.9,84,+5.5,95,+48.1
Harrison Barnes,21.4,GSW,Forward,141,88,+14.1,77,+7.4,91,+9.4%,79,-2.6%,99,+20.6,99,+11.9,89,+33.9
Matt Barnes,33.6,LAC,Forward,400,28,-4.4,12,-9.1,74,+4.8%,22,+2.9%,95,+11.5,91,+6.5,86,+31.5
Shane Battier,35.1,MIA,Wing,191,67,+3.9,65,+3.9,48,+0.0%,24,+2.7%,50,+0.0,26,-2.9,92,+41.1
Nicolas Batum,24.9,POR,Wing,458,86,+12.6,73,+6.2,87,+6.9%,26,+2.2%,85,+8.1,67,+2.0,91,+37.7
Bradley Beal,20.3,WAS,Wing,454,76,+8.7,79,+8.3,32,-3.1%,62,-0.7%,37,-1.2,19,-4.1,74,+17.6
Marco Belinelli,27.6,SAS,Wing,308,9,-11.3,9,-10.4,55,+0.8%,33,+1.7%,26,-3.0,34,-1.8,34,-7.0
Patrick Beverley,25.3,HOU,Combo,202,42,-1.6,71,+5.4,5,-11.8%,27,+2.2%,31,-1.9,15,-5.2,67,+15.4
Andray Blatche,27.2,BKN,Big,171,49,+0.2,24,-4.7,53,+0.6%,91,-4.4%,96,+12.3,97,+8.9,54,+5.8
Trevor Booker,25.9,WAS,Big,141,52,+0.6,40,-1.3,43,-1.0%,32,+1.8%,53,+0.4,43,-0.6,56,+6.6
Carlos Boozer,31.9,CHI,Big,120,8,-11.4,34,-2.9,11,-9.4%,4,+5.9%,5,-13.0,6,-10.6,71,+15.9
Chris Bosh,29.6,MIA,Big,684,19,-6.1,30,-3.6,20,-6.2%,36,+1.5%,38,-1.1,27,-2.5,76,+18.0
Caron Butler,33.6,OKC,Wing,413,36,-2.9,27,-4.2,56,+0.9%,29,+2.0%,60,+1.4,68,+2.1,37,-6.0
Jimmy Butler,24.1,CHI,Wing,217,23,-4.8,90,+12.0,3,-14.4%,18,+3.2%,2,-19.2,9,-9.6,10,-29.9
Jose Calderon,32.1,DAL,Point,191,82,+10.2,54,+1.6,83,+6.6%,84,-3.3%,83,+7.7,63,+1.2,90,+36.1
DeMarre Carroll,27.3,ATL,Wing,245,26,-4.6,58,+2.3,60,+1.9%,29,+2.0%,17,-5.3,36,-1.4,7,-34.3
Vince Carter,36.8,DAL,Wing,190,53,+0.8,81,+8.5,52,+0.4%,33,+1.7%,16,-5.4,29,-2.1,26,-14.8
Mario Chalmers,27.5,MIA,Point,528,62,+2.2,59,+2.4,26,-5.0%,40,+0.6%,54,+0.7,20,-4.1,98,+56.3
Norris Cole,25.1,MIA,Combo,393,60,+2.0,53,+1.6,73,+4.7%,39,+0.7%,47,-0.1,76,+3.2,4,-38.8
Darren Collison,26.2,LAC,Combo,222,16,-8.7,33,-3.0,18,-6.5%,71,-1.8%,6,-12.9,11,-6.7,5,-38.6
Nick Collison,33.0,OKC,Big,172,2,-18.0,4,-15.9,61,+2.2%,52,-0.2%,26,-2.7,49,-0.1,25,-15.6
Mike Conley,26.1,MEM,Point,266,27,-4.5,40,-1.2,10,-9.4%,60,-0.7%,40,-0.9,21,-3.9,70,+15.7
Jamal Crawford,33.6,LAC,Combo,301,35,-3.5,67,+4.3,33,-3.0%,81,-2.9%,12,-7.7,23,-3.4,15,-23.4
Stephen Curry,25.6,GSW,Point,296,100,+42.6,100,+34.7,62,+2.3%,47,+0.3%,80,+6.5,8,-9.9,97,+55.6
Samuel Dalembert,33.5,DAL,Big,134,12,-9.6,6,-13.1,31,-3.5%,55,-0.4%,44,-0.6,40,-0.9,43,-2.0
Glen Davis,27.8,LAC,Big,143,5,-13.7,15,-8.0,9,-9.5%,64,-0.8%,7,-12.8,7,-10.1,19,-19.4
DeMar DeRozan,24.2,TOR,Wing,281,77,+9.0,50,+1.0,30,-3.9%,36,+1.2%,97,+13.6,54,+0.4,100,+82.9
Boris Diaw,31.5,SAS,Big,595,60,+1.4,57,+2.1,37,-2.5%,43,+0.5%,56,+0.9,48,-0.1,55,+5.8
