Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Quincy Acy,24.1,NYK,Big,1179,22,-4.7,16,-5.5,66,+1.4%,65,-0.7%,21,-3.0,28,-1.5,24,-9.0
Jordan Adams,20.3,MEM,Wing,185,82,+3.7,13,-6.2,98,+7.3%,86,-2.2%,100,+16.9,99,+8.4,98,+29.8
Steven Adams,21.3,OKC,Big,1767,32,-3.2,18,-5.0,71,+1.8%,49,+0.1%,81,+3.0,76,+1.7,67,+4.6
Jeff Adrien,28.7,MIN,Big,189,76,+2.8,71,+2.1,88,+3.8%,34,+1.1%,2,-7.3,39,-0.9,1,-37.0
Arron Afflalo,29.0,DEN,Wing,1746,72,+2.1,41,-1.5,92,+4.8%,34,+1.1%,89,+4.6,84,+2.6,76,+8.5
Arron Afflalo,29.0,POR,Wing,747,89,+5.3,98,+10.4,46,-0.5%,44,+0.6%,11,-4.6,76,+1.7,0,-41.7
Alexis Ajinca,26.5,NOP,Big,873,38,-2.0,52,-0.5,71,+1.7%,24,+1.6%,35,-1.6,54,+0.1,22,-9.5
Furkan Aldemir,23.2,PHI,Big,488,86,+4.6,68,+1.6,100,+9.6%,44,+0.5%,48,-0.4,89,+3.1,6,-20.7
Cole Aldrich,26.0,NYK,Big,915,9,-8.1,9,-8.0,16,-3.4%,40,+0.8%,38,-1.4,24,-1.9,63,+3.8
LaMarcus Aldridge,29.3,POR,Big,2508,95,+8.0,85,+4.2,90,+4.5%,74,-1.2%,95,+6.3,93,+4.1,73,+6.8
Lavoy Allen,25.7,IND,Big,1025,80,+3.4,56,-0.1,92,+4.8%,78,-1.5%,97,+7.8,94,+4.2,91,+17.4
Tony Allen,32.8,MEM,Wing,1631,77,+3.0,45,-1.3,82,+2.8%,98,-4.4%,86,+3.6,79,+1.9,78,+9.3
Al-Farouq Aminu,24.1,DAL,Forward,1277,61,+0.8,25,-3.8,87,+3.7%,88,-2.3%,76,+2.2,79,+2.0,44,-1.7
Lou Amundson,31.9,NYK,Big,856,86,+4.4,85,+4.4,28,-1.9%,79,-1.5%,47,-0.5,59,+0.4,33,-5.3
Chris Andersen,36.3,MIA,Big,1127,36,-2.3,53,-0.5,12,-3.8%,36,+0.9%,10,-5.2,11,-3.3,21,-10.0
Alan Anderson,32.0,BKN,Wing,1713,29,-3.4,53,-0.4,44,-0.6%,33,+1.1%,27,-2.4,40,-0.8,24,-9.0
Kyle Anderson,21.1,SAS,Wing,316,24,-4.6,16,-5.6,45,-0.5%,9,+2.9%,79,+2.7,43,-0.7,98,+28.5
Ryan Anderson,26.5,NOP,Big,1653,76,+3.0,67,+1.5,74,+2.0%,61,-0.5%,85,+3.5,84,+2.5,64,+3.8
Giannis Antetokounmpo,19.9,MIL,Forward,2507,67,+1.7,30,-3.0,78,+2.4%,68,-0.8%,79,+2.7,75,+1.6,69,+5.8
Carmelo Anthony,30.4,NYK,Forward,1424,99,+13.4,99,+11.6,73,+2.0%,63,-0.6%,87,+4.1,83,+2.4,76,+8.6
Joel Anthony,32.2,DET,Big,367,15,-6.1,36,-2.1,5,-5.6%,6,+3.5%,1,-8.7,0,-9.0,85,+13.3
Pero Antic,32.3,ATL,Big,1015,58,+0.2,41,-1.4,85,+3.1%,17,+2.1%,39,-1.2,28,-1.6,68,+5.0
Trevor Ariza,29.3,HOU,Forward,2924,33,-2.9,18,-5.2,29,-1.8%,47,+0.3%,34,-1.7,61,+0.5,12,-14.5
Darrell Arthur,26.6,DEN,Forward,959,16,-5.9,35,-2.3,6,-5.1%,76,-1.4%,9,-5.2,7,-4.0,36,-4.3
Omer Asik,28.3,NOP,Big,1975,27,-3.8,18,-5.1,77,+2.2%,56,-0.3%,49,-0.3,53,-0.1,46,-1.0
D.J. Augustin,27.0,DET,Point,1261,45,-1.2,47,-1.0,46,-0.4%,11,+2.8%,57,+0.4,32,-1.3,78,+9.4
D.J. Augustin,27.0,OKC,Point,624,25,-4.4,22,-4.1,44,-0.6%,3,+4.6%,11,-4.7,8,-3.6,50,+0.1
Jeff Ayres,27.5,SAS,Big,274,29,-3.6,8,-8.3,85,+3.2%,6,+3.5%,56,+0.3,25,-1.8,95,+20.1
Luke Babbitt,25.4,NOP,Forward,748,15,-6.0,48,-0.9,10,-4.0%,14,+2.4%,26,-2.4,30,-1.4,33,-5.1
Leandro Barbosa,31.9,GSW,Combo,863,10,-7.8,5,-9.8,81,+2.8%,28,+1.3%,53,+0.1,70,+1.1,30,-6.4
J.J. Barea,30.3,DAL,Combo,1236,85,+4.3,73,+2.3,58,+0.6%,32,+1.2%,68,+1.4,46,-0.5,83,+12.4
Andrea Bargnani,29.0,NYK,Big,768,21,-4.8,29,-3.1,14,-3.6%,30,+1.3%,54,+0.1,26,-1.7,86,+13.8
Harrison Barnes,22.4,GSW,Forward,2240,63,+1.0,61,+0.5,19,-3.0%,63,-0.6%,37,-1.5,29,-1.4,55,+1.7
Matt Barnes,34.6,LAC,Wing,2248,97,+9.4,92,+6.2,98,+7.4%,98,-4.1%,95,+6.5,99,+6.4,26,-8.1
Earl Barron,33.2,PHX,Big,117,3,-12.2,11,-7.0,21,-2.6%,1,+5.6%,33,-1.8,33,-1.3,34,-4.7
Will Barton,23.8,POR,Wing,246,14,-6.5,8,-8.3,59,+0.7%,89,-2.4%,50,-0.3,52,-0.2,52,+0.9
Will Barton,23.8,DEN,Wing,630,31,-3.2,47,-1.0,56,+0.3%,76,-1.4%,64,+0.9,60,+0.4,60,+2.8
Brandon Bass,29.5,BOS,Big,1917,37,-2.2,44,-1.3,20,-3.0%,42,+0.7%,26,-2.4,48,-0.4,18,-11.4
Nicolas Batum,25.9,POR,Wing,2376,74,+2.4,63,+0.9,75,+2.1%,76,-1.4%,73,+1.9,74,+1.5,50,-0.1
Jerryd Bayless,26.2,MIL,Combo,1692,42,-1.5,58,+0.2,36,-1.1%,19,+1.9%,23,-2.7,23,-2.0,40,-3.1
Aron Baynes,27.9,SAS,Big,1077,39,-1.9,49,-0.9,54,+0.2%,70,-0.9%,25,-2.5,50,-0.3,8,-17.1
Kent Bazemore,25.3,ATL,Wing,1235,11,-7.5,10,-7.2,56,+0.3%,67,-0.8%,47,-0.6,60,+0.4,28,-7.5
Bradley Beal,21.3,WAS,Wing,2097,92,+6.2,95,+7.7,25,-2.2%,75,-1.3%,76,+2.3,54,+0.0,89,+16.1
Michael Beasley,25.8,MIA,Big,495,14,-6.8,42,-1.4,0,-10.5%,30,+1.3%,1,-10.1,1,-7.6,30,-6.6
Marco Belinelli,28.6,SAS,Combo,1336,42,-1.6,55,-0.3,33,-1.4%,35,+1.0%,58,+0.5,51,-0.2,69,+5.7
Anthony Bennett,21.6,MIN,Big,839,30,-3.4,17,-5.4,46,-0.4%,11,+2.7%,83,+3.2,42,-0.7,95,+21.3
Patrick Beverley,26.3,HOU,Point,1717,51,-0.3,54,-0.3,33,-1.4%,14,+2.4%,41,-1.1,62,+0.5,20,-10.4
Bismack Biyombo,22.2,CHA,Big,1173,62,+1.0,36,-2.2,96,+6.3%,81,-1.7%,72,+1.8,87,+2.7,26,-8.3
Tarik Black,22.9,HOU,Big,362,28,-3.7,12,-6.7,80,+2.7%,66,-0.7%,39,-1.4,89,+3.1,3,-27.1
Tarik Black,22.9,LAL,Big,785,88,+5.0,82,+3.6,83,+3.0%,69,-0.9%,70,+1.6,80,+2.0,33,-5.0
DeJuan Blair,25.5,WAS,Big,100,12,-7.4,20,-4.4,97,+7.0%,43,+0.6%,18,-3.6,91,+3.7,0,-41.1
Steve Blake,34.7,POR,Point,1488,50,-0.4,48,-0.9,24,-2.2%,31,+1.2%,45,-0.8,33,-1.3,65,+4.0
Eric Bledsoe,24.9,PHX,Point,2795,71,+1.9,66,+1.2,18,-3.1%,93,-2.9%,40,-1.2,41,-0.7,43,-2.2
Bojan Bogdanovic,25.5,BKN,Forward,1795,70,+1.9,49,-0.8,71,+1.7%,67,-0.8%,80,+2.8,64,+0.7,83,+12.5
Andrew Bogut,29.9,GSW,Big,1577,68,+1.7,75,+2.6,22,-2.5%,62,-0.6%,36,-1.5,36,-1.1,43,-2.4
Matt Bonner,34.6,SAS,Big,846,43,-1.4,52,-0.6,37,-1.0%,19,+2.0%,65,+1.1,31,-1.3,95,+20.4
