Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Bam Adebayo,25.3,MIA,Big,925,11,47.1%,39,37%,92,48%,92,15%,95,62%,0,0%,39,0%,32,0%
Nickeil Alexander-Walker,24.2,MIN,Wing,206,81,61.0%,19,16%,33,16%,7,2%,22,18%,96,38%,33,28%,81,66%
Grayson Allen,27.1,MIL,Wing,149,85,63.4%,4,12%,48,19%,15,2%,33,21%,89,21%,78,47%,85,67%
Jarrett Allen,24.5,CLE,Big,190,79,61.1%,84,74%,45,23%,45,3%,45,26%,0,0%,0,0%,0,0%
Kyle Anderson,29.1,MIN,Forward,179,37,50.9%,74,33%,100,41%,0,0%,74,41%,53,17%,5,9%,11,26%
Deandre Ayton,24.3,PHX,Big,319,47,55.0%,34,36%,89,47%,95,17%,97,64%,0,0%,0,0%,0,0%
Desmond Bane,24.4,MEM,Wing,231,19,49.1%,70,25%,70,23%,74,11%,74,34%,44,10%,41,30%,41,40%
Harrison Barnes,30.4,SAC,Forward,196,21,47.5%,63,31%,84,33%,0,0%,68,33%,32,10%,58,26%,42,36%
RJ Barrett,22.4,NYK,Wing,375,26,49.7%,93,41%,67,23%,30,3%,48,26%,56,13%,7,20%,22,32%
Saddiq Bey,23.6,ATL,Forward,166,16,47.4%,26,23%,68,26%,32,7%,63,33%,68,20%,37,25%,63,44%
Bogdan Bogdanovic,30.2,ATL,Wing,182,96,68.0%,7,12%,41,18%,56,7%,44,25%,52,12%,81,51%,74,63%
Devin Booker,26.0,PHX,Wing,458,89,64.9%,56,21%,100,37%,96,18%,100,55%,0,2%,19,22%,0,24%
Christian Braun,21.5,DEN,Combo,243,81,57.1%,100,64%,25,17%,0,0%,6,17%,38,13%,0,6%,0,19%
Mikal Bridges,26.2,BKN,Wing,157,22,49.4%,48,20%,93,34%,93,16%,96,50%,30,8%,15,22%,11,30%
Malcolm Brogdon,29.9,BOS,Combo,466,50,50.5%,88,27%,63,24%,63,9%,69,33%,13,5%,44,35%,25,40%
Dillon Brooks,26.8,MEM,Wing,167,4,37.7%,52,20%,56,20%,59,8%,52,28%,26,8%,70,45%,59,53%
Bruce Brown,26.2,DEN,Wing,528,70,56.6%,89,41%,85,28%,26,3%,63,31%,37,9%,11,20%,7,29%
Jaylen Brown,26.0,BOS,Wing,748,63,55.0%,81,33%,78,25%,85,13%,85,38%,15,6%,26,23%,4,28%
Troy Brown,23.3,LAL,Forward,117,0,36.0%,53,28%,0,4%,53,8%,0,12%,74,20%,95,40%,89,60%
Jalen Brunson,26.2,NYK,Point,442,69,53.5%,38,15%,94,38%,69,15%,94,54%,44,7%,19,24%,25,31%
Jimmy Butler,33.1,MIA,Forward,955,26,49.8%,84,35%,89,35%,89,15%,100,51%,11,5%,11,9%,0,14%
Kentavious Caldwell-Pope,29.7,DEN,Combo,664,75,56.5%,56,19%,6,12%,81,15%,38,27%,63,17%,56,37%,63,54%
Clint Capela,28.5,ATL,Big,179,76,61.0%,89,78%,42,22%,0,0%,37,22%,0,0%,0,0%,0,0%
Nicolas Claxton,23.5,BKN,Big,116,95,72.0%,82,70%,61,30%,0,0%,53,30%,0,0%,0,0%,0,0%
John Collins,25.1,ATL,Big,186,34,52.9%,11,16%,63,30%,53,3%,58,33%,76,19%,92,33%,82,51%
Mike Conley,35.1,MIN,Point,255,100,67.8%,6,8%,63,29%,13,8%,31,37%,88,13%,94,43%,100,56%
Torrey Craig,31.9,PHX,Forward,177,100,70.9%,5,18%,58,24%,21,4%,42,29%,100,42%,21,11%,84,53%
Stephen Curry,34.6,GSW,Point,491,81,56.5%,44,17%,6,21%,56,13%,19,35%,25,4%,100,45%,81,48%
Anthony Davis,29.6,LAL,Big,650,37,53.1%,63,48%,74,36%,87,11%,79,47%,53,2%,47,3%,45,5%
Donte DiVincenzo,25.7,GSW,Wing,207,37,50.9%,59,23%,26,15%,0,0%,19,15%,70,17%,70,45%,70,62%
Spencer Dinwiddie,29.6,BKN,Point,159,31,48.0%,88,35%,56,28%,19,8%,38,37%,13,3%,25,25%,13,28%
Kevin Durant,34.1,PHX,Big,465,26,51.1%,3,12%,87,39%,100,29%,100,68%,61,4%,61,16%,58,20%
Anthony Edwards,21.2,MIN,Wing,279,33,50.7%,85,35%,37,17%,81,13%,59,30%,7,4%,44,31%,26,35%
Joel Embiid,28.6,PHI,Big,335,3,45.4%,32,36%,53,27%,97,23%,82,49%,42,1%,58,14%,50,14%
Dorian Finney-Smith,29.5,BKN,Big,100,45,54.3%,0,9%,11,9%,82,9%,26,17%,74,17%,97,57%,97,74%
De'Aaron Fox,24.9,SAC,Point,269,56,49.4%,31,14%,100,39%,50,13%,88,51%,31,4%,44,31%,44,35%
Darius Garland,22.8,CLE,Point,188,63,51.2%,81,24%,13,22%,88,18%,63,40%,75,9%,38,26%,50,36%
Rudy Gobert,30.3,MIN,Big,209,82,61.4%,97,87%,24,13%,0,0%,16,13%,0,0%,0,0%,0,0%
Aaron Gordon,27.1,DEN,Forward,706,68,56.7%,100,55%,47,20%,26,5%,32,25%,42,11%,16,10%,5,20%
Eric Gordon,33.9,LAC,Wing,149,44,52.3%,26,17%,30,15%,41,4%,26,20%,4,2%,96,61%,78,63%
Draymond Green,32.7,GSW,Big,365,16,49.4%,50,40%,71,33%,79,8%,76,41%,71,13%,55,6%,55,19%
Jeff Green,36.2,DEN,Big,341,39,53.3%,45,39%,37,19%,29,1%,34,21%,79,21%,68,19%,71,40%
Quentin Grimes,22.5,NYK,Wing,240,7,40.2%,33,18%,0,2%,11,2%,0,4%,100,43%,52,35%,100,78%
