Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Steven Adams,31.3,HOU,Big,154,42,-0.6%,27,-4.1%,35,-2.6%,71,+6.1%,46,-0.9%,82,+9.7%,50,+0.8%,69,+3.3%
Giannis Antetokounmpo,29.9,MIL,Big,187,81,+3.6%,35,-3.0%,100,+21.6%,0,-34.5%,22,-5.6%,97,+23.6%,37,-1.8%,81,+5.0%
Nicolas Batum,35.9,LAC,Forward,170,33,-1.6%,52,+0.2%,64,+2.5%,1,-32.5%,38,-2.4%,64,+3.5%,46,+0.3%,54,+1.3%
Malik Beasley,27.9,DET,Wing,163,48,-0.0%,88,+8.3%,24,-5.3%,14,-15.8%,14,-8.1%,72,+4.8%,54,+1.1%,64,+2.2%
Jaylen Brown,28.0,BOS,Wing,402,14,-4.9%,11,-8.4%,40,-2.1%,14,-15.9%,17,-6.8%,78,+7.2%,20,-4.8%,25,-3.2%
Jimmy Butler,35.1,GSW,Forward,436,26,-2.8%,84,+6.8%,9,-10.3%,42,-3.2%,9,-8.9%,58,+1.9%,31,-2.8%,36,-1.1%
Kentavious Caldwell-Pope,31.7,ORL,Wing,189,28,-2.4%,71,+2.6%,60,+1.7%,7,-22.9%,16,-7.1%,45,-2.1%,71,+3.3%,57,+1.8%
Mike Conley,37.1,MIN,Point,356,68,+1.6%,73,+2.8%,21,-6.1%,96,+24.0%,52,-0.4%,27,-5.1%,83,+7.7%,72,+3.6%
Stephen Curry,36.6,GSW,Point,318,93,+6.2%,58,+1.2%,49,-0.8%,85,+13.7%,69,+2.8%,61,+2.5%,87,+9.3%,92,+7.5%
Kris Dunn,30.6,LAC,Combo,151,47,-0.1%,49,-0.2%,62,+2.1%,91,+19.5%,81,+4.9%,3,-16.9%,41,-0.7%,14,-5.8%
Dorian Finney-Smith,31.5,LAL,Forward,169,86,+5.1%,76,+4.7%,90,+8.8%,47,-2.2%,86,+7.0%,40,-2.6%,53,+1.1%,51,+0.9%
Rudy Gobert,32.4,MIN,Big,411,16,-4.6%,26,-4.3%,66,+2.8%,36,-6.7%,58,+1.0%,31,-4.1%,26,-3.8%,19,-3.9%
Aaron Gordon,29.1,DEN,Big,521,98,+11.4%,92,+10.8%,85,+7.1%,81,+10.4%,89,+8.3%,75,+6.0%,91,+10.8%,97,+10.0%
Draymond Green,34.7,GSW,Big,418,53,+0.5%,87,+7.9%,53,-0.1%,70,+5.6%,60,+1.1%,62,+2.8%,17,-5.6%,25,-3.2%
Tim Hardaway Jr.,32.6,DET,Forward,188,85,+5.0%,19,-5.1%,87,+7.6%,92,+20.2%,94,+10.5%,100,+26.7%,15,-6.5%,64,+2.3%
James Harden,35.2,LAC,Point,275,24,-3.1%,24,-4.5%,3,-14.6%,97,+35.7%,34,-3.2%,15,-11.0%,75,+4.4%,47,+0.4%
Tobias Harris,32.3,DET,Forward,232,1,-10.4%,39,-2.4%,36,-2.4%,54,-0.5%,37,-2.5%,26,-5.6%,0,-18.6%,1,-15.0%
Buddy Hield,31.9,GSW,Wing,338,74,+2.4%,72,+2.8%,63,+2.2%,29,-8.8%,49,-0.6%,77,+6.9%,42,-0.6%,61,+2.0%
Jrue Holiday,34.4,BOS,Combo,263,5,-7.1%,9,-9.8%,22,-5.8%,21,-11.5%,14,-7.9%,86,+11.3%,13,-7.8%,18,-4.6%
Al Horford,38.4,BOS,Big,347,10,-5.5%,43,-1.2%,7,-10.7%,9,-19.7%,3,-13.7%,33,-3.7%,34,-2.2%,27,-2.5%
LeBron James,39.8,LAL,Big,203,11,-5.4%,1,-25.4%,47,-1.1%,100,+51.7%,96,+11.1%,85,+10.9%,12,-7.9%,26,-2.7%
Nikola Jokic,29.7,DEN,Big,562,60,+1.2%,94,+13.8%,74,+3.9%,12,-18.0%,26,-4.7%,31,-4.3%,31,-2.9%,20,-3.8%
Derrick Jones Jr.,27.7,LAC,Big,128,27,-2.7%,33,-3.4%,55,+0.2%,8,-20.5%,31,-3.8%,89,+12.6%,24,-4.2%,53,+1.1%
Cory Joseph,33.2,ORL,Point,142,23,-3.1%,8,-10.1%,65,+2.8%,20,-12.2%,36,-2.6%,2,-17.9%,86,+9.0%,60,+2.0%
Kawhi Leonard,33.3,LAC,Forward,264,83,+3.9%,40,-2.2%,91,+10.0%,77,+9.5%,92,+9.4%,81,+9.6%,70,+3.3%,81,+5.1%
Kevon Looney,28.7,GSW,Big,128,35,-1.5%,44,-1.1%,12,-9.6%,27,-9.7%,6,-9.6%,80,+8.7%,62,+2.1%,75,+4.2%
TJ McConnell,32.6,IND,Point,385,30,-2.2%,53,+0.4%,51,-0.3%,53,-1.3%,47,-0.8%,29,-4.5%,30,-3.0%,23,-3.4%
Jamal Murray,27.7,DEN,Combo,578,100,+17.2%,99,+20.9%,98,+17.5%,87,+16.6%,100,+17.2%,95,+19.2%,69,+3.1%,95,+9.4%
Bobby Portis,29.7,MIL,Big,158,41,-0.8%,31,-3.4%,8,-10.5%,40,-4.3%,8,-9.0%,8,-12.9%,88,+9.6%,83,+5.4%
Kristaps Porzingis,29.3,BOS,Big,230,36,-1.4%,25,-4.4%,53,-0.1%,94,+22.7%,86,+7.6%,84,+10.3%,25,-4.1%,32,-1.6%
Norman Powell,31.4,LAC,Wing,237,36,-1.3%,21,-4.7%,10,-9.9%,99,+45.7%,59,+1.0%,19,-9.5%,64,+2.6%,37,-1.0%
Julius Randle,29.9,MIN,Big,527,67,+1.6%,42,-1.7%,45,-1.4%,53,-1.1%,48,-0.6%,16,-10.8%,96,+12.2%,79,+4.8%
Dennis Schroder,31.1,DET,Point,164,84,+4.2%,86,+7.0%,54,+0.2%,95,+23.1%,84,+5.8%,8,-13.3%,94,+11.5%,73,+4.0%
Pascal Siakam,30.6,IND,Big,768,19,-3.8%,82,+6.3%,15,-7.9%,44,-2.9%,20,-6.1%,6,-14.5%,55,+1.4%,22,-3.4%
Karl-Anthony Towns,29.0,NYK,Big,639,17,-4.1%,69,+2.5%,26,-4.9%,69,+5.5%,43,-1.7%,41,-2.6%,3,-11.9%,4,-9.0%
Myles Turner,28.6,IND,Big,671,92,+5.8%,64,+2.0%,78,+5.1%,86,+15.1%,91,+8.7%,75,+6.4%,74,+3.9%,80,+4.8%
Fred VanVleet,30.7,HOU,Point,276,80,+3.4%,66,+2.4%,25,-5.3%,28,-9.5%,19,-6.1%,38,-2.9%,98,+14.8%,97,+10.0%
Russell Westbrook,36.0,DEN,Point,312,7,-6.6%,10,-9.8%,38,-2.2%,31,-8.1%,28,-4.2%,42,-2.5%,27,-3.5%,19,-4.4%
Andrew Wiggins,29.7,MIA,Wing,200,8,-6.1%,32,-3.4%,42,-2.0%,46,-2.3%,40,-2.0%,10,-12.8%,22,-4.5%,12,-6.8%
Ivica Zubac,27.6,LAC,Big,255,95,+8.3%,62,+1.8%,97,+16.2%,23,-10.9%,97,+11.6%,93,+18.6%,77,+4.6%,94,+8.1%
Gary Payton II,31.9,GSW,Wing,199,58,+1.1%,5,-11.7%,39,-2.2%,89,+16.8%,73,+3.0%,74,+5.6%,75,+4.0%,78,+4.5%
Alex Caruso,30.7,OKC,Forward,561,50,+0.2%,38,-2.5%,46,-1.4%,25,-10.4%,27,-4.7%,35,-3.5%,80,+6.1%,74,+4.0%
Thomas Bryant,27.3,IND,Big,146,9,-6.1%,37,-2.5%,32,-3.4%,33,-7.8%,25,-4.9%,48,-0.8%,4,-11.7%,8,-7.4%
Josh Hart,29.7,NYK,Wing,641,56,+0.8%,36,-2.9%,81,+6.3%,49,-1.8%,77,+3.8%,66,+3.8%,25,-4.0%,31,-1.7%
OG Anunoby,27.3,NYK,Forward,703,42,-0.6%,14,-6.3%,86,+7.5%,11,-18.6%,61,+1.1%,3,-17.9%,81,+6.4%,39,-0.7%
Bam Adebayo,27.3,MIA,Big,233,31,-2.1%,30,-3.7%,33,-3.0%,48,-1.9%,25,-4.7%,11,-12.7%,65,+2.8%,49,+0.5%
Dillon Brooks,28.8,HOU,Forward,205,89,+5.4%,96,+14.9%,84,+6.8%,82,+11.5%,87,+7.8%,47,-1.8%,19,-4.9%,21,-3.5%
Jayson Tatum,26.7,BOS,Forward,321,46,-0.2%,60,+1.6%,31,-3.5%,56,+0.4%,41,-1.9%,23,-6.2%,63,+2.2%,50,+0.8%
Bogdan Bogdanovic,32.2,LAC,Wing,114,18,-4.0%,36,-3.0%,72,+3.9%,3,-29.6%,33,-3.3%,64,+3.6%,10,-8.6%,17,-4.8%
Derrick White,30.3,BOS,Combo,415,20,-3.5%,75,+4.3%,67,+3.0%,30,-8.5%,39,-2.3%,12,-12.7%,40,-1.3%,24,-3.2%
Luke Kornet,29.3,BOS,Big,180,64,+1.4%,65,+2.3%,23,-5.6%,86,+14.9%,64,+1.5%,21,-7.0%,60,+1.8%,47,+0.4%
Jarrett Allen,26.5,CLE,Big,261,86,+5.1%,7,-10.8%,97,+16.0%,88,+16.6%,99,+16.3%,92,+17.2%,47,+0.6%,76,+4.4%
Donovan Mitchell,28.2,CLE,Combo,288,2,-10.3%,89,+8.8%,41,-2.0%,5,-23.7%,23,-5.6%,4,-15.9%,1,-18.4%,0,-17.9%
Wendell Carter,25.5,ORL,Big,188,69,+1.8%,79,+5.9%,11,-9.8%,37,-6.5%,13,-8.6%,28,-4.8%,95,+12.0%,93,+7.6%
Luka Doncic,25.7,LAL,Point,207,99,+14.1%,2,-22.0%,95,+13.7%,2,-30.6%,71,+2.9%,94,+18.8%,100,+21.0%,100,+21.1%
Michael Porter,26.3,DEN,Forward,435,81,+3.4%,59,+1.3%,59,+1.3%,76,+8.0%,76,+3.7%,39,-2.8%,78,+5.1%,71,+3.6%
Shai Gilgeous-Alexander,26.3,OKC,Point,849,25,-3.1%,14,-6.3%,71,+3.7%,83,+12.9%,85,+6.5%,24,-6.1%,21,-4.8%,16,-5.0%
Jaren Jackson,25.1,MEM,Big,211,37,-0.9%,63,+1.9%,0,-24.7%,93,+20.5%,1,-14.8%,8,-12.9%,97,+14.7%,89,+7.1%
Donte DiVincenzo,27.8,MIN,Combo,369,31,-2.2%,48,-0.3%,75,+4.3%,4,-28.6%,42,-1.9%,59,+2.1%,8,-8.9%,14,-5.5%
Mikal Bridges,28.2,NYK,Forward,705,12,-5.4%,45,-1.0%,56,+0.2%,13,-15.9%,29,-4.2%,14,-11.6%,59,+1.8%,28,-2.5%
Jalen Brunson,28.2,NYK,Point,680,91,+5.6%,68,+2.4%,92,+12.3%,42,-3.5%,88,+8.1%,63,+3.0%,45,+0.2%,53,+1.1%
Isaiah Hartenstein,26.5,OKC,Big,515,25,-3.1%,77,+5.0%,70,+3.7%,51,-1.5%,66,+1.9%,19,-7.7%,14,-7.7%,7,-7.7%
Mitchell Robinson,26.6,NYK,Big,369,59,+1.2%,83,+6.3%,47,-1.3%,58,+0.8%,50,-0.5%,70,+4.3%,53,+1.0%,62,+2.1%
Gary Trent Jr.,25.8,MIL,Wing,170,57,+0.8%,50,-0.2%,17,-7.3%,60,+1.8%,21,-5.6%,68,+4.3%,72,+3.4%,70,+3.6%
Haywood Highsmith,27.9,MIA,Forward,139,53,+0.6%,81,+6.3%,34,-2.9%,90,+17.8%,67,+2.1%,54,+0.5%,58,+1.7%,55,+1.3%
Ja Morant,25.2,MEM,Point,149,63,+1.3%,20,-4.8%,69,+3.5%,32,-7.9%,64,+1.7%,96,+23.0%,18,-5.4%,58,+1.8%
DeAndre Hunter,26.9,CLE,Forward,185,47,-0.1%,75,+4.1%,37,-2.3%,72,+7.0%,54,-0.1%,25,-5.7%,47,+0.3%,40,-0.6%
Darius Garland,24.8,CLE,Point,147,75,+2.7%,58,+1.2%,81,+6.4%,10,-18.9%,53,-0.3%,97,+24.2%,69,+3.1%,92,+7.3%
Rui Hachimura,26.7,LAL,Forward,182,4,-7.7%,23,-4.7%,16,-7.6%,45,-2.4%,18,-6.7%,51,-0.6%,7,-9.9%,13,-6.8%
Tyler Herro,24.8,MIA,Combo,225,96,+8.8%,30,-3.7%,52,-0.3%,64,+3.7%,56,-0.0%,56,+0.8%,99,+14.8%,98,+11.7%
Nickeil Alexander-Walker,26.2,MIN,Wing,300,71,+2.1%,55,+0.8%,75,+4.2%,43,-3.1%,72,+3.0%,73,+4.9%,33,-2.3%,42,+0.1%
Ty Jerome,27.3,CLE,Combo,186,73,+2.3%,29,-3.9%,8,-10.4%,80,+10.3%,24,-5.1%,18,-9.7%,92,+10.9%,90,+7.2%
Kevin Porter,24.5,MIL,Combo,148,3,-7.7%,15,-6.2%,1,-19.2%,40,-4.3%,2,-14.3%,5,-14.5%,76,+4.4%,46,+0.4%
Luguentz Dort,25.5,OKC,Wing,665,34,-1.5%,28,-4.0%,64,+2.4%,65,+4.1%,70,+2.9%,43,-2.3%,36,-1.8%,29,-2.1%
Naz Reid,25.2,MIN,Big,367,65,+1.5%,22,-4.7%,68,+3.0%,68,+4.9%,75,+3.4%,88,+12.2%,23,-4.3%,52,+0.9%
Dean Wade,27.9,CLE,Forward,137,39,-0.8%,54,+0.6%,96,+14.9%,36,-6.8%,93,+10.0%,13,-12.2%,16,-5.8%,8,-7.2%
Max Strus,28.6,CLE,Wing,252,82,+3.7%,3,-17.5%,76,+4.9%,17,-15.0%,58,+1.0%,92,+16.4%,85,+8.7%,96,+9.9%
Anthony Edwards,23.2,MIN,Combo,584,14,-5.1%,13,-7.8%,19,-6.6%,35,-7.0%,15,-7.1%,76,+6.8%,19,-5.1%,34,-1.3%
Obi Toppin,26.7,IND,Forward,429,61,+1.2%,17,-5.5%,73,+3.9%,25,-10.5%,44,-1.3%,79,+7.3%,61,+1.9%,68,+3.3%
Tyrese Haliburton,24.7,IND,Combo,770,79,+3.3%,47,-0.6%,58,+0.5%,66,+4.2%,65,+1.8%,91,+13.8%,49,+0.6%,77,+4.4%
Aaron Nesmith,25.0,IND,Wing,649,40,-0.8%,70,+2.5%,36,-2.6%,61,+1.9%,45,-1.0%,58,+1.9%,29,-3.1%,31,-1.7%
Payton Pritchard,26.8,BOS,Point,298,97,+9.6%,86,+7.3%,93,+12.3%,50,-1.6%,90,+8.3%,32,-4.1%,89,+9.7%,91,+7.3%
Jaden McDaniels,24.1,MIN,Forward,494,78,+3.2%,78,+5.9%,48,-0.9%,92,+19.9%,68,+2.7%,30,-4.4%,84,+7.8%,69,+3.4%
Desmond Bane,26.4,MEM,Wing,211,69,+1.8%,25,-4.4%,89,+8.8%,18,-14.3%,83,+5.7%,90,+13.2%,38,-1.8%,63,+2.1%
Isaiah Joe,25.3,OKC,Wing,167,52,+0.5%,74,+4.0%,29,-4.0%,73,+7.0%,53,-0.3%,87,+12.2%,32,-2.5%,48,+0.5%
Sam Merrill,28.5,CLE,Wing,159,49,+0.1%,46,-0.9%,28,-4.6%,98,+43.3%,75,+3.6%,37,-2.9%,51,+0.9%,42,-0.2%
Cade Cunningham,23.1,DET,Combo,247,51,+0.4%,0,-26.7%,18,-7.1%,19,-13.6%,12,-8.7%,14,-11.6%,93,+11.2%,86,+6.1%
Jalen Green,22.7,HOU,Wing,214,92,+5.7%,91,+10.3%,88,+8.3%,84,+13.2%,92,+8.9%,49,-0.7%,58,+1.6%,44,+0.2%
Evan Mobley,23.4,CLE,Big,257,6,-7.1%,97,+15.8%,2,-18.7%,3,-29.2%,0,-21.2%,20,-7.3%,11,-7.9%,6,-7.7%
Jonathan Kuminga,22.1,GSW,Forward,184,38,-0.9%,90,+8.9%,14,-8.5%,15,-15.6%,5,-10.1%,44,-2.3%,44,+0.1%,33,-1.4%
Franz Wagner,23.2,ORL,Forward,228,22,-3.3%,61,+1.7%,82,+6.8%,67,+4.4%,81,+5.4%,69,+4.3%,2,-15.3%,3,-10.0%
Davion Mitchell,26.2,MIA,Point,209,29,-2.3%,41,-1.8%,92,+12.0%,62,+2.1%,95,+10.8%,83,+10.0%,3,-12.0%,10,-7.1%
Moses Moody,22.4,GSW,Wing,214,13,-5.4%,16,-6.1%,42,-1.8%,81,+11.5%,63,+1.5%,52,-0.6%,14,-6.8%,15,-5.1%
Alperen Sengun,22.3,HOU,Big,252,15,-4.9%,12,-7.9%,6,-11.2%,47,-2.1%,11,-8.7%,1,-20.5%,92,+10.9%,59,+1.9%
Santi Aldama,23.8,MEM,Big,177,76,+2.8%,97,+20.1%,77,+5.1%,63,+2.8%,79,+4.6%,17,-10.4%,9,-8.9%,3,-9.3%
Miles McBride,24.1,NYK,Combo,334,70,+2.0%,69,+2.5%,20,-6.1%,69,+5.6%,36,-2.8%,86,+11.7%,68,+3.0%,84,+5.7%
Aaron Wiggins,25.8,OKC,Wing,276,72,+2.2%,53,+0.5%,58,+0.5%,19,-14.2%,30,-4.2%,60,+2.3%,81,+6.2%,82,+5.1%
Austin Reaves,26.4,LAL,Combo,196,21,-3.4%,98,+20.5%,19,-6.2%,22,-11.3%,7,-9.0%,0,-41.7%,28,-3.3%,5,-8.2%
Sam Hauser,26.9,BOS,Forward,106,97,+10.0%,93,+13.3%,94,+13.4%,75,+7.8%,97,+11.2%,69,+4.3%,82,+6.4%,85,+6.0%
Paolo Banchero,22.0,ORL,Big,230,77,+2.8%,81,+6.2%,3,-16.3%,34,-7.6%,3,-13.4%,99,+26.2%,97,+14.3%,99,+15.9%
Chet Holmgren,22.5,OKC,Big,684,62,+1.3%,56,+1.0%,30,-3.9%,74,+7.1%,55,-0.1%,34,-3.7%,67,+2.9%,56,+1.5%
Jabari Smith Jr.,21.5,HOU,Big,138,19,-3.7%,8,-10.2%,14,-9.3%,8,-20.6%,4,-11.3%,98,+24.2%,42,-0.5%,88,+6.9%
Bennedict Mathurin,22.4,IND,Wing,369,8,-6.5%,42,-1.8%,27,-4.8%,26,-9.8%,19,-6.6%,36,-3.0%,8,-9.0%,11,-6.9%
Jalen Williams,23.6,OKC,Forward,795,64,+1.4%,80,+6.1%,44,-1.6%,58,+1.6%,51,-0.5%,53,+0.3%,39,-1.7%,35,-1.1%
Jalen Duren,21.0,DET,Big,203,3,-8.6%,18,-5.1%,80,+5.5%,16,-15.5%,47,-0.6%,7,-14.3%,5,-11.0%,2,-12.1%
Tari Eason,23.5,HOU,Forward,131,43,-0.4%,67,+2.4%,31,-3.5%,38,-5.4%,31,-4.0%,42,-2.4%,56,+1.5%,41,-0.6%
Christian Braun,23.5,DEN,Wing,544,94,+6.4%,100,+21.4%,50,-0.6%,59,+1.7%,57,+0.2%,50,-0.7%,52,+1.0%,43,+0.2%
Peyton Watson,22.1,DEN,Forward,179,0,-11.3%,4,-13.4%,13,-9.5%,31,-8.0%,10,-8.9%,57,+1.2%,6,-10.5%,9,-7.2%
Andrew Nembhard,24.8,IND,Combo,762,54,+0.7%,19,-4.9%,61,+1.9%,55,+0.2%,62,+1.4%,71,+4.5%,66,+2.9%,67,+3.3%
AJ Green,25.1,MIL,Wing,134,88,+5.3%,95,+14.1%,5,-12.7%,79,+10.0%,32,-3.7%,53,-0.6%,86,+8.8%,87,+6.8%
Scotty Pippen,24.0,MEM,Combo,189,44,-0.3%,6,-11.2%,43,-1.7%,97,+33.3%,78,+4.2%,55,+0.6%,79,+5.7%,75,+4.1%
Amen Thompson,21.8,HOU,Combo,227,45,-0.2%,34,-3.3%,69,+3.7%,52,-1.3%,69,+2.8%,22,-6.8%,57,+1.6%,36,-1.1%
Ausar Thompson,21.8,DET,Wing,134,66,+1.5%,57,+1.0%,79,+5.3%,6,-23.1%,42,-1.8%,46,-2.1%,36,-1.8%,30,-1.9%
Anthony Black,20.8,ORL,Combo,107,87,+5.2%,85,+6.9%,57,+0.3%,75,+7.7%,74,+3.0%,81,+9.4%,48,+0.6%,66,+2.9%
Cason Wallace,21.0,OKC,Combo,514,58,+1.0%,47,-0.8%,25,-5.1%,57,+0.5%,35,-3.1%,65,+3.6%,64,+2.3%,65,+2.8%
Brandin Podziemski,21.7,GSW,Combo,412,55,+0.7%,92,+12.0%,4,-14.0%,78,+9.7%,8,-8.9%,67,+3.8%,35,-1.9%,45,+0.3%
Ben Sheppard,23.3,IND,Wing,261,90,+5.4%,51,-0.2%,86,+7.2%,64,+2.9%,82,+5.7%,25,-5.8%,90,+10.8%,86,+6.1%
Zach Edey,22.6,MEM,Big,172,32,-1.8%,3,-17.7%,99,+17.5%,24,-10.7%,98,+13.1%,47,-1.2%,43,-0.4%,38,-0.8%
Quinten Post,24.6,GSW,Big,162,75,+2.6%,64,+1.9%,83,+6.8%,39,-4.7%,80,+4.7%,36,-3.2%,73,+3.6%,58,+1.9%
