Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
LaMarcus Aldridge,25.3,POR,Big,258,0,+52.3,2,+6.6,98,-5.5%,0,+68.6,5,+2.8,72,-9.5%,3,+106.3,9,+3.8,100,-21.9%,4,+62.1
Ray Allen,35.3,BOS,Wing,360,89,-13.4,64,-1.1,30,+1.9%,60,-8.4,47,+0.2,0,+57.9%,92,-60.0,58,-0.7,69,-3.2%,56,-8.5
Tony Allen,28.8,MEM,Combo,348,66,-4.0,41,+0.2,31,+1.8%,36,+5.1,34,+0.7,42,+4.3%,18,+39.5,47,-0.2,19,+7.2%,47,-1.7
Ryan Anderson,22.5,ORL,Big,145,23,+7.7,40,+0.3,18,+2.5%,40,+2.6,64,-0.4,9,+27.2%,67,-13.3,34,+0.7,11,+9.8%,31,+13.0
Carmelo Anthony,26.4,NYK,Wing,155,9,+15.4,1,+6.7,29,+2.0%,7,+43.5,36,+0.5,93,-21.5%,10,+55.6,2,+6.2,9,+10.1%,9,+46.5
Joel Anthony,28.2,MIA,Big,572,69,-4.2,71,-1.8,55,-0.3%,64,-10.8,82,-1.5,52,0.0%,68,-14.9,54,-0.4,43,+1.0%,53,-6.3
Trevor Ariza,25.3,NOH,Wing,240,25,+7.0,57,-0.6,47,+0.3%,66,-12.8,9,+2.2,25,+10.7%,2,+136.4,90,-3.1,52,-0.2%,93,-50.0
Darrell Arthur,22.6,MEM,Big,197,19,+9.5,93,-4.4,39,+1.0%,96,-38.4,26,+1.0,31,+8.0%,40,+9.7,97,-5.2,65,-2.7%,98,-67.5
Omer Asik,24.3,CHI,Big,136,68,-4.1,85,-3.2,86,-3.3%,80,-22.0,78,-1.2,82,-15.8%,74,-25.7,79,-1.8,85,-5.4%,69,-18.0
J.J. Barea,26.3,DAL,Combo,384,7,+18.3,16,+3.6,69,-1.2%,17,+31.4,24,+1.0,46,+2.4%,21,+28.1,13,+2.5,71,-3.4%,16,+32.5
Matt Barnes,30.6,LAL,Wing,125,80,-8.4,59,-0.8,51,+0.0%,38,+3.5,81,-1.5,78,-13.4%,79,-31.0,36,+0.5,36,+2.1%,21,+20.3
Brandon Bass,25.5,ORL,Big,138,81,-9.2,88,-3.6,43,+0.6%,83,-24.0,98,-3.5,90,-21.3%,98,-82.5,45,-0.1,62,-1.9%,45,0.0
Shane Battier,32.1,MEM,Forward,337,38,+2.9,61,-0.9,71,-1.5%,54,-6.3,69,-0.7,55,-1.5%,78,-29.5,55,-0.6,74,-3.6%,50,-2.2
Nicolas Batum,21.9,POR,Forward,150,12,+14.1,13,+3.8,36,+1.4%,7,+43.8,6,+2.7,54,-0.4%,6,+84.4,26,+1.1,34,+2.4%,27,+15.7
Marco Belinelli,24.6,NOH,Wing,171,69,-4.2,76,-1.9,56,-0.3%,55,-7.1,67,-0.7,86,-18.0%,83,-37.5,62,-0.8,55,-0.7%,31,+12.5
