Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Precious Achiuwa,23.1,TOR,Big,1113,22,52.4%,48,49%,70,25%,40,2%,60,27%,72,11%,51,13%,53,24%
Steven Adams,29.3,MEM,Big,1132,62,59.7%,88,77%,58,22%,10,0%,44,22%,22,0%,0,0%,12,0%
Bam Adebayo,25.3,MIA,Big,2594,28,54.3%,31,40%,99,49%,87,10%,99,59%,0,0%,18,1%,14,1%
Ochai Agbaji,22.5,UTA,Combo,1159,67,54.4%,49,25%,33,17%,3,2%,10,19%,100,24%,45,31%,84,56%
Santi Aldama,21.8,MEM,Big,1625,42,56.5%,21,34%,36,16%,43,2%,32,19%,92,21%,77,27%,88,48%
Nickeil Alexander-Walker,24.2,MIN,Wing,353,27,50.4%,37,22%,32,13%,59,9%,35,21%,79,21%,66,35%,72,57%
Nickeil Alexander-Walker,24.2,UTA,Combo,486,93,59.2%,51,25%,36,18%,40,8%,31,26%,78,15%,60,34%,71,48%
Grayson Allen,27.1,MIL,Wing,1968,79,57.3%,45,25%,31,12%,11,1%,19,13%,51,14%,89,48%,84,62%
Jarrett Allen,24.5,CLE,Big,2212,85,64.7%,76,68%,74,26%,58,4%,72,30%,33,1%,18,0%,17,1%
Jose Alvarado,24.6,NOP,Point,1285,35,50.0%,70,28%,30,22%,11,2%,13,24%,91,15%,57,34%,63,48%
Kyle Anderson,29.1,MIN,Forward,1954,59,55.1%,64,34%,100,43%,41,4%,94,47%,28,10%,5,9%,5,19%
Giannis Antetokounmpo,27.9,MIL,Big,2021,47,57.2%,64,59%,44,19%,88,11%,72,30%,21,0%,47,11%,38,11%
Thanasis Antetokounmpo,30.3,MIL,Big,113,1,40.6%,73,66%,34,16%,46,3%,30,18%,64,8%,43,8%,45,16%
Cole Anthony,22.5,ORL,Point,1524,52,51.8%,39,21%,72,31%,87,17%,83,48%,22,3%,37,28%,28,31%
OG Anunoby,25.3,TOR,Wing,2385,67,55.7%,76,37%,50,17%,52,7%,49,24%,73,18%,22,21%,34,39%
Ryan Arcidiacono,28.6,POR,Point,127,0,34.5%,0,3%,41,24%,74,14%,54,38%,0,0%,100,59%,91,59%
Deni Avdija,21.8,WAS,Forward,1998,22,49.4%,80,41%,62,19%,34,4%,48,22%,27,10%,50,27%,35,37%
Deandre Ayton,24.3,PHX,Big,2033,59,59.3%,33,41%,97,41%,96,16%,98,57%,0,0%,28,3%,21,3%
Udoka Azubuike,23.1,UTA,Big,309,99,83.6%,89,78%,58,22%,0,0%,42,22%,0,0%,0,0%,0,0%
Marvin Bagley,23.6,DET,Big,978,35,55.7%,36,43%,92,36%,73,6%,90,42%,50,5%,48,11%,44,15%
Patrick Baldwin Jr.,20.0,GSW,Forward,156,90,59.9%,4,10%,26,10%,26,3%,19,13%,53,15%,99,62%,94,77%
LaMelo Ball,21.2,CHA,Point,1267,43,51.3%,48,23%,15,18%,43,8%,20,26%,63,7%,76,44%,76,51%
Mohamed Bamba,24.5,ORL,Big,658,62,59.5%,29,40%,10,9%,66,5%,14,14%,53,6%,94,41%,87,47%
Paolo Banchero,20.0,ORL,Forward,2428,10,46.5%,73,37%,82,25%,91,16%,88,42%,2,3%,31,19%,11,21%
Desmond Bane,24.4,MEM,Wing,1837,78,57.0%,56,30%,71,22%,51,7%,60,28%,14,7%,63,35%,41,41%
