Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Alex Abrines,23.3,OKC,Wing,976,42,-2.3,-6,77,+2.9,64,+0.5%,56,-0.1%,57,+0.4%,66,+1.1,13,+5.2,16,+2.1%,29,-0.7%,52,-0.1%,14,+3.5
Quincy Acy,26.1,BKN,Big,492,62,+1.4,+4,70,+2.0,41,-0.9%,26,+1.0%,85,+2.7%,98,+6.5,45,+0.6,38,+0.5%,98,+3.3%,11,+2.8%,2,+6.5
Steven Adams,23.3,OKC,Big,2381,86,+7.2,+19,77,+2.8,50,-0.4%,73,-0.7%,89,+3.4%,79,+2.5,86,-4.4,60,-0.5%,75,+0.9%,85,-2.3%,93,-4.7
Arron Afflalo,31.0,SAC,Wing,1576,21,-6.7,-16,46,-1.5,47,-0.5%,46,+0.2%,30,-1.6%,91,+4.1,14,+5.2,15,+2.2%,8,-1.9%,41,+0.4%,51,+0.1
Alexis Ajinca,28.5,NOP,Big,566,23,-6.1,-16,25,-4.5,24,-2.1%,65,-0.4%,54,+0.2%,27,-2.2,35,+1.6,66,-0.8%,18,-1.3%,7,+3.4%,55,-0.2
Cole Aldrich,28.0,MIN,Big,497,47,-1.5,-4,36,-3.1,68,+0.9%,39,+0.4%,48,-0.2%,6,-5.0,66,-1.6,34,+0.8%,59,+0.4%,85,-2.3%,44,+0.6
LaMarcus Aldridge,31.3,SAS,Big,2325,33,-4.0,-9,53,-0.3,18,-2.7%,99,-3.6%,45,-0.3%,39,-1.2,20,+3.7,31,+1.0%,11,-1.7%,64,-0.8%,47,+0.4
Lavoy Allen,27.7,IND,Big,829,14,-9.5,-24,31,-3.6,11,-3.8%,19,+1.3%,100,+10.3%,36,-1.5,10,+5.9,16,+2.1%,10,-1.8%,89,-2.8%,27,+2.3
Tony Allen,34.8,MEM,Wing,1906,59,+0.6,+2,53,-0.3,71,+1.0%,58,-0.2%,67,+1.1%,17,-3.3,59,-0.9,27,+1.2%,97,+2.6%,44,+0.3%,73,-1.9
Al-Farouq Aminu,26.1,POR,Big,1756,54,-0.2,-0,57,+0.0,56,+0.1%,96,-2.2%,3,-5.5%,81,+2.7,48,+0.2,50,+0.0%,44,-0.3%,77,-1.7%,72,-1.9
