Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Bam Adebayo,25.3,MIA,Big,925,84,23.1%,13,103.9,84,15.8%,66,0.68,42,13.8%
Nickeil Alexander-Walker,24.2,MIN,Wing,206,11,12.0%,78,125.0,33,10.2%,81,0.85,30,11.0%
Grayson Allen,27.1,MIL,Wing,149,7,11.9%,85,134.9,11,7.6%,48,0.64,52,9.5%
Jarrett Allen,24.5,CLE,Big,190,5,9.6%,71,120.5,66,9.5%,84,0.99,87,7.7%
Kyle Anderson,29.1,MIN,Forward,179,79,19.3%,26,105.6,100,30.2%,100,1.56,0,16.9%
Deandre Ayton,24.3,PHX,Big,319,61,16.1%,42,111.7,11,4.3%,3,0.27,34,14.5%
Desmond Bane,24.4,MEM,Wing,231,81,25.3%,44,110.2,67,14.0%,26,0.55,19,12.3%
Harrison Barnes,30.4,SAC,Forward,196,37,14.0%,32,105.6,11,3.8%,5,0.27,89,4.3%
RJ Barrett,22.4,NYK,Wing,375,78,25.1%,41,109.8,74,15.7%,44,0.62,22,11.8%
Saddiq Bey,23.6,ATL,Forward,166,26,13.8%,16,101.6,26,4.5%,26,0.33,95,3.5%
Bogdan Bogdanovic,30.2,ATL,Wing,182,30,15.4%,93,138.2,56,12.0%,74,0.78,93,4.4%
Devin Booker,26.0,PHX,Wing,458,96,30.0%,96,138.4,100,27.7%,89,0.92,44,10.3%
Christian Braun,21.5,DEN,Combo,243,6,11.0%,69,116.0,13,6.5%,25,0.59,6,17.4%
Mikal Bridges,26.2,BKN,Wing,157,93,29.9%,22,108.0,93,20.8%,56,0.70,59,8.4%
Malcolm Brogdon,29.9,BOS,Combo,466,75,22.6%,50,107.4,69,17.4%,44,0.77,75,8.2%
Dillon Brooks,26.8,MEM,Wing,167,70,21.2%,4,78.8,48,11.1%,22,0.52,63,8.4%
Bruce Brown,26.2,DEN,Wing,528,56,18.8%,67,120.8,41,10.7%,33,0.57,33,10.6%
