Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Alex Abrines,25.3,OKC,Wing,558,35,49.0%,73,51.7%,20,31.9%,0,92.3%,7,91%,15,80%,11,80%,39,95%
Quincy Acy,28.1,PHX,Big,102,0,25.0%,100,100.0%,0,13.3%,0,75.0%,0,100%,0,100%,0,0%,22,100%
Jaylen Adams,22.5,ATL,Point,395,13,45.5%,0,36.4%,33,33.3%,0,71.4%,9,59%,89,14%,54,20%,31,82%
Steven Adams,25.3,OKC,Big,2678,80,59.6%,72,59.6%,0,0.0%,1,49.8%,78,64%,63,63%,55,70%,0,0%
Bam Adebayo,21.3,MIA,Big,1876,71,58.3%,66,58.5%,0,33.3%,50,73.4%,60,70%,50,67%,32,80%,99,67%
Deng Adel,21.7,CLE,Forward,187,1,37.1%,1,33.3%,0,26.1%,0,100.0%,31,80%,100,0%,31,67%,0,100%
LaMarcus Aldridge,33.3,SAS,Big,2698,34,52.4%,35,52.8%,9,25.6%,93,84.7%,88,59%,69,61%,76,57%,93,90%
Rawle Alkins,21.0,CHI,Forward,108,4,39.7%,8,39.1%,0,27.3%,0,66.7%,42,75%,56,57%,0,100%,0,100%
Grayson Allen,23.1,UTA,Combo,322,49,49.6%,15,43.9%,59,36.2%,37,77.1%,10,68%,15,54%,29,33%,17,92%
Jarrett Allen,20.5,BKN,Big,2093,79,59.5%,86,62.9%,2,13.3%,35,70.8%,20,83%,8,82%,14,91%,22,100%
Kadeem Allen,25.8,NYK,Combo,377,66,51.6%,36,46.4%,97,45.2%,54,80.0%,75,37%,78,27%,83,16%,31,86%
Al-Farouq Aminu,28.1,POR,Big,2291,27,51.4%,27,51.4%,44,34.3%,95,86.7%,63,70%,91,53%,91,44%,22,100%
Justin Anderson,25.0,ATL,Wing,414,20,47.0%,31,45.6%,22,32.3%,0,63.6%,57,67%,71,50%,60,43%,35,95%
Kyle Anderson,25.1,MEM,Forward,1270,83,56.9%,92,58.8%,9,28.1%,0,56.5%,83,57%,52,59%,62,45%,0,100%
Ryan Anderson,30.5,PHX,Big,277,1,37.5%,10,46.2%,6,20.6%,0,78.6%,69,68%,77,57%,94,40%,22,100%
Giannis Antetokounmpo,23.9,MIL,Forward,2364,93,60.2%,97,64.0%,1,26.2%,38,72.5%,96,49%,82,50%,85,34%,96,69%
Carmelo Anthony,34.4,HOU,Forward,291,24,48.3%,39,49.1%,21,31.7%,0,68.2%,70,63%,87,42%,65,44%,72,90%
OG Anunoby,21.3,TOR,Forward,1293,62,53.8%,83,58.0%,35,33.2%,4,58.1%,62,69%,73,53%,92,31%,0,100%
Ryan Arcidiacono,24.6,CHI,Combo,1912,86,53.4%,76,52.0%,61,36.5%,87,87.2%,36,51%,56,38%,75,17%,32,86%
Trevor Ariza,33.3,PHX,Wing,883,34,48.9%,12,40.9%,57,36.0%,73,83.7%,44,74%,62,55%,95,0%,45,94%
Trevor Ariza,33.3,WAS,Wing,1463,49,50.4%,81,53.1%,23,32.3%,44,77.7%,40,77%,38,69%,49,50%,55,91%
D.J. Augustin,31.0,ORL,Point,2265,94,57.0%,74,51.0%,94,42.7%,91,86.6%,61,37%,70,23%,91,10%,67,64%
Deandre Ayton,20.3,PHX,Big,2182,72,58.5%,69,58.8%,0,0.0%,52,74.6%,55,71%,33,72%,58,70%,0,0%
Dwayne Bacon,23.2,CHA,Wing,651,77,54.5%,55,49.7%,94,42.7%,18,71.4%,65,65%,50,63%,47,55%,82,75%
Marvin Bagley,19.6,SAC,Big,1524,36,52.7%,40,53.6%,30,31.2%,34,69.8%,92,55%,93,52%,83,52%,94,90%
Lonzo Ball,21.0,LAL,Point,1401,44,49.0%,46,47.8%,35,33.5%,0,41.7%,19,56%,15,45%,22,30%,43,76%
Mohamed Bamba,20.5,ORL,Big,745,41,53.0%,58,56.0%,24,30.3%,4,55.6%,62,70%,75,58%,31,81%,82,95%
J.J. Barea,34.3,DAL,Combo,744,22,46.8%,47,47.2%,20,30.4%,13,69.7%,97,23%,95,17%,81,16%,98,45%
Harrison Barnes,26.4,SAC,Forward,948,75,54.7%,41,49.2%,87,41.7%,72,80.0%,63,66%,28,71%,77,37%,79,85%
Harrison Barnes,26.4,DAL,Forward,1569,28,48.9%,13,41.7%,81,39.2%,82,83.3%,65,65%,63,55%,76,38%,75,88%
Will Barton,27.8,DEN,Wing,1189,25,47.8%,26,44.7%,44,34.7%,41,77.0%,78,58%,62,55%,70,35%,79,79%
Keita Bates-Diop,22.8,MIN,Wing,454,43,50.0%,88,55.0%,9,27.3%,0,57.1%,38,79%,21,76%,41,60%,1,100%
Nicolas Batum,29.9,CHA,Wing,2338,84,55.5%,72,51.7%,81,39.2%,86,86.5%,59,67%,60,57%,54,49%,76,83%
Jerryd Bayless,30.2,MIN,Point,637,2,42.4%,2,39.7%,13,30.4%,7,57.1%,30,45%,37,35%,31,27%,54,71%
Aron Baynes,31.9,BOS,Big,810,31,52.0%,28,51.9%,51,35.0%,94,85.0%,50,73%,65,62%,31,81%,22,100%
Kent Bazemore,29.3,ATL,Wing,1639,26,47.9%,40,46.6%,29,33.0%,22,72.2%,74,61%,77,48%,56,47%,72,84%
Bradley Beal,25.3,WAS,Wing,3025,75,54.1%,87,54.8%,51,35.1%,57,80.6%,84,50%,75,50%,77,31%,87,72%
Malik Beasley,21.9,DEN,Wing,1789,96,59.4%,91,55.6%,92,41.7%,83,85.7%,15,86%,14,80%,27,67%,26,98%
Michael Beasley,29.8,LAL,Big,254,39,52.9%,51,55.3%,0,21.4%,37,71.1%,97,51%,82,56%,99,30%,22,100%
Marco Belinelli,32.6,SAS,Wing,1796,67,52.6%,40,46.7%,73,38.1%,99,90.0%,26,82%,23,76%,13,79%,69,86%
Jordan Bell,23.8,GSW,Big,615,54,55.2%,56,55.6%,0,0.0%,8,58.3%,21,83%,14,78%,10,94%,0,0%
DeAndre' Bembry,24.3,ATL,Wing,1873,33,48.8%,65,50.3%,14,29.6%,5,64.6%,79,57%,69,52%,83,26%,32,96%
Dragan Bender,21.0,PHX,Big,776,19,50.5%,97,70.0%,7,21.3%,6,56.0%,35,78%,42,70%,19,86%,22,100%
Dairis Bertans,29.1,NOP,Wing,150,4,36.4%,0,9.1%,16,30.3%,0,0.0%,5,91%,0,0%,95,0%,1,100%
