Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Kyle Anderson,27.1,MEM,Forward,213,94,-14.0,85,-8.2,42,+2.2%,32,-1.3%,42,+1.6,50,+0.4,43,+6.6
Giannis Antetokounmpo,25.9,MIL,Big,792,88,-11.0,69,-4.9,83,-6.9%,74,+1.8%,86,-9.9,81,-4.6,86,-33.4
Carmelo Anthony,36.4,POR,Forward,143,5,+19.0,6,+14.7,46,+1.2%,10,-4.2%,64,-2.4,41,+1.4,74,-21.7
Nicolas Batum,31.9,LAC,Wing,554,62,-3.0,62,-3.3,19,+4.9%,13,-3.7%,37,+3.2,12,+6.4,78,-25.6
Bradley Beal,27.3,WAS,Wing,258,2,+23.0,5,+15.6,33,+2.9%,6,-5.6%,28,+5.6,33,+2.5,28,+16.8
Davis Bertans,28.0,WAS,Forward,150,13,+11.2,10,+12.9,16,+5.5%,66,+1.0%,69,-4.3,39,+1.7,87,-34.8
Patrick Beverley,32.3,LAC,Combo,314,52,-1.3,28,+4.9,81,-5.9%,89,+4.0%,90,-11.2,78,-4.3,94,-41.8
Bojan Bogdanovic,31.5,UTA,Forward,389,21,+6.2,13,+11.7,26,+3.9%,76,+2.0%,21,+6.9,30,+2.8,24,+22.2
Devin Booker,24.0,PHX,Wing,887,82,-9.0,65,-3.9,79,-4.9%,87,+3.8%,74,-6.1,78,-4.3,58,-8.3
Reggie Bullock,29.6,NYK,Wing,162,62,-2.9,43,+0.4,0,+16.9%,30,-1.5%,17,+8.3,2,+11.4,71,-20.8
Alec Burks,29.3,NYK,Wing,127,50,-0.9,90,-10.4,85,-7.4%,93,+4.7%,66,-3.0,88,-6.6,27,+18.3
Jimmy Butler,31.1,MIA,Wing,150,0,+34.7,0,+28.7,31,+3.3%,11,-3.9%,10,+11.6,8,+7.2,37,+9.7
Kentavious Caldwell-Pope,27.7,LAL,Wing,178,24,+4.8,36,+2.3,6,+8.9%,83,+2.9%,13,+10.7,6,+8.3,45,+4.8
Clint Capela,26.5,ATL,Big,568,80,-8.3,40,+1.2,94,-11.7%,54,+0.4%,91,-11.6,90,-7.2,66,-16.1
Jordan Clarkson,28.4,UTA,Combo,296,23,+4.8,39,+1.4,61,-1.0%,25,-2.0%,90,-11.5,69,-1.9,97,-55.0
Mike Conley,33.1,UTA,Point,175,63,-3.0,64,-3.8,30,+3.6%,70,+1.4%,45,+0.8,44,+0.9,52,-0.9
Pat Connaughton,27.8,MIL,Wing,526,17,+9.8,22,+7.3,43,+1.9%,45,-0.3%,39,+2.8,40,+1.5,41,+8.3
Robert Covington,29.9,POR,Big,228,98,-19.9,99,-19.3,48,+0.9%,20,-2.6%,2,+16.0,14,+6.2,9,+45.8
Jae Crowder,30.3,PHX,Forward,728,70,-4.6,74,-5.3,68,-3.1%,56,+0.4%,70,-4.5,74,-2.8,59,-10.4
Seth Curry,30.2,PHI,Wing,381,20,+6.4,14,+11.1,87,-9.2%,94,+5.2%,76,-6.3,84,-5.2,46,+4.5
Anthony Davis,27.6,LAL,Big,186,55,-1.9,42,+0.5,42,+2.0%,17,-3.0%,14,+10.2,23,+4.6,16,+32.0
Goran Dragic,34.5,MIA,Point,111,98,-19.3,100,-21.9,96,-13.8%,96,+5.6%,61,-1.6,98,-12.0,6,+51.0
Andre Drummond,27.2,LAL,Big,121,70,-5.1,86,-8.3,59,-0.8%,22,-2.3%,4,+13.7,29,+2.9,1,+64.6
Kevin Durant,32.1,BKN,Forward,477,9,+13.3,12,+11.8,78,-4.8%,82,+2.8%,96,-14.9,82,-5.0,85,-33.4
Joel Embiid,26.6,PHI,Big,356,74,-5.9,48,-0.9,93,-11.4%,99,+8.8%,98,-17.5,93,-8.4,88,-36.5
Derrick Favors,29.3,UTA,Big,144,12,+12.6,7,+14.6,29,+3.6%,82,+2.9%,46,+0.8,35,+2.3,64,-13.6
Dorian Finney-Smith,27.5,DAL,Forward,269,95,-18.4,98,-17.9,86,-8.8%,74,+1.8%,82,-7.5,80,-4.5,66,-14.3
Bryn Forbes,27.3,MIL,Combo,256,15,+10.3,17,+9.9,14,+5.7%,18,-2.8%,58,-1.4,22,+4.6,91,-40.9
Evan Fournier,28.0,BOS,Wing,200,6,+16.7,2,+21.3,90,-10.2%,35,-1.1%,9,+11.8,65,-1.2,2,+60.7
Danilo Gallinari,32.2,ATL,Big,441,27,+4.3,77,-6.0,38,+2.6%,52,+0.2%,6,+12.4,17,+5.4,14,+36.0
Paul George,30.5,LAC,Forward,776,30,+3.3,26,+5.5,17,+5.3%,33,-1.3%,26,+6.0,9,+7.2,62,-12.4
Taj Gibson,35.4,NYK,Big,137,90,-11.1,87,-8.7,56,-0.6%,88,+3.9%,78,-6.7,76,-4.0,73,-20.9
Rudy Gobert,28.4,UTA,Big,375,91,-12.0,98,-14.6,72,-3.6%,18,-2.9%,57,-0.8,71,-2.3,33,+13.6
Aaron Gordon,25.1,DEN,Forward,298,54,-1.7,42,+0.4,67,-2.9%,53,+0.2%,46,+0.8,36,+2.1,58,-8.2
Danny Green,33.4,PHI,Forward,198,18,+8.5,10,+13.6,55,-0.5%,81,+2.5%,60,-1.5,55,-0.1,57,-7.1
JaMychal Green,30.4,DEN,Big,186,72,-5.7,76,-5.9,32,+3.0%,50,+0.0%,38,+2.9,59,-0.8,22,+24.3
Jeff Green,34.2,BKN,Big,147,84,-9.3,84,-7.9,88,-9.3%,73,+1.6%,81,-7.5,79,-4.4,67,-17.1
Blake Griffin,31.6,BKN,Big,317,64,-3.4,44,+0.3,52,-0.1%,7,-5.0%,65,-2.8,34,+2.5,79,-26.2
Tim Hardaway Jr.,28.6,DAL,Wing,261,93,-13.9,94,-12.2,36,+2.7%,58,+0.5%,16,+8.3,24,+3.3,13,+37.3
James Harden,31.2,BKN,Point,311,11,+12.7,9,+13.7,5,+10.2%,21,-2.4%,27,+5.7,5,+8.5,70,-18.4
Joe Harris,29.2,BKN,Wing,423,30,+3.6,3,+18.2,62,-1.4%,67,+1.1%,79,-7.3,58,-0.7,84,-33.2
Tobias Harris,28.3,PHI,Forward,436,10,+12.8,6,+15.2,60,-1.0%,38,-0.7%,48,+0.7,42,+1.1,53,-3.5
George Hill,34.5,PHI,Combo,203,82,-8.8,94,-12.3,11,+6.2%,16,-3.1%,54,-0.5,37,+1.8,70,-19.5
Solomon Hill,29.6,ATL,Forward,138,18,+7.0,18,+9.2,44,+1.9%,49,-0.1%,83,-8.2,66,-1.6,89,-37.4
Jrue Holiday,30.4,MIL,Combo,900,75,-7.3,90,-10.0,39,+2.5%,51,+0.0%,34,+3.7,38,+1.8,29,+16.2
Dwight Howard,34.9,PHI,Big,143,37,+2.2,61,-2.9,4,+11.0%,3,-6.7%,5,+12.5,14,+6.2,23,+22.5
