Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Ray Allen,37.3,MIA,Wing,565,79,54.5%,59,45.2%,71,41.1%,73,86.0%,34,72%,38,50%,55,47%,55,92%
Tony Allen,30.8,MEM,Wing,420,17,43.1%,52,44.4%,0,14.3%,36,75.9%,79,51%,38,50%,52,50%,0,100%
Chris Andersen,34.3,MIA,Big,298,100,80.4%,100,80.4%,0,0.0%,44,72.7%,50,71%,41,71%,34,75%,0,0%
Carmelo Anthony,28.4,NYK,Forward,480,15,43.3%,15,42.9%,25,30.4%,100,88.5%,85,34%,85,31%,85,27%,77,71%
Darrell Arthur,24.6,MEM,Big,173,34,47.2%,55,49.0%,0,0.0%,0,88.9%,30,76%,84,50%,23,88%,0,0%
Omer Asik,26.3,HOU,Big,207,77,56.4%,80,56.4%,0,0.0%,13,63.8%,41,73%,30,76%,95,0%,0,0%
D.J. Augustin,25.0,IND,Point,308,75,50.7%,19,34.8%,77,39.1%,40,79.3%,6,69%,100,0%,0,67%,38,89%
Harrison Barnes,20.4,GSW,Wing,459,59,50.3%,69,47.7%,64,37.3%,64,85.7%,52,66%,21,67%,69,40%,0,100%
Matt Barnes,32.6,LAC,Wing,160,97,64.0%,100,63.0%,79,43.8%,0,84.2%,38,71%,28,57%,31,67%,0,100%
Brandon Bass,27.5,BOS,Big,201,48,48.1%,50,48.1%,0,0.0%,0,80.0%,70,62%,73,57%,57,67%,0,0%
Shane Battier,34.1,MIA,Forward,375,31,43.5%,0,25.0%,17,29.6%,57,82.1%,0,100%,0,100%,0,0%,8,100%
Jerryd Bayless,24.2,MEM,Combo,313,15,42.4%,8,38.2%,50,32.1%,0,86.4%,31,53%,23,60%,69,25%,54,89%
Marco Belinelli,26.6,CHI,Wing,314,48,48.5%,62,46.4%,39,34.1%,82,87.5%,59,63%,62,47%,76,36%,0,100%
