Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Kyle Anderson,29.1,MIN,Forward,179,19,-3.6%,3,-7.7%,86,+5.0%,49,+0.3%,84,+5.3%,95,+4.8%,31,-2.4%,73,+2.4%
Harrison Barnes,30.4,SAC,Forward,196,1,-10.4%,91,+6.2%,95,+6.7%,52,+0.4%,92,+7.1%,8,-4.4%,5,-8.9%,3,-13.3%
Devin Booker,26.0,PHX,Wing,458,97,+11.2%,83,+4.2%,25,-2.9%,37,-0.5%,25,-3.4%,91,+4.1%,15,-4.9%,45,-0.8%
Malcolm Brogdon,29.9,BOS,Combo,466,77,+3.3%,46,-0.3%,59,+1.1%,32,-0.7%,52,+0.4%,20,-2.1%,70,+2.1%,54,-0.1%
Jaylen Brown,26.0,BOS,Wing,748,9,-5.7%,83,+4.4%,64,+1.7%,71,+1.4%,72,+3.2%,38,-0.9%,8,-6.7%,9,-7.6%
Jimmy Butler,33.1,MIA,Forward,955,4,-7.9%,43,-0.5%,87,+5.0%,83,+2.5%,93,+7.6%,88,+3.0%,4,-10.2%,12,-7.1%
Kentavious Caldwell-Pope,29.7,DEN,Combo,664,18,-4.0%,33,-1.7%,31,-2.3%,63,+1.2%,40,-1.1%,45,-0.2%,75,+3.1%,78,+2.9%
Clint Capela,28.5,ATL,Big,179,29,-2.1%,53,+0.6%,70,+2.0%,41,-0.1%,62,+1.8%,88,+3.0%,13,-5.4%,28,-2.4%
Mike Conley,35.1,MIN,Point,255,86,+6.6%,86,+5.2%,30,-2.4%,48,+0.2%,33,-2.1%,4,-5.0%,68,+1.9%,26,-3.1%
Stephen Curry,34.6,GSW,Point,491,94,+9.5%,28,-2.2%,54,+0.6%,88,+3.2%,76,+3.8%,82,+2.3%,19,-3.8%,38,-1.5%
Anthony Davis,29.6,LAL,Big,650,79,+3.6%,63,+1.8%,97,+7.9%,81,+2.2%,98,+10.1%,69,+1.1%,1,-13.0%,5,-11.9%
Spencer Dinwiddie,29.6,BKN,Point,159,88,+7.4%,38,-1.2%,10,-5.9%,97,+4.9%,44,-1.0%,25,-1.7%,81,+3.8%,71,+2.2%
Kevin Durant,34.1,PHX,Big,465,89,+7.7%,65,+1.9%,63,+1.5%,76,+1.9%,73,+3.4%,7,-4.5%,48,-0.8%,16,-5.3%
Joel Embiid,28.6,PHI,Big,335,49,+0.6%,90,+6.1%,0,-12.7%,66,+1.3%,1,-11.5%,100,+8.1%,29,-2.7%,88,+5.3%
Dorian Finney-Smith,29.5,BKN,Big,100,74,+3.2%,4,-6.7%,88,+5.3%,79,+2.1%,93,+7.4%,37,-0.9%,58,+0.2%,46,-0.7%
Rudy Gobert,30.3,MIN,Big,209,98,+11.3%,98,+10.6%,4,-7.2%,74,+1.6%,13,-5.5%,57,+0.3%,13,-5.4%,18,-5.1%
Aaron Gordon,27.1,DEN,Forward,706,63,+1.7%,8,-6.2%,78,+3.5%,64,+1.2%,79,+4.7%,33,-1.1%,73,+2.6%,68,+1.5%
Eric Gordon,33.9,LAC,Wing,149,31,-1.9%,81,+3.9%,50,+0.2%,58,+0.6%,53,+0.8%,44,-0.2%,16,-4.4%,18,-4.7%
Draymond Green,32.7,GSW,Big,365,41,-0.9%,68,+2.5%,34,-2.0%,70,+1.4%,47,-0.6%,52,+0.2%,37,-2.0%,33,-1.9%
Jeff Green,36.2,DEN,Big,341,67,+2.2%,61,+1.5%,39,-1.2%,23,-1.5%,30,-2.7%,68,+1.1%,57,+0.1%,66,+1.2%
James Harden,33.2,PHI,Point,425,6,-7.2%,93,+6.6%,9,-6.0%,85,+2.7%,26,-3.3%,36,-1.0%,32,-2.4%,23,-3.4%
Tobias Harris,30.3,PHI,Forward,390,33,-1.9%,11,-4.8%,67,+1.9%,95,+4.5%,88,+6.3%,79,+2.1%,20,-3.6%,38,-1.5%
Jrue Holiday,32.4,MIL,Point,190,73,+3.0%,28,-2.1%,27,-2.6%,86,+2.7%,50,+0.2%,27,-1.5%,78,+3.4%,70,+1.9%
Al Horford,36.4,BOS,Big,615,18,-3.6%,69,+2.7%,23,-3.4%,50,+0.3%,27,-3.1%,84,+2.4%,38,-2.0%,58,+0.4%
LeBron James,37.8,LAL,Big,664,81,+4.9%,72,+2.7%,16,-4.6%,6,-3.8%,6,-8.4%,53,+0.2%,93,+5.5%,91,+5.7%
Nikola Jokic,27.7,DEN,Big,782,43,-0.3%,68,+2.1%,71,+2.0%,33,-0.7%,57,+1.3%,48,-0.1%,23,-3.4%,23,-3.5%
Tyus Jones,26.5,MEM,Combo,120,13,-4.8%,1,-9.5%,83,+4.7%,54,+0.4%,83,+5.2%,55,+0.3%,82,+4.0%,85,+4.3%
Caris LeVert,28.2,CLE,Wing,167,39,-1.3%,2,-9.0%,94,+6.5%,17,-2.0%,78,+4.5%,73,+1.5%,74,+3.0%,87,+4.5%
