Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Bam Adebayo,25.3,MIA,Big,925,24,1.0%,53,1.2%,71,3.0%,47,7.6%,61,19.6%,0,0.0%,42,23.3%
Nickeil Alexander-Walker,24.2,MIN,Wing,206,67,0.7%,63,1.5%,63,3.1%,11,0.5%,15,7.9%,0,0.0%,0,0.0%
Grayson Allen,27.1,MIL,Wing,149,0,0.0%,11,0.6%,96,2.0%,15,0.6%,11,7.4%,0,0.0%,52,11.1%
Jarrett Allen,24.5,CLE,Big,190,47,1.4%,42,1.0%,84,2.5%,58,8.6%,24,11.6%,0,0.0%,13,10.0%
Kyle Anderson,29.1,MIN,Forward,179,100,2.0%,100,2.8%,21,4.3%,26,2.9%,47,11.3%,0,0.0%,89,25.0%
Deandre Ayton,24.3,PHX,Big,319,34,1.1%,32,0.8%,34,4.1%,74,9.9%,63,20.1%,0,0.0%,87,53.8%
Desmond Bane,24.4,MEM,Wing,231,0,0.0%,4,0.5%,48,3.3%,67,2.8%,48,10.8%,0,0.0%,93,40.0%
Harrison Barnes,30.4,SAC,Forward,196,37,0.5%,84,1.6%,95,1.0%,58,4.4%,16,6.8%,0,0.0%,0,0.0%
RJ Barrett,22.4,NYK,Wing,375,15,0.3%,52,1.1%,85,2.6%,37,1.4%,70,11.5%,0,0.0%,63,14.3%
Saddiq Bey,23.6,ATL,Forward,166,11,0.3%,26,0.7%,100,1.0%,89,6.0%,58,12.4%,0,0.0%,58,11.1%
Bogdan Bogdanovic,30.2,ATL,Wing,182,93,1.4%,81,1.8%,33,3.9%,30,1.0%,26,8.5%,0,0.0%,89,36.4%
Devin Booker,26.0,PHX,Wing,458,78,1.0%,85,1.8%,44,3.4%,59,2.7%,37,9.3%,93,5.0%,0,0.0%
Christian Braun,21.5,DEN,Combo,243,81,0.8%,88,2.1%,0,5.4%,100,6.0%,56,9.2%,0,0.0%,100,18.2%
Mikal Bridges,26.2,BKN,Wing,157,59,0.7%,22,0.6%,100,1.6%,33,1.4%,74,12.6%,0,0.0%,0,0.0%
Malcolm Brogdon,29.9,BOS,Combo,466,56,0.5%,0,0.3%,69,2.8%,69,3.1%,63,10.8%,0,0.0%,56,7.1%
Dillon Brooks,26.8,MEM,Wing,167,0,0.0%,0,0.3%,7,4.6%,41,1.6%,30,8.9%,0,0.0%,63,14.3%
Bruce Brown,26.2,DEN,Wing,528,74,0.9%,78,1.8%,22,4.1%,74,3.3%,78,12.8%,0,0.0%,0,0.0%
Jaylen Brown,26.0,BOS,Wing,748,48,0.5%,59,1.3%,59,3.1%,78,3.3%,52,10.9%,100,6.9%,74,22.7%
Troy Brown,23.3,LAL,Forward,117,26,0.4%,79,1.5%,89,1.1%,16,2.5%,53,12.2%,0,0.0%,0,0.0%
Jalen Brunson,26.2,NYK,Point,442,0,0.1%,31,1.5%,63,2.5%,44,1.9%,56,10.2%,100,2.8%,69,12.5%
Jimmy Butler,33.1,MIA,Forward,955,79,0.8%,95,2.0%,84,1.6%,79,5.2%,42,11.1%,0,0.0%,68,11.3%
Kentavious Caldwell-Pope,29.7,DEN,Combo,664,88,1.0%,56,1.7%,50,2.9%,44,2.1%,44,7.8%,94,3.8%,50,5.0%
Clint Capela,28.5,ATL,Big,179,50,1.4%,68,1.4%,100,0.9%,84,11.7%,84,25.4%,0,0.0%,95,75.0%
Nicolas Claxton,23.5,BKN,Big,116,89,3.0%,0,0.4%,74,3.0%,26,5.2%,68,21.1%,0,0.0%,100,0.0%
John Collins,25.1,ATL,Big,186,66,1.6%,5,0.4%,82,2.7%,11,4.5%,16,10.8%,84,6.7%,0,0.0%
Mike Conley,35.1,MIN,Point,255,38,0.4%,50,1.6%,75,2.3%,25,0.9%,19,7.2%,0,0.0%,0,0.0%
Torrey Craig,31.9,PHX,Forward,177,5,0.3%,74,1.2%,0,5.2%,53,4.3%,21,8.6%,0,0.0%,95,50.0%
Stephen Curry,34.6,GSW,Point,491,63,0.6%,13,1.1%,56,2.6%,38,1.7%,63,11.5%,0,0.0%,44,4.0%
Anthony Davis,29.6,LAL,Big,650,100,4.0%,76,1.6%,79,2.8%,50,7.7%,92,26.8%,0,0.0%,24,16.7%
Donte DiVincenzo,25.7,GSW,Wing,207,33,0.5%,100,2.2%,52,3.2%,93,5.0%,67,11.3%,0,0.0%,41,6.7%
Spencer Dinwiddie,29.6,BKN,Point,159,19,0.3%,44,1.6%,88,2.2%,13,0.7%,25,7.4%,0,0.0%,0,0.0%
Kevin Durant,34.1,PHX,Big,465,63,1.6%,34,0.9%,87,2.5%,0,1.7%,58,19.5%,0,0.0%,18,15.0%
Anthony Edwards,21.2,MIN,Wing,279,100,2.6%,89,2.0%,70,2.8%,48,2.1%,89,13.9%,0,0.0%,0,0.0%
Joel Embiid,28.6,PHI,Big,335,97,4.0%,26,0.8%,68,3.2%,21,4.9%,76,21.7%,0,0.0%,37,23.1%
Dorian Finney-Smith,29.5,BKN,Big,100,26,1.0%,71,1.5%,58,3.6%,29,5.6%,13,10.7%,97,20.0%,97,100.0%
De'Aaron Fox,24.9,SAC,Point,269,75,0.7%,88,2.1%,31,2.9%,94,4.1%,31,8.2%,0,0.0%,88,18.8%
Darius Garland,22.8,CLE,Point,188,13,0.3%,81,2.0%,19,3.4%,0,0.0%,0,4.4%,0,0.0%,56,8.3%
Rudy Gobert,30.3,MIN,Big,209,42,1.2%,3,0.4%,18,4.7%,87,12.1%,71,21.3%,89,9.1%,92,66.7%
Aaron Gordon,27.1,DEN,Forward,706,84,0.9%,21,0.7%,47,3.3%,100,7.6%,26,10.0%,0,0.0%,42,3.8%
Eric Gordon,33.9,LAC,Wing,149,56,0.7%,37,0.9%,41,3.4%,19,0.7%,0,4.6%,0,0.0%,0,0.0%
Draymond Green,32.7,GSW,Big,365,61,1.6%,92,1.9%,16,4.7%,13,4.6%,32,15.4%,82,4.5%,37,23.1%
Jeff Green,36.2,DEN,Big,341,29,1.1%,18,0.7%,11,5.5%,3,2.2%,0,7.7%,0,0.0%,11,5.9%
Quentin Grimes,22.5,NYK,Wing,240,81,1.1%,70,1.7%,74,2.8%,26,0.9%,33,8.9%,89,4.8%,0,0.0%
Rui Hachimura,24.7,LAL,Forward,408,47,0.5%,37,0.8%,68,2.3%,11,2.4%,37,11.0%,84,4.3%,47,5.6%
James Harden,33.2,PHI,Point,425,44,0.5%,100,2.1%,38,2.7%,31,1.4%,88,15.3%,0,0.0%,94,26.7%
Tobias Harris,30.3,PHI,Forward,390,74,0.8%,42,0.8%,63,2.9%,47,4.3%,89,16.6%,0,0.0%,74,21.4%
Josh Hart,27.7,NYK,Wing,352,37,0.5%,56,1.1%,19,4.2%,96,5.3%,96,18.4%,0,0.0%,44,7.7%
Isaiah Hartenstein,24.5,NYK,Big,213,92,3.8%,95,1.9%,8,5.6%,82,11.1%,26,11.8%,0,0.0%,26,18.2%
Haywood Highsmith,25.9,MIA,Big,144,11,0.8%,100,3.3%,5,5.9%,37,6.9%,5,8.7%,0,0.0%,0,0.0%
Jrue Holiday,32.4,MIL,Point,190,50,0.5%,19,1.1%,69,2.4%,69,2.1%,100,15.8%,0,0.0%,81,18.2%
Al Horford,36.4,BOS,Big,615,84,2.9%,79,1.6%,66,3.2%,24,5.1%,50,18.3%,0,0.0%,29,18.8%
Kevin Huerter,24.2,SAC,Wing,184,96,2.3%,26,0.6%,0,4.9%,7,0.4%,85,13.2%,0,0.0%,70,18.2%
DeAndre Hunter,24.9,ATL,Forward,246,32,0.4%,11,0.7%,32,3.8%,32,2.9%,74,13.7%,0,0.0%,58,11.1%
Jaren Jackson,23.1,MEM,Big,220,79,2.7%,50,1.1%,45,3.8%,53,8.1%,18,10.8%,0,0.0%,53,30.0%
LeBron James,37.8,LAL,Big,664,55,1.5%,61,1.2%,97,2.2%,8,4.2%,53,18.8%,0,0.0%,84,52.2%
Cameron Johnson,26.7,BKN,Forward,151,21,0.3%,47,1.0%,58,2.9%,5,2.1%,63,13.0%,0,0.0%,0,0.0%
Nikola Jokic,27.7,DEN,Big,782,45,1.3%,55,1.2%,76,2.9%,71,9.7%,87,26.0%,0,0.0%,50,26.9%
Tyus Jones,26.5,MEM,Combo,120,0,0.0%,100,2.9%,88,1.8%,50,2.1%,75,11.0%,0,0.0%,94,16.7%
Luke Kennard,26.4,MEM,Combo,106,0,0.0%,44,1.6%,38,3.1%,75,3.4%,94,14.0%,100,25.0%,0,0.0%
Jock Landale,27.0,PHX,Big,106,53,1.5%,63,1.3%,3,6.5%,63,9.1%,45,16.7%,0,0.0%,55,33.3%
Caris LeVert,28.2,CLE,Wing,167,19,0.3%,7,0.6%,67,2.8%,56,2.6%,59,11.3%,0,0.0%,48,9.1%
Kevon Looney,26.7,GSW,Big,324,8,0.7%,45,1.0%,37,4.1%,95,16.1%,97,29.6%,95,17.6%,76,42.1%
Brook Lopez,34.6,MIL,Big,181,76,2.5%,82,1.6%,92,2.3%,42,7.4%,8,9.8%,92,10.0%,32,22.2%
Kevin Love,34.1,MIA,Big,372,16,1.0%,58,1.2%,29,4.3%,5,3.9%,89,26.7%,0,0.0%,68,40.0%
Kyle Lowry,36.6,MIA,Point,633,94,1.2%,69,1.8%,0,4.3%,50,2.0%,75,13.1%,0,0.0%,50,4.3%
Trey Lyles,27.0,SAC,Big,117,0,0.0%,16,0.7%,53,3.7%,45,7.5%,74,21.4%,0,0.0%,89,60.0%
Terance Mann,26.0,LAC,Combo,132,44,0.4%,31,1.3%,6,5.1%,88,5.2%,19,6.8%,0,0.0%,88,12.5%
Caleb Martin,27.1,MIA,Forward,737,63,0.7%,63,1.2%,42,3.4%,42,3.9%,68,13.4%,79,3.1%,84,24.5%
Tyrese Maxey,22.0,PHI,Combo,419,69,0.6%,50,1.6%,63,2.8%,56,2.2%,81,11.3%,0,0.0%,0,0.0%
De'Anthony Melton,24.4,PHI,Combo,269,100,1.8%,81,2.0%,31,3.4%,94,5.2%,50,8.4%,0,0.0%,63,7.7%
Khris Middleton,31.2,MIL,Forward,173,0,0.0%,32,0.7%,53,3.2%,63,4.4%,84,15.2%,0,0.0%,0,0.0%
Davion Mitchell,24.2,SAC,Combo,138,38,0.3%,69,1.7%,94,1.7%,25,1.8%,6,4.0%,0,0.0%,0,0.0%
Donovan Mitchell,26.1,CLE,Combo,206,75,0.8%,94,2.3%,44,3.0%,19,1.7%,69,10.9%,0,0.0%,0,0.0%
Evan Mobley,21.4,CLE,Big,187,68,1.7%,21,0.7%,63,3.2%,61,8.8%,34,15.9%,0,0.0%,66,38.5%
