Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Jeff Adrien,24.7,GSW,Big,159,81,+1.9%,73,+1.9%,75,+2.8%,26,-2.4%,47,-0.3%,22,-5.2%,88,+4.6%,66,+1.3%
Arron Afflalo,25.0,DEN,Wing,2270,61,+0.5%,38,-1.1%,98,+9.6%,78,+2.4%,97,+4.7%,38,-2.1%,44,-0.7%,44,-0.9%
Alexis Ajinca,22.5,TOR,Big,240,84,+2.2%,22,-2.8%,100,+15.7%,22,-2.8%,85,+2.7%,100,+23.0%,66,+1.4%,93,+5.6%
Cole Aldrich,22.0,OKC,Big,101,98,+4.9%,84,+3.4%,56,+0.2%,4,-7.0%,7,-4.3%,93,+10.1%,99,+14.0%,99,+12.7%
LaMarcus Aldridge,25.3,POR,Big,3202,90,+3.1%,97,+6.1%,12,-4.4%,94,+5.3%,72,+1.5%,59,+1.6%,77,+2.9%,73,+2.2%
Malik Allen,32.3,ORL,Big,159,0,-8.6%,73,+1.8%,6,-5.8%,0,-14.9%,0,-11.1%,24,-4.6%,28,-2.9%,21,-3.4%
Ray Allen,35.3,BOS,Wing,2883,97,+4.8%,64,+1.1%,81,+3.4%,75,+2.0%,84,+2.6%,90,+7.9%,98,+10.9%,99,+10.7%
Tony Allen,28.8,MEM,Combo,1474,41,-0.8%,47,-0.4%,33,-2.0%,28,-2.2%,24,-2.1%,21,-5.4%,11,-5.4%,9,-5.4%
Al-Farouq Aminu,20.1,LAC,Wing,1391,13,-3.1%,12,-4.1%,49,-0.1%,10,-4.8%,17,-2.8%,35,-2.7%,34,-2.1%,30,-2.1%
Lou Amundson,27.9,GSW,Big,664,4,-5.5%,7,-5.9%,27,-2.3%,21,-3.0%,16,-2.8%,5,-11.7%,21,-3.9%,7,-6.3%
Chris Andersen,32.3,DEN,Big,708,4,-5.3%,10,-4.6%,1,-9.9%,13,-4.1%,2,-6.2%,21,-5.3%,13,-5.1%,10,-5.2%
David Andersen,30.4,TOR,Big,140,93,+3.5%,9,-5.0%,98,+8.1%,98,+8.5%,100,+8.1%,87,+6.8%,86,+4.1%,89,+4.5%
David Andersen,30.4,NOH,Big,191,85,+2.4%,6,-6.8%,100,+14.2%,73,+1.8%,98,+6.5%,98,+15.1%,35,-1.9%,83,+3.1%
James Anderson,21.6,SAS,Wing,268,18,-2.6%,0,-15.5%,60,+0.8%,99,+10.5%,98,+5.7%,80,+5.2%,17,-4.5%,45,-0.7%
Ryan Anderson,22.5,ORL,Big,1342,41,-0.8%,37,-1.2%,19,-3.3%,51,+0.1%,29,-1.5%,15,-6.8%,37,-1.6%,24,-2.9%
Carmelo Anthony,26.4,DEN,Forward,1762,46,-0.5%,57,+0.3%,86,+4.2%,11,-4.4%,46,-0.4%,72,+3.5%,70,+2.0%,76,+2.4%
Carmelo Anthony,26.4,NYK,Wing,975,41,-0.7%,20,-3.0%,71,+2.2%,83,+2.9%,85,+2.7%,62,+2.0%,28,-2.9%,36,-1.6%
Joel Anthony,28.2,MIA,Big,1410,26,-1.9%,67,+1.4%,43,-0.9%,39,-0.8%,39,-0.9%,36,-2.4%,19,-4.1%,18,-3.8%
Gilbert Arenas,28.8,WAS,Combo,708,83,+2.1%,43,-0.8%,70,+2.0%,89,+4.2%,90,+3.3%,99,+17.4%,51,0.0%,90,+4.9%
Gilbert Arenas,28.8,ORL,Combo,1027,59,+0.4%,36,-1.3%,66,+1.6%,96,+5.9%,94,+4.0%,47,-0.5%,33,-2.2%,34,-1.8%
Trevor Ariza,25.3,NOH,Wing,2589,65,+0.7%,87,+3.7%,71,+2.2%,36,-1.2%,51,-0.1%,17,-6.3%,25,-3.2%,14,-4.3%
Hilton Armstrong,25.9,WAS,Big,398,9,-3.6%,49,-0.2%,88,+4.4%,8,-5.5%,25,-1.9%,2,-18.9%,54,+0.3%,15,-4.2%
Carlos Arroyo,31.3,MIA,Point,962,61,+0.5%,65,+1.2%,42,-1.0%,80,+2.5%,71,+1.4%,69,+3.1%,73,+2.2%,84,+3.4%
Carlos Arroyo,31.3,BOS,Combo,170,2,-7.0%,3,-9.4%,3,-7.2%,8,-5.5%,3,-5.9%,86,+6.6%,59,+0.8%,36,-1.7%
Darrell Arthur,22.6,MEM,Big,1573,17,-2.7%,32,-1.8%,46,-0.4%,13,-4.1%,22,-2.2%,21,-5.3%,66,+1.4%,47,-0.5%
Omer Asik,24.3,CHI,Big,926,29,-1.6%,20,-3.0%,78,+3.0%,59,+0.8%,73,+1.6%,45,-0.8%,32,-2.3%,33,-1.9%
D.J. Augustin,23.0,CHA,Point,2739,83,+2.1%,46,-0.5%,19,-3.3%,69,+1.5%,49,-0.1%,27,-4.1%,95,+7.5%,90,+4.9%
Luke Babbitt,21.4,POR,Forward,107,0,-8.9%,1,-13.8%,26,-2.4%,33,-1.8%,26,-1.9%,2,-15.1%,8,-6.4%,3,-9.2%
Leandro Barbosa,27.9,TOR,Combo,1348,68,+1.0%,9,-5.3%,90,+5.2%,45,-0.4%,76,+1.8%,83,+6.0%,58,+0.7%,73,+2.0%
J.J. Barea,26.3,DAL,Combo,1593,51,-0.2%,51,-0.1%,56,+0.2%,10,-4.8%,14,-3.0%,69,+3.0%,68,+1.7%,74,+2.2%
Andrea Bargnani,25.0,TOR,Big,2344,87,+2.5%,94,+4.7%,22,-2.9%,95,+5.6%,84,+2.6%,4,-12.7%,92,+6.1%,59,+0.6%
Matt Barnes,30.6,LAL,Wing,983,35,-1.3%,35,-1.5%,15,-3.9%,25,-2.4%,16,-2.8%,68,+3.0%,19,-4.0%,33,-1.9%
Earl Barron,29.2,PHX,Big,170,56,+0.1%,76,+2.2%,48,-0.2%,8,-5.3%,13,-3.1%,96,+12.9%,94,+6.9%,97,+7.8%
Brandon Bass,25.5,ORL,Big,1956,34,-1.3%,40,-1.0%,18,-3.4%,68,+1.4%,40,-0.7%,54,+0.7%,72,+2.2%,71,+1.8%
Tony Battie,34.7,PHI,Big,361,3,-5.6%,67,+1.4%,4,-6.8%,15,-3.9%,4,-5.1%,39,-2.1%,31,-2.5%,27,-2.4%
Shane Battier,32.1,HOU,Wing,1808,65,+0.8%,37,-1.2%,75,+2.7%,25,-2.4%,54,+0.1%,84,+6.2%,62,+1.0%,77,+2.5%
Shane Battier,32.1,MEM,Forward,531,40,-0.9%,22,-2.8%,88,+4.6%,3,-7.3%,35,-1.1%,71,+3.3%,94,+6.8%,95,+6.7%
Nicolas Batum,21.9,POR,Forward,2500,43,-0.6%,27,-2.4%,37,-1.6%,82,+2.8%,64,+0.9%,63,+2.3%,33,-2.1%,44,-0.8%
Jerryd Bayless,22.2,NOH,Point,142,12,-3.1%,41,-0.9%,3,-7.2%,5,-6.5%,2,-6.5%,29,-3.8%,95,+7.3%,83,+3.1%
Jerryd Bayless,22.2,TOR,Combo,1289,14,-3.0%,9,-5.4%,65,+1.3%,8,-5.3%,14,-2.9%,64,+2.4%,33,-2.3%,45,-0.7%
Michael Beasley,21.8,MIN,Forward,2350,61,+0.5%,44,-0.7%,80,+3.3%,63,+1.1%,80,+2.1%,33,-3.0%,75,+2.5%,68,+1.4%
Rodrigue Beaubois,22.7,DAL,Wing,481,7,-3.9%,28,-2.2%,18,-3.5%,60,+0.8%,39,-0.8%,28,-4.0%,1,-11.2%,2,-9.2%
Marco Belinelli,24.6,NOH,Wing,1922,87,+2.6%,79,+2.6%,32,-2.0%,86,+3.6%,68,+1.2%,49,-0.1%,75,+2.6%,70,+1.7%
Charlie Bell,31.6,GSW,Wing,123,37,-1.1%,2,-10.0%,93,+5.7%,98,+8.9%,99,+7.9%,22,-5.2%,16,-4.6%,13,-4.6%
Raja Bell,34.1,UTA,Wing,2080,24,-2.1%,41,-1.0%,45,-0.5%,13,-4.1%,19,-2.5%,24,-4.5%,39,-1.4%,32,-1.9%
Mike Bibby,32.5,ATL,Point,1670,76,+1.5%,79,+2.6%,18,-3.4%,64,+1.1%,42,-0.7%,65,+2.4%,82,+3.6%,83,+3.1%
Mike Bibby,32.5,MIA,Point,556,75,+1.4%,80,+2.7%,49,-0.1%,54,+0.4%,55,+0.3%,74,+3.9%,14,-4.8%,28,-2.3%
Andris Biedrins,24.6,GSW,Big,1390,29,-1.6%,48,-0.3%,21,-3.0%,17,-3.7%,11,-3.6%,53,+0.6%,60,+0.8%,61,+0.8%
