Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Alex Abrines,24.3,OKC,Wing,1066,49,-0.0%,72,-1.7%,11,+5.0%,29,+2.3%,8,+3.9%,44,+0.6%,61,-0.8%,59,-0.5%
Quincy Acy,27.1,BKN,Big,1287,50,-0.1%,86,-3.2%,29,+2.0%,81,-3.4%,59,-0.6%,26,+2.8%,14,+3.0%,11,+2.9%
Steven Adams,24.3,OKC,Big,2465,41,+0.5%,16,+3.2%,36,+1.4%,65,-1.5%,48,+0.2%,79,-4.6%,59,-0.8%,74,-1.6%
Arron Afflalo,32.0,ORL,Wing,618,86,-2.4%,80,-2.4%,72,-2.2%,94,-7.3%,95,-4.6%,75,-3.7%,7,+4.3%,20,+2.1%
LaMarcus Aldridge,32.3,SAS,Big,2474,75,-1.5%,75,-2.1%,88,-4.0%,68,-1.9%,88,-3.1%,41,+0.9%,20,+2.3%,21,+2.0%
Tony Allen,35.8,NOP,Wing,258,79,-1.8%,99,-9.1%,80,-3.1%,1,+12.1%,6,+4.9%,96,-11.9%,62,-0.8%,87,-3.2%
Al-Farouq Aminu,27.1,POR,Big,2055,48,+0.0%,60,-0.8%,90,-4.2%,30,+2.2%,67,-1.0%,30,+2.5%,39,+0.7%,34,+1.0%
Justin Anderson,24.0,PHI,Wing,420,24,+1.6%,8,+4.4%,89,-4.2%,40,+1.0%,76,-1.8%,33,+2.0%,53,-0.1%,45,+0.4%
Kyle Anderson,24.1,SAS,Forward,1946,68,-1.1%,60,-0.7%,78,-2.6%,41,+0.9%,67,-1.0%,81,-5.0%,49,+0.1%,67,-1.1%
Ryan Anderson,29.5,HOU,Big,1672,16,+2.2%,14,+3.4%,66,-1.6%,59,-0.9%,71,-1.3%,41,+0.9%,12,+3.4%,12,+2.8%
Giannis Antetokounmpo,22.9,MIL,Forward,2740,87,-2.6%,95,-5.5%,26,+2.3%,77,-3.0%,56,-0.2%,50,-0.2%,65,-1.2%,66,-0.9%
Carmelo Anthony,33.4,OKC,Big,2473,14,+2.5%,3,+6.2%,14,+4.3%,80,-3.3%,33,+1.1%,55,-0.8%,32,+1.1%,38,+0.8%
Trevor Ariza,32.3,HOU,Wing,2221,28,+1.4%,8,+4.4%,73,-2.3%,53,-0.3%,70,-1.3%,29,+2.5%,59,-0.7%,50,+0.0%
Darrell Arthur,29.6,DEN,Big,118,7,+3.5%,39,+0.8%,34,+1.6%,7,+6.6%,7,+4.4%,91,-7.9%,6,+5.0%,18,+2.3%
Omer Asik,31.3,NOP,Big,103,6,+3.8%,37,+0.9%,86,-3.8%,9,+5.5%,34,+1.1%,79,-4.5%,0,+11.1%,2,+7.2%
D.J. Augustin,30.0,ORL,Point,1739,85,-2.4%,20,+2.6%,52,-0.2%,87,-5.2%,83,-2.4%,85,-6.0%,90,-4.3%,94,-4.9%
Luke Babbitt,28.4,ATL,Big,517,21,+1.8%,9,+4.3%,42,+0.8%,79,-3.2%,70,-1.2%,8,+8.0%,51,+0.0%,21,+2.0%
Luke Babbitt,28.4,MIA,Forward,106,15,+2.4%,82,-2.7%,0,+16.0%,58,-0.9%,2,+9.1%,2,+15.4%,51,0.0%,8,+3.6%
Ron Baker,24.6,NYK,Combo,334,74,-1.4%,95,-5.8%,24,+2.6%,18,+3.6%,13,+3.0%,66,-2.3%,73,-2.0%,78,-2.0%
J.J. Barea,33.3,DAL,Combo,1595,45,+0.2%,15,+3.3%,65,-1.5%,82,-3.7%,85,-2.6%,34,+1.8%,31,+1.3%,28,+1.4%
