Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Alex Abrines,24.3,OKC,Wing,1066,37,-0.8%,9,-4.6%,59,+1.0%,51,-0.1%,57,+0.4%,83,+4.8%,53,+0.1%,69,+1.2%
Quincy Acy,27.1,BKN,Big,1287,80,+1.7%,65,+1.1%,37,-1.3%,76,+2.8%,50,-0.0%,73,+3.0%,52,+0.1%,62,+0.7%
Steven Adams,24.3,OKC,Big,2465,69,+0.9%,45,-0.5%,98,+10.1%,44,-0.7%,90,+3.7%,77,+3.6%,44,-0.6%,56,+0.5%
Arron Afflalo,32.0,ORL,Wing,618,55,+0.1%,79,+2.4%,65,+1.3%,8,-6.5%,28,-2.1%,53,+0.2%,77,+2.2%,75,+1.8%
LaMarcus Aldridge,32.3,SAS,Big,2474,74,+1.3%,89,+3.3%,83,+3.8%,38,-1.4%,70,+1.5%,93,+9.2%,38,-1.0%,74,+1.6%
Tony Allen,35.8,NOP,Wing,258,48,-0.3%,30,-1.7%,59,+0.8%,2,-9.9%,13,-3.8%,74,+3.3%,62,+0.9%,65,+0.9%
Al-Farouq Aminu,27.1,POR,Big,2055,70,+0.9%,66,+1.1%,62,+1.1%,47,-0.5%,54,+0.3%,91,+7.9%,26,-2.1%,48,-0.3%
Justin Anderson,24.0,PHI,Wing,420,25,-1.7%,43,-0.5%,36,-1.4%,75,+2.6%,55,+0.3%,54,+0.2%,9,-4.6%,13,-3.5%
Kyle Anderson,24.1,SAS,Forward,1946,63,+0.5%,70,+1.5%,68,+1.7%,56,+0.5%,65,+1.1%,70,+2.7%,53,+0.1%,63,+0.8%
Ryan Anderson,29.5,HOU,Big,1672,54,+0.0%,59,+0.6%,54,+0.5%,90,+5.2%,79,+2.1%,41,-1.5%,48,-0.3%,39,-0.9%
Giannis Antetokounmpo,22.9,MIL,Forward,2740,76,+1.4%,99,+7.5%,11,-5.3%,1,-11.8%,1,-8.8%,93,+9.4%,50,-0.1%,83,+2.5%
Carmelo Anthony,33.4,OKC,Big,2473,67,+0.7%,87,+3.2%,90,+5.0%,63,+1.2%,84,+2.8%,41,-1.6%,49,-0.3%,41,-0.7%
Trevor Ariza,32.3,HOU,Wing,2221,59,+0.3%,48,-0.3%,15,-4.5%,15,-5.0%,6,-5.4%,74,+3.1%,45,-0.5%,58,+0.5%
Darrell Arthur,29.6,DEN,Big,118,30,-1.4%,6,-5.4%,5,-7.3%,100,+21.0%,87,+3.3%,84,+5.0%,13,-3.8%,25,-2.0%
Omer Asik,31.3,NOP,Big,103,97,+4.9%,23,-2.5%,99,+12.7%,98,+9.6%,99,+10.6%,99,+18.6%,78,+2.2%,96,+5.0%
D.J. Augustin,30.0,ORL,Point,1739,29,-1.5%,44,-0.5%,47,-0.3%,22,-3.7%,30,-1.8%,5,-11.9%,39,-1.0%,16,-3.1%
Luke Babbitt,28.4,ATL,Big,517,83,+1.9%,54,+0.1%,60,+1.0%,50,-0.3%,52,+0.1%,29,-3.1%,96,+5.8%,90,+3.3%
Luke Babbitt,28.4,MIA,Forward,106,92,+3.1%,100,+20.1%,96,+7.9%,69,+1.7%,95,+5.2%,68,+2.4%,9,-4.7%,25,-2.0%
Ron Baker,24.6,NYK,Combo,334,76,+1.4%,28,-2.0%,54,+0.4%,55,+0.4%,60,+0.6%,9,-9.2%,99,+7.7%,91,+3.5%
J.J. Barea,33.3,DAL,Combo,1595,96,+4.3%,98,+5.6%,68,+1.7%,75,+2.7%,79,+2.2%,80,+4.4%,76,+1.9%,79,+2.2%
