Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Quincy Acy,22.1,TOR,Big,291,91,+2.9%,98,+6.6%,66,+1.7%,37,-1.2%,51,-0.0%,12,-7.7%,85,+3.6%,65,+1.2%
Jeff Adrien,26.7,CHA,Big,660,72,+1.0%,79,+2.5%,62,+1.2%,53,+0.1%,58,+0.4%,70,+2.7%,78,+2.9%,82,+2.9%
Arron Afflalo,27.0,ORL,Wing,2288,89,+2.7%,76,+2.1%,83,+3.6%,83,+3.4%,89,+3.4%,96,+11.5%,50,+0.1%,81,+2.8%
Cole Aldrich,24.0,HOU,Big,179,17,-2.3%,14,-3.6%,73,+2.5%,97,+7.2%,93,+4.4%,18,-5.8%,37,-1.1%,21,-2.6%
Cole Aldrich,24.0,SAC,Big,149,75,+1.2%,87,+3.7%,22,-3.1%,70,+1.6%,43,-0.6%,99,+16.4%,13,-4.1%,63,+1.0%
LaMarcus Aldridge,27.3,POR,Big,2782,62,+0.4%,59,+0.5%,83,+3.5%,78,+2.4%,86,+2.9%,68,+2.4%,38,-1.1%,47,-0.3%
Lavoy Allen,23.7,PHI,Big,1623,36,-1.0%,53,+0.2%,55,+0.7%,64,+1.1%,65,+0.9%,48,+0.1%,26,-2.1%,34,-1.4%
Ray Allen,37.3,MIA,Wing,1989,8,-3.5%,7,-5.3%,8,-5.6%,4,-7.6%,2,-7.0%,35,-2.0%,63,+1.2%,51,-0.1%
Tony Allen,30.8,MEM,Wing,2102,31,-1.3%,79,+2.5%,15,-3.9%,31,-1.7%,18,-2.7%,88,+6.6%,9,-5.3%,25,-2.2%
Al-Farouq Aminu,22.1,NOH,Wing,2049,58,+0.3%,67,+1.3%,74,+2.7%,18,-3.2%,46,-0.4%,9,-9.1%,64,+1.4%,42,-0.6%
Lou Amundson,29.9,MIN,Big,121,3,-4.8%,2,-8.5%,97,+8.6%,11,-4.9%,49,-0.1%,10,-8.8%,27,-2.1%,17,-3.4%
Lou Amundson,29.9,NOH,Big,205,72,+1.0%,66,+1.1%,7,-6.4%,100,+15.8%,89,+3.3%,18,-5.7%,45,-0.4%,42,-0.6%
Chris Andersen,34.3,MIA,Big,604,8,-3.6%,3,-7.7%,9,-5.2%,0,-15.7%,0,-11.7%,54,+0.6%,93,+5.3%,87,+3.4%
Alan Anderson,30.0,TOR,Wing,1406,35,-1.0%,46,-0.4%,37,-1.4%,9,-5.5%,10,-3.7%,48,+0.1%,49,-0.1%,51,+0.0%
James Anderson,23.6,HOU,Wing,229,91,+2.9%,57,+0.4%,88,+4.5%,97,+7.6%,96,+5.3%,52,+0.4%,89,+4.2%,85,+3.1%
Ryan Anderson,24.5,NOH,Big,2478,59,+0.3%,16,-3.4%,10,-4.9%,94,+6.0%,59,+0.5%,12,-7.4%,44,-0.5%,28,-1.8%
Carmelo Anthony,28.4,NYK,Forward,2475,69,+0.9%,33,-1.3%,86,+4.0%,62,+0.9%,75,+1.7%,36,-1.9%,64,+1.4%,58,+0.6%
Joel Anthony,30.2,MIA,Big,507,25,-1.6%,80,+2.7%,58,+0.9%,10,-5.3%,18,-2.8%,39,-1.4%,29,-1.9%,30,-1.7%
Trevor Ariza,27.3,WAS,Wing,1450,28,-1.5%,45,-0.4%,2,-8.2%,40,-1.0%,8,-4.0%,58,+1.1%,14,-4.0%,27,-1.9%
Darrell Arthur,24.6,MEM,Big,931,34,-1.1%,45,-0.5%,29,-2.0%,83,+3.4%,68,+1.0%,11,-8.3%,51,+0.2%,23,-2.4%
Omer Asik,26.3,HOU,Big,2453,85,+2.2%,63,+0.9%,38,-1.4%,25,-2.5%,26,-1.8%,71,+2.9%,86,+3.7%,87,+3.5%
D.J. Augustin,25.0,IND,Point,1150,5,-4.1%,3,-7.6%,24,-2.7%,12,-4.8%,9,-3.9%,40,-1.3%,29,-1.9%,29,-1.8%
Gustavo Ayon,27.6,ORL,Big,567,88,+2.6%,82,+2.7%,16,-3.7%,64,+1.1%,36,-1.0%,99,+14.7%,72,+2.1%,92,+4.5%
Gustavo Ayon,27.6,MIL,Big,137,99,+5.2%,100,+12.4%,92,+5.4%,13,-4.5%,43,-0.5%,98,+13.0%,48,-0.1%,79,+2.5%
Jeff Ayres,25.5,IND,Big,268,93,+3.3%,97,+6.2%,87,+4.1%,99,+10.2%,99,+7.8%,25,-3.9%,10,-4.9%,11,-4.7%
Luke Babbitt,23.4,POR,Forward,672,45,-0.4%,60,+0.7%,69,+1.9%,24,-2.5%,38,-0.8%,30,-3.2%,18,-3.3%,17,-3.3%
Leandro Barbosa,29.9,BOS,Combo,476,34,-1.1%,13,-3.7%,85,+3.9%,31,-1.7%,57,+0.3%,4,-12.4%,43,-0.6%,10,-4.8%
J.J. Barea,28.4,MIN,Combo,1642,52,-0.1%,36,-1.0%,68,+1.9%,51,-0.2%,60,+0.6%,7,-9.7%,89,+4.2%,56,+0.4%
Andrea Bargnani,27.0,TOR,Big,995,40,-0.7%,44,-0.5%,39,-1.2%,67,+1.3%,56,+0.2%,54,+0.6%,38,-1.0%,41,-0.7%
Harrison Barnes,20.4,GSW,Wing,2019,40,-0.7%,52,+0.1%,28,-2.2%,60,+0.6%,41,-0.7%,52,+0.5%,33,-1.5%,35,-1.3%
