Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Rafer Alston,30.3,HOU,Point,308,28,45.2%,28,37.5%,20,32.7%,0,76.9%,33,64%,72,0%,56,17%,56,94%
Carmelo Anthony,22.4,DEN,Wing,209,74,52.6%,63,47.5%,95,50.0%,56,79.5%,56,57%,48,48%,59,47%,4,100%
Leandro Barbosa,23.9,PHX,Combo,344,73,44.8%,82,45.9%,14,28.6%,14,71.8%,45,48%,36,44%,73,15%,82,81%
Andrea Bargnani,21.0,TOR,Big,174,49,52.3%,39,50.0%,83,37.5%,0,78.9%,61,70%,83,50%,56,70%,98,83%
Matt Barnes,26.6,GSW,Forward,328,85,55.1%,38,48.1%,88,42.2%,0,72.2%,77,67%,77,47%,77,43%,92,95%
Brent Barry,34.8,SAS,Wing,209,44,46.6%,96,60.0%,14,29.2%,0,0.0%,0,100%,0,100%,4,100%,4,100%
Shane Battier,28.1,HOU,Forward,271,100,63.7%,54,50.0%,100,44.2%,0,87.5%,23,83%,92,0%,92,33%,92,95%
Raja Bell,30.1,PHX,Wing,437,93,58.1%,67,47.6%,91,45.5%,0,85.7%,19,80%,37,56%,22,73%,63,95%
Andris Biedrins,20.6,GSW,Big,264,100,73.0%,98,73.0%,0,0.0%,21,53.3%,17,85%,22,85%,5,100%,0,0%
Chauncey Billups,30.1,DET,Point,647,83,53.2%,56,48.0%,70,39.5%,75,83.2%,50,37%,22,27%,44,21%,89,59%
Steve Blake,26.7,DEN,Point,179,100,58.1%,33,40.0%,100,50.0%,0,0.0%,28,64%,72,0%,17,40%,78,88%
Josh Boone,21.9,BKN,Big,103,76,57.1%,76,57.1%,0,0.0%,0,45.0%,5,92%,7,92%,0,0%,0,0%
Carlos Boozer,24.9,UTA,Big,651,66,53.6%,63,53.6%,0,0.0%,53,73.8%,66,67%,78,57%,44,79%,0,0%
Chris Bosh,22.6,TOR,Big,222,15,41.5%,17,41.2%,0,33.3%,79,83.3%,78,61%,66,62%,68,59%,78,100%
Bruce Bowen,35.4,SAS,Wing,684,81,53.8%,4,31.1%,86,45.2%,0,50.0%,7,83%,30,60%,33,56%,70,94%
Kwame Brown,24.6,LAL,Big,132,59,52.8%,51,52.8%,0,0.0%,0,55.6%,32,79%,12,87%,83,50%,0,0%
P.J. Brown,37.0,CHI,Big,225,32,49.3%,34,49.3%,0,0.0%,0,73.9%,34,79%,46,67%,34,83%,0,0%
Kobe Bryant,28.2,LAL,Wing,211,67,50.4%,70,49.0%,41,37.0%,94,91.9%,100,13%,93,11%,85,19%,100,0%
Jose Calderon,25.1,TOR,Point,138,78,52.9%,94,56.1%,0,25.0%,0,83.3%,100,9%,72,0%,78,0%,11,100%
Marcus Camby,32.6,DEN,Big,184,7,37.8%,10,37.8%,0,0.0%,0,66.7%,59,71%,54,64%,34,83%,0,0%
Vince Carter,29.8,BKN,Wing,484,19,43.6%,22,39.8%,50,37.7%,6,69.3%,70,51%,56,36%,74,39%,4,100%
Jarron Collins,27.9,UTA,Big,100,0,33.3%,0,33.3%,0,0.0%,0,52.9%,0,100%,0,0%,5,100%,0,0%
Jason Collins,27.9,BKN,Big,328,76,57.1%,76,57.1%,0,0.0%,0,36.4%,39,75%,37,70%,5,100%,0,0%
Antonio Daniels,31.6,WAS,Point,175,33,46.1%,67,48.5%,0,20.0%,0,85.7%,94,12%,67,9%,78,0%,11,100%
Baron Davis,27.6,GSW,Point,442,94,56.9%,100,58.2%,50,36.4%,25,77.0%,83,18%,44,20%,67,3%,100,33%
Carlos Delfino,24.2,DET,Wing,122,15,43.5%,74,52.9%,0,21.4%,0,66.7%,33,75%,19,67%,30,67%,4,100%
Luol Deng,21.5,CHI,Forward,409,62,52.4%,85,52.7%,0,0.0%,67,80.7%,69,70%,62,50%,31,82%,0,0%
Boris Diaw,24.5,PHX,Big,227,37,50.0%,56,52.8%,0,0.0%,0,66.7%,95,46%,88,42%,78,56%,0,0%
DeSagana Diop,24.8,DAL,Big,139,90,60.0%,90,60.0%,0,0.0%,0,42.9%,100,22%,98,25%,98,0%,0,0%
Chris Duhon,24.2,CHI,Point,156,22,40.0%,6,25.0%,30,33.3%,0,87.5%,0,78%,72,0%,0,100%,83,83%
Tim Duncan,30.5,SAS,Big,733,46,52.3%,46,52.3%,0,0.0%,42,64.4%,93,48%,63,62%,95,33%,0,0%
Monta Ellis,21.0,GSW,Combo,231,36,41.7%,64,43.1%,0,14.3%,71,80.8%,64,38%,27,44%,64,23%,18,100%
Francisco Elson,30.7,SAS,Big,213,80,57.5%,88,59.0%,0,0.0%,0,68.4%,46,74%,59,63%,5,100%,0,0%
Jordan Farmar,19.9,LAL,Point,114,39,46.4%,89,55.6%,0,20.0%,0,85.7%,78,25%,72,0%,39,25%,11,100%
Michael Finley,33.7,SAS,Forward,535,69,53.4%,23,39.7%,75,41.9%,83,89.7%,31,81%,38,67%,62,52%,85,98%
Derek Fisher,32.2,UTA,Combo,437,82,47.0%,45,42.0%,86,41.4%,100,93.0%,27,55%,64,17%,18,60%,64,83%
T.J. Ford,23.6,TOR,Point,136,67,52.0%,67,48.5%,0,50.0%,0,81.0%,72,27%,56,18%,61,14%,11,100%
Devean George,29.2,DAL,Forward,103,0,27.1%,0,16.7%,0,25.0%,0,80.0%,38,80%,62,50%,0,0%,15,100%
Daniel Gibson,20.7,CLE,Combo,398,100,55.7%,91,46.9%,100,41.5%,86,88.4%,18,68%,55,22%,27,50%,55,93%
Manu Ginobili,29.3,SAS,Wing,599,59,48.4%,33,41.5%,64,39.2%,75,83.6%,67,54%,63,34%,78,38%,81,82%
Gordan Giricek,29.4,UTA,Wing,298,52,47.2%,11,36.9%,95,50.0%,0,87.5%,15,81%,96,0%,19,81%,4,100%
Drew Gooden,25.1,CLE,Big,604,32,49.3%,37,49.7%,0,0.0%,58,76.9%,71,65%,73,59%,59,67%,0,0%
Ben Gordon,23.6,CHI,Wing,393,63,49.7%,26,40.2%,77,43.6%,100,92.1%,74,51%,89,13%,67,41%,89,75%
Richard Hamilton,28.7,DET,Wing,634,26,44.2%,41,42.6%,73,42.1%,81,86.2%,59,57%,44,48%,41,55%,4,100%
Matt Harpring,30.4,UTA,Wing,429,37,45.1%,59,46.5%,0,0.0%,25,71.1%,30,77%,15,71%,7,85%,0,0%
Al Harrington,26.7,GSW,Big,258,24,47.4%,12,40.0%,100,39.5%,37,63.3%,90,51%,95,35%,98,0%,95,93%
Devin Harris,23.7,DAL,Combo,160,91,53.3%,100,52.8%,0,37.5%,0,73.7%,82,29%,73,15%,36,38%,18,100%
Udonis Haslem,26.4,MIA,Big,102,27,48.0%,27,48.0%,0,0.0%,0,75.0%,5,92%,2,100%,39,80%,0,0%
Chuck Hayes,23.4,HOU,Big,196,98,70.6%,100,75.0%,0,0.0%,0,40.0%,39,75%,32,73%,5,100%,0,0%
Jarvis Hayes,25.2,WAS,Forward,137,8,40.2%,8,29.6%,50,36.8%,0,85.7%,38,80%,92,0%,46,71%,15,100%
Luther Head,23.9,HOU,Combo,138,27,40.6%,36,40.0%,0,27.3%,0,50.0%,9,90%,0,100%,9,100%,64,83%
Nene Hilario,24.1,DEN,Big,178,85,58.5%,83,58.5%,0,0.0%,0,77.8%,37,77%,29,76%,5,100%,0,0%
Grant Hill,34.1,ORL,Forward,142,31,50.0%,54,50.0%,0,0.0%,17,66.7%,85,58%,46,64%,69,50%,0,0%
Kirk Hinrich,25.8,CHI,Combo,361,55,43.9%,55,42.5%,43,31.0%,43,76.9%,73,36%,82,13%,55,26%,91,69%
