Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Cedi Osman,23.6,CLE,Forward,2420,6,+3.0%,28,+1.4%,79,-1.3%,71,-0.7%,81,-2.0%,16,+0.9%,57,-0.3%,35,+0.6%
Ante Zizic,21.8,CLE,Big,1026,95,-3.6%,73,-1.4%,31,+0.8%,33,+0.5%,26,+1.3%,7,+1.5%,79,-1.4%,45,+0.1%
Luke Kennard,22.4,DET,Wing,1396,34,+0.7%,28,+1.4%,18,+1.4%,81,-1.2%,46,+0.2%,15,+0.9%,92,-2.5%,77,-1.6%
TJ Leaf,21.5,IND,Big,425,56,-0.3%,60,-0.4%,13,+1.8%,4,+2.9%,3,+4.7%,96,-1.9%,91,-2.4%,98,-4.3%
Edmond Sumner,22.8,IND,Wing,142,10,+2.6%,6,+3.7%,88,-1.9%,93,-2.0%,95,-4.0%,5,+1.8%,81,-1.6%,42,+0.3%
Donovan Mitchell,22.1,UTA,Combo,2588,40,+0.4%,88,-2.7%,55,-0.2%,5,+2.5%,15,+2.2%,40,+0.2%,41,+0.3%,37,+0.5%
Royce O'Neale,25.4,UTA,Wing,1564,92,-3.0%,49,+0.2%,20,+1.3%,60,-0.3%,31,+1.0%,84,-1.0%,55,-0.2%,72,-1.2%
Walter Lemon Jr.,26.3,CHI,Point,156,97,-4.1%,47,+0.4%,4,+3.0%,35,+0.5%,6,+3.4%,99,-3.1%,66,-0.6%,97,-3.8%
Shaquille Harrison,25.1,CHI,Combo,1310,29,+1.0%,16,+2.2%,84,-1.6%,62,-0.4%,81,-2.0%,58,-0.2%,49,+0.0%,53,-0.2%
Damion Lee,26.0,GSW,Wing,302,16,+2.0%,82,-2.1%,7,+2.4%,8,+1.9%,3,+4.3%,53,-0.1%,88,-2.1%,86,-2.2%
Kevin Huerter,20.2,ATL,Wing,2007,45,+0.2%,32,+1.2%,24,+1.1%,65,-0.5%,37,+0.6%,60,-0.3%,80,-1.5%,80,-1.8%
Omari Spellman,21.3,ATL,Big,754,19,+1.8%,51,+0.1%,81,-1.5%,59,-0.3%,79,-1.8%,88,-1.2%,8,+2.9%,20,+1.7%
Trae Young,20.1,ATL,Point,2491,11,+2.5%,7,+3.4%,72,-0.9%,90,-1.8%,89,-2.7%,23,+0.6%,78,-1.4%,63,-0.7%
Brad Wanamaker,29.3,BOS,Combo,246,99,-6.0%,81,-2.0%,41,+0.3%,71,-0.8%,58,-0.4%,71,-0.5%,7,+3.0%,12,+2.4%
Robert Williams,21.0,BOS,Big,218,95,-3.6%,4,+4.2%,34,+0.6%,98,-3.2%,88,-2.6%,5,+1.9%,97,-3.4%,76,-1.5%
Miles Bridges,20.6,CHA,Forward,1569,31,+0.8%,15,+2.3%,35,+0.6%,70,-0.7%,51,-0.1%,45,+0.1%,90,-2.2%,86,-2.2%
