Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Ray Allen,29.3,OKC,Wing,434,93,88.9%,0,0.0%,0,0.0%,0,0.0%
Carmelo Anthony,20.4,DEN,Forward,179,67,81.3%,0,0.0%,0,0.0%,0,0.0%
Gilbert Arenas,22.8,WAS,Wing,450,33,77.2%,0,0.0%,0,0.0%,0,0.0%
Carlos Arroyo,25.3,DET,Point,133,0,70.0%,0,0.0%,0,0.0%,0,0.0%
Leandro Barbosa,21.9,PHX,Combo,110,0,50.0%,0,0.0%,0,0.0%,0,0.0%
Brent Barry,32.8,SAS,Wing,536,0,81.0%,0,0.0%,0,0.0%,0,0.0%
Jon Barry,35.3,HOU,Wing,180,0,87.5%,0,0.0%,0,0.0%,0,0.0%
Shane Battier,26.1,MEM,Forward,118,0,40.0%,0,0.0%,0,0.0%,0,0.0%
Mike Bibby,26.5,SAC,Point,201,33,77.8%,0,0.0%,0,0.0%,0,0.0%
Chauncey Billups,28.1,DET,Combo,983,100,89.2%,0,0.0%,0,0.0%,0,0.0%
Bruce Bowen,33.4,SAS,Wing,809,0,64.7%,0,0.0%,0,0.0%,0,0.0%
Ryan Bowen,29.0,HOU,Forward,115,0,66.7%,0,0.0%,0,0.0%,0,0.0%
Earl Boykins,28.4,DEN,Point,147,0,89.5%,0,0.0%,0,0.0%,0,0.0%
Rasual Butler,25.4,MIA,Wing,175,0,33.3%,0,0.0%,0,0.0%,0,0.0%
Marcus Camby,30.6,DEN,Big,186,22,63.0%,0,0.0%,0,0.0%,0,0.0%
Vince Carter,27.8,BKN,Wing,180,73,86.1%,0,0.0%,0,0.0%,0,0.0%
Tyson Chandler,22.1,CHI,Big,174,44,69.6%,0,0.0%,0,0.0%,0,0.0%
Jason Collins,25.9,BKN,Big,128,0,37.5%,0,0.0%,0,0.0%,0,0.0%
Nick Collison,24.0,OKC,Big,211,22,63.0%,0,0.0%,0,0.0%,0,0.0%
Samuel Dalembert,24.5,PHI,Big,192,0,40.0%,0,0.0%,0,0.0%,0,0.0%
Erick Dampier,29.3,DAL,Big,302,0,39.3%,0,0.0%,0,0.0%,0,0.0%
Antonio Daniels,29.6,OKC,Combo,324,83,85.7%,0,0.0%,0,0.0%,0,0.0%
Marquis Daniels,23.8,DAL,Combo,158,33,70.4%,0,0.0%,0,0.0%,0,0.0%
Antonio Davis,36.0,CHI,Big,171,0,73.9%,0,0.0%,0,0.0%,0,0.0%
Dale Davis,35.6,IND,Big,314,0,68.0%,0,0.0%,0,0.0%,0,0.0%
Ricky Davis,25.1,BOS,Wing,235,0,79.2%,0,0.0%,0,0.0%,0,0.0%
Juan Dixon,26.1,WAS,Combo,217,0,84.0%,0,0.0%,0,0.0%,0,0.0%
Keyon Dooling,24.5,MIA,Point,255,0,84.2%,0,0.0%,0,0.0%,0,0.0%
Chris Duhon,22.2,CHI,Point,162,0,81.8%,0,0.0%,0,0.0%,0,0.0%
Tim Duncan,28.5,SAS,Big,862,61,71.7%,0,0.0%,0,0.0%,0,0.0%
Reggie Evans,24.5,OKC,Big,208,0,52.4%,0,0.0%,98,0.2%,0,0.0%
Michael Finley,31.7,DAL,Wing,495,0,88.9%,0,0.0%,0,0.0%,0,0.0%
Danny Fortson,28.6,OKC,Big,105,0,84.6%,0,0.0%,100,0.5%,0,0.0%
Jeff Foster,27.8,IND,Big,230,0,70.6%,0,0.0%,0,0.0%,0,0.0%
Pau Gasol,24.3,MEM,Big,131,0,50.0%,0,0.0%,0,0.0%,0,0.0%
Manu Ginobili,27.3,SAS,Wing,769,40,79.5%,0,0.0%,0,0.0%,0,0.0%
Ben Gordon,21.6,CHI,Wing,150,0,80.0%,0,0.0%,0,0.0%,0,0.0%
Richard Hamilton,26.7,DET,Wing,1077,47,79.8%,0,0.0%,0,0.0%,0,0.0%
Othella Harrington,30.8,CHI,Big,104,0,54.5%,0,0.0%,0,0.0%,0,0.0%
Udonis Haslem,24.4,MIA,Big,544,72,73.9%,0,0.0%,0,0.0%,0,0.0%
Brendan Haywood,24.9,WAS,Big,293,33,63.6%,0,0.0%,0,0.0%,0,0.0%
Kirk Hinrich,23.8,CHI,Combo,214,0,69.0%,0,0.0%,0,0.0%,0,0.0%
Robert Horry,34.2,SAS,Big,618,67,73.2%,0,0.0%,0,0.0%,0,0.0%
Josh Howard,24.5,DAL,Forward,429,0,74.5%,0,0.0%,0,0.0%,0,0.0%
Larry Hughes,25.8,WAS,Combo,402,67,83.1%,0,0.0%,0,0.0%,0,0.0%
Lindsey Hunter,33.9,DET,Combo,352,0,72.7%,0,0.0%,0,0.0%,0,0.0%
Steven Hunter,23.0,PHX,Big,209,0,60.0%,0,0.0%,0,0.0%,0,0.0%
Andre Iguodala,20.8,PHI,Wing,193,0,50.0%,0,0.0%,0,0.0%,0,0.0%
Allen Iverson,29.4,PHI,Point,237,83,89.7%,0,0.0%,94,0.2%,0,0.0%
Jim Jackson,34.1,PHX,Combo,466,0,83.3%,0,0.0%,0,0.0%,0,0.0%
Stephen Jackson,26.6,IND,Wing,471,60,81.7%,0,0.0%,0,0.0%,0,0.0%
Jerome James,29.0,OKC,Big,294,89,76.7%,0,0.0%,0,0.0%,0,0.0%
Mike James,29.4,HOU,Combo,170,0,95.7%,0,0.0%,0,0.0%,0,0.0%
Antawn Jamison,28.4,WAS,Wing,378,7,68.8%,0,0.0%,0,0.0%,0,0.0%
Al Jefferson,19.8,BOS,Big,121,0,80.0%,0,0.0%,0,0.0%,0,0.0%
Richard Jefferson,24.4,BKN,Wing,139,13,69.0%,0,0.0%,0,0.0%,0,0.0%
Jared Jeffries,22.9,WAS,Forward,244,0,75.0%,0,0.0%,0,0.0%,0,0.0%
Anthony Johnson,30.1,IND,Point,309,50,82.4%,0,0.0%,0,0.0%,0,0.0%
Joe Johnson,23.3,PHX,Wing,351,20,69.7%,0,0.0%,0,0.0%,0,0.0%
Damon Jones,28.2,MIA,Point,501,0,60.0%,0,0.0%,0,0.0%,0,0.0%
Eddie Jones,33.0,MIA,Wing,601,27,73.8%,0,0.0%,0,0.0%,0,0.0%
Fred Jones,25.6,IND,Wing,210,0,90.9%,0,0.0%,0,0.0%,0,0.0%
James Jones,24.1,IND,Forward,181,0,33.3%,0,0.0%,0,0.0%,0,0.0%
Jason Kidd,31.6,BKN,Point,182,0,54.5%,0,0.0%,0,0.0%,0,0.0%
Kyle Korver,23.6,PHI,Wing,140,0,100.0%,0,0.0%,0,0.0%,0,0.0%
Nenad Krstic,21.3,BKN,Big,154,0,79.2%,0,0.0%,0,0.0%,0,0.0%
Raef LaFrentz,28.4,BOS,Big,185,0,80.0%,0,0.0%,0,0.0%,0,0.0%
Christian Laettner,35.2,MIA,Big,130,0,83.3%,0,0.0%,0,0.0%,0,0.0%
Rashard Lewis,25.2,OKC,Forward,311,100,88.0%,0,0.0%,0,0.0%,0,0.0%
Shawn Marion,26.5,PHX,Forward,631,33,75.7%,0,0.0%,0,0.0%,0,0.0%
Kenyon Martin,26.8,DEN,Big,163,0,61.5%,0,0.0%,0,0.0%,0,0.0%
Antonio McDyess,30.2,DET,Big,493,50,70.6%,0,0.0%,0,0.0%,0,0.0%
Tracy McGrady,25.4,HOU,Wing,301,67,82.4%,0,0.0%,0,0.0%,0,0.0%
Andre Miller,28.6,DEN,Combo,183,17,70.0%,0,0.0%,0,0.0%,0,0.0%
Brad Miller,28.6,SAC,Big,138,0,71.4%,0,0.0%,0,0.0%,0,0.0%
Mike Miller,24.7,MEM,Wing,108,0,100.0%,0,0.0%,0,0.0%,0,0.0%
Reggie Miller,39.2,IND,Wing,427,100,93.9%,0,0.0%,0,0.0%,0,0.0%
Yao Ming,24.1,HOU,Big,219,56,71.7%,0,0.0%,0,0.0%,0,0.0%
Cuttino Mobley,29.2,SAC,Wing,158,0,71.4%,0,0.0%,0,0.0%,0,0.0%
Nazr Mohammed,27.2,SAS,Big,529,39,63.8%,0,0.0%,0,0.0%,0,0.0%
Alonzo Mourning,34.7,MIA,Big,252,17,56.0%,0,0.0%,0,0.0%,0,0.0%
Dikembe Mutombo,38.4,HOU,Big,100,0,76.9%,0,0.0%,0,0.0%,0,0.0%
Steve Nash,30.7,PHX,Point,610,100,91.9%,0,0.0%,0,0.0%,0,0.0%
Andres Nocioni,24.9,CHI,Forward,197,0,73.9%,0,0.0%,0,0.0%,0,0.0%
Dirk Nowitzki,26.4,DAL,Big,553,100,82.9%,0,0.0%,0,0.0%,0,0.0%
Jermaine O'Neal,26.1,IND,Big,477,83,75.0%,0,0.0%,0,0.0%,0,0.0%
Shaquille O'Neal,32.7,MIA,Big,428,11,47.2%,0,0.0%,0,0.0%,0,0.0%
Scott Padgett,28.5,HOU,Big,102,0,100.0%,0,0.0%,0,0.0%,0,0.0%
Tony Parker,22.5,SAS,Point,848,17,63.2%,0,0.0%,0,0.0%,0,0.0%
Gary Payton,36.3,BOS,Point,238,0,83.3%,0,0.0%,0,0.0%,0,0.0%
Paul Pierce,27.1,BOS,Wing,276,87,88.1%,0,0.0%,0,0.0%,0,0.0%
Tayshaun Prince,24.7,DET,Wing,1016,53,80.0%,0,0.0%,0,0.0%,0,0.0%
Vladimir Radmanovic,24.0,OKC,Forward,123,0,50.0%,0,0.0%,0,0.0%,0,0.0%
Quentin Richardson,24.6,PHX,Wing,561,0,64.7%,0,0.0%,0,0.0%,0,0.0%
Luke Ridnour,23.7,OKC,Point,374,0,95.0%,0,0.0%,0,0.0%,0,0.0%
Glenn Robinson,31.8,SAS,Forward,102,0,84.6%,0,0.0%,0,0.0%,0,0.0%
Michael Ruffin,27.8,WAS,Big,154,0,56.3%,0,0.0%,0,0.0%,0,0.0%
Jerry Stackhouse,30.0,DAL,Wing,403,80,86.4%,0,0.0%,100,0.1%,0,0.0%
Peja Stojakovic,27.4,SAC,Wing,201,0,95.5%,0,0.0%,0,0.0%,0,0.0%
Amar'e Stoudemire,22.0,PHX,Big,599,94,78.1%,0,0.0%,0,0.0%,0,0.0%
Bob Sura,31.6,HOU,Point,180,0,66.7%,0,0.0%,100,0.3%,0,0.0%
Jason Terry,27.1,DAL,Point,499,67,88.4%,0,0.0%,0,0.0%,0,0.0%
Etan Thomas,26.6,WAS,Big,126,0,45.5%,0,0.0%,0,0.0%,0,0.0%
Kenny Thomas,27.3,SAC,Big,153,0,70.0%,0,0.0%,0,0.0%,0,0.0%
Jamaal Tinsley,26.7,IND,Point,249,0,57.1%,0,0.0%,0,0.0%,0,0.0%
Beno Udrih,22.3,SAS,Point,224,0,85.7%,0,0.0%,0,0.0%,0,0.0%
Dwyane Wade,22.8,MIA,Combo,572,50,79.9%,0,0.0%,0,0.0%,0,0.0%
Antoine Walker,28.2,BOS,Big,223,0,63.6%,0,0.0%,0,0.0%,0,0.0%
Ben Wallace,30.1,DET,Big,973,6,46.1%,0,0.0%,0,0.0%,0,0.0%
Rasheed Wallace,30.1,DET,Big,822,78,74.1%,0,0.0%,0,0.0%,0,0.0%
Chris Webber,31.7,PHI,Big,185,0,75.0%,0,0.0%,0,0.0%,0,0.0%
David Wesley,34.0,HOU,Wing,279,0,69.2%,0,0.0%,0,0.0%,0,0.0%
Delonte West,21.3,BOS,Combo,100,0,50.0%,0,0.0%,0,0.0%,0,0.0%
Damien Wilkins,24.8,OKC,Forward,132,0,37.5%,0,0.0%,0,0.0%,0,0.0%
Jason Williams,29.0,MEM,Point,115,0,100.0%,0,0.0%,0,0.0%,0,0.0%
