Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
LaMarcus Aldridge,29.3,POR,Big,208,51,-0.2%,2,+15.6%,98,-19.8%,39,+2.3%,87,-6.8%,0,+46.7%,92,-14.7%,61,-1.2%
Tony Allen,32.8,MEM,Wing,278,44,+0.7%,73,-4.2%,12,+11.6%,58,-2.9%,30,+3.9%,61,-5.2%,44,+1.3%,58,-0.3%
Al-Farouq Aminu,24.1,DAL,Forward,148,82,-4.3%,50,-0.3%,17,+8.0%,36,+2.7%,18,+6.0%,28,+8.9%,96,-23.9%,94,-14.5%
Alan Anderson,32.0,BKN,Wing,141,93,-9.4%,8,+11.2%,61,-2.6%,13,+12.3%,20,+5.3%,94,-23.9%,98,-27.4%,99,-26.6%
Giannis Antetokounmpo,19.9,MIL,Forward,200,60,-1.4%,65,-2.6%,6,+14.0%,12,+13.2%,2,+13.5%,63,-6.5%,85,-9.3%,87,-9.2%
Pero Antic,32.3,ATL,Big,195,56,-0.7%,67,-2.9%,27,+5.2%,63,-4.0%,44,+0.1%,44,+2.4%,50,-0.2%,51,+0.6%
Trevor Ariza,29.3,HOU,Forward,653,56,-0.9%,34,+2.2%,41,+1.9%,66,-4.5%,48,-0.7%,50,+0.8%,52,-0.5%,56,-0.2%
Leandro Barbosa,31.9,GSW,Combo,217,28,+2.5%,12,+8.5%,70,-4.7%,60,-3.1%,73,-4.0%,19,+15.7%,65,-2.7%,52,+0.4%
J.J. Barea,30.3,DAL,Combo,152,99,-16.7%,98,-15.2%,16,+8.1%,99,-23.3%,68,-3.2%,70,-9.0%,96,-23.9%,97,-19.4%
Harrison Barnes,22.4,GSW,Forward,678,77,-3.4%,71,-3.6%,81,-8.1%,20,+8.2%,58,-1.6%,78,-13.6%,53,-0.5%,69,-3.4%
Matt Barnes,34.6,LAC,Wing,404,78,-3.9%,32,+2.5%,35,+3.1%,72,-6.6%,47,-0.6%,65,-7.4%,85,-9.0%,85,-8.5%
Nicolas Batum,25.9,POR,Wing,208,31,+2.2%,3,+15.4%,43,+1.5%,52,-1.8%,45,-0.2%,0,+46.7%,100,-40.8%,92,-12.3%
Jerryd Bayless,26.2,MIL,Combo,108,67,-2.0%,7,+11.5%,78,-7.2%,92,-14.7%,94,-11.7%,35,+6.5%,57,-1.0%,47,+1.2%
Kent Bazemore,25.3,ATL,Wing,299,59,-1.1%,24,+4.9%,83,-9.3%,35,+2.9%,63,-2.8%,69,-8.8%,60,-1.8%,73,-4.0%
Bradley Beal,21.3,WAS,Wing,416,12,+5.9%,20,+5.9%,29,+3.8%,56,-2.5%,35,+1.5%,27,+10.7%,25,+6.7%,11,+7.9%
Marco Belinelli,28.6,SAS,Combo,108,77,-3.5%,84,-7.3%,98,-19.7%,15,+10.4%,52,-1.0%,45,+2.3%,58,-1.3%,56,-0.2%
Bojan Bogdanovic,25.5,BKN,Forward,205,21,+3.5%,74,-4.7%,73,-5.7%,42,+1.9%,59,-1.7%,44,+2.6%,15,+10.0%,10,+8.5%
Andrew Bogut,29.9,GSW,Big,438,41,+1.1%,81,-6.4%,30,+3.6%,26,+5.3%,25,+4.2%,66,-7.7%,19,+8.0%,29,+4.8%
Avery Bradley,23.9,BOS,Combo,132,95,-9.9%,15,+7.6%,87,-11.3%,84,-9.6%,93,-10.1%,59,-3.9%,94,-20.0%,96,-17.1%
Corey Brewer,28.7,HOU,Wing,417,37,+1.4%,25,+4.4%,49,-0.6%,83,-9.2%,77,-4.6%,53,-1.6%,41,+2.3%,46,+1.2%
Aaron Brooks,29.8,CHI,Point,120,5,+8.7%,5,+13.8%,2,+24.2%,38,+2.4%,5,+11.1%,56,-2.0%,51,-0.4%,60,-0.7%
Jimmy Butler,25.1,CHI,Wing,505,40,+1.3%,60,-2.1%,95,-16.8%,19,+8.4%,40,+0.5%,48,+1.8%,28,+5.5%,23,+5.6%
Nick Calathes,25.7,MEM,Combo,117,43,+1.1%,21,+5.7%,74,-6.0%,81,-8.5%,88,-7.1%,65,-7.1%,27,+5.8%,37,+2.9%
Clint Capela,20.5,HOU,Big,108,54,-0.6%,86,-8.4%,55,-1.5%,3,+17.9%,21,+5.3%,69,-8.7%,40,+2.3%,59,-0.5%
DeMarre Carroll,28.3,ATL,Wing,556,47,+0.3%,48,-0.0%,19,+7.3%,69,-5.1%,40,+0.6%,67,-8.1%,26,+6.3%,43,+1.9%
Vince Carter,37.8,MEM,Wing,193,33,+1.7%,37,+2.0%,48,-0.6%,41,+2.0%,38,+1.3%,68,-8.4%,23,+6.9%,33,+3.3%
Michael Carter-Williams,23.1,MIL,Point,190,7,+7.5%,87,-8.7%,18,+7.4%,7,+16.8%,3,+13.0%,32,+8.0%,18,+9.0%,9,+8.6%
Tyson Chandler,32.1,DAL,Big,160,11,+6.0%,19,+5.9%,88,-11.3%,10,+14.3%,76,-4.4%,90,-20.8%,2,+20.2%,6,+12.3%
Norris Cole,26.1,NOP,Point,105,98,-16.5%,51,-0.5%,60,-2.6%,98,-23.2%,97,-13.4%,49,+1.0%,98,-24.8%,98,-20.1%
Mike Conley,27.1,MEM,Point,243,69,-2.5%,44,+0.9%,15,+8.8%,48,-0.5%,29,+3.9%,10,+22.4%,94,-17.1%,83,-7.5%
Jamal Crawford,34.6,LAC,Wing,372,10,+6.1%,52,-0.8%,76,-6.7%,25,+5.5%,60,-1.9%,38,+5.3%,6,+16.6%,5,+13.1%
Jae Crowder,24.3,BOS,Forward,100,18,+4.1%,100,-17.0%,51,-1.2%,6,+17.0%,9,+9.4%,31,+8.3%,13,+10.5%,8,+9.8%
Stephen Curry,26.6,GSW,Point,823,90,-6.5%,85,-8.1%,38,+2.6%,91,-13.8%,78,-4.7%,79,-14.0%,72,-3.9%,79,-5.6%
Anthony Davis,21.6,NOP,Big,171,97,-10.8%,99,-16.1%,82,-8.8%,74,-6.7%,90,-7.7%,95,-25.5%,35,+3.9%,72,-3.8%
Glen Davis,28.8,LAC,Big,136,16,+4.4%,14,+8.0%,66,-3.5%,96,-18.9%,85,-6.7%,33,+7.3%,22,+7.4%,13,+7.4%
DeMar DeRozan,25.2,TOR,Wing,158,6,+7.7%,40,+1.5%,23,+6.3%,62,-3.8%,48,-0.8%,19,+16.0%,8,+12.1%,7,+12.2%
Matthew Dellavedova,24.1,CLE,Combo,486,75,-3.3%,27,+4.3%,90,-12.0%,85,-9.6%,94,-11.7%,86,-19.2%,30,+4.7%,57,-0.3%
Boris Diaw,32.5,SAS,Big,197,8,+6.9%,43,+1.0%,20,+6.9%,9,+14.6%,4,+11.5%,83,-17.4%,15,+9.3%,44,+1.6%
Jared Dudley,29.3,MIL,Forward,110,94,-9.8%,90,-10.1%,4,+18.1%,94,-17.4%,66,-3.1%,92,-22.0%,76,-5.9%,90,-9.7%
Tim Duncan,38.5,SAS,Big,249,63,-1.7%,63,-2.3%,69,-4.2%,85,-10.4%,90,-7.9%,57,-2.3%,14,+10.0%,17,+6.6%
Mike Dunleavy,34.1,CHI,Wing,388,76,-3.4%,81,-5.9%,96,-18.8%,56,-2.5%,92,-8.5%,26,+10.9%,43,+1.5%,31,+3.5%
Monta Ellis,29.0,DAL,Wing,196,70,-2.5%,46,+0.1%,97,-19.4%,98,-21.8%,99,-20.3%,85,-17.9%,19,+8.2%,27,+4.9%
Tyreke Evans,25.1,NOP,Wing,125,6,+8.3%,85,-7.6%,44,+0.3%,0,+40.0%,0,+20.5%,2,+33.3%,34,+3.9%,10,+8.5%
Festus Ezeli,25.0,GSW,Big,179,35,+1.6%,31,+2.9%,26,+5.8%,89,-12.2%,53,-1.1%,8,+24.7%,68,-3.1%,41,+2.5%
Marc Gasol,29.8,MEM,Big,413,9,+6.7%,19,+6.5%,15,+8.8%,80,-8.1%,44,-0.1%,3,+30.2%,39,+2.5%,15,+7.0%
Pau Gasol,34.3,CHI,Big,315,85,-5.1%,89,-9.7%,94,-13.3%,53,-2.1%,83,-6.4%,13,+19.4%,69,-3.5%,38,+2.8%
Taj Gibson,29.4,CHI,Big,270,23,+3.4%,23,+5.3%,52,-1.3%,33,+3.3%,37,+1.4%,77,-13.0%,31,+4.6%,52,+0.5%
Manu Ginobili,37.3,SAS,Wing,130,23,+3.2%,15,+7.5%,6,+15.5%,32,+3.3%,11,+8.2%,72,-9.6%,86,-9.3%,86,-9.0%
Drew Gooden,33.1,WAS,Big,177,62,-1.5%,70,-3.6%,62,-2.6%,2,+18.4%,16,+6.2%,43,+2.8%,89,-11.8%,85,-8.6%
Eric Gordon,25.9,NOP,Combo,143,0,+18.7%,1,+17.6%,37,+2.6%,5,+17.5%,6,+11.0%,42,+3.3%,0,+23.6%,2,+19.1%
Marcin Gortat,30.7,WAS,Big,306,15,+5.3%,31,+3.0%,23,+6.1%,29,+4.7%,17,+6.1%,58,-2.8%,17,+9.0%,19,+6.1%
Danny Green,27.4,SAS,Wing,203,69,-2.2%,52,-0.6%,46,-0.1%,73,-6.7%,70,-3.8%,15,+18.9%,82,-7.9%,63,-1.6%
Draymond Green,24.7,GSW,Big,781,79,-4.0%,94,-11.9%,57,-2.1%,47,+0.1%,54,-1.2%,79,-14.0%,24,+6.7%,32,+3.5%
Jeff Green,28.2,MEM,Forward,295,84,-5.0%,56,-1.4%,54,-1.4%,67,-4.5%,69,-3.3%,60,-4.3%,73,-5.4%,77,-5.2%
Blake Griffin,25.6,LAC,Big,556,94,-9.5%,41,+1.1%,40,+2.4%,100,-28.2%,86,-6.8%,93,-22.4%,83,-7.9%,91,-12.2%
James Harden,25.2,HOU,Wing,633,19,+3.7%,68,-3.0%,47,-0.3%,8,+15.5%,13,+7.3%,12,+19.9%,70,-3.8%,40,+2.6%
