Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Steven Adams,20.3,OKC,Big,300,98,4.2%,4,0.2%,22,6.6%,43,7.5%,48,15.2%,85,9.5%,39,19.0%
LaMarcus Aldridge,28.3,POR,Big,440,67,2.1%,30,0.7%,85,3.3%,37,7.0%,65,19.0%,0,0.0%,50,23.3%
Ray Allen,38.3,MIA,Wing,526,58,0.5%,50,1.4%,39,3.6%,68,3.2%,71,12.2%,0,0.0%,29,3.2%
Tony Allen,31.8,MEM,Wing,230,32,0.2%,89,2.4%,11,4.6%,100,10.5%,82,13.6%,0,0.0%,79,22.2%
Chris Andersen,35.3,MIA,Big,316,83,3.4%,43,0.8%,33,5.0%,76,10.7%,96,27.4%,0,0.0%,100,64.3%
Alan Anderson,31.0,BKN,Wing,257,0,0.0%,74,1.9%,5,5.2%,89,4.1%,45,10.3%,0,0.0%,0,0.0%
Pero Antic,31.3,ATL,Big,169,24,1.1%,78,1.3%,15,6.7%,20,5.6%,9,11.2%,0,0.0%,11,7.7%
Trevor Ariza,28.3,WAS,Wing,407,76,0.6%,82,2.0%,71,2.9%,97,5.5%,92,16.2%,0,0.0%,100,63.0%
Omer Asik,27.3,HOU,Big,162,43,1.3%,41,0.8%,24,6.4%,91,13.4%,59,17.4%,0,0.0%,54,25.0%
D.J. Augustin,26.0,CHI,Point,140,0,0.0%,21,1.0%,5,5.3%,89,2.9%,0,2.2%,0,0.0%,74,7.7%
Harrison Barnes,21.4,GSW,Forward,141,73,1.1%,0,0.3%,55,3.5%,64,4.6%,18,10.4%,0,0.0%,55,25.0%
Matt Barnes,33.6,LAC,Forward,400,9,0.4%,45,1.3%,36,4.3%,73,5.3%,0,9.9%,55,4.9%,18,11.1%
Shane Battier,35.1,MIA,Wing,191,37,0.3%,47,1.4%,8,5.1%,8,0.8%,11,5.8%,0,0.0%,58,12.5%
Nicolas Batum,24.9,POR,Wing,458,74,0.6%,55,1.4%,92,1.8%,50,2.0%,87,14.6%,87,4.0%,89,29.0%
Bradley Beal,20.3,WAS,Wing,454,87,0.9%,76,1.9%,68,2.9%,71,3.4%,34,9.0%,0,0.0%,42,6.7%
Marco Belinelli,27.6,SAS,Wing,308,0,0.0%,3,0.4%,66,3.0%,16,1.1%,74,12.5%,0,0.0%,82,25.0%
Patrick Beverley,25.3,HOU,Combo,202,82,0.5%,18,0.6%,45,4.1%,100,6.7%,18,6.6%,0,0.0%,0,0.0%
Andray Blatche,27.2,BKN,Big,171,15,0.7%,89,1.6%,28,5.7%,93,14.3%,87,24.0%,100,25.0%,87,40.0%
Trevor Booker,25.9,WAS,Big,141,85,3.6%,28,0.7%,4,8.0%,85,11.8%,46,15.2%,0,0.0%,67,28.6%
Carlos Boozer,31.9,CHI,Big,120,0,0.0%,11,0.4%,43,4.5%,41,7.3%,93,26.5%,0,0.0%,74,30.8%
Chris Bosh,29.6,MIA,Big,684,52,1.7%,74,1.3%,67,3.7%,15,4.7%,33,14.6%,0,0.0%,48,22.2%
Caron Butler,33.6,OKC,Wing,413,34,0.3%,8,0.6%,50,3.4%,61,2.9%,50,10.4%,0,0.0%,39,6.5%
Jimmy Butler,24.1,CHI,Wing,217,0,0.0%,39,1.3%,79,2.6%,63,3.0%,29,8.9%,0,0.0%,61,15.0%
Jose Calderon,32.1,DAL,Point,191,0,0.0%,0,0.2%,42,3.7%,26,1.0%,5,4.0%,0,0.0%,84,8.3%
DeMarre Carroll,27.3,ATL,Wing,245,84,0.7%,24,1.0%,29,3.8%,92,5.0%,18,7.0%,0,0.0%,92,38.9%
Vince Carter,36.8,DAL,Wing,190,82,0.6%,13,0.7%,76,2.8%,79,3.4%,61,11.3%,92,6.3%,0,0.0%
