Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Precious Achiuwa,21.1,MIA,Big,685,57,1.8%,44,1.1%,24,4.8%,79,10.8%,52,17.4%,0,0.0%,20,18.2%
Steven Adams,27.3,NOP,Big,1604,29,1.2%,69,1.4%,89,2.5%,93,13.7%,63,18.8%,89,8.4%,17,16.7%
Bam Adebayo,23.3,MIA,Big,2130,51,1.6%,78,1.6%,91,2.5%,51,7.4%,64,19.1%,0,0.0%,88,49.0%
LaMarcus Aldridge,35.3,SAS,Big,544,52,1.7%,9,0.7%,92,2.5%,10,3.1%,23,14.7%,0,0.0%,8,11.1%
LaMarcus Aldridge,35.3,BKN,Big,130,95,4.2%,41,1.0%,51,3.8%,2,1.7%,27,15.3%,0,0.0%,46,28.6%
Nickeil Alexander-Walker,22.2,NOP,Combo,958,94,1.2%,75,1.9%,25,3.7%,28,1.3%,91,12.9%,0,0.0%,94,15.4%
Grayson Allen,25.1,MEM,Wing,1249,23,0.3%,67,1.5%,89,2.2%,20,1.4%,54,10.9%,79,1.7%,41,7.1%
Jarrett Allen,22.5,BKN,Big,315,84,2.9%,29,0.9%,96,2.2%,91,13.3%,81,22.9%,0,0.0%,76,42.1%
Jarrett Allen,22.5,CLE,Big,1529,74,2.4%,10,0.7%,99,1.9%,80,10.9%,79,22.3%,54,1.3%,70,39.5%
Al-Farouq Aminu,30.1,ORL,Forward,366,72,1.2%,98,2.1%,89,2.2%,86,5.5%,99,19.3%,0,0.0%,40,14.3%
Kyle Anderson,27.1,MEM,Forward,1884,88,1.5%,87,1.9%,79,2.5%,30,2.5%,82,16.3%,82,4.0%,97,36.7%
Giannis Antetokounmpo,25.9,MIL,Big,2010,58,1.8%,71,1.5%,93,2.4%,26,4.9%,90,25.9%,69,3.0%,86,48.3%
Thanasis Antetokounmpo,28.3,MIL,Forward,448,54,1.0%,72,1.5%,6,5.2%,99,9.2%,49,12.5%,81,3.7%,38,13.0%
Carmelo Anthony,36.4,POR,Forward,1671,62,1.1%,46,1.2%,52,3.1%,9,1.6%,20,10.8%,70,3.0%,29,11.3%
Cole Anthony,20.5,ORL,Point,1229,86,0.7%,7,1.1%,41,3.2%,80,2.7%,89,14.6%,86,1.7%,59,5.2%
OG Anunoby,23.3,TOR,Forward,1433,66,1.1%,94,2.0%,56,3.0%,66,3.8%,34,11.8%,0,0.0%,84,28.4%
Ryan Arcidiacono,26.6,CHI,Combo,415,0,0.0%,13,0.9%,7,4.8%,24,1.2%,99,14.5%,0,0.0%,0,0.0%
Trevor Ariza,35.3,MIA,Forward,836,60,1.1%,78,1.6%,64,2.7%,59,3.4%,67,14.8%,67,2.6%,67,21.1%
D.J. Augustin,33.0,HOU,Combo,405,0,0.0%,7,0.8%,82,2.1%,67,2.4%,40,9.5%,0,0.0%,0,0.0%
D.J. Augustin,33.0,MIL,Point,697,5,0.1%,25,1.2%,93,1.7%,39,1.6%,2,5.2%,0,0.0%,36,3.4%
Deni Avdija,19.8,WAS,Forward,1224,32,0.6%,36,1.1%,14,4.6%,10,1.7%,94,18.4%,0,0.0%,41,14.5%
