Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Arron Afflalo,26.0,DEN,Wing,2077,87,53.2%,69,34%,72,17%,32,20%,47,37%,63,15%,32,14%,41,29%
Solomon Alabi,23.6,TOR,Big,105,1,32.1%,61,59%,58,22%,47,19%,48,41%,0,0%,0,0%,0,0%
LaMarcus Aldridge,26.3,POR,Big,1987,66,51.6%,21,36%,66,26%,86,38%,85,64%,77,0%,62,0%,68,1%
Lavoy Allen,22.7,PHI,Big,569,35,47.4%,8,25%,77,30%,91,45%,98,75%,0,0%,0,0%,0,0%
Ray Allen,36.3,BOS,Wing,1558,97,56.4%,28,18%,44,13%,44,24%,44,36%,78,18%,74,28%,78,45%
Tony Allen,29.8,MEM,Wing,1523,52,47.8%,99,61%,70,16%,23,17%,34,34%,9,3%,2,2%,3,5%
Al-Farouq Aminu,21.1,NOP,Forward,1436,19,42.3%,83,49%,73,18%,52,21%,56,40%,33,4%,23,7%,25,12%
Lou Amundson,28.9,IND,Big,650,12,41.9%,76,68%,65,25%,21,7%,29,32%,0,0%,0,0%,0,0%
Chris Andersen,33.3,DEN,Big,481,82,54.2%,89,77%,6,8%,39,15%,14,23%,0,0%,0,0%,0,0%
Alan Anderson,29.0,TOR,Wing,450,45,47.2%,24,18%,57,14%,58,26%,58,40%,53,13%,76,30%,72,42%
James Anderson,22.6,SAS,Wing,512,21,44.9%,81,39%,24,9%,20,17%,17,26%,78,18%,40,17%,53,35%
Ryan Anderson,23.5,ORL,Big,1956,83,54.9%,24,36%,2,5%,20,7%,2,12%,97,14%,98,38%,99,52%
Carmelo Anthony,27.4,NYK,Forward,1871,44,46.5%,60,37%,54,15%,79,31%,67,46%,23,2%,46,15%,31,18%
Joel Anthony,29.2,MIA,Big,1342,87,55.9%,81,69%,79,31%,2,1%,24,31%,0,0%,0,0%,0,0%
Gilbert Arenas,29.8,MEM,Point,210,83,51.6%,9,9%,5,6%,47,25%,9,31%,19,1%,98,58%,97,60%
Trevor Ariza,26.3,NOP,Wing,1346,27,45.5%,87,43%,47,13%,46,24%,49,37%,37,9%,25,11%,24,20%
Omer Asik,25.3,CHI,Big,874,37,48.1%,99,92%,4,7%,7,1%,1,8%,0,0%,0,0%,0,0%
D.J. Augustin,24.0,CHA,Point,1404,31,43.4%,70,34%,45,16%,22,17%,16,33%,61,5%,69,29%,66,34%
Gustavo Ayon,26.6,NOP,Big,1042,79,53.6%,72,66%,39,19%,40,16%,32,34%,0,0%,0,0%,0,0%
Luke Babbitt,22.4,POR,Forward,468,85,54.4%,6,12%,63,17%,25,13%,35,29%,73,11%,98,48%,92,59%
Leandro Barbosa,28.9,IND,Wing,413,37,46.6%,75,37%,48,13%,41,22%,39,35%,41,9%,45,19%,39,28%
Leandro Barbosa,28.9,TOR,Combo,925,62,48.1%,71,34%,33,15%,67,29%,62,44%,76,9%,13,13%,24,22%
J.J. Barea,27.3,MIN,Point,1022,56,47.1%,75,36%,72,22%,5,11%,19,34%,55,4%,61,27%,59,31%
Andrea Bargnani,26.0,TOR,Forward,1030,50,47.1%,27,24%,75,19%,94,36%,85,55%,8,0%,58,20%,38,21%
Matt Barnes,31.6,LAL,Wing,1429,81,52.0%,94,49%,39,12%,3,8%,5,20%,71,16%,34,15%,46,31%
Brandon Bass,26.5,BOS,Big,1850,36,47.9%,15,31%,37,18%,96,51%,92,69%,0,0%,0,0%,0,0%
Tony Battie,35.7,PHI,Big,286,3,36.7%,2,14%,88,34%,95,50%,100,84%,0,0%,81,2%,76,2%
Shane Battier,33.1,MIA,Wing,1451,59,48.8%,22,17%,74,17%,2,4%,7,21%,97,35%,71,27%,94,62%
Nicolas Batum,22.9,POR,Wing,1747,90,54.1%,74,37%,17,7%,21,17%,13,24%,73,17%,56,23%,63,40%
Jerryd Bayless,23.2,TOR,Combo,684,82,50.7%,38,25%,2,8%,82,34%,49,41%,27,5%,78,28%,60,33%
Michael Beasley,22.8,MIN,Forward,1043,60,48.5%,25,24%,96,31%,67,26%,94,58%,44,7%,33,12%,33,18%
Rodrigue Beaubois,23.7,DAL,Combo,1069,60,48.1%,69,33%,76,20%,29,20%,40,40%,51,7%,44,20%,44,27%
Marco Belinelli,25.6,NOP,Combo,1944,69,49.6%,24,19%,11,8%,78,34%,53,42%,91,13%,64,26%,80,39%
Raja Bell,35.1,UTA,Wing,794,97,56.4%,19,16%,3,3%,72,32%,37,35%,82,19%,78,30%,82,49%
Mike Bibby,33.5,NYK,Point,522,17,40.2%,0,3%,0,3%,48,25%,5,28%,98,17%,97,52%,98,69%
Andris Biedrins,25.6,GSW,Big,737,96,60.9%,69,65%,89,35%,0,0%,36,35%,0,0%,0,0%,0,0%
Chauncey Billups,35.1,LAC,Combo,605,47,47.1%,4,14%,24,12%,47,25%,29,37%,80,10%,100,40%,100,50%
Bismack Biyombo,19.2,CHA,Big,1377,34,47.3%,68,64%,75,29%,19,7%,37,36%,0,0%,0,0%,0,0%
DeJuan Blair,22.5,SAS,Big,1319,78,53.5%,65,62%,86,33%,17,5%,43,38%,0,0%,0,0%,0,0%
Steve Blake,31.7,LAL,Point,1234,75,49.4%,8,8%,8,8%,61,28%,25,36%,100,23%,81,33%,94,56%
Andray Blatche,25.2,WAS,Big,623,5,38.5%,16,32%,60,23%,89,42%,88,65%,76,0%,83,2%,80,3%
Eric Bledsoe,21.9,LAC,Combo,431,24,43.2%,96,50%,20,10%,22,19%,4,29%,89,13%,11,9%,20,21%
Andrew Bogut,26.9,MIL,Big,363,25,45.2%,32,42%,99,50%,22,8%,78,58%,0,0%,0,0%,0,0%
Matt Bonner,31.6,SAS,Big,1299,91,58.3%,1,6%,25,14%,29,10%,15,24%,98,15%,100,55%,100,70%
Trevor Booker,23.9,WAS,Big,1243,74,53.2%,52,52%,61,24%,60,24%,58,48%,0,0%,0,0%,0,0%
Carlos Boozer,29.9,CHI,Big,1946,73,53.2%,26,37%,60,23%,89,40%,83,63%,0,0%,55,0%,52,0%
Chris Bosh,27.6,MIA,Big,1977,52,49.7%,27,38%,61,24%,82,35%,80,58%,89,2%,80,2%,82,4%
Earl Boykins,35.4,HOU,Point,110,2,35.3%,3,5%,23,14%,100,57%,100,70%,27,3%,48,22%,44,24%
Avery Bradley,20.9,BOS,Combo,1300,98,52.4%,91,46%,16,8%,76,33%,51,41%,73,9%,0,3%,7,12%
Elton Brand,32.6,PHI,Big,1728,48,49.5%,7,25%,96,44%,73,31%,98,75%,70,0%,0,0%,54,0%
Corey Brewer,25.7,DEN,Wing,1245,53,48.0%,96,51%,53,13%,6,10%,10,23%,80,18%,15,7%,32,26%
Ronnie Brewer,26.6,CHI,Wing,1585,22,45.1%,89,44%,11,6%,85,37%,64,42%,47,11%,4,3%,16,14%
Jon Brockman,24.6,MIL,Big,169,0,28.1%,65,62%,21,14%,61,24%,40,38%,0,0%,0,0%,0,0%
MarShon Brooks,22.8,BKN,Wing,1611,43,47.0%,59,29%,94,23%,59,27%,80,50%,12,4%,41,18%,25,21%
Derrick Brown,24.1,CHA,Forward,1292,79,52.3%,92,58%,33,11%,65,25%,48,36%,40,5%,8,1%,13,6%
Kwame Brown,29.6,GSW,Big,186,71,52.5%,96,85%,20,13%,10,2%,4,15%,0,0%,0,0%,0,0%
Shannon Brown,25.9,PHX,Wing,1309,55,48.3%,53,28%,25,9%,76,33%,63,42%,45,10%,50,20%,42,30%
Kobe Bryant,33.2,LAL,Wing,2228,35,46.5%,34,19%,95,25%,84,36%,95,61%,6,2%,41,17%,22,19%
Chase Budinger,23.4,HOU,Wing,1268,89,54.1%,48,26%,53,14%,15,15%,22,29%,87,21%,59,24%,77,45%
Alec Burks,20.3,UTA,Wing,884,29,45.8%,90,45%,84,19%,52,25%,69,44%,9,3%,16,7%,11,10%
Caron Butler,31.6,LAC,Wing,1866,49,47.6%,32,19%,22,9%,88,38%,75,47%,55,13%,53,22%,52,35%
Jimmy Butler,22.1,CHI,Wing,269,18,43.8%,92,47%,82,19%,45,24%,66,43%,8,3%,18,8%,12,11%
Rasual Butler,32.4,TOR,Wing,439,4,38.8%,8,8%,20,8%,66,29%,44,36%,94,30%,66,26%,90,55%
Andrew Bynum,24.0,LAL,Big,2109,85,55.9%,63,62%,89,35%,12,3%,42,38%,0,0%,63,0%,59,0%
Will Bynum,28.8,DET,Point,450,19,40.2%,94,50%,61,18%,38,20%,30,38%,48,4%,13,8%,13,12%
Jose Calderon,30.1,TOR,Point,1789,84,51.9%,14,12%,3,5%,97,50%,83,55%,11,1%,77,32%,63,33%
Marcus Camby,37.6,HOU,Big,458,50,49.6%,31,41%,48,20%,84,35%,71,56%,81,1%,82,2%,81,3%
Marcus Camby,37.6,POR,Big,891,8,41.6%,73,66%,12,11%,59,23%,32,34%,0,0%,0,0%,0,0%
Brian Cardinal,34.5,DAL,Forward,213,0,29.8%,2,7%,0,0%,0,5%,0,5%,100,51%,90,37%,100,88%
DeMarre Carroll,25.3,UTA,Wing,318,5,39.5%,62,29%,66,16%,83,36%,85,52%,35,9%,24,10%,22,19%
Matt Carroll,31.2,CHA,Wing,455,1,33.9%,37,22%,12,6%,98,46%,84,52%,53,12%,31,14%,33,26%
Anthony Carter,36.4,TOR,Point,187,14,39.8%,25,19%,34,15%,91,40%,86,55%,0,0%,59,26%,47,26%
Vince Carter,34.8,DAL,Wing,1507,51,47.7%,54,28%,79,18%,26,18%,46,36%,41,9%,67,26%,53,35%
Omri Casspi,23.4,CLE,Forward,1261,33,45.9%,69,39%,71,18%,2,5%,23,24%,69,11%,73,26%,73,37%
Mario Chalmers,25.5,MIA,Point,1795,95,54.9%,39,22%,30,14%,8,13%,3,27%,95,16%,86,35%,91,51%
Tyson Chandler,29.1,NYK,Big,2055,99,68.3%,99,91%,6,8%,6,1%,1,9%,73,0%,0,0%,55,0%
Wilson Chandler,24.5,DEN,Forward,210,15,40.7%,42,30%,56,15%,96,41%,88,56%,17,1%,38,13%,27,14%
Josh Childress,28.4,PHX,Wing,443,71,50.5%,100,66%,16,7%,0,2%,1,9%,72,16%,22,9%,29,25%
Earl Clark,23.8,ORL,Big,499,6,38.7%,34,43%,24,14%,90,43%,76,57%,0,0%,0,0%,0,0%
Norris Cole,23.0,MIA,Point,1143,20,40.3%,81,39%,48,17%,67,29%,59,46%,50,4%,20,11%,20,15%
Jason Collins,32.9,ATL,Big,265,32,47.1%,71,66%,1,3%,75,32%,34,34%,0,0%,0,0%,0,0%
Darren Collison,24.2,IND,Point,1870,58,47.7%,64,32%,63,19%,77,33%,75,51%,77,6%,19,10%,25,16%
Nick Collison,31.0,OKC,Big,1249,94,60.3%,84,71%,17,12%,42,17%,20,29%,0,0%,0,0%,0,0%
Mike Conley,24.1,MEM,Point,2167,64,48.1%,72,34%,52,17%,58,27%,53,44%,64,5%,33,17%,36,22%
Brian Cook,30.9,WAS,Big,124,42,48.8%,6,21%,9,10%,69,29%,43,38%,0,0%,99,40%,97,40%
Daequan Cook,24.5,OKC,Wing,917,78,51.5%,1,3%,5,3%,16,15%,3,19%,92,29%,99,50%,98,79%
DeMarcus Cousins,21.2,SAC,Big,1922,22,44.8%,56,55%,57,22%,55,22%,52,44%,76,0%,70,1%,71,1%
Jamal Crawford,31.6,POR,Combo,1580,29,44.9%,22,19%,42,16%,73,33%,76,49%,87,11%,51,22%,58,33%
Jordan Crawford,23.0,WAS,Wing,1713,24,45.3%,47,26%,64,15%,72,31%,73,46%,23,6%,52,22%,37,28%
Dante Cunningham,24.5,MEM,Big,1080,68,51.9%,42,46%,29,15%,86,39%,70,54%,0,0%,0,0%,0,0%
Stephen Curry,23.6,GSW,Point,728,98,57.8%,17,14%,20,13%,78,34%,61,46%,81,8%,78,32%,81,40%
