Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
LaMarcus Aldridge,29.3,POR,Big,208,33,-1.2%,93,+8.8%,38,-2.3%,65,+4.3%,56,+0.8%,98,+38.1%,23,-8.0%,30,-5.1%
Tony Allen,32.8,MEM,Wing,278,73,+3.1%,77,+3.9%,40,-2.2%,59,+2.3%,50,-0.2%,81,+14.2%,65,+5.4%,76,+7.9%
Al-Farouq Aminu,24.1,DAL,Forward,148,60,+1.3%,63,+1.6%,40,-2.0%,86,+10.3%,76,+3.7%,10,-17.7%,59,+2.9%,39,-2.6%
Alan Anderson,32.0,BKN,Wing,141,94,+8.4%,85,+5.9%,15,-8.7%,75,+6.1%,35,-1.6%,90,+21.9%,94,+15.9%,98,+18.1%
Giannis Antetokounmpo,19.9,MIL,Forward,200,5,-9.8%,29,-3.5%,26,-6.4%,98,+18.5%,90,+7.5%,2,-51.3%,11,-13.1%,1,-26.2%
Pero Antic,32.3,ATL,Big,195,24,-2.6%,8,-9.3%,60,+3.1%,24,-5.5%,40,-1.1%,48,+0.5%,48,-1.1%,46,-0.2%
Trevor Ariza,29.3,HOU,Forward,653,64,+2.1%,77,+4.0%,31,-3.2%,69,+5.2%,49,-0.2%,26,-9.2%,73,+6.6%,60,+2.1%
Leandro Barbosa,31.9,GSW,Combo,217,39,-1.1%,10,-8.8%,47,-0.2%,20,-8.1%,20,-4.1%,81,+14.2%,60,+3.3%,69,+5.1%
J.J. Barea,30.3,DAL,Combo,152,77,+4.2%,19,-5.5%,60,+3.2%,87,+10.7%,85,+6.8%,77,+11.6%,81,+9.4%,85,+9.8%
Harrison Barnes,22.4,GSW,Forward,678,19,-4.1%,48,-0.7%,66,+3.8%,40,-0.6%,65,+2.3%,11,-17.3%,32,-5.2%,19,-7.8%
Matt Barnes,34.6,LAC,Wing,404,77,+4.0%,27,-3.8%,50,+0.6%,36,-1.6%,46,-0.6%,59,+4.0%,85,+11.5%,84,+9.6%
Nicolas Batum,25.9,POR,Wing,208,68,+2.7%,31,-3.4%,38,-2.3%,89,+11.2%,83,+5.5%,98,+40.0%,6,-15.6%,31,-4.7%
Jerryd Bayless,26.2,MIL,Combo,108,98,+10.1%,73,+3.6%,98,+24.0%,55,+1.9%,87,+6.9%,37,-2.3%,98,+19.7%,95,+16.5%
Kent Bazemore,25.3,ATL,Wing,299,25,-2.6%,71,+2.9%,24,-6.5%,57,+2.1%,31,-2.5%,17,-12.2%,38,-4.0%,26,-6.0%
Bradley Beal,21.3,WAS,Wing,416,31,-1.9%,48,-0.8%,4,-16.1%,19,-8.5%,3,-12.5%,63,+6.2%,77,+8.1%,75,+7.4%
Marco Belinelli,28.6,SAS,Combo,108,85,+4.7%,97,+10.9%,9,-12.4%,21,-7.9%,5,-10.8%,14,-13.9%,97,+19.2%,82,+9.1%
Bojan Bogdanovic,25.5,BKN,Forward,205,40,-1.0%,15,-6.8%,10,-11.9%,22,-7.6%,6,-10.1%,69,+7.1%,91,+15.3%,90,+12.2%
Andrew Bogut,29.9,GSW,Big,438,50,+0.3%,84,+5.1%,41,-1.9%,90,+12.1%,81,+4.9%,52,+1.9%,34,-4.8%,36,-3.2%
Avery Bradley,23.9,BOS,Combo,132,72,+3.1%,69,+2.7%,97,+16.7%,64,+4.0%,94,+9.5%,100,+55.6%,10,-13.3%,35,-4.0%
Corey Brewer,28.7,HOU,Wing,417,11,-5.9%,21,-5.2%,29,-4.5%,65,+4.2%,39,-1.3%,54,+2.3%,12,-12.9%,17,-8.8%
Aaron Brooks,29.8,CHI,Point,120,6,-9.0%,72,+3.4%,43,-1.5%,1,-22.5%,2,-13.1%,23,-10.0%,20,-8.7%,14,-9.7%
Jimmy Butler,25.1,CHI,Wing,505,97,+9.9%,17,-6.1%,77,+6.3%,99,+23.0%,99,+15.4%,93,+25.0%,69,+5.9%,85,+10.0%
Nick Calathes,25.7,MEM,Combo,117,69,+2.9%,35,-3.0%,63,+3.4%,53,+1.6%,67,+2.6%,36,-2.5%,87,+14.0%,87,+10.3%
Clint Capela,20.5,HOU,Big,108,26,-2.5%,59,+1.2%,81,+7.0%,27,-5.3%,63,+2.1%,48,+0.6%,14,-12.0%,15,-9.1%
DeMarre Carroll,28.3,ATL,Wing,556,82,+4.6%,54,+0.7%,57,+2.6%,60,+2.8%,70,+2.7%,80,+13.5%,76,+7.7%,81,+8.6%
Vince Carter,37.8,MEM,Wing,193,23,-3.2%,39,-2.4%,48,-0.1%,51,+1.2%,55,+0.5%,34,-3.7%,6,-15.0%,10,-11.9%
Michael Carter-Williams,23.1,MIL,Point,190,9,-7.1%,50,-0.2%,2,-17.2%,47,+0.6%,23,-3.4%,74,+11.1%,3,-19.7%,7,-13.8%
Tyson Chandler,32.1,DAL,Big,160,48,-0.0%,69,+2.8%,51,+0.7%,85,+9.5%,81,+4.8%,67,+6.7%,15,-10.9%,25,-6.4%
Norris Cole,26.1,NOP,Point,105,89,+6.0%,99,+20.3%,1,-18.0%,27,-4.8%,6,-10.6%,41,0.0%,83,+10.4%,81,+8.6%
Mike Conley,27.1,MEM,Point,243,32,-1.6%,2,-11.8%,67,+3.8%,15,-10.2%,28,-2.5%,88,+20.6%,74,+7.5%,86,+10.3%
Jamal Crawford,34.6,LAC,Wing,372,69,+2.7%,87,+6.6%,83,+7.4%,35,-1.9%,61,+2.1%,73,+11.1%,40,-3.4%,52,+0.5%
Jae Crowder,24.3,BOS,Forward,100,59,+1.2%,90,+6.9%,18,-8.0%,62,+3.6%,42,-0.9%,3,-37.1%,60,+3.8%,37,-3.1%
Stephen Curry,26.6,GSW,Point,823,41,-1.0%,45,-1.1%,28,-4.8%,66,+4.7%,48,-0.3%,22,-10.3%,26,-7.4%,21,-7.4%
Anthony Davis,21.6,NOP,Big,171,1,-13.0%,2,-11.0%,20,-7.1%,2,-18.7%,0,-14.7%,0,0.0%,33,-5.1%,13,-9.9%
Glen Davis,28.8,LAC,Big,136,22,-3.2%,25,-4.6%,17,-8.1%,78,+6.6%,52,+0.1%,50,+1.7%,48,-1.3%,43,-1.3%
DeMar DeRozan,25.2,TOR,Wing,158,79,+4.5%,100,+24.2%,11,-11.3%,49,+1.1%,11,-6.3%,4,-37.0%,86,+11.9%,61,+2.6%
Matthew Dellavedova,24.1,CLE,Combo,486,52,+0.4%,33,-3.3%,45,-0.7%,34,-2.5%,35,-1.7%,73,+10.9%,56,+1.6%,66,+3.8%
Boris Diaw,32.5,SAS,Big,197,83,+4.6%,55,+0.8%,64,+3.5%,93,+14.4%,91,+8.1%,96,+35.4%,19,-8.8%,64,+3.5%
Jared Dudley,29.3,MIL,Forward,110,62,+1.5%,37,-3.0%,81,+6.9%,14,-10.3%,15,-5.0%,71,+8.2%,82,+10.1%,88,+11.0%
Tim Duncan,38.5,SAS,Big,249,91,+7.6%,96,+10.5%,100,+33.5%,70,+5.3%,100,+23.7%,35,-3.3%,31,-5.6%,32,-4.4%
Mike Dunleavy,34.1,CHI,Wing,388,93,+7.9%,73,+3.5%,32,-3.1%,80,+6.8%,68,+2.6%,64,+6.3%,93,+15.8%,91,+14.2%
Monta Ellis,29.0,DAL,Wing,196,99,+11.0%,5,-10.0%,90,+9.6%,58,+2.1%,86,+6.8%,94,+26.6%,98,+19.5%,100,+21.1%
Tyreke Evans,25.1,NOP,Wing,125,21,-3.3%,7,-9.5%,89,+8.9%,71,+5.8%,89,+7.3%,41,0.0%,29,-6.0%,24,-6.9%
Festus Ezeli,25.0,GSW,Big,179,27,-2.4%,20,-5.4%,72,+5.3%,5,-15.9%,15,-4.6%,87,+20.1%,43,-3.3%,65,+3.5%
Marc Gasol,29.8,MEM,Big,413,71,+3.0%,41,-1.9%,42,-1.5%,31,-4.2%,29,-2.5%,85,+19.0%,94,+16.5%,96,+17.1%
Pau Gasol,34.3,CHI,Big,315,90,+7.3%,88,+6.6%,23,-6.5%,90,+11.8%,79,+4.1%,61,+4.5%,78,+8.4%,79,+8.4%
Taj Gibson,29.4,CHI,Big,270,15,-4.7%,22,-5.0%,94,+11.7%,9,-11.8%,37,-1.6%,5,-33.3%,73,+6.6%,40,-2.3%
Manu Ginobili,37.3,SAS,Wing,130,45,-0.3%,14,-7.2%,10,-11.8%,28,-4.4%,9,-8.9%,69,+6.9%,80,+9.1%,80,+8.6%
Drew Gooden,33.1,WAS,Big,177,53,+0.5%,56,+0.8%,78,+6.3%,11,-10.6%,27,-2.9%,77,+12.3%,40,-3.6%,56,+1.5%
Eric Gordon,25.9,NOP,Combo,143,2,-11.1%,52,+0.6%,8,-12.5%,6,-13.0%,1,-13.2%,41,0.0%,16,-10.4%,8,-12.4%
