Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Quincy Acy,25.1,SAC,Big,843,36,+0.8%,19,+2.3%,91,-2.1%,46,-0.0%,76,-2.1%,70,-0.4%,42,+0.3%,53,-0.1%
Steven Adams,22.3,OKC,Big,1999,93,-3.1%,79,-1.7%,92,-2.1%,6,+3.2%,30,+1.0%,31,+0.5%,46,+0.1%,40,+0.6%
Arron Afflalo,30.0,NYK,Wing,2354,26,+1.4%,49,+0.2%,59,-0.4%,42,+0.1%,52,-0.3%,75,-0.6%,35,+0.6%,49,+0.0%
Alexis Ajinca,27.5,NOP,Big,815,92,-2.9%,88,-2.8%,35,+0.7%,29,+1.0%,21,+1.7%,22,+0.7%,40,+0.4%,29,+1.1%
Cole Aldrich,27.0,LAC,Big,704,29,+1.1%,3,+4.4%,78,-1.3%,95,-4.2%,96,-5.4%,2,+2.0%,72,-0.9%,30,+1.0%
LaMarcus Aldridge,30.3,SAS,Big,2251,50,+0.0%,86,-2.5%,10,+2.0%,17,+1.9%,7,+3.9%,81,-0.8%,63,-0.6%,76,-1.4%
Lavoy Allen,26.7,IND,Big,1558,84,-2.1%,76,-1.4%,29,+0.9%,15,+2.0%,11,+2.9%,85,-1.0%,62,-0.5%,78,-1.5%
Tony Allen,33.8,MEM,Wing,1606,60,-0.4%,52,+0.2%,35,+0.7%,30,+0.9%,22,+1.6%,71,-0.4%,80,-1.3%,82,-1.8%
Al-Farouq Aminu,25.1,POR,Forward,2337,27,+1.4%,18,+2.4%,8,+2.0%,86,-2.5%,55,-0.5%,55,-0.1%,88,-1.8%,82,-1.8%
Lou Amundson,32.9,NYK,Big,171,95,-3.8%,88,-2.8%,89,-1.8%,79,-2.0%,91,-3.8%,2,+2.1%,2,+4.4%,1,+6.6%
Chris Andersen,37.3,MEM,Big,361,15,+2.3%,46,+0.4%,88,-1.8%,7,+2.8%,31,+1.0%,84,-0.9%,59,-0.5%,76,-1.4%
Alan Anderson,33.0,WAS,Wing,190,97,-4.4%,99,-6.5%,12,+1.7%,34,+0.5%,17,+2.3%,86,-1.0%,1,+5.3%,3,+4.2%
James Anderson,26.6,SAC,Wing,690,77,-1.5%,63,-0.5%,16,+1.6%,54,-0.5%,29,+1.1%,15,+0.9%,82,-1.5%,62,-0.6%
Justin Anderson,21.9,DAL,Wing,556,80,-1.8%,39,+0.9%,85,-1.6%,50,-0.2%,72,-1.9%,27,+0.6%,40,+0.4%,31,+1.0%
Kyle Anderson,22.1,SAS,Forward,1048,23,+1.5%,62,-0.5%,27,+1.0%,72,-1.5%,54,-0.5%,62,-0.2%,24,+1.2%,33,+1.0%
Ryan Anderson,27.5,NOP,Big,1965,61,-0.5%,9,+3.2%,20,+1.3%,97,-4.7%,89,-3.4%,30,+0.5%,57,-0.3%,47,+0.2%
Giannis Antetokounmpo,20.9,MIL,Forward,2813,15,+2.4%,84,-2.3%,25,+1.0%,59,-0.8%,43,+0.2%,12,+1.0%,25,+1.0%,17,+2.0%
Carmelo Anthony,31.4,NYK,Wing,2524,34,+0.9%,55,-0.1%,72,-1.0%,30,+1.0%,47,-0.0%,97,-1.7%,14,+1.8%,48,+0.1%
Trevor Ariza,30.3,HOU,Forward,2853,12,+2.8%,37,+1.0%,26,+1.0%,58,-0.7%,43,+0.2%,35,+0.4%,86,-1.7%,73,-1.2%
Darrell Arthur,27.6,DEN,Big,1496,87,-2.4%,66,-0.7%,68,-0.7%,20,+1.6%,35,+0.8%,86,-1.0%,27,+0.9%,52,-0.1%
Omer Asik,29.3,NOP,Big,1175,43,+0.4%,91,-3.1%,60,-0.4%,1,+4.9%,5,+4.5%,41,+0.3%,87,-1.7%,76,-1.4%
D.J. Augustin,28.0,OKC,Point,471,32,+1.0%,38,+0.9%,25,+1.0%,98,-5.1%,93,-4.1%,34,+0.4%,8,+2.7%,7,+3.2%
D.J. Augustin,28.0,DEN,Point,631,84,-2.1%,3,+4.5%,24,+1.1%,77,-1.8%,58,-0.7%,97,-1.7%,91,-2.1%,97,-3.8%
Luke Babbitt,26.4,NOP,Forward,798,43,+0.4%,56,-0.1%,53,-0.2%,29,+1.0%,34,+0.8%,60,-0.2%,61,-0.5%,64,-0.7%
Leandro Barbosa,32.9,GSW,Wing,955,9,+3.2%,57,-0.1%,51,-0.2%,73,-1.5%,70,-1.7%,42,+0.3%,17,+1.6%,19,+1.8%
J.J. Barea,31.3,DAL,Point,1601,17,+2.1%,58,-0.2%,63,-0.6%,45,+0.0%,55,-0.5%,5,+1.4%,66,-0.7%,39,+0.7%
