Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Ray Allen,37.3,MIA,Wing,565,73,+4.4%,67,+3.6%,86,+10.3%,25,-6.0%,54,+0.3%,56,+4.0%,59,+3.8%,63,+4.4%
Tony Allen,30.8,MEM,Wing,420,70,+3.1%,64,+2.9%,81,+7.0%,76,+6.2%,86,+6.8%,8,-15.7%,36,-2.8%,13,-8.1%
Chris Andersen,34.3,MIA,Big,298,65,+2.5%,73,+4.5%,25,-5.7%,24,-6.0%,12,-5.9%,39,-1.2%,76,+7.1%,60,+4.1%
Carmelo Anthony,28.4,NYK,Forward,480,29,-2.1%,37,-1.7%,83,+8.9%,83,+7.5%,90,+8.1%,79,+13.3%,16,-9.7%,27,-5.0%
Darrell Arthur,24.6,MEM,Big,173,52,+0.6%,46,-0.1%,18,-7.0%,51,-0.2%,24,-3.4%,57,+4.0%,93,+12.4%,88,+9.0%
Omer Asik,26.3,HOU,Big,207,71,+3.8%,27,-4.3%,87,+10.9%,6,-15.7%,42,-1.0%,85,+17.1%,76,+7.0%,90,+9.4%
D.J. Augustin,25.0,IND,Point,308,8,-7.2%,8,-13.4%,48,-0.0%,63,+3.7%,62,+1.8%,29,-3.9%,11,-12.4%,9,-10.6%
Harrison Barnes,20.4,GSW,Wing,459,63,+2.2%,39,-1.5%,63,+3.9%,31,-5.0%,43,-0.9%,63,+5.5%,71,+5.8%,61,+4.1%
Matt Barnes,32.6,LAC,Wing,160,92,+7.7%,98,+16.6%,35,-3.2%,86,+8.0%,64,+2.2%,5,-19.5%,64,+4.7%,38,-2.3%
Brandon Bass,27.5,BOS,Big,201,94,+8.8%,93,+12.5%,39,-1.9%,66,+4.6%,57,+1.3%,71,+9.5%,97,+14.3%,96,+12.6%
Shane Battier,34.1,MIA,Forward,375,37,-1.6%,61,+2.4%,61,+2.9%,23,-6.3%,31,-2.6%,16,-11.4%,34,-3.2%,23,-5.4%
Jerryd Bayless,24.2,MEM,Combo,313,43,-0.5%,22,-4.7%,46,-0.3%,53,+0.1%,47,-0.4%,50,+2.4%,74,+6.5%,67,+4.9%
Marco Belinelli,26.6,CHI,Wing,314,35,-1.8%,45,-0.1%,64,+4.2%,13,-10.9%,11,-6.0%,75,+12.0%,38,-2.5%,48,+1.0%
Patrick Beverley,24.3,HOU,Point,191,78,+4.6%,71,+4.0%,57,+2.0%,8,-12.6%,17,-4.1%,60,+4.8%,78,+7.4%,75,+6.1%
Chauncey Billups,36.1,LAC,Wing,115,41,-0.8%,26,-4.6%,18,-7.0%,39,-2.4%,24,-3.3%,77,+12.9%,80,+7.6%,87,+8.7%
