Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Quincy Acy,25.1,SAC,Big,843,42,1.5%,63,1.3%,38,4.8%,41,7.4%,21,13.9%,67,4.1%,28,21.3%
Steven Adams,22.3,OKC,Big,1999,68,2.2%,24,0.9%,54,4.2%,84,11.1%,19,13.6%,95,8.8%,48,27.0%
Arron Afflalo,30.0,NYK,Wing,2354,17,0.2%,1,0.5%,74,2.5%,10,1.0%,44,9.7%,61,1.1%,64,11.6%
Alexis Ajinca,27.5,NOP,Big,815,64,2.2%,32,0.9%,8,6.3%,59,9.0%,77,20.9%,58,3.2%,98,52.3%
Cole Aldrich,27.0,LAC,Big,704,98,4.5%,99,3.0%,2,6.9%,88,12.1%,90,23.7%,57,3.1%,92,46.7%
LaMarcus Aldridge,30.3,SAS,Big,2251,55,1.9%,16,0.8%,93,2.8%,54,8.5%,66,19.2%,68,4.1%,70,34.4%
Lavoy Allen,26.7,IND,Big,1558,40,1.4%,8,0.7%,64,3.9%,79,10.7%,32,15.7%,63,3.6%,41,24.7%
Tony Allen,33.8,MEM,Wing,1606,66,0.6%,100,3.1%,9,4.7%,98,6.7%,80,12.9%,62,1.1%,66,12.8%
Al-Farouq Aminu,25.1,POR,Forward,2337,72,1.1%,46,1.3%,79,2.9%,63,3.9%,77,16.8%,96,6.0%,51,17.5%
Lou Amundson,32.9,NYK,Big,171,47,1.6%,68,1.3%,0,9.2%,84,11.3%,3,11.2%,0,0.0%,43,25.0%
Chris Andersen,37.3,MEM,Big,361,39,1.4%,90,1.8%,91,3.0%,64,9.4%,35,16.0%,0,0.0%,92,47.4%
Alan Anderson,33.0,WAS,Wing,190,22,0.3%,20,1.0%,0,6.0%,3,0.6%,85,13.4%,0,0.0%,59,10.0%
James Anderson,26.6,SAC,Wing,690,89,1.0%,42,1.2%,53,3.0%,40,1.7%,39,9.5%,87,2.6%,13,2.3%
Justin Anderson,21.9,DAL,Wing,556,99,2.1%,56,1.5%,47,3.1%,73,2.9%,97,17.0%,0,0.0%,79,17.9%
Kyle Anderson,22.1,SAS,Forward,1048,82,1.3%,88,2.3%,63,3.4%,12,1.9%,95,18.2%,95,5.8%,88,32.0%
Ryan Anderson,27.5,NOP,Big,1965,9,0.7%,23,0.8%,99,2.1%,33,6.4%,20,13.8%,33,1.0%,8,14.6%
Giannis Antetokounmpo,20.9,MIL,Forward,2813,98,2.1%,60,1.5%,51,3.6%,72,4.4%,84,17.3%,63,2.1%,89,32.9%
Carmelo Anthony,31.4,NYK,Wing,2524,76,0.8%,30,1.1%,68,2.7%,89,3.9%,99,17.4%,82,2.1%,82,19.1%
Trevor Ariza,30.3,HOU,Forward,2853,19,0.5%,96,2.4%,86,2.6%,21,2.4%,21,10.5%,49,1.5%,39,13.6%
Darrell Arthur,27.6,DEN,Big,1496,50,1.7%,81,1.6%,32,5.0%,25,5.5%,16,13.1%,68,4.1%,17,17.6%
Omer Asik,29.3,NOP,Big,1175,24,1.0%,19,0.8%,60,4.1%,67,9.6%,97,25.3%,91,7.8%,76,37.0%
D.J. Augustin,28.0,DEN,Point,631,21,0.2%,46,1.6%,64,2.8%,2,0.5%,23,7.8%,0,0.0%,0,0.0%
D.J. Augustin,28.0,OKC,Point,471,30,0.2%,26,1.2%,36,3.5%,3,0.7%,20,7.7%,0,0.0%,0,0.0%
Luke Babbitt,26.4,NOP,Forward,798,12,0.5%,4,0.5%,30,4.5%,37,2.8%,60,14.1%,0,0.0%,74,27.9%
Leandro Barbosa,32.9,GSW,Wing,955,47,0.4%,63,1.5%,17,4.2%,76,3.0%,24,8.6%,0,0.0%,0,0.0%
J.J. Barea,31.3,DAL,Point,1601,10,0.1%,2,0.7%,66,2.8%,43,1.7%,15,7.5%,0,0.0%,90,10.6%
Andrea Bargnani,30.0,BKN,Big,612,15,0.8%,1,0.3%,59,4.1%,13,4.2%,8,12.1%,0,0.0%,4,12.5%
Harrison Barnes,23.4,GSW,Forward,2008,7,0.3%,12,0.9%,82,2.8%,68,4.0%,32,11.2%,65,2.3%,46,16.7%
Matt Barnes,35.6,MEM,Forward,2145,86,1.5%,61,1.6%,23,4.6%,58,3.7%,67,15.0%,81,3.3%,93,34.1%
Will Barton,24.8,DEN,Wing,2284,82,0.9%,49,1.3%,75,2.5%,66,2.4%,96,16.8%,71,1.3%,96,32.9%
Brandon Bass,30.5,LAL,Big,1287,59,2.0%,45,1.1%,62,3.9%,46,7.8%,13,12.7%,41,1.6%,33,22.6%
Nicolas Batum,26.9,CHA,Wing,2434,87,0.9%,37,1.2%,96,1.8%,60,2.3%,90,14.4%,55,0.9%,90,25.4%
Jerryd Bayless,27.2,MIL,Combo,1481,42,0.4%,35,1.3%,42,3.3%,35,1.5%,45,8.6%,76,1.1%,29,2.2%
Aron Baynes,28.9,DET,Big,1177,67,2.2%,13,0.8%,50,4.3%,81,10.8%,74,20.5%,61,3.4%,13,16.7%
Kent Bazemore,26.3,ATL,Wing,2068,86,0.9%,90,2.1%,36,3.5%,27,1.4%,94,15.2%,0,0.0%,91,27.0%
Bradley Beal,22.3,WAS,Wing,1695,32,0.3%,52,1.4%,63,2.7%,65,2.4%,20,8.3%,60,1.0%,82,19.0%
Michael Beasley,26.8,HOU,Big,355,33,1.3%,56,1.2%,56,4.1%,52,8.1%,41,16.9%,0,0.0%,22,20.0%
Marco Belinelli,29.6,SAC,Wing,1659,4,0.1%,19,1.0%,90,2.3%,1,0.6%,6,6.6%,58,0.9%,35,5.3%
Patrick Beverley,27.3,HOU,Point,2021,90,0.6%,67,2.0%,11,4.9%,92,3.8%,38,9.0%,79,1.1%,36,1.9%
Bismack Biyombo,23.2,TOR,Big,1799,96,4.0%,3,0.5%,33,5.0%,78,10.7%,91,23.8%,30,0.9%,93,48.5%
Nemanja Bjelica,27.5,MIN,Big,1012,24,1.1%,52,1.1%,7,6.3%,17,4.6%,25,14.3%,64,3.7%,57,29.8%
Tarik Black,23.9,LAL,Big,432,58,2.0%,42,1.0%,4,6.8%,73,10.2%,81,21.2%,0,0.0%,35,23.3%
DeJuan Blair,26.5,WAS,Big,175,2,0.3%,88,1.7%,1,8.5%,55,8.6%,30,15.0%,0,0.0%,43,25.0%
Steve Blake,35.7,DET,Point,919,49,0.3%,21,1.2%,43,3.3%,7,0.9%,28,8.2%,0,0.0%,82,9.1%
Eric Bledsoe,25.9,PHX,Combo,1055,87,0.9%,96,2.6%,76,2.7%,55,1.7%,65,10.1%,0,0.0%,91,9.5%
Bojan Bogdanovic,26.5,BKN,Wing,2066,7,0.1%,3,0.6%,84,2.4%,39,1.7%,50,10.3%,80,1.9%,75,16.5%
Andrew Bogut,30.9,GSW,Big,1449,95,3.9%,39,1.0%,8,6.2%,61,9.0%,84,22.5%,0,0.0%,64,33.3%
Matt Bonner,35.6,SAS,Big,129,4,0.5%,12,0.7%,67,3.7%,0,1.1%,0,8.5%,0,0.0%,64,33.3%
Devin Booker,19.0,PHX,Wing,2064,51,0.5%,11,0.9%,14,4.3%,14,1.2%,13,7.8%,75,1.6%,25,4.1%
Trevor Booker,27.9,UTA,Big,1612,41,1.4%,87,1.7%,53,4.2%,79,10.7%,41,17.0%,43,1.9%,64,33.3%
Chris Bosh,31.6,MIA,Big,1769,20,1.0%,33,1.0%,98,2.5%,4,2.9%,58,18.4%,55,2.9%,53,28.6%
Avery Bradley,24.9,BOS,Combo,2518,38,0.4%,84,2.0%,71,2.7%,64,1.8%,2,6.8%,0,0.0%,47,3.4%
Elton Brand,36.6,PHI,Big,224,52,1.8%,84,1.6%,5,6.5%,9,3.7%,83,22.3%,0,0.0%,30,22.2%
Corey Brewer,29.7,HOU,Forward,1624,28,0.6%,84,2.1%,32,4.2%,19,2.3%,16,9.2%,72,2.8%,11,4.9%
Aaron Brooks,30.8,CHI,Point,1065,74,0.5%,23,1.2%,8,5.2%,39,1.7%,8,7.1%,100,6.8%,64,4.6%
Anthony Brown,23.1,LAL,Wing,500,46,0.4%,12,0.9%,62,2.8%,9,1.0%,54,10.7%,95,3.4%,69,14.3%
Markel Brown,23.8,BKN,Wing,892,78,0.8%,70,1.6%,13,4.3%,61,2.4%,55,10.7%,0,0.0%,46,7.4%
