Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Arron Afflalo,26.0,DEN,Wing,2077,31,-3.8,7,-2.4,24,-1.2%,15,-11.8,4,-1.6,8,-9.8%,19,-14.7,27,-0.8,46,-0.6%,32,-8.0
Solomon Alabi,23.6,TOR,Big,105,28,-4.2,15,-1.6,76,+1.1%,34,-4.9,20,-0.8,59,+1.3%,27,-11.4,14,-1.3,29,-2.3%,33,-7.7
LaMarcus Aldridge,26.3,POR,Big,1987,83,+4.6,14,-1.7,76,+1.1%,10,-15.3,26,-0.6,28,-4.6%,17,-16.8,18,-1.1,63,+0.8%,14,-14.9
Lavoy Allen,22.7,PHI,Big,569,26,-4.6,18,-1.5,15,-1.9%,12,-14.3,8,-1.1,39,-2.2%,7,-27.0,37,-0.4,9,-5.4%,32,-8.2
Ray Allen,36.3,BOS,Wing,1558,74,+3.1,27,-1.0,80,+1.3%,16,-11.3,49,-0.1,69,+3.3%,54,+1.2,21,-1.0,90,+5.1%,11,-17.9
Tony Allen,29.8,MEM,Wing,1523,66,+1.6,78,+1.0,92,+2.4%,61,+2.1,77,+0.6,82,+5.8%,34,-7.1,71,+0.5,53,-0.1%,64,+4.7
Al-Farouq Aminu,21.1,NOH,Forward,1436,55,-0.3,41,-0.5,49,-0.2%,37,-4.2,54,+0.0,11,-8.9%,54,+1.1,35,-0.5,37,-1.5%,30,-8.8
Lou Amundson,28.9,IND,Big,650,36,-3.4,44,-0.4,78,+1.2%,43,-2.9,35,-0.4,88,+7.9%,18,-15.0,56,+0.1,64,+0.9%,63,+4.5
Chris Andersen,33.3,DEN,Big,481,55,-0.3,59,+0.2,24,-1.2%,63,+2.5,79,+0.6,25,-5.6%,75,+10.7,37,-0.4,16,-3.7%,45,-2.7
Alan Anderson,29.0,TOR,Wing,450,6,-10.8,85,+1.3,79,+1.3%,94,+16.7,63,+0.2,14,-7.8%,96,+38.7,77,+0.7,80,+3.0%,81,+11.4
James Anderson,22.6,SAS,Wing,512,69,+2.4,71,+0.8,30,-1.0%,88,+12.6,20,-0.7,28,-4.5%,35,-6.2,89,+1.3,31,-2.0%,93,+19.5
Ryan Anderson,23.5,ORL,Big,1956,98,+11.4,87,+1.5,90,+2.1%,87,+12.2,89,+1.1,36,-2.9%,93,+29.2,67,+0.4,95,+6.6%,59,+3.4
Carmelo Anthony,27.4,NYK,Forward,1871,74,+3.2,83,+1.2,68,+0.7%,79,+8.0,78,+0.6,83,+6.5%,75,+10.7,78,+0.8,50,-0.3%,70,+6.8
Joel Anthony,29.2,MIA,Big,1342,80,+4.2,80,+1.1,94,+2.6%,51,-0.4,82,+0.7,74,+3.9%,53,+1.1,67,+0.4,93,+5.9%,42,-3.6
Gilbert Arenas,29.8,MEM,Point,210,52,-0.7,14,-1.7,70,+0.9%,32,-5.4,95,+1.5,6,-11.3%,99,+55.4,2,-3.0,90,+5.0%,3,-35.0
Trevor Ariza,26.3,NOH,Wing,1346,61,+0.7,63,+0.4,59,+0.3%,65,+3.2,62,+0.2,84,+6.8%,59,+3.3,59,+0.2,60,+0.6%,58,+2.8
Omer Asik,25.3,CHI,Big,874,13,-7.3,77,+1.0,20,-1.4%,87,+12.2,49,-0.0,57,+1.1%,36,-6.1,83,+1.0,6,-6.7%,92,+19.0
D.J. Augustin,24.0,CHA,Point,1404,82,+4.5,70,+0.8,38,-0.6%,81,+8.6,13,-1.0,69,+3.4%,6,-27.9,92,+1.5,36,-1.5%,94,+20.3
Gustavo Ayon,26.6,NOH,Big,1042,63,+1.3,54,+0.1,63,+0.5%,38,-4.0,79,+0.6,55,+0.8%,60,+3.8,33,-0.5,58,+0.3%,24,-10.7
Luke Babbitt,22.4,POR,Forward,468,29,-4.0,61,+0.3,59,+0.3%,55,+0.5,12,-1.0,85,+7.0%,9,-22.9,92,+1.5,85,+4.2%,92,+19.0
Leandro Barbosa,28.9,TOR,Combo,925,69,+2.3,57,+0.2,83,+1.5%,23,-8.1,41,-0.2,93,+9.7%,15,-17.8,70,+0.5,81,+3.3%,48,-0.9
Leandro Barbosa,28.9,IND,Wing,413,52,-0.7,80,+1.1,85,+1.6%,71,+5.1,58,+0.1,79,+5.1%,11,-20.5,84,+1.0,68,+1.4%,90,+17.7
J.J. Barea,27.3,MIN,Point,1022,51,-0.9,41,-0.4,66,+0.6%,27,-6.9,27,-0.6,93,+10.3%,32,-8.3,53,+0.1,83,+3.7%,36,-6.4
Andrea Bargnani,26.0,TOR,Forward,1030,83,+4.7,20,-1.4,6,-3.0%,20,-9.7,40,-0.2,5,-12.1%,39,-5.0,19,-1.1,9,-5.4%,16,-14.2
Matt Barnes,31.6,LAL,Wing,1429,73,+3.0,59,+0.2,94,+2.7%,38,-4.0,19,-0.8,90,+8.5%,3,-34.1,82,+0.9,92,+5.4%,79,+10.8
Brandon Bass,26.5,BOS,Big,1850,87,+5.8,47,-0.2,59,+0.3%,48,-1.5,6,-1.3,63,+2.0%,4,-32.5,84,+1.0,52,-0.2%,85,+13.0
Tony Battie,35.7,PHI,Big,286,22,-5.5,64,+0.4,51,-0.2%,61,+2.2,79,+0.6,48,-0.4%,72,+9.4,42,-0.3,28,-2.4%,47,-1.9
Shane Battier,33.1,MIA,Wing,1451,39,-2.9,36,-0.6,2,-4.0%,72,+5.5,24,-0.6,6,-11.2%,59,+3.2,52,+0.0,3,-8.1%,74,+8.3
