Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Alex Abrines,24.3,OKC,Wing,1066,81,54.5%,14,16%,7,5%,19,6%,8,11%,85,20%,96,53%,97,74%
Quincy Acy,27.1,BKN,Big,1287,20,50.3%,7,17%,1,3%,28,5%,2,8%,98,25%,95,51%,99,76%
Steven Adams,24.3,OKC,Big,2465,92,63.1%,92,77%,61,23%,2,1%,26,23%,0,0%,0,0%,0,0%
Bam Adebayo,20.3,MIA,Big,1319,31,52.0%,85,73%,55,21%,34,5%,40,26%,33,0%,21,0%,23,1%
Arron Afflalo,32.0,ORL,Wing,618,33,48.5%,17,16%,57,16%,92,28%,84,44%,83,19%,24,21%,47,40%
LaMarcus Aldridge,32.3,SAS,Big,2474,33,52.2%,33,34%,90,33%,94,27%,99,60%,42,1%,46,5%,41,6%
Jarrett Allen,19.5,BKN,Big,1421,84,59.9%,87,74%,53,21%,9,2%,24,23%,50,3%,20,0%,35,3%
Tony Allen,35.8,NOP,Wing,258,53,51.2%,99,74%,28,10%,16,5%,16,15%,14,5%,4,5%,4,11%
Al-Farouq Aminu,27.1,POR,Big,2055,20,50.4%,19,26%,15,11%,38,6%,14,18%,92,16%,90,40%,90,56%
Justin Anderson,24.0,PHI,Wing,420,92,58.5%,79,39%,19,8%,14,5%,9,13%,71,15%,64,34%,70,48%
Kyle Anderson,24.1,SAS,Forward,1946,76,55.3%,82,44%,96,30%,57,15%,90,45%,33,8%,0,4%,6,11%
Ryan Anderson,29.5,HOU,Big,1672,66,56.9%,9,20%,5,6%,46,8%,8,14%,72,7%,99,59%,96,67%
Giannis Antetokounmpo,22.9,MIL,Forward,2740,71,54.7%,96,54%,63,19%,76,18%,73,37%,2,1%,6,7%,2,8%
Carmelo Anthony,33.4,OKC,Big,2473,11,47.9%,5,15%,32,15%,97,31%,86,47%,62,5%,83,34%,79,39%
OG Anunoby,20.3,TOR,Forward,1441,80,57.4%,78,43%,4,3%,8,2%,2,5%,94,30%,35,23%,84,53%
Ryan Arcidiacono,23.6,CHI,Combo,262,98,58.6%,11,14%,9,8%,7,6%,5,14%,98,31%,84,42%,96,72%
Trevor Ariza,32.3,HOU,Wing,2221,82,54.9%,44,25%,7,5%,3,1%,1,6%,97,28%,83,40%,94,69%
Darrell Arthur,29.6,DEN,Big,118,65,56.6%,10,21%,23,13%,86,21%,58,33%,82,10%,87,36%,87,46%
Jamel Artis,24.8,ORL,Forward,243,6,41.2%,29,23%,76,21%,78,19%,80,40%,67,14%,33,23%,45,37%
Omer Asik,31.3,NOP,Big,103,1,36.4%,99,94%,6,6%,0,0%,1,6%,0,0%,0,0%,0,0%
D.J. Augustin,30.0,ORL,Point,1739,89,56.2%,56,31%,20,12%,15,10%,7,22%,72,8%,85,40%,85,47%
Luke Babbitt,28.4,MIA,Forward,106,12,44.6%,0,0%,0,3%,0,0%,0,3%,92,30%,100,68%,100,97%
Luke Babbitt,28.4,ATL,Big,517,86,60.6%,2,8%,20,12%,74,15%,44,28%,96,19%,92,45%,95,64%
Dwayne Bacon,22.2,CHA,Wing,627,8,40.7%,22,18%,79,21%,99,38%,99,59%,47,11%,11,12%,13,22%
Ron Baker,24.6,NYK,Combo,334,25,46.2%,66,37%,0,2%,13,7%,2,9%,93,19%,75,35%,91,54%
Lonzo Ball,20.0,LAL,Combo,1769,13,44.6%,50,31%,16,11%,20,7%,11,18%,43,7%,95,44%,88,51%
J.J. Barea,33.3,DAL,Combo,1595,79,52.7%,27,22%,77,24%,36,11%,54,35%,11,3%,82,41%,71,44%
Harrison Barnes,25.4,DAL,Forward,2590,33,49.5%,41,28%,88,26%,88,22%,98,47%,27,7%,22,18%,20,25%
Will Barton,26.8,DEN,Combo,2634,82,53.2%,70,37%,55,18%,11,7%,20,25%,16,4%,73,34%,57,38%
