Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Malik Allen,25.3,MIA,Big,132,91,+8.2%,12,-4.6%,97,+8.5%,17,-5.5%,68,+3.0%,24,-1.5%,78,+3.1%,58,+1.6%
Rafer Alston,27.3,MIA,Point,288,1,-10.0%,61,+1.4%,52,+0.4%,2,-11.7%,5,-11.3%,60,+0.4%,97,+9.4%,99,+9.8%
Shandon Anderson,29.8,NYK,Wing,111,9,-6.1%,95,+7.2%,90,+6.2%,59,+1.2%,90,+7.4%,3,-5.1%,3,-9.4%,1,-14.5%
Carmelo Anthony,19.4,DEN,Wing,144,17,-4.4%,79,+3.5%,57,+1.1%,57,+1.0%,63,+2.1%,65,+0.9%,8,-6.6%,11,-5.7%
Darrell Armstrong,35.4,NOH,Point,149,36,-1.6%,32,-1.9%,75,+3.4%,4,-8.3%,24,-4.8%,30,-1.3%,94,+8.0%,90,+6.7%
Chucky Atkins,29.2,BOS,Point,134,24,-3.0%,35,-1.5%,80,+3.8%,55,+0.4%,76,+4.2%,3,-4.0%,62,+1.3%,26,-2.8%
Stacey Augmon,35.2,NOH,Wing,165,34,-1.7%,64,+1.8%,88,+5.4%,25,-4.7%,55,+0.6%,8,-3.2%,54,+0.8%,28,-2.4%
Jonathan Bender,22.8,IND,Big,186,59,+1.6%,34,-1.7%,45,-0.7%,56,+0.7%,50,-0.0%,47,-0.2%,68,+1.9%,60,+1.7%
Mike Bibby,25.5,SAC,Point,498,99,+12.9%,26,-2.5%,58,+1.2%,48,-0.8%,54,+0.5%,88,+2.7%,38,-0.6%,63,+2.1%
Chauncey Billups,27.1,DET,Combo,882,70,+2.9%,36,-1.5%,24,-3.7%,70,+2.4%,42,-1.3%,44,-0.2%,77,+3.1%,69,+2.8%
Mark Blount,27.9,BOS,Big,144,95,+9.4%,3,-8.0%,55,+1.0%,75,+4.1%,80,+5.0%,90,+2.9%,46,+0.1%,71,+3.0%
Bruce Bowen,32.4,SAS,Wing,297,72,+3.3%,29,-2.1%,83,+4.2%,71,+3.1%,89,+7.2%,17,-2.0%,22,-3.1%,16,-5.1%
Earl Boykins,27.4,DEN,Point,116,63,+2.1%,17,-3.6%,83,+4.0%,3,-8.3%,26,-4.3%,45,-0.2%,95,+8.2%,94,+8.0%
Devin Brown,24.8,SAS,Combo,124,6,-6.4%,4,-7.4%,70,+2.5%,76,+4.2%,87,+6.7%,43,-0.3%,56,+1.0%,53,+0.7%
P.J. Brown,34.0,NOH,Big,254,40,-1.1%,53,+0.4%,3,-8.9%,80,+5.0%,28,-4.0%,48,-0.1%,83,+3.7%,76,+3.6%
Kobe Bryant,25.2,LAL,Wing,966,43,-0.9%,16,-4.1%,17,-4.2%,90,+7.6%,70,+3.4%,99,+4.9%,15,-4.3%,52,+0.7%
Caron Butler,23.6,MIA,Wing,509,89,+7.1%,45,-0.4%,65,+1.8%,97,+9.9%,97,+11.8%,5,-3.6%,5,-7.8%,3,-11.4%
Marcus Camby,29.6,DEN,Big,194,23,-3.4%,97,+8.2%,1,-10.3%,69,+2.3%,14,-8.0%,17,-2.0%,67,+1.8%,44,-0.2%
Elden Campbell,35.3,DET,Big,125,10,-5.9%,54,+0.6%,96,+7.6%,43,-1.7%,83,+5.9%,37,-0.7%,9,-5.8%,9,-6.5%
