Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Alex Abrines,24.3,OKC,Wing,106,90,+6.0%,98,+16.7%,4,-15.9%,98,+17.2%,56,+2.0%,94,+23.8%,40,-1.4%,60,+1.8%
Steven Adams,24.3,OKC,Big,199,38,-0.5%,23,-4.5%,99,+26.9%,40,-1.5%,97,+11.9%,81,+12.3%,33,-2.8%,50,+0.6%
LaMarcus Aldridge,32.3,SAS,Big,175,44,-0.0%,85,+7.1%,6,-13.9%,68,+5.4%,27,-3.9%,35,-5.4%,68,+3.0%,58,+1.5%
Al-Farouq Aminu,27.1,POR,Big,130,15,-4.3%,6,-12.7%,59,+2.5%,15,-9.7%,30,-3.1%,99,+47.8%,19,-5.8%,76,+4.6%
Giannis Antetokounmpo,22.9,MIL,Forward,279,54,+0.9%,47,-0.6%,30,-4.8%,20,-8.2%,19,-6.2%,5,-21.2%,95,+15.6%,71,+3.5%
Carmelo Anthony,33.4,OKC,Big,193,29,-1.6%,56,+1.2%,95,+17.9%,0,-24.2%,18,-6.3%,32,-6.1%,77,+4.8%,56,+1.2%
Trevor Ariza,32.3,HOU,Wing,579,40,-0.4%,48,-0.3%,25,-6.2%,43,-0.6%,27,-3.7%,28,-9.2%,55,+1.1%,43,-0.7%
Aron Baynes,30.9,BOS,Big,372,33,-1.2%,13,-9.1%,61,+3.1%,73,+6.7%,73,+4.7%,76,+10.6%,40,-1.6%,59,+1.5%
Bradley Beal,24.3,WAS,Wing,215,19,-3.6%,8,-10.8%,67,+4.2%,39,-1.5%,48,+1.0%,71,+7.1%,25,-4.0%,29,-2.9%
Marco Belinelli,31.6,PHI,Wing,272,77,+4.4%,35,-1.9%,72,+4.9%,73,+6.7%,83,+6.8%,82,+12.6%,78,+5.4%,83,+6.0%
