Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Arron Afflalo,24.0,DEN,Wing,2157,83,-3.7,77,-2.7,61,-0.9%,55,+0.2%,91,-4.2,67,-1.0,90,-16.1
LaMarcus Aldridge,24.3,POR,Big,2911,54,-0.4,38,+1.0,80,-2.3%,90,+1.7%,82,-2.8,73,-1.3,74,-7.4
Malik Allen,31.3,DEN,Big,383,1,+10.1,4,+8.1,15,+3.3%,28,-0.8%,2,+7.6,15,+2.0,3,+25.4
Ray Allen,34.3,BOS,Wing,2813,90,-4.7,87,-4.2,83,-2.6%,46,-0.2%,75,-2.3,77,-1.5,60,-3.2
Tony Allen,27.8,BOS,Wing,838,50,-0.0,31,+2.0,25,+2.2%,80,+1.2%,44,+0.3,29,+1.0,65,-5.3
Rafer Alston,33.3,NJN,Combo,744,85,-4.0,93,-5.7,41,+0.7%,34,-0.5%,95,-4.9,88,-2.5,81,-10.1
Rafer Alston,33.3,MIA,Point,652,33,+1.8,33,+1.7,35,+1.2%,10,-1.9%,53,-0.3,41,+0.4,62,-4.2
Lou Amundson,26.9,PHX,Big,1029,85,-4.0,73,-2.2,49,-0.0%,64,+0.4%,81,-2.8,78,-1.5,67,-5.7
Chris Andersen,31.3,DEN,Big,1668,89,-4.7,89,-4.5,9,+4.4%,38,-0.5%,15,+3.3,15,+2.1,35,+4.1
David Andersen,29.4,HOU,Big,848,81,-3.4,82,-3.5,35,+1.2%,73,+0.9%,94,-4.5,94,-3.2,61,-3.6
Ryan Anderson,21.5,ORL,Big,837,51,-0.2,46,+0.3,74,-1.9%,24,-0.9%,66,-1.4,45,+0.1,81,-10.0
Carmelo Anthony,25.4,DEN,Wing,2624,26,+2.4,27,+2.4,69,-1.4%,20,-1.2%,79,-2.5,34,+0.7,94,-19.2
Joel Anthony,27.2,MIA,Big,1249,65,-1.4,75,-2.5,27,+1.9%,77,+1.1%,48,+0.1,57,-0.3,42,+2.4
Gilbert Arenas,27.8,WAS,Combo,1166,64,-1.3,42,+0.7,97,-5.3%,47,-0.1%,82,-2.9,96,-3.9,23,+8.7
Trevor Ariza,24.3,HOU,Wing,2625,43,+0.6,39,+1.0,57,-0.5%,53,+0.1%,24,+2.1,27,+1.1,36,+3.9
Hilton Armstrong,24.9,NOH,Big,197,26,+2.4,22,+3.1,20,+2.7%,79,+1.1%,18,+2.8,12,+2.5,55,-1.1
Carlos Arroyo,30.3,MIA,Point,1503,81,-3.4,57,-0.5,93,-3.7%,71,+0.7%,73,-1.9,80,-1.6,50,+0.4
Darrell Arthur,21.6,MEM,Big,444,11,+5.1,3,+8.2,55,-0.5%,60,+0.3%,83,-2.9,58,-0.4,88,-14.8
Chucky Atkins,35.2,DET,Point,607,48,+0.0,33,+1.6,82,-2.5%,85,+1.5%,88,-3.5,97,-4.2,19,+10.3
D.J. Augustin,22.0,CHA,Point,1392,41,+0.7,74,-2.3,16,+3.1%,34,-0.5%,6,+5.5,6,+3.3,22,+9.3
Jeff Ayres,22.5,POR,Big,376,2,+9.6,4,+7.9,2,+6.2%,65,+0.5%,17,+2.9,16,+2.0,36,+4.0
Kelenna Azubuike,25.9,GSW,Wing,220,60,-0.9,28,+2.2,95,-4.7%,59,+0.3%,99,-9.2,95,-3.4,98,-24.9
Marcus Banks,28.0,TOR,Point,183,100,-11.6,98,-9.7,17,+3.1%,100,+5.7%,97,-6.1,99,-5.6,47,+1.1
Leandro Barbosa,26.9,PHX,Wing,688,78,-2.9,86,-4.1,29,+1.8%,79,+1.1%,29,+1.6,31,+0.9,43,+2.2
J.J. Barea,25.3,DAL,Combo,1484,10,+5.1,17,+3.9,36,+1.0%,28,-0.8%,10,+4.0,15,+2.0,20,+10.0
Andrea Bargnani,24.0,TOR,Big,2794,3,+8.9,16,+4.0,38,+0.9%,7,-2.0%,12,+3.8,18,+1.7,20,+10.0
Matt Barnes,29.6,ORL,Wing,2039,58,-0.8,45,+0.5,66,-1.2%,84,+1.4%,75,-2.3,73,-1.3,62,-4.4
Earl Barron,28.2,NYK,Big,231,96,-7.4,54,-0.4,81,-2.4%,100,+6.1%,98,-6.6,91,-2.7,82,-10.6
