Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Kevin Huerter,20.2,ATL,Wing,2007,87,+4.6,76,+2.8,73,+1.6%,81,-1.5%,76,+2.4,58,+0.3,84,+10.6
Omari Spellman,21.3,ATL,Big,754,20,-4.8,51,-0.2,23,-1.9%,30,+1.0%,8,-5.6,43,-0.5,2,-27.6
Trae Young,20.1,ATL,Point,2491,89,+5.1,92,+5.7,72,+1.6%,11,+2.1%,86,+4.0,62,+0.5,95,+18.6
Brad Wanamaker,29.3,BOS,Combo,246,60,+0.6,6,-9.1,61,+0.7%,100,-6.0%,99,+9.6,92,+4.1,97,+23.5
Robert Williams,21.0,BOS,Big,218,1,-13.9,5,-9.8,34,-1.1%,76,-1.2%,62,+1.0,52,-0.0,75,+7.2
Miles Bridges,20.6,CHA,Forward,1569,40,-1.7,31,-3.1,57,+0.4%,66,-0.6%,85,+3.7,65,+0.7,94,+18.2
Devonte' Graham,23.7,CHA,Combo,581,24,-4.0,31,-3.0,28,-1.6%,92,-2.4%,55,+0.4,54,+0.1,64,+3.7
Wendell Carter,19.5,CHI,Big,1102,9,-8.3,15,-6.3,12,-3.3%,70,-0.9%,10,-5.3,15,-2.8,9,-16.8
Chandler Hutchison,22.5,CHI,Forward,811,51,-0.4,51,-0.3,47,-0.3%,21,+1.5%,44,-0.5,64,+0.7,20,-9.9
Collin Sexton,19.8,CLE,Point,2536,36,-2.2,44,-1.2,21,-2.1%,54,-0.1%,23,-3.0,39,-0.7,14,-12.3
Luka Doncic,19.7,DAL,Wing,2327,45,-1.0,41,-1.7,82,+2.6%,71,-1.0%,48,-0.1,45,-0.4,58,+2.1
Jacob Evans,21.4,GSW,Wing,117,13,-6.7,3,-10.7,68,+1.4%,98,-4.1%,100,+15.6,90,+3.5,100,+63.6
Aaron Holiday,22.1,IND,Point,512,61,+0.7,72,+2.1,64,+1.0%,34,+0.8%,70,+1.8,58,+0.3,82,+9.6
Shai Gilgeous-Alexander,20.3,LAC,Point,2122,15,-6.1,47,-0.8,6,-5.1%,9,+2.4%,13,-4.7,10,-3.4,42,-3.1
Jerome Robinson,21.7,LAC,Wing,254,60,+0.6,73,+2.4,70,+1.5%,8,+2.5%,78,+2.8,83,+2.2,54,+0.6
Moritz Wagner,21.5,LAL,Big,368,5,-10.2,11,-7.0,58,+0.5%,17,+1.7%,3,-7.8,18,-2.2,1,-32.8
Jaren Jackson,19.1,MEM,Big,1491,16,-6.0,38,-2.0,4,-5.5%,17,+1.7%,5,-6.6,5,-4.3,13,-13.2
Donte DiVincenzo,21.7,MIL,Wing,390,54,+0.0,41,-1.6,82,+2.5%,73,-1.0%,32,-2.0,78,+1.8,3,-25.3
Josh Okogie,20.2,MIN,Wing,1703,48,-0.8,56,+0.7,31,-1.4%,80,-1.4%,55,+0.5,55,+0.2,55,+1.0
Kevin Knox,19.2,NYK,Forward,2089,29,-3.0,37,-2.2,2,-6.8%,46,+0.2%,23,-3.2,7,-3.9,71,+5.6
Mohamed Bamba,20.5,ORL,Big,745,1,-15.8,1,-14.0,25,-1.8%,28,+1.1%,23,-3.1,8,-3.7,81,+9.3
Landry Shamet,21.6,PHI,Wing,1041,44,-1.1,32,-3.0,27,-1.6%,31,+0.9%,79,+2.9,35,-1.0,97,+21.1
Landry Shamet,21.6,LAC,Wing,693,83,+4.0,91,+5.6,79,+2.3%,31,+0.9%,11,-4.9,70,+1.1,1,-36.9
Deandre Ayton,20.3,PHX,Big,2182,59,+0.5,53,+0.0,49,-0.1%,93,-2.6%,84,+3.6,75,+1.5,88,+12.4
Mikal Bridges,22.2,PHX,Wing,2354,70,+1.7,71,+2.1,33,-1.3%,86,-1.7%,66,+1.4,47,-0.2,87,+11.6
Marvin Bagley,19.6,SAC,Big,1524,43,-1.4,25,-4.0,97,+6.2%,44,+0.3%,94,+5.9,94,+4.6,64,+3.8
Grayson Allen,23.1,UTA,Combo,322,18,-5.2,7,-8.5,46,-0.3%,18,+1.6%,97,+7.4,32,-1.2,100,+52.4
Troy Brown,19.3,WAS,Wing,641,76,+2.9,46,-1.0,97,+6.4%,54,-0.1%,88,+4.5,95,+4.8,31,-6.4
Elie Okobo,21.0,PHX,Combo,899,20,-4.8,22,-4.7,39,-0.8%,52,-0.0%,43,-0.6,60,+0.4,26,-7.9
Keita Bates-Diop,22.8,MIN,Wing,454,48,-0.8,57,+0.7,8,-4.3%,1,+4.4%,16,-4.1,21,-2.1,18,-11.0
Rodions Kurucs,20.7,BKN,Forward,1267,36,-2.2,61,+1.0,31,-1.3%,78,-1.3%,63,+1.0,56,+0.2,67,+4.5
Jalen Brunson,22.2,DAL,Point,1540,49,-0.6,66,+1.5,36,-0.9%,49,+0.2%,29,-2.2,49,-0.1,15,-12.2
Ryan Broekhoff,28.2,DAL,Forward,391,91,+5.9,90,+5.4,27,-1.7%,32,+0.9%,35,-1.6,13,-3.1,91,+14.6
Isaiah Hartenstein,20.5,HOU,Big,185,74,+2.8,52,-0.1,22,-2.1%,57,-0.2%,8,-5.7,23,-1.9,2,-27.9
Jevon Carter,23.1,MEM,Combo,533,22,-4.4,8,-8.1,93,+4.6%,49,+0.1%,85,+3.7,70,+1.0,92,+15.3
Hamidou Diallo,20.3,OKC,Wing,484,21,-4.5,28,-3.5,86,+3.1%,33,+0.9%,89,+4.6,96,+5.3,28,-7.4
Jonah Bolden,22.8,PHI,Big,567,19,-4.9,25,-4.2,69,+1.4%,41,+0.4%,54,+0.4,69,+1.0,33,-6.1
Sviatoslav Mykhailiuk,21.4,LAL,Forward,347,83,+4.0,76,+2.6,80,+2.3%,54,-0.1%,87,+4.1,87,+2.6,67,+4.6
Bruce Brown,22.2,DET,Wing,1406,30,-2.9,68,+1.8,48,-0.2%,63,-0.5%,51,+0.1,62,+0.5,44,-2.6
Khyri Thomas,22.5,DET,Wing,128,18,-5.2,11,-7.1,80,+2.4%,11,+2.2%,30,-2.2,42,-0.6,20,-10.0
Mitchell Robinson,20.6,NYK,Big,1306,64,+0.9,56,+0.6,62,+0.9%,75,-1.1%,78,+2.7,59,+0.4,90,+13.6
De'Anthony Melton,20.4,PHX,Combo,965,72,+2.1,56,+0.5,60,+0.6%,93,-2.6%,71,+1.9,61,+0.5,80,+9.3
Shake Milton,22.1,PHI,Wing,205,58,+0.4,25,-4.1,32,-1.3%,53,-0.0%,95,+6.2,81,+2.1,93,+16.1
Deonte Burton,24.8,OKC,Forward,220,6,-9.7,9,-7.8,48,-0.2%,42,+0.3%,3,-7.3,22,-1.9,3,-26.4
