Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Steven Adams,31.3,HOU,Big,154,92,-13.7,85,-3.4,80,-2.0%,88,-32.1,14,+2.4,27,+5.0%,13,+46.7,97,-5.1,83,-4.8%,97,-94.5
Giannis Antetokounmpo,29.9,MIL,Big,187,2,+22.3,53,-0.3,97,-5.7%,16,+23.4,67,-0.6,43,+1.7%,50,+8.3,65,-1.0,97,-12.6%,25,+17.0
Nicolas Batum,35.9,LAC,Forward,170,56,-2.0,21,+2.7,37,+0.6%,49,+0.5,73,-0.9,71,-5.1%,72,-20.1,6,+3.4,26,+3.6%,34,+10.0
Malik Beasley,27.9,DET,Wing,163,40,+2.5,33,+1.1,12,+2.4%,35,+8.4,5,+3.9,85,-10.2%,6,+84.6,84,-2.7,67,-2.2%,78,-27.2
Jaylen Brown,28.0,BOS,Wing,402,79,-9.0,51,-0.0,53,-0.5%,58,-5.4,86,-1.8,81,-7.3%,93,-52.9,21,+1.6,44,+0.4%,16,+25.0
Jimmy Butler,35.1,GSW,Forward,436,27,+7.0,26,+2.1,31,+1.0%,22,+20.4,53,+0.2,12,+10.1%,53,+5.1,17,+2.0,33,+2.3%,11,+35.7
Kentavious Caldwell-Pope,31.7,ORL,Wing,189,58,-2.1,1,+8.5,15,+1.9%,1,+71.9,0,+6.1,42,+1.8%,1,+137.1,13,+2.4,37,+1.4%,19,+21.2
Mike Conley,37.1,MIN,Point,356,76,-8.1,25,+2.2,25,+1.2%,20,+21.3,32,+1.2,7,+15.5%,33,+18.5,23,+1.5,31,+3.0%,13,+30.4
Stephen Curry,36.6,GSW,Point,318,46,+1.4,22,+2.7,41,+0.4%,19,+21.5,40,+0.7,10,+11.7%,41,+12.5,19,+1.7,74,-3.0%,15,+25.7
Kris Dunn,30.6,LAC,Combo,151,35,+5.0,84,-3.2,64,-1.2%,75,-14.4,30,+1.3,71,-5.1%,25,+27.1,95,-4.2,73,-2.7%,88,-41.0
Dorian Finney-Smith,31.5,LAL,Forward,169,84,-11.2,59,-0.6,19,+1.7%,45,+1.9,1,+5.8,96,-23.1%,3,+94.2,100,-6.8,2,+14.9%,98,-106.3
Rudy Gobert,32.4,MIN,Big,411,87,-12.0,70,-1.7,49,-0.2%,71,-12.3,79,-1.3,56,-1.7%,78,-25.2,58,-0.5,53,-0.6%,56,-4.3
Aaron Gordon,29.1,DEN,Big,521,80,-9.2,14,+3.5,99,-6.6%,14,+28.7,58,-0.1,19,+7.9%,47,+9.6,7,+3.2,86,-6.5%,10,+35.8
Draymond Green,34.7,GSW,Big,418,83,-10.9,52,-0.0,92,-3.6%,31,+9.2,75,-1.1,93,-16.9%,58,+0.4,25,+1.2,82,-4.8%,17,+23.6
Tim Hardaway Jr.,32.6,DET,Forward,188,43,+1.7,2,+7.7,54,-0.6%,5,+41.5,16,+1.9,0,+24.5%,34,+18.2,2,+5.0,39,+1.0%,5,+47.4
James Harden,35.2,LAC,Point,275,4,+16.9,83,-3.0,13,+2.4%,83,-20.9,54,+0.2,86,-10.8%,29,+22.1,92,-3.4,14,+7.6%,96,-81.0
Tobias Harris,32.3,DET,Forward,232,23,+7.9,16,+3.2,75,-1.7%,39,+6.9,23,+1.6,13,+10.0%,65,-6.0,14,+2.4,100,-20.0%,22,+19.0
Buddy Hield,31.9,GSW,Wing,338,49,+0.4,81,-2.7,53,-0.6%,51,-1.3,75,-1.2,25,+5.9%,69,-16.9,80,-1.8,60,-1.5%,53,-1.4
Jrue Holiday,34.4,BOS,Combo,263,55,-1.9,89,-3.7,87,-2.6%,90,-33.3,86,-1.8,89,-11.4%,91,-47.6,78,-1.7,92,-7.9%,67,-19.8
Al Horford,38.4,BOS,Big,347,36,+4.8,35,+1.0,11,+2.5%,31,+10.3,48,+0.5,25,+6.3%,42,+11.4,42,+0.5,27,+3.6%,36,+8.6
LeBron James,39.8,LAL,Big,203,0,+28.9,18,+2.9,89,-2.9%,36,+8.3,22,+1.6,86,-10.6%,40,+14.2,29,+1.1,85,-5.8%,49,+1.6
Nikola Jokic,29.7,DEN,Big,562,94,-15.1,92,-4.2,79,-1.9%,75,-15.9,89,-2.5,88,-11.4%,75,-23.9,83,-2.2,90,-7.2%,71,-21.9
Derrick Jones Jr.,27.7,LAC,Big,128,86,-12.0,27,+2.0,62,-1.1%,28,+11.6,31,+1.2,55,-1.5%,32,+18.9,43,+0.4,64,-1.8%,46,+2.5
Cory Joseph,33.2,ORL,Point,142,93,-14.9,4,+5.5,3,+5.5%,13,+30.0,4,+4.1,28,+5.0%,5,+85.0,24,+1.5,3,+10.4%,62,-12.5
Kawhi Leonard,33.3,LAC,Forward,264,7,+15.6,98,-6.1,92,-3.8%,92,-35.2,99,-6.6,29,+4.6%,97,-90.9,28,+1.2,46,+0.3%,31,+12.3
Kevon Looney,28.7,GSW,Big,128,18,+9.2,94,-4.5,6,+3.3%,94,-38.5,50,+0.4,2,+23.2%,79,-27.0,98,-5.1,55,-1.0%,97,-83.7
TJ McConnell,32.6,IND,Point,385,48,+0.6,71,-1.8,22,+1.6%,63,-7.0,77,-1.2,76,-6.2%,64,-4.2,47,+0.1,29,+3.4%,58,-5.9
Jamal Murray,27.7,DEN,Combo,578,100,-26.8,88,-3.7,96,-5.2%,67,-10.2,98,-5.4,57,-1.9%,89,-44.9,8,+2.7,25,+3.6%,9,+37.9
Bobby Portis,29.7,MIL,Big,158,95,-15.7,73,-1.9,40,+0.6%,87,-30.6,93,-3.1,80,-7.1%,97,-85.7,15,+2.1,24,+4.0%,47,+2.1
Kristaps Porzingis,29.3,BOS,Big,230,17,+9.4,66,-1.4,19,+1.7%,81,-20.2,63,-0.4,38,+2.6%,75,-23.9,66,-1.1,36,+1.4%,74,-23.6
Norman Powell,31.4,LAC,Wing,237,9,+14.1,75,-2.3,10,+2.6%,64,-7.7,31,+1.2,19,+8.1%,54,+5.0,93,-3.6,91,-7.5%,59,-6.7
Julius Randle,29.9,MIN,Big,527,58,-2.1,9,+4.1,57,-0.6%,8,+34.4,36,+1.0,75,-5.9%,36,+17.8,12,+2.5,8,+8.4%,8,+41.1
Dennis Schroder,31.1,DET,Point,164,19,+9.0,80,-2.6,68,-1.4%,64,-7.0,78,-1.3,98,-24.7%,62,-1.4,67,-1.1,47,+0.1%,55,-3.3
Pascal Siakam,30.6,IND,Big,768,97,-17.8,57,-0.5,60,-1.0%,62,-6.8,81,-1.5,48,-0.2%,81,-28.3,36,+0.7,72,-2.7%,44,+4.1
Karl-Anthony Towns,29.0,NYK,Big,639,71,-7.0,47,+0.5,46,+0.1%,42,+3.9,34,+1.0,36,+3.1%,23,+28.1,69,-1.2,54,-1.0%,65,-15.2
Myles Turner,28.6,IND,Big,671,34,+5.1,61,-0.7,64,-1.2%,68,-10.3,45,+0.6,20,+7.2%,66,-8.4,75,-1.5,78,-3.8%,66,-18.4
Fred VanVleet,30.7,HOU,Point,276,14,+10.1,29,+1.6,98,-6.4%,27,+12.9,85,-1.7,14,+9.4%,86,-37.3,27,+1.2,95,-11.2%,29,+15.4
Russell Westbrook,36.0,DEN,Point,312,16,+9.4,42,+0.6,23,+1.4%,42,+4.9,51,+0.3,58,-2.2%,48,+9.0,31,+0.9,19,+5.0%,40,+6.7
Andrew Wiggins,29.7,MIA,Wing,200,82,-10.5,91,-3.8,72,-1.6%,77,-16.6,44,+0.6,81,-7.2%,37,+16.7,97,-4.9,57,-1.3%,92,-60.5
Ivica Zubac,27.6,LAC,Big,255,1,+23.7,8,+4.3,63,-1.1%,9,+34.1,26,+1.4,94,-19.5%,19,+38.5,5,+3.4,40,+0.9%,8,+38.9
Gary Payton II,31.9,GSW,Wing,199,29,+6.7,39,+0.7,71,-1.6%,52,-1.9,33,+1.1,35,+3.4%,34,+18.2,56,-0.5,80,-4.5%,72,-22.4
Alex Caruso,30.7,OKC,Forward,561,69,-4.8,97,-5.1,21,+1.7%,92,-34.2,84,-1.7,30,+4.1%,90,-46.8,92,-3.3,43,+0.4%,79,-28.3
Thomas Bryant,27.3,IND,Big,146,41,+2.3,19,+2.9,36,+0.7%,14,+27.7,27,+1.4,53,-0.9%,18,+41.4,14,+2.2,47,+0.2%,18,+23.2
Josh Hart,29.7,NYK,Wing,641,57,-2.1,86,-3.4,73,-1.7%,82,-20.5,92,-3.0,84,-9.8%,86,-40.1,54,-0.3,68,-2.4%,53,-2.7
OG Anunoby,27.3,NYK,Forward,703,45,+1.4,36,+1.0,0,+6.4%,72,-13.0,19,+1.7,45,+1.5%,28,+24.2,62,-0.7,1,+15.3%,81,-29.7
Bam Adebayo,27.3,MIA,Big,233,89,-12.6,46,+0.5,88,-2.8%,48,+0.5,12,+2.7,66,-3.3%,15,+44.9,76,-1.7,15,+5.6%,95,-74.3
Dillon Brooks,28.8,HOU,Forward,205,47,+1.3,53,-0.2,51,-0.3%,37,+7.3,72,-0.9,41,+2.0%,73,-21.7,52,-0.2,30,+3.1%,23,+17.4
Jayson Tatum,26.7,BOS,Forward,321,96,-16.1,28,+1.7,28,+1.0%,23,+18.9,46,+0.6,8,+12.9%,21,+35.7,37,+0.7,62,-1.6%,50,+1.0
Bogdan Bogdanovic,32.2,LAC,Wing,114,98,-18.7,17,+3.2,83,-2.1%,8,+34.4,28,+1.4,22,+6.7%,24,+27.1,18,+2.0,87,-6.8%,6,+46.2
Derrick White,30.3,BOS,Combo,415,25,+7.8,87,-3.5,81,-2.0%,86,-28.9,92,-3.1,100,-35.0%,87,-41.8,63,-0.7,31,+2.8%,69,-20.8
Luke Kornet,29.3,BOS,Big,180,39,+2.8,13,+3.7,8,+2.7%,12,+31.2,24,+1.5,8,+13.6%,20,+37.5,16,+2.1,8,+8.4%,14,+27.5
Jarrett Allen,26.5,CLE,Big,261,70,-6.3,93,-4.3,20,+1.7%,89,-32.3,91,-2.7,63,-2.8%,100,-157.6,75,-1.7,18,+5.2%,57,-5.5
Donovan Mitchell,28.2,CLE,Combo,288,42,+1.9,32,+1.1,7,+3.0%,24,+18.3,13,+2.5,91,-14.2%,4,+89.5,53,-0.3,6,+8.7%,42,+4.9
Wendell Carter,25.5,ORL,Big,188,30,+6.2,0,+11.2,14,+2.2%,0,+100.0,2,+5.4,17,+8.3%,2,+116.1,0,+5.8,4,+10.1%,0,+90.5
Luka Doncic,25.7,LAL,Point,207,20,+8.9,7,+4.6,61,-1.1%,6,+41.1,82,-1.6,78,-6.5%,58,+2.0,1,+5.8,50,-0.2%,1,+78.3
Michael Porter,26.3,DEN,Forward,435,42,+2.2,63,-0.9,69,-1.5%,65,-8.9,42,+0.7,11,+10.2%,44,+11.2,82,-2.1,81,-4.7%,76,-24.3
Shai Gilgeous-Alexander,26.3,OKC,Point,849,53,-1.3,65,-1.2,81,-2.1%,53,-1.9,70,-0.7,60,-2.5%,69,-14.2,48,+0.0,84,-5.4%,30,+15.1
Jaren Jackson,25.1,MEM,Big,211,47,+0.8,64,-1.1,76,-1.8%,57,-4.6,96,-3.9,99,-24.7%,74,-23.1,10,+2.6,35,+2.1%,14,+29.5
Donte DiVincenzo,27.8,MIN,Combo,369,3,+17.6,38,+0.8,39,+0.6%,38,+7.1,59,-0.2,58,-1.9%,63,-2.4,26,+1.2,76,-3.5%,21,+20.8
Mikal Bridges,28.2,NYK,Forward,705,25,+7.8,55,-0.4,17,+1.8%,59,-6.2,38,+0.7,44,+1.6%,31,+20.5,73,-1.4,41,+0.8%,75,-24.1
Jalen Brunson,28.2,NYK,Point,680,15,+9.5,10,+3.8,4,+3.9%,21,+20.5,11,+3.0,14,+9.4%,9,+53.3,44,+0.4,17,+5.2%,52,-1.2
Isaiah Hartenstein,26.5,OKC,Big,515,33,+5.1,24,+2.5,67,-1.3%,15,+26.1,25,+1.4,70,-5.1%,19,+41.2,31,+0.9,58,-1.3%,27,+16.2
Mitchell Robinson,26.6,NYK,Big,369,67,-4.1,37,+0.8,33,+0.8%,33,+9.2,21,+1.6,21,+6.7%,47,+10.0,58,-0.5,42,+0.7%,47,+2.0
Gary Trent Jr.,25.8,MIL,Wing,170,81,-10.3,95,-4.8,82,-2.1%,97,-45.1,55,+0.1,50,-0.7%,59,0.0,96,-4.9,79,-4.4%,92,-62.5
Haywood Highsmith,27.9,MIA,Forward,139,5,+16.0,58,-0.6,47,-0.0%,47,+0.9,47,+0.5,75,-5.8%,51,+7.4,53,-0.2,71,-2.6%,39,+6.7
Ja Morant,25.2,MEM,Point,149,97,-16.3,75,-2.1,25,+1.3%,80,-17.9,71,-0.9,83,-8.0%,53,+5.6,72,-1.4,5,+9.6%,77,-25.3
DeAndre Hunter,26.9,CLE,Forward,185,68,-4.7,25,+2.4,86,-2.3%,30,+11.3,36,+0.9,3,+21.8%,36,+18.2,34,+0.8,89,-7.0%,48,+1.7
Darius Garland,24.8,CLE,Point,147,3,+20.3,11,+3.8,94,-4.6%,7,+37.7,39,+0.7,69,-5.0%,27,+25.6,19,+1.8,98,-13.9%,12,+31.0
Rui Hachimura,26.7,LAL,Forward,182,8,+14.9,23,+2.6,35,+0.8%,11,+31.3,81,-1.5,92,-15.4%,46,+10.1,3,+3.8,12,+7.7%,2,+75.2
Tyler Herro,24.8,MIA,Combo,225,37,+3.7,54,-0.4,24,+1.4%,84,-24.4,37,+0.8,51,-0.8%,55,+4.8,94,-3.8,10,+8.1%,100,-132.4
Nickeil Alexander-Walker,26.2,MIN,Wing,300,21,+8.0,45,+0.5,56,-0.6%,46,+1.1,47,+0.6,24,+6.3%,43,+11.4,55,-0.4,86,-6.0%,60,-9.4
Ty Jerome,27.3,CLE,Combo,186,85,-11.8,92,-3.9,45,+0.2%,95,-38.5,68,-0.6,6,+17.4%,85,-33.3,88,-3.0,52,-0.2%,86,-39.4
Kevin Porter,24.5,MIL,Combo,148,81,-10.0,67,-1.4,1,+6.1%,99,-48.9,65,-0.5,4,+18.8%,92,-47.7,50,-0.1,7,+8.5%,89,-42.7
Luguentz Dort,25.5,OKC,Wing,665,26,+7.4,31,+1.4,31,+0.9%,26,+14.6,29,+1.3,31,+3.9%,17,+42.4,38,+0.7,42,+0.5%,37,+7.8
Naz Reid,25.2,MIN,Big,367,24,+7.8,50,+0.1,29,+1.0%,58,-4.7,35,+1.0,36,+3.3%,30,+20.5,57,-0.5,65,-2.0%,64,-15.0
Dean Wade,27.9,CLE,Forward,137,44,+1.5,48,+0.2,43,+0.3%,56,-4.1,60,-0.2,77,-6.3%,39,+15.2,42,+0.5,32,+2.5%,61,-10.0
Max Strus,28.6,CLE,Wing,252,64,-3.3,78,-2.5,2,+5.7%,74,-13.7,87,-2.0,42,+1.7%,95,-78.1,59,-0.6,0,+18.5%,41,+6.3
Anthony Edwards,23.2,MIN,Combo,584,51,-0.6,90,-3.8,70,-1.5%,91,-34.0,88,-2.4,97,-23.1%,80,-28.0,60,-0.6,9,+8.2%,90,-44.6
Obi Toppin,26.7,IND,Forward,429,12,+11.2,40,+0.7,16,+1.9%,29,+11.4,58,+0.0,49,-0.7%,42,+12.1,33,+0.8,21,+4.4%,24,+17.3
Tyrese Haliburton,24.7,IND,Combo,770,69,-4.7,76,-2.4,58,-0.8%,86,-29.1,57,+0.1,16,+8.6%,71,-18.9,86,-3.0,63,-1.8%,86,-39.0
Aaron Nesmith,25.0,IND,Wing,649,78,-9.0,56,-0.5,85,-2.2%,69,-11.4,25,+1.4,87,-11.1%,38,+15.7,81,-1.9,61,-1.5%,81,-30.4
Payton Pritchard,26.8,BOS,Point,298,32,+5.2,72,-1.9,90,-2.9%,70,-12.0,19,+1.7,74,-5.7%,14,+45.0,87,-3.0,64,-1.9%,85,-37.9
