Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Nicolas Claxton,20.5,BKN,Big,161,52,1.7%,2,0.3%,96,2.1%,62,8.8%,2,9.6%,99,22.2%,8,10.0%
Chris Clemons,22.3,HOU,Combo,211,67,0.7%,52,1.4%,44,3.2%,11,1.3%,14,8.0%,0,0.0%,0,0.0%
Amir Coffey,22.4,LAC,Wing,106,81,0.9%,70,1.6%,25,4.0%,44,1.9%,6,6.2%,0,0.0%,0,0.0%
John Collins,22.1,ATL,Big,1362,67,2.4%,34,1.0%,60,3.7%,56,8.2%,64,19.7%,75,5.1%,81,40.7%
Zach Collins,21.9,POR,Big,289,19,0.9%,15,0.8%,32,4.8%,68,9.3%,21,13.9%,100,25.0%,57,31.3%
Mike Conley,32.1,UTA,Point,1359,14,0.2%,22,1.2%,47,3.1%,71,2.5%,35,8.6%,0,0.0%,67,4.7%
Pat Connaughton,26.8,MIL,Wing,1146,87,1.2%,13,0.8%,89,2.3%,92,4.7%,94,15.0%,57,1.0%,28,3.7%
Quinn Cook,26.6,LAL,Combo,430,15,0.2%,8,0.9%,82,2.4%,50,2.1%,3,6.8%,98,3.3%,0,0.0%
Robert Covington,28.9,HOU,Big,725,88,3.3%,92,2.0%,54,3.9%,17,3.6%,53,18.2%,58,2.8%,67,35.0%
Robert Covington,28.9,MIN,Forward,1410,97,1.6%,96,2.3%,21,4.2%,23,2.5%,89,16.9%,0,0.0%,83,27.7%
Allen Crabbe,27.6,ATL,Wing,504,27,0.4%,34,1.2%,72,2.7%,31,1.6%,28,8.8%,0,0.0%,83,20.0%
Allen Crabbe,27.6,MIN,Wing,131,0,0.0%,0,0.0%,36,3.5%,6,0.7%,39,9.7%,0,0.0%,0,0.0%
Torrey Craig,28.9,DEN,Wing,1041,96,1.7%,27,1.0%,1,5.5%,98,6.1%,60,11.1%,73,1.9%,91,24.5%
Jae Crowder,29.3,MIA,Big,553,23,0.9%,92,2.0%,43,4.3%,4,2.1%,42,16.7%,60,2.9%,32,23.1%
Jae Crowder,29.3,MEM,Forward,1321,29,0.5%,63,1.5%,89,2.5%,41,3.0%,85,16.6%,0,0.0%,76,26.9%
