Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Steven Adams,26.3,OKC,Big,210,43,+0.8,16,+3.3,15,+4.2%,8,+39.3,3,+4.9,88,-18.0%,3,+100.5,78,-2.0,13,+8.3%,68,-11.1
Giannis Antetokounmpo,24.9,MIL,Big,277,63,-2.9,73,-1.2,52,+0.0%,58,-2.3,13,+2.0,93,-21.0%,13,+54.2,77,-1.9,44,+1.8%,73,-17.2
Carmelo Anthony,35.4,POR,Big,213,1,+20.5,34,+1.6,83,-2.6%,26,+19.0,11,+2.3,85,-14.1%,7,+64.3,66,-0.8,78,-4.5%,63,-7.4
D.J. Augustin,32.0,ORL,Point,127,45,+0.5,5,+6.1,98,-7.9%,14,+31.4,50,+0.2,93,-22.3%,27,+25.0,3,+6.3,88,-7.2%,13,+43.8
Patrick Beverley,31.3,LAC,Point,165,87,-12.1,84,-3.1,23,+2.9%,92,-35.2,40,+0.5,70,-7.9%,53,-1.8,94,-3.7,22,+5.7%,98,-66.7
Eric Bledsoe,29.9,MIL,Point,267,42,+1.0,40,+0.8,76,-1.9%,35,+12.3,27,+1.0,91,-20.6%,30,+23.8,53,-0.1,63,-2.0%,43,+5.9
Malcolm Brogdon,26.9,IND,Combo,159,18,+8.6,18,+3.2,53,-0.0%,7,+42.6,44,+0.3,50,+1.7%,38,+12.8,19,+2.3,37,+2.6%,9,+55.0
Jaylen Brown,23.0,BOS,Wing,670,26,+6.5,55,-0.1,49,+0.1%,74,-13.6,71,-0.7,75,-10.0%,71,-18.1,48,+0.4,36,+2.8%,69,-11.4
Trey Burke,27.0,DAL,Point,155,83,-10.5,29,+2.0,89,-3.2%,25,+19.1,37,+0.7,98,-27.6%,8,+61.1,37,+0.9,41,+2.2%,51,+0.3
Jimmy Butler,30.1,MIA,Wing,806,30,+5.2,61,-0.2,60,-0.4%,47,+1.2,76,-0.9,49,+1.9%,55,-4.4,42,+0.7,53,+0.4%,41,+6.3
Kentavious Caldwell-Pope,26.7,LAL,Wing,608,27,+6.5,24,+2.7,84,-2.6%,20,+26.7,32,+0.8,68,-6.4%,31,+21.6,17,+2.8,77,-4.4%,11,+50.7
