Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Rafer Alston,30.3,HOU,Point,308,33,16.5%,28,96.2,28,21.2%,39,1.29,28,16.1%
Carmelo Anthony,22.4,DEN,Wing,209,85,27.2%,89,117.5,19,5.8%,4,0.21,26,15.5%
Leandro Barbosa,23.9,PHX,Combo,344,82,24.8%,64,96.5,18,11.3%,9,0.45,64,10.6%
Andrea Bargnani,21.0,TOR,Big,174,44,15.8%,73,115.1,37,5.2%,29,0.33,59,12.6%
Matt Barnes,26.6,GSW,Forward,328,54,16.7%,62,114.0,69,11.8%,77,0.71,15,16.1%
Brent Barry,34.8,SAS,Wing,209,22,15.4%,11,93.1,74,16.2%,93,1.05,37,14.6%
Shane Battier,28.1,HOU,Forward,271,0,10.8%,100,130.9,54,10.1%,100,0.93,46,13.1%
Raja Bell,30.1,PHX,Wing,437,11,10.6%,93,121.7,22,6.4%,48,0.61,33,14.9%
Andris Biedrins,20.6,GSW,Big,264,10,8.6%,100,137.3,15,2.8%,27,0.33,27,17.6%
Chauncey Billups,30.1,DET,Point,647,56,23.5%,100,123.5,56,25.3%,28,1.08,50,14.4%
Steve Blake,26.7,DEN,Point,179,6,12.4%,89,116.1,22,19.7%,78,1.59,6,20.8%
Josh Boone,21.9,BKN,Big,103,37,13.9%,56,110.0,27,5.0%,37,0.36,76,10.3%
Carlos Boozer,24.9,UTA,Big,651,90,25.4%,76,115.3,95,14.5%,80,0.57,46,13.8%
Chris Bosh,22.6,TOR,Big,222,85,24.3%,17,100.0,90,13.4%,68,0.55,73,10.8%
Bruce Bowen,35.4,SAS,Wing,684,4,9.0%,52,107.4,15,5.7%,56,0.63,81,10.9%
Kwame Brown,24.6,LAL,Big,132,29,13.4%,61,110.3,2,1.1%,0,0.08,10,22.0%
P.J. Brown,37.0,CHI,Big,225,54,16.3%,41,106.4,73,9.4%,85,0.58,78,10.1%
Kobe Bryant,28.2,LAL,Wing,211,96,35.4%,70,114.7,85,19.4%,41,0.55,56,12.8%
