Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Rafer Alston,30.3,HOU,Point,308,84,-4.7%,25,+7.5%,75,-6.2%,80,-6.8%,83,-6.6%,2,+50.0%,99,-39.3%,96,-20.9%
Carmelo Anthony,22.4,DEN,Wing,209,25,+3.7%,22,+7.9%,80,-7.2%,95,-14.0%,96,-11.5%,7,+27.7%,34,+5.6%,5,+14.9%
Leandro Barbosa,23.9,PHX,Combo,344,65,-2.0%,37,+3.9%,77,-6.5%,53,-0.8%,73,-3.7%,39,+5.6%,82,-7.4%,80,-6.4%
Andrea Bargnani,21.0,TOR,Big,174,11,+7.1%,52,-0.1%,95,-18.0%,12,+8.2%,51,+0.0%,11,+18.4%,29,+7.7%,10,+11.5%
Matt Barnes,26.6,GSW,Forward,328,51,+0.3%,62,-2.8%,89,-9.7%,82,-7.1%,89,-7.9%,72,-7.5%,2,+24.8%,8,+13.5%
Brent Barry,34.8,SAS,Wing,209,68,-2.2%,57,-1.7%,72,-5.5%,32,+3.7%,53,-0.3%,68,-5.6%,78,-6.0%,77,-6.0%
Shane Battier,28.1,HOU,Forward,271,34,+2.9%,40,+3.0%,39,+3.0%,29,+4.1%,33,+3.5%,98,-66.7%,68,-4.0%,81,-6.4%
Raja Bell,30.1,PHX,Wing,437,43,+1.0%,66,-3.4%,44,+2.2%,89,-9.2%,68,-2.3%,3,+49.3%,67,-3.8%,11,+11.0%
Andris Biedrins,20.6,GSW,Big,264,57,-0.3%,93,-11.6%,23,+8.8%,21,+6.0%,16,+6.7%,13,+16.7%,45,+1.9%,29,+6.3%
Chauncey Billups,30.1,DET,Point,647,93,-8.4%,49,+0.9%,96,-18.2%,65,-3.2%,90,-8.1%,93,-26.4%,72,-4.7%,90,-11.1%
Steve Blake,26.7,DEN,Point,179,82,-4.0%,43,+2.0%,29,+5.5%,89,-10.1%,75,-4.0%,61,-2.5%,69,-4.2%,68,-3.6%
Josh Boone,21.9,NJN,Big,103,20,+4.4%,16,+9.9%,42,+2.4%,24,+5.4%,26,+4.7%,81,-12.3%,59,-2.0%,73,-5.1%
Carlos Boozer,24.9,UTA,Big,651,33,+3.0%,24,+7.7%,41,+2.6%,36,+3.2%,35,+3.3%,52,+2.0%,65,-3.3%,61,-1.5%
Chris Bosh,22.6,TOR,Big,222,96,-9.6%,76,-5.7%,10,+18.9%,56,-1.1%,23,+5.1%,66,-4.8%,92,-18.1%,94,-14.1%
Bruce Bowen,35.4,SAS,Wing,684,53,+0.2%,61,-2.5%,69,-3.3%,54,-0.8%,61,-1.8%,43,+5.0%,39,+4.1%,34,+4.7%
Kwame Brown,24.6,LAL,Big,132,74,-3.0%,8,+11.6%,84,-8.5%,68,-3.9%,82,-5.8%,9,+24.7%,93,-19.3%,84,-7.6%
P.J. Brown,37.0,CHI,Big,225,70,-2.6%,53,-0.5%,68,-3.1%,63,-2.9%,70,-2.8%,30,+9.1%,81,-7.3%,67,-2.6%
Kobe Bryant,28.2,LAL,Wing,211,0,+19.2%,30,+6.2%,0,+46.2%,2,+16.4%,0,+23.6%,4,+36.7%,1,+28.9%,1,+29.9%
Jose Calderon,25.1,TOR,Point,138,72,-2.9%,91,-10.4%,61,-2.4%,61,-2.8%,66,-2.1%,86,-16.4%,37,+4.6%,51,+0.4%
Marcus Camby,32.6,DEN,Big,184,80,-3.7%,65,-3.1%,76,-6.2%,57,-1.2%,72,-3.3%,10,+23.8%,89,-13.0%,41,+2.5%
Vince Carter,29.8,NJN,Wing,484,79,-3.5%,71,-4.8%,51,+1.0%,64,-3.0%,63,-1.9%,75,-8.1%,28,+7.8%,66,-2.3%
Jarron Collins,27.9,UTA,Big,100,73,-3.0%,96,-14.5%,30,+4.7%,60,-2.5%,49,+0.4%,24,+12.0%,53,-0.7%,38,+3.1%
Jason Collins,27.9,NJN,Big,328,62,-1.5%,88,-8.6%,55,-0.2%,25,+4.8%,38,+2.8%,28,+10.4%,75,-5.5%,52,+0.2%
Antonio Daniels,31.6,WAS,Point,175,60,-0.5%,2,+19.9%,100,-41.3%,11,+8.9%,85,-7.1%,8,+27.3%,91,-17.6%,86,-8.9%
Baron Davis,27.6,GSW,Point,442,45,+0.9%,81,-6.3%,38,+3.3%,20,+6.1%,25,+4.8%,69,-6.0%,36,+5.0%,46,+1.3%
Carlos Delfino,24.2,DET,Wing,122,29,+3.6%,50,+0.3%,19,+10.2%,47,+0.5%,31,+3.7%,31,+8.9%,79,-6.4%,45,+1.7%
Luol Deng,21.5,CHI,Forward,409,75,-3.1%,39,+3.8%,96,-25.4%,50,+0.0%,91,-9.2%,94,-31.7%,11,+13.7%,64,-2.0%
Boris Diaw,24.5,PHX,Big,227,35,+2.7%,69,-4.6%,31,+4.5%,37,+2.5%,32,+3.5%,21,+13.1%,54,-1.3%,36,+3.9%
DeSagana Diop,24.8,DAL,Big,139,32,+3.1%,17,+9.6%,86,-9.2%,62,-2.9%,76,-4.9%,64,-3.8%,38,+4.4%,37,+3.6%
Chris Duhon,24.2,CHI,Point,156,11,+7.2%,58,-1.7%,50,+1.2%,9,+10.2%,15,+7.0%,31,+8.9%,9,+16.7%,7,+14.2%
Tim Duncan,30.5,SAS,Big,733,61,-0.9%,72,-4.8%,40,+2.8%,43,+1.7%,42,+1.8%,58,-0.9%,41,+3.1%,43,+2.2%
Monta Ellis,21.0,GSW,Combo,231,47,+0.5%,4,+13.6%,39,+3.0%,16,+7.2%,21,+5.5%,57,-0.7%,94,-19.9%,93,-13.4%
Francisco Elson,30.7,SAS,Big,213,48,+0.4%,44,+1.9%,58,-0.9%,54,-0.9%,55,-0.9%,26,+11.1%,56,-1.5%,39,+2.7%
Jordan Farmar,19.9,LAL,Point,114,6,+10.0%,14,+10.4%,9,+19.9%,90,-11.1%,44,+1.4%,6,+31.3%,8,+16.8%,4,+21.0%
Michael Finley,33.7,SAS,Forward,535,49,+0.4%,54,-0.6%,57,-0.7%,45,+1.7%,46,+0.7%,47,+2.4%,43,+2.8%,42,+2.3%
Derek Fisher,32.2,UTA,Combo,437,36,+2.4%,5,+13.0%,25,+7.0%,19,+6.4%,17,+6.6%,63,-3.7%,80,-6.6%,76,-5.6%
T.J. Ford,23.6,TOR,Point,136,32,+3.4%,7,+12.1%,48,+1.5%,25,+5.4%,36,+3.2%,16,+16.4%,71,-4.6%,54,-0.4%
Devean George,29.2,DAL,Forward,103,52,+0.3%,97,-15.1%,52,+0.6%,17,+7.1%,18,+5.7%,19,+14.9%,42,+2.8%,27,+6.6%
Daniel Gibson,20.7,CLE,Combo,398,61,-1.1%,42,+2.1%,28,+6.1%,67,-3.6%,52,-0.0%,71,-6.2%,74,-5.1%,72,-4.5%
Manu Ginobili,29.3,SAS,Wing,599,26,+3.7%,18,+9.1%,37,+3.4%,48,+0.3%,41,+1.9%,51,+2.1%,84,-9.0%,75,-5.6%
Gordan Giricek,29.4,UTA,Wing,298,87,-6.1%,82,-6.6%,89,-9.6%,88,-8.7%,92,-9.3%,60,-1.8%,54,-1.2%,62,-1.7%
Drew Gooden,25.1,CLE,Big,604,44,+0.9%,38,+3.9%,46,+1.6%,51,-0.5%,50,+0.3%,65,-4.5%,66,-3.6%,70,-4.2%
Ben Gordon,23.6,CHI,Wing,393,100,-17.7%,75,-5.0%,56,-0.6%,98,-18.5%,96,-12.5%,85,-15.9%,97,-37.1%,97,-30.0%
Richard Hamilton,28.7,DET,Wing,634,55,-0.1%,83,-7.0%,90,-10.0%,32,+3.7%,57,-1.0%,23,+12.3%,24,+9.8%,13,+10.8%
Matt Harpring,30.4,UTA,Wing,429,66,-2.1%,51,-0.0%,68,-3.1%,78,-6.7%,78,-5.3%,68,-5.8%,49,+0.5%,59,-0.8%
Al Harrington,26.7,GSW,Big,258,67,-2.2%,23,+7.7%,82,-8.1%,71,-4.5%,79,-5.3%,82,-12.3%,85,-9.2%,89,-10.1%
Devin Harris,23.7,DAL,Combo,160,91,-8.0%,63,-3.0%,99,-31.3%,100,-24.8%,100,-27.0%,84,-15.7%,22,+10.6%,40,+2.6%
Udonis Haslem,26.4,MIA,Big,102,12,+6.5%,55,-0.7%,13,+16.1%,39,+2.3%,13,+7.2%,87,-16.7%,7,+17.4%,18,+10.1%
Chuck Hayes,23.4,HOU,Big,196,31,+3.4%,6,+12.1%,49,+1.4%,33,+3.7%,37,+2.8%,87,-16.7%,76,-5.6%,82,-7.2%
Jarvis Hayes,25.2,WAS,Forward,137,86,-5.7%,18,+9.3%,11,+18.0%,52,-0.6%,30,+3.7%,95,-37.5%,100,-48.6%,100,-44.8%
Luther Head,23.9,HOU,Combo,138,99,-12.8%,99,-18.5%,91,-11.1%,76,-6.3%,88,-7.8%,87,-16.7%,88,-12.1%,92,-12.8%
Nene Hilario,24.1,DEN,Big,178,24,+4.0%,9,+11.5%,15,+13.5%,96,-14.3%,69,-2.8%,74,-8.1%,5,+18.3%,32,+5.1%
Grant Hill,34.1,ORL,Forward,142,10,+7.7%,15,+10.2%,20,+10.1%,92,-12.5%,82,-5.8%,1,+60.0%,6,+18.3%,2,+29.2%
Kirk Hinrich,25.8,CHI,Combo,361,30,+3.5%,11,+11.2%,97,-25.9%,31,+3.8%,77,-5.0%,18,+16.1%,39,+4.3%,19,+9.9%
Robert Horry,36.2,SAS,Big,357,59,-0.5%,68,-4.5%,78,-6.7%,42,+1.9%,61,-1.7%,46,+3.2%,31,+7.3%,28,+6.5%
Dwight Howard,20.9,ORL,Big,167,69,-2.3%,75,-5.3%,94,-14.8%,92,-12.5%,97,-13.3%,5,+32.1%,4,+20.7%,3,+24.0%
Josh Howard,26.5,DAL,Wing,247,89,-6.8%,13,+10.6%,2,+39.1%,73,-4.8%,1,+20.6%,78,-10.6%,89,-14.7%,95,-15.7%
Juwan Howard,33.7,HOU,Big,154,83,-4.7%,73,-5.0%,93,-14.1%,87,-8.4%,93,-10.3%,13,+16.7%,26,+8.3%,20,+9.4%
Larry Hughes,27.8,CLE,Combo,637,39,+2.0%,46,+1.7%,35,+3.7%,58,-1.5%,46,+0.7%,61,-3.1%,46,+1.4%,60,-0.9%
Lindsey Hunter,35.9,DET,Point,118,46,+0.6%,41,+2.8%,63,-2.8%,59,-2.4%,68,-2.4%,31,+8.9%,83,-8.7%,69,-4.1%
Zydrunas Ilgauskas,31.4,CLE,Big,647,4,+10.3%,39,+3.8%,18,+10.3%,4,+12.5%,8,+11.7%,37,+6.6%,16,+12.9%,15,+10.5%
Allen Iverson,31.4,DEN,Combo,222,41,+1.1%,67,-3.8%,17,+11.9%,3,+14.7%,4,+13.5%,67,-5.3%,47,+1.4%,44,+2.1%
Stephen Jackson,28.6,GSW,Wing,451,63,-1.9%,94,-13.5%,4,+25.8%,69,-4.0%,24,+4.8%,69,-6.0%,64,-3.0%,68,-4.0%
LeBron James,21.8,CLE,Wing,889,88,-6.7%,87,-7.7%,54,+0.3%,40,+2.1%,43,+1.4%,82,-13.2%,32,+6.3%,79,-6.2%
Antawn Jamison,30.4,WAS,Forward,172,4,+12.0%,0,+27.4%,3,+31.0%,85,-8.4%,9,+11.4%,99,-81.8%,23,+10.3%,86,-8.9%
Richard Jefferson,26.4,NJN,Forward,487,27,+3.6%,100,-20.5%,6,+24.0%,15,+7.5%,5,+12.0%,25,+11.6%,21,+11.2%,9,+12.3%
Damon Jones,30.2,CLE,Combo,136,89,-7.2%,35,+4.6%,70,-3.8%,97,-14.7%,94,-10.8%,54,+0.4%,86,-10.4%,82,-6.9%
James Jones,26.1,PHX,Wing,160,14,+5.7%,90,-9.3%,8,+22.2%,44,+1.7%,7,+11.8%,80,-12.2%,14,+13.0%,25,+7.2%
Jason Kidd,33.6,NJN,Point,483,90,-7.7%,86,-7.5%,98,-29.6%,34,+3.6%,87,-7.7%,36,+7.2%,75,-5.2%,61,-1.4%
Andrei Kirilenko,25.7,UTA,Wing,521,15,+5.0%,89,-9.0%,32,+4.5%,5,+11.7%,11,+8.8%,39,+6.0%,27,+8.2%,23,+7.7%
Shawn Marion,28.5,PHX,Forward,454,95,-9.3%,29,+6.2%,66,-3.0%,13,+8.1%,39,+2.4%,96,-39.4%,98,-38.5%,99,-42.1%
Donyell Marshall,33.5,CLE,Big,201,64,-1.9%,56,-1.1%,71,-4.5%,68,-3.9%,75,-4.1%,33,+8.5%,44,+1.9%,35,+4.2%
Jason Maxiell,23.7,DET,Big,131,40,+1.8%,48,+0.9%,85,-9.1%,41,+2.0%,65,-2.0%,75,-8.4%,15,+12.9%,30,+5.4%
Antonio McDyess,32.2,DET,Big,348,82,-3.8%,61,-2.3%,45,+2.1%,61,-2.6%,58,-1.0%,41,+5.2%,95,-22.6%,91,-12.5%
Tracy McGrady,27.4,HOU,Wing,279,2,+14.0%,3,+16.6%,12,+16.9%,11,+8.9%,6,+12.0%,13,+16.7%,3,+21.8%,4,+17.5%
Darko Milicic,21.4,ORL,Big,114,98,-11.0%,95,-13.7%,46,+1.6%,75,-5.7%,71,-2.8%,96,-50.0%,96,-33.3%,98,-38.9%
Paul Millsap,21.7,UTA,Big,247,68,-2.3%,89,-8.9%,32,+4.3%,81,-7.0%,62,-1.8%,62,-3.6%,40,+3.7%,47,+1.3%
Mikki Moore,31.0,NJN,Big,393,94,-8.7%,80,-6.2%,83,-8.1%,91,-11.9%,95,-10.9%,59,-1.2%,57,-1.8%,65,-2.2%
Ronald Murray,27.3,DET,Combo,124,28,+3.6%,60,-2.2%,11,+17.1%,55,-1.0%,22,+5.1%,12,+17.5%,55,-1.3%,31,+5.3%
Bostjan Nachbar,26.3,NJN,Forward,273,19,+4.5%,25,+7.6%,21,+9.1%,66,-3.4%,47,+0.6%,18,+15.3%,46,+1.5%,32,+5.2%
Steve Nash,32.7,PHX,Point,412,54,-0.0%,12,+10.8%,92,-13.3%,94,-13.4%,98,-13.5%,44,+4.3%,18,+11.8%,22,+8.0%
Jameer Nelson,24.7,ORL,Point,129,3,+12.1%,31,+6.0%,34,+4.2%,74,-5.0%,64,-2.0%,0,+67.5%,0,+35.4%,0,+42.1%
Andres Nocioni,26.9,CHI,Wing,189,46,+0.8%,46,+1.8%,43,+2.3%,49,+0.0%,45,+1.2%,56,-0.2%,62,-2.7%,63,-1.7%
Dirk Nowitzki,28.4,DAL,Big,237,5,+10.2%,11,+10.9%,62,-2.6%,18,+6.8%,39,+2.8%,38,+6.3%,25,+9.2%,24,+7.5%
Shaquille O'Neal,34.7,MIA,Big,120,8,+9.0%,32,+5.0%,7,+22.8%,4,+13.9%,2,+15.9%,40,+5.4%,61,-2.3%,55,-0.5%
Fabricio Oberto,31.6,SAS,Big,414,75,-3.1%,54,-0.6%,27,+6.5%,79,-6.7%,60,-1.3%,90,-17.9%,52,-0.6%,78,-6.0%
Lamar Odom,27.0,LAL,Big,191,71,-2.6%,92,-11.2%,53,+0.4%,14,+7.9%,29,+3.8%,4,+42.3%,77,-5.7%,25,+7.1%
Mehmet Okur,27.4,UTA,Big,584,18,+4.8%,10,+11.3%,67,-3.1%,23,+5.6%,40,+2.3%,49,+2.1%,50,+0.3%,50,+0.4%
Anthony Parker,31.4,TOR,Wing,239,97,-10.6%,85,-7.5%,1,+45.7%,96,-14.6%,81,-5.7%,97,-61.1%,12,+13.5%,71,-4.3%
Tony Parker,24.5,SAS,Point,746,25,+3.8%,74,-5.0%,22,+9.1%,39,+2.4%,20,+5.6%,53,+1.6%,11,+14.3%,17,+10.1%
Sasha Pavlovic,23.0,CLE,Wing,611,21,+4.3%,79,-6.0%,64,-2.8%,18,+7.0%,34,+3.4%,22,+12.3%,25,+9.3%,18,+9.9%
Morris Peterson,29.2,TOR,Wing,183,54,+0.2%,70,-4.6%,33,+4.3%,10,+9.2%,14,+7.1%,17,+16.1%,82,-8.3%,56,-0.6%
Mickael Pietrus,24.7,GSW,Forward,203,39,+2.2%,32,+5.5%,81,-7.4%,84,-8.2%,89,-7.9%,29,+9.3%,33,+6.0%,26,+6.9%
James Posey,29.8,MIA,Wing,136,96,-10.3%,98,-17.6%,24,+8.0%,99,-21.4%,99,-14.7%,34,+8.3%,51,-0.5%,48,+1.1%
Tayshaun Prince,26.7,DET,Wing,660,76,-3.3%,28,+6.2%,65,-2.9%,70,-4.3%,74,-3.9%,92,-21.4%,30,+7.5%,88,-10.0%
Jason Richardson,25.8,GSW,Wing,426,58,-0.3%,84,-7.1%,54,-0.1%,22,+5.9%,25,+4.8%,50,+2.1%,58,-1.8%,57,-0.6%
Eric Snow,33.5,CLE,Point,241,56,-0.3%,36,+4.3%,82,-7.7%,30,+4.0%,54,-0.6%,48,+2.2%,63,-2.9%,54,-0.4%
Jerry Stackhouse,32.0,DAL,Wing,168,17,+4.9%,59,-2.0%,59,-1.4%,0,+25.1%,3,+14.6%,89,-17.8%,20,+11.6%,46,+1.5%
DeShawn Stevenson,25.6,WAS,Wing,122,85,-5.1%,45,+1.9%,60,-1.9%,46,+1.2%,59,-1.1%,55,0.0%,96,-25.0%,96,-19.4%
Amar'e Stoudemire,24.0,PHX,Big,342,42,+1.1%,21,+8.0%,61,-2.4%,6,+11.7%,27,+4.6%,77,-9.1%,70,-4.6%,75,-5.6%
Jason Terry,29.1,DAL,Point,229,37,+2.4%,96,-14.5%,5,+24.4%,75,-5.6%,12,+8.5%,45,+3.8%,35,+5.5%,33,+4.8%
Kurt Thomas,34.1,PHX,Big,205,81,-3.7%,78,-5.9%,75,-6.1%,72,-4.8%,80,-5.6%,76,-8.8%,32,+6.3%,39,+2.9%
