Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Arron Afflalo,22.0,DET,Wing,755,12,14.2%,34,99.5,18,8.1%,33,0.57,65,10.5%
Blake Ahearn,23.4,MIA,Point,156,84,25.6%,48,104.9,59,28.1%,31,1.10,5,18.1%
LaMarcus Aldridge,22.3,POR,Big,2637,92,23.4%,48,104.3,73,8.6%,45,0.37,96,9.7%
Malik Allen,29.3,BKN,Big,719,52,16.2%,34,99.2,52,6.4%,51,0.39,77,11.9%
Malik Allen,29.3,DAL,Big,313,18,11.4%,49,104.4,48,6.1%,73,0.53,42,15.8%
Ray Allen,32.3,BOS,Wing,2609,74,20.8%,88,118.7,69,13.8%,59,0.66,57,10.8%
Tony Allen,25.8,BOS,Wing,1239,70,20.2%,49,106.1,65,13.1%,58,0.65,4,19.2%
Rafer Alston,31.3,HOU,Point,2520,63,22.6%,25,98.6,41,24.6%,28,1.09,69,12.8%
Derek Anderson,33.3,CHA,Wing,336,72,20.3%,70,112.2,94,22.3%,97,1.10,35,13.6%
Carmelo Anthony,23.4,DEN,Forward,2791,98,28.4%,85,115.6,88,15.5%,58,0.55,37,13.4%
Joel Anthony,25.2,MIA,Big,461,9,9.5%,53,105.1,0,1.2%,1,0.12,18,19.1%
Gilbert Arenas,25.8,WAS,Combo,423,98,30.7%,62,107.3,88,28.2%,52,0.92,20,16.0%
Trevor Ariza,22.3,LAL,Wing,385,20,14.9%,90,119.3,50,11.2%,69,0.75,47,11.6%
Darrell Armstrong,39.4,BKN,Combo,505,8,15.3%,74,110.2,68,22.5%,100,1.47,2,21.6%
Hilton Armstrong,22.9,NOP,Big,663,36,14.4%,34,98.8,29,4.8%,33,0.33,8,22.1%
Carlos Arroyo,28.3,ORL,Point,1216,42,20.6%,81,111.3,52,26.6%,55,1.29,61,13.1%
Chucky Atkins,33.2,DEN,Combo,293,12,16.6%,2,76.0,46,18.4%,74,1.11,100,7.0%
James Augustine,23.7,ORL,Big,106,6,9.0%,48,104.3,2,1.6%,6,0.18,56,13.6%
Kelenna Azubuike,23.9,GSW,Wing,1680,26,15.9%,53,107.1,6,5.9%,4,0.37,85,9.0%
Renaldo Balkman,23.3,NYK,Forward,895,10,12.7%,22,96.3,18,6.4%,47,0.50,18,14.8%
Marcus Banks,25.9,MIA,Combo,239,50,21.8%,100,126.8,70,23.8%,72,1.09,8,18.0%
Marcus Banks,25.9,PHX,Combo,240,20,17.8%,56,106.0,2,9.2%,4,0.52,34,14.3%
Leandro Barbosa,24.9,PHX,Combo,2347,58,22.1%,84,115.3,16,13.2%,12,0.60,86,10.1%
J.J. Barea,23.3,DAL,Point,414,70,23.3%,63,107.4,20,22.2%,14,0.95,33,14.5%
Andrea Bargnani,22.0,TOR,Big,1827,87,21.0%,32,98.3,63,7.4%,41,0.35,91,10.8%
Matt Barnes,27.6,GSW,Forward,1360,40,16.3%,35,103.6,83,13.3%,90,0.81,17,15.1%
Earl Barron,26.2,MIA,Big,852,84,20.6%,16,89.7,54,6.6%,27,0.32,66,12.9%
Brent Barry,35.8,SAS,Wing,520,16,14.7%,98,129.0,70,14.0%,93,0.95,58,10.8%
Brandon Bass,22.5,DAL,Big,1508,75,19.0%,77,114.0,56,6.7%,39,0.35,64,13.1%
Shane Battier,29.1,HOU,Forward,2901,3,11.2%,77,113.3,35,7.9%,82,0.70,70,10.9%
Marco Belinelli,21.6,GSW,Wing,173,21,15.2%,51,106.3,24,8.8%,39,0.58,61,10.7%
Charlie Bell,28.6,MIL,Combo,1522,18,17.8%,22,96.1,50,20.0%,76,1.13,58,11.8%
Raja Bell,31.1,PHX,Wing,2633,9,13.6%,72,112.4,22,8.5%,52,0.63,93,8.1%
Mike Bibby,29.5,ATL,Point,1098,72,23.5%,45,104.7,69,29.2%,50,1.24,44,14.0%
Mike Bibby,29.5,SAC,Point,469,75,24.0%,27,99.0,44,25.8%,27,1.08,36,14.4%
Andris Biedrins,21.6,GSW,Big,2072,24,12.8%,97,127.2,34,5.0%,50,0.39,60,13.4%
Chauncey Billups,31.1,DET,Point,2519,88,26.6%,98,126.5,83,34.1%,53,1.28,81,11.3%
Steve Blake,27.7,POR,Point,2415,19,17.6%,53,105.5,47,26.2%,75,1.49,72,12.7%
Andray Blatche,21.2,WAS,Big,1579,75,19.0%,42,102.8,75,8.8%,65,0.46,37,16.0%
Mark Blount,31.9,MIA,Big,1503,67,18.0%,38,101.1,28,4.7%,14,0.26,73,12.5%
Keith Bogans,27.5,ORL,Wing,2167,8,13.4%,71,112.2,13,7.0%,26,0.53,92,8.4%
Andrew Bogut,22.9,MIL,Big,2697,82,19.9%,56,106.3,88,12.1%,84,0.61,50,14.4%
Matt Bonner,27.6,SAS,Big,748,62,17.4%,54,105.6,45,5.7%,31,0.33,72,12.5%
Josh Boone,22.9,BKN,Big,1737,32,13.7%,64,108.8,33,5.0%,43,0.36,67,12.8%
Calvin Booth,31.5,PHI,Big,200,2,8.0%,5,77.4,50,6.3%,92,0.78,83,11.4%
Carlos Boozer,25.9,UTA,Big,2820,95,24.5%,83,116.6,93,13.5%,78,0.55,58,13.5%
Chris Bosh,23.6,TOR,Big,2416,99,27.1%,83,116.7,89,12.3%,64,0.46,86,11.2%
Bruce Bowen,36.4,SAS,Wing,2434,0,9.3%,46,105.5,4,5.6%,41,0.60,74,9.8%
Ryan Bowen,31.9,NOP,Forward,600,0,8.2%,40,104.2,13,5.1%,70,0.62,25,14.6%
Earl Boykins,31.4,CHA,Point,535,61,22.4%,19,93.5,56,27.7%,48,1.24,23,15.4%
Elton Brand,28.6,LAC,Big,270,93,23.9%,50,104.5,84,10.4%,57,0.43,85,11.3%
Corey Brewer,21.7,MIN,Wing,1757,23,15.6%,8,85.5,31,9.2%,40,0.59,22,14.4%
Ronnie Brewer,22.6,UTA,Wing,2078,27,15.9%,95,123.4,32,9.2%,37,0.58,84,9.2%
Primoz Brezec,28.1,CHA,Big,264,11,10.0%,8,82.2,11,3.4%,36,0.34,2,26.1%
Aaron Brooks,22.8,HOU,Point,520,67,23.0%,47,104.8,38,24.4%,25,1.06,75,12.5%
Andre Brown,26.5,MEM,Big,227,50,16.1%,36,100.0,31,4.9%,24,0.31,77,11.9%
Devin Brown,28.8,CLE,Wing,1728,51,18.3%,32,99.3,81,16.5%,88,0.90,29,13.8%
Kwame Brown,25.6,LAL,Big,488,35,14.4%,29,97.7,68,7.9%,79,0.55,10,21.2%
Kwame Brown,25.6,MEM,Big,150,39,15.1%,10,85.7,91,13.3%,96,0.88,5,24.0%
P.J. Brown,38.0,BOS,Big,167,23,12.4%,15,89.2,78,8.9%,88,0.72,15,19.4%
Shannon Brown,21.9,CLE,Wing,189,97,27.6%,3,83.3,84,16.9%,45,0.61,17,15.1%
Kobe Bryant,29.2,LAL,Wing,3187,100,32.0%,82,116.1,95,23.6%,67,0.74,54,11.1%
Greg Buckner,31.1,MIN,Combo,511,2,13.8%,34,99.2,8,10.8%,28,0.79,12,17.8%
Caron Butler,27.6,WAS,Wing,2306,89,24.8%,73,112.8,90,21.0%,84,0.85,44,12.1%
Rasual Butler,28.4,NOP,Wing,821,11,13.6%,18,94.0,7,6.3%,18,0.46,100,3.8%
Andrew Bynum,20.0,LAL,Big,981,50,16.0%,100,134.3,81,9.3%,80,0.58,59,13.5%
Jose Calderon,26.1,TOR,Point,2434,59,22.2%,97,122.2,92,41.8%,94,1.88,84,10.8%
Marcus Camby,33.6,DEN,Big,2751,29,13.5%,33,98.6,90,12.6%,98,0.93,60,13.4%
Brian Cardinal,30.5,MEM,Forward,350,22,14.3%,5,82.8,23,6.9%,43,0.48,8,16.5%
Rodney Carney,23.6,PHI,Forward,940,50,17.4%,20,95.4,3,4.0%,3,0.23,90,8.0%
Matt Carroll,27.2,CHA,Wing,1924,13,14.2%,67,111.1,3,5.5%,7,0.39,86,8.9%
Anthony Carter,32.4,DEN,Point,1913,16,16.5%,56,106.4,50,26.5%,84,1.61,16,16.7%
Vince Carter,30.8,BKN,Wing,2939,91,26.1%,63,110.0,96,24.2%,89,0.93,62,10.6%
Sam Cassell,38.0,BOS,Combo,265,90,25.7%,30,98.4,66,22.0%,46,0.86,74,10.9%
Sam Cassell,38.0,LAC,Point,972,91,27.7%,59,107.1,78,31.4%,36,1.13,63,13.1%
Tyson Chandler,25.1,NOP,Big,2775,28,13.2%,96,126.5,23,4.2%,28,0.32,29,17.1%
Wilson Chandler,20.5,NYK,Forward,646,52,17.7%,27,99.2,28,7.2%,25,0.40,80,9.5%
Josh Childress,24.4,ATL,Wing,2208,15,14.7%,99,129.6,27,9.0%,47,0.62,38,13.3%
Jarron Collins,28.9,UTA,Big,616,7,9.1%,36,100.0,52,6.3%,88,0.70,50,14.4%
Jason Collins,28.9,BKN,Big,677,0,6.7%,9,84.5,24,4.3%,85,0.64,4,24.3%
Jason Collins,28.9,MEM,Big,482,6,8.8%,47,104.0,2,1.9%,9,0.22,2,26.5%
Mardy Collins,23.2,NYK,Wing,579,62,19.5%,1,72.0,93,21.9%,98,1.13,3,19.9%
Nick Collison,27.0,OKC,Big,2213,42,15.3%,61,107.9,67,7.8%,71,0.51,46,15.0%
Mike Conley,20.1,MEM,Point,1354,56,21.8%,28,100.0,39,24.6%,34,1.13,47,13.5%
Brian Cook,26.9,ORL,Big,536,82,20.0%,39,101.4,66,7.6%,48,0.38,51,14.3%
Daequan Cook,20.5,MIA,Wing,1368,52,18.3%,23,96.8,28,9.1%,21,0.50,70,10.2%
Jamal Crawford,27.6,NYK,Combo,3166,84,25.5%,64,107.7,60,21.6%,40,0.85,78,10.6%
Javaris Crittenton,19.8,LAL,Combo,116,82,25.3%,50,104.3,64,21.9%,48,0.86,0,24.4%
Javaris Crittenton,19.8,MEM,Wing,434,69,20.1%,19,95.2,9,6.7%,2,0.33,20,14.7%
Austin Croshere,32.5,GSW,Big,390,39,15.1%,81,115.2,79,9.0%,82,0.60,63,13.1%
Eddy Curry,24.9,NYK,Big,1520,90,21.9%,80,114.7,18,4.0%,6,0.18,27,17.5%
Samuel Dalembert,27.5,PHI,Big,2716,34,14.1%,69,110.6,6,2.6%,5,0.18,22,18.2%
Erick Dampier,32.3,DAL,Big,1749,13,10.6%,98,128.3,37,5.2%,69,0.49,13,20.2%
Antonio Daniels,32.6,WAS,Point,2149,13,16.4%,73,110.4,33,23.9%,72,1.46,78,12.0%
Marquis Daniels,26.8,IND,Combo,1504,32,20.8%,38,100.2,24,14.5%,18,0.70,24,15.2%
Jermareo Davidson,23.0,CHA,Big,251,73,18.7%,31,98.0,62,7.4%,52,0.39,68,12.7%
Baron Davis,28.6,GSW,Point,3183,95,28.4%,50,105.5,67,29.0%,20,1.02,88,10.7%
Glen Davis,21.8,BOS,Big,815,58,16.8%,68,110.0,39,5.3%,25,0.31,14,19.7%
Paul Davis,23.3,LAC,Big,182,56,16.5%,7,78.3,85,10.9%,85,0.66,56,13.6%
Ricky Davis,28.1,MIA,Wing,2933,64,19.8%,57,108.3,83,16.7%,81,0.84,12,15.5%
Carlos Delfino,25.2,TOR,Wing,1836,54,18.4%,41,103.7,54,11.4%,49,0.62,77,9.6%
Luol Deng,22.5,CHI,Forward,2120,77,22.0%,50,105.9,82,12.7%,62,0.58,67,11.2%
Boris Diaw,25.5,PHX,Big,2242,67,18.0%,46,103.9,100,19.8%,100,1.10,32,16.7%
Yakhouba Diawara,25.2,DEN,Wing,427,5,11.7%,29,98.2,15,7.3%,51,0.63,91,8.6%
Dan Dickau,29.1,LAC,Point,971,31,19.1%,55,105.8,53,27.2%,69,1.43,52,13.3%
Travis Diener,25.7,IND,Point,1313,33,19.3%,23,97.3,63,28.5%,73,1.48,92,9.4%
Ike Diogu,24.1,IND,Big,236,88,21.4%,84,116.8,60,7.0%,32,0.33,62,13.2%
DeSagana Diop,25.8,BKN,Big,386,13,10.5%,9,84.0,27,4.6%,59,0.44,21,18.3%
DeSagana Diop,25.8,DAL,Big,871,4,8.7%,87,118.6,18,3.9%,63,0.46,4,24.5%
Juan Dixon,29.1,DET,Point,230,66,23.0%,78,110.6,17,21.1%,9,0.92,41,14.1%
Juan Dixon,29.1,TOR,Combo,348,60,22.1%,16,91.4,82,25.2%,82,1.14,30,14.8%
Michael Doleac,30.4,MIN,Big,248,17,11.4%,20,91.9,15,3.7%,28,0.32,19,18.6%
Keyon Dooling,27.5,ORL,Combo,1276,34,21.0%,94,118.5,38,17.0%,38,0.81,90,9.7%
Quincy Douby,23.5,SAC,Combo,808,44,21.4%,32,98.5,6,10.6%,2,0.49,36,14.0%
Jared Dudley,22.3,CHA,Forward,1286,17,13.9%,52,106.1,52,8.8%,73,0.63,50,11.8%
Chris Duhon,25.2,CHI,Point,1398,14,16.4%,33,101.1,58,27.8%,86,1.69,55,13.2%
Tim Duncan,31.5,SAS,Big,2642,99,27.6%,64,108.9,95,15.2%,77,0.55,82,11.6%
Mike Dunleavy,27.1,IND,Forward,2946,73,21.2%,97,121.0,90,15.8%,85,0.74,38,13.1%
Kevin Durant,19.1,OKC,Wing,2749,93,26.5%,44,104.5,56,12.1%,16,0.45,37,13.5%
Monta Ellis,22.0,GSW,Combo,3056,56,21.9%,90,116.6,28,15.4%,20,0.70,72,10.9%
Francisco Elson,31.7,OKC,Big,265,53,16.2%,2,74.4,21,4.2%,13,0.26,26,17.5%
Francisco Elson,31.7,SAS,Big,497,43,15.3%,15,89.0,31,5.0%,30,0.33,24,18.0%
Melvin Ely,29.5,NOP,Big,566,71,18.6%,24,95.7,38,5.2%,19,0.28,20,18.5%
Maurice Evans,29.0,ORL,Wing,1590,19,14.8%,85,117.7,10,6.7%,17,0.46,94,7.9%
Reggie Evans,27.5,PHI,Big,1869,31,13.5%,18,90.1,36,5.1%,47,0.38,18,19.2%
Jordan Farmar,20.9,LAL,Point,1604,47,20.9%,84,113.0,19,21.2%,16,1.02,64,12.9%
Nick Fazekas,22.4,LAC,Big,222,52,16.2%,91,121.6,74,8.7%,75,0.54,53,14.2%
Raymond Felton,23.3,CHA,Combo,2958,72,24.2%,42,101.7,98,31.9%,94,1.32,40,13.5%
Michael Finley,34.7,SAS,Forward,2185,48,17.2%,45,105.0,43,8.4%,45,0.49,93,7.2%
Derek Fisher,33.2,LAL,Point,2247,28,18.8%,83,111.7,5,15.7%,3,0.84,94,9.3%
T.J. Ford,24.6,TOR,Point,1149,98,31.4%,61,107.3,95,43.5%,61,1.38,66,12.8%
Jeff Foster,30.8,IND,Big,1870,16,11.3%,78,114.3,83,10.3%,97,0.91,74,12.5%
Randy Foye,24.1,MIN,Combo,1234,62,22.1%,54,105.5,56,20.3%,50,0.92,44,13.0%
Adonal Foyle,32.6,ORL,Big,723,20,11.6%,20,93.0,20,4.0%,37,0.35,36,16.1%
Richie Frahm,30.2,LAC,Wing,152,24,15.9%,6,84.3,29,9.1%,35,0.57,79,9.5%
Steve Francis,30.7,HOU,Combo,193,36,21.1%,8,84.6,80,24.2%,84,1.15,22,15.4%
Channing Frye,24.5,POR,Big,1309,66,18.0%,55,105.7,58,7.0%,49,0.39,89,11.0%
Dan Gadzuric,29.7,MIL,Big,469,47,15.7%,4,77.1,9,2.8%,4,0.18,39,15.9%
Francisco Garcia,25.8,SAC,Wing,2052,67,20.1%,77,114.3,39,10.3%,24,0.51,24,14.0%
Kevin Garnett,31.5,BOS,Big,2318,96,24.6%,85,116.9,99,18.6%,90,0.76,85,11.3%
Pat Garrity,31.2,ORL,Forward,243,33,15.4%,2,76.1,20,6.5%,27,0.42,2,20.4%
Pau Gasol,27.3,LAL,Big,917,85,20.7%,98,128.3,98,16.3%,93,0.79,94,10.4%
Pau Gasol,27.3,MEM,Big,1430,91,22.6%,75,113.7,93,13.6%,83,0.60,90,11.0%
Rudy Gay,21.2,MEM,Forward,2990,85,24.3%,70,109.9,55,9.3%,22,0.38,55,11.7%
Mickael Gelabale,24.4,OKC,Wing,353,40,17.1%,42,104.1,61,12.7%,68,0.74,36,13.5%
Devean George,30.2,DAL,Forward,772,15,13.3%,13,88.5,27,6.9%,55,0.52,82,9.3%
Daniel Gibson,21.7,CLE,Combo,1742,6,15.0%,96,121.5,14,12.9%,44,0.86,42,13.4%
Eddie Gill,29.2,BKN,Point,134,8,15.7%,88,113.8,75,30.2%,97,1.92,39,14.3%
Manu Ginobili,30.3,SAS,Wing,2287,98,29.4%,94,123.1,98,25.7%,85,0.88,28,13.9%
Gordan Giricek,30.4,PHX,Wing,413,49,18.1%,87,118.1,49,11.2%,46,0.62,30,13.8%
Gordan Giricek,30.4,UTA,Wing,270,48,18.1%,15,93.0,30,9.1%,23,0.51,6,17.6%
Ryan Gomes,25.2,MIN,Forward,2424,53,18.2%,68,109.5,58,9.4%,53,0.52,77,9.9%
Drew Gooden,26.1,CHI,Big,556,86,20.8%,45,103.3,82,9.5%,61,0.45,78,11.8%
Drew Gooden,26.1,CLE,Big,1554,70,18.5%,27,97.0,37,5.2%,18,0.28,53,14.2%
Ben Gordon,24.6,CHI,Combo,2265,80,25.3%,78,112.7,36,16.8%,14,0.66,66,11.4%
Joey Graham,25.4,TOR,Forward,237,80,23.1%,17,93.3,32,7.5%,13,0.32,12,15.7%
Danny Granger,24.5,IND,Wing,2863,77,22.0%,78,114.5,35,9.7%,15,0.44,45,11.7%
Aaron Gray,22.9,CHI,Big,536,89,21.6%,66,109.3,86,10.9%,71,0.50,17,19.3%
