Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Ray Allen,37.3,MIA,Wing,565,14,0.3%,24,0.9%,69,3.3%,72,2.8%,28,9.3%,0,0.0%,38,9.4%
Tony Allen,30.8,MEM,Wing,420,66,0.7%,100,3.4%,14,5.3%,100,9.8%,66,12.3%,0,0.0%,90,41.2%
Chris Andersen,34.3,MIA,Big,298,91,4.1%,80,1.5%,7,8.1%,84,13.2%,41,14.2%,0,0.0%,55,29.4%
Carmelo Anthony,28.4,NYK,Forward,480,8,0.3%,38,1.3%,54,3.3%,15,2.3%,85,16.1%,0,0.0%,46,18.5%
Darrell Arthur,24.6,MEM,Big,173,36,1.3%,20,0.5%,9,8.1%,48,8.0%,16,11.3%,0,0.0%,98,63.6%
Omer Asik,26.3,HOU,Big,207,61,2.6%,23,0.6%,77,3.9%,68,10.8%,82,20.7%,0,0.0%,82,42.9%
D.J. Augustin,25.0,IND,Point,308,0,0.0%,6,0.9%,44,3.7%,19,0.7%,0,5.0%,0,0.0%,0,0.0%
Harrison Barnes,20.4,GSW,Wing,459,48,0.6%,7,0.6%,72,2.7%,86,4.4%,59,12.0%,0,0.0%,72,21.4%
Matt Barnes,32.6,LAC,Wing,160,72,0.7%,41,1.2%,0,6.0%,93,5.6%,76,12.9%,0,0.0%,79,29.4%
Brandon Bass,27.5,BOS,Big,201,5,0.3%,16,0.5%,68,4.2%,9,4.3%,52,16.3%,86,16.7%,39,20.0%
Shane Battier,34.1,MIA,Forward,375,69,0.9%,15,0.6%,8,6.0%,38,2.5%,0,7.3%,85,4.8%,8,8.7%
Jerryd Bayless,24.2,MEM,Combo,313,85,1.0%,23,1.0%,0,4.8%,15,0.3%,77,10.6%,0,0.0%,62,5.3%
Marco Belinelli,26.6,CHI,Wing,314,0,0.0%,10,0.6%,59,3.7%,0,0.0%,79,13.3%,0,0.0%,21,6.3%
Patrick Beverley,24.3,HOU,Point,191,100,1.1%,44,1.6%,19,4.5%,100,5.9%,81,11.3%,0,0.0%,0,0.0%
Chauncey Billups,36.1,LAC,Wing,115,34,0.5%,0,0.4%,31,3.9%,48,2.1%,24,9.3%,0,0.0%,28,8.3%
Andray Blatche,26.2,BKN,Big,138,30,1.2%,27,0.7%,52,4.8%,36,7.7%,61,17.9%,0,0.0%,75,37.5%
Andrew Bogut,27.9,GSW,Big,326,75,2.8%,36,0.8%,61,4.5%,91,13.8%,93,26.5%,0,0.0%,59,33.3%
Matt Bonner,32.6,SAS,Big,249,25,1.1%,34,0.8%,30,6.3%,7,4.1%,9,10.8%,0,0.0%,25,12.5%
Carlos Boozer,30.9,CHI,Big,430,2,0.1%,50,1.1%,91,2.9%,45,8.0%,77,20.5%,80,11.1%,68,35.3%
Chris Bosh,28.6,MIA,Big,747,68,2.8%,77,1.5%,73,4.1%,18,5.9%,59,17.3%,64,3.7%,66,34.9%
Avery Bradley,21.9,BOS,Combo,189,31,0.3%,92,3.0%,54,3.0%,62,2.0%,0,5.6%,0,0.0%,0,0.0%
Corey Brewer,26.7,DEN,Wing,145,21,0.4%,79,1.8%,24,4.4%,55,2.2%,3,6.8%,0,0.0%,0,0.0%
Caron Butler,32.6,LAC,Wing,135,83,0.8%,14,0.7%,52,3.7%,14,0.8%,48,11.4%,0,0.0%,59,20.0%
Jimmy Butler,23.1,CHI,Wing,488,69,0.7%,55,1.5%,79,2.4%,45,2.0%,52,11.5%,0,0.0%,55,19.0%
Mario Chalmers,26.5,MIA,Point,639,25,0.1%,50,1.6%,6,5.1%,69,1.8%,44,7.7%,0,0.0%,0,0.0%
Tyson Chandler,30.1,NYK,Big,349,55,2.5%,52,1.1%,34,6.2%,77,11.5%,45,15.6%,0,0.0%,11,7.1%
Wilson Chandler,25.5,DEN,Forward,204,46,0.8%,77,1.6%,23,4.5%,31,2.4%,54,14.6%,0,0.0%,69,28.6%
Norris Cole,24.1,MIA,Point,377,50,0.3%,69,2.0%,13,4.7%,31,1.0%,63,8.9%,94,4.8%,0,0.0%
Nick Collison,32.0,OKC,Big,170,80,3.2%,73,1.3%,2,8.8%,93,14.1%,23,12.7%,89,20.0%,30,14.3%
Mike Conley,25.1,MEM,Point,574,75,0.5%,81,2.1%,69,2.6%,88,2.2%,94,11.5%,0,0.0%,100,4.8%
Jamal Crawford,32.6,LAC,Wing,158,17,0.4%,21,0.9%,83,2.4%,24,1.5%,10,7.2%,0,0.0%,0,0.0%
Stephen Curry,24.6,GSW,Combo,495,8,0.1%,46,1.8%,46,3.1%,38,1.1%,54,8.3%,0,0.0%,46,3.4%
Carlos Delfino,30.2,HOU,Wing,116,24,0.4%,38,1.1%,45,3.8%,17,0.9%,17,8.8%,0,0.0%,52,16.7%
Luol Deng,27.5,CHI,Forward,222,31,0.8%,23,1.1%,77,2.4%,46,2.7%,69,15.6%,0,0.0%,31,15.4%
Boris Diaw,30.5,SAS,Big,270,16,0.6%,30,0.7%,59,4.7%,0,3.7%,11,10.9%,0,0.0%,75,37.5%
Keyon Dooling,32.5,MEM,Point,113,0,0.0%,0,0.4%,0,6.1%,0,0.0%,6,5.4%,0,0.0%,0,0.0%
Tim Duncan,36.5,SAS,Big,732,59,2.6%,57,1.2%,86,3.1%,41,7.9%,84,21.4%,70,6.7%,70,36.1%
Kevin Durant,24.1,OKC,Forward,479,92,1.4%,46,1.3%,92,1.9%,0,1.3%,77,16.0%,92,5.0%,92,45.5%
Monta Ellis,27.0,MIL,Combo,151,54,0.4%,100,3.1%,92,2.2%,54,1.4%,62,9.0%,0,0.0%,0,0.0%
Reggie Evans,32.5,BKN,Big,208,14,0.5%,84,1.6%,50,4.8%,55,8.6%,100,34.8%,0,0.0%,82,42.9%
Festus Ezeli,23.0,GSW,Big,132,66,2.8%,43,1.0%,36,5.9%,73,10.9%,27,12.9%,0,0.0%,20,11.1%
Kenneth Faried,23.0,DEN,Big,144,7,0.4%,75,1.5%,43,5.6%,52,8.3%,89,21.9%,0,0.0%,80,40.0%
Raymond Felton,28.4,NYK,Combo,452,69,0.7%,62,2.1%,62,2.8%,85,3.8%,15,6.5%,0,0.0%,0,0.0%
Derek Fisher,38.2,OKC,Wing,256,10,0.2%,48,1.3%,7,5.5%,7,0.4%,0,6.2%,0,0.0%,0,0.0%
Francisco Garcia,30.8,HOU,Wing,152,97,1.4%,45,1.2%,10,5.5%,59,2.3%,45,10.7%,0,0.0%,0,0.0%
Kevin Garnett,36.5,BOS,Big,211,39,1.3%,59,1.2%,80,3.9%,14,4.5%,98,33.5%,100,33.3%,93,60.0%
Marc Gasol,27.8,MEM,Big,608,82,3.3%,45,1.0%,82,3.8%,5,3.9%,70,18.6%,66,4.4%,23,11.5%
Pau Gasol,32.3,LAL,Big,145,23,1.1%,25,0.7%,100,1.3%,16,5.5%,91,24.6%,0,0.0%,100,85.7%
Paul George,22.5,IND,Wing,776,59,0.6%,59,1.5%,41,3.8%,62,2.4%,90,15.0%,0,0.0%,97,42.4%
Taj Gibson,27.4,CHI,Big,200,43,1.6%,18,0.5%,5,8.5%,30,6.7%,5,9.6%,98,27.3%,16,8.3%
Manu Ginobili,35.3,SAS,Wing,557,52,0.6%,90,2.0%,28,4.0%,31,1.7%,69,12.5%,97,3.4%,41,10.8%
Danny Green,25.4,SAS,Wing,664,100,1.8%,69,1.6%,62,3.4%,76,2.9%,34,10.0%,0,0.0%,21,6.3%
Draymond Green,22.7,GSW,Forward,220,100,2.3%,31,1.3%,0,6.5%,92,6.7%,46,13.9%,100,7.1%,77,33.3%
Jeff Green,26.2,BOS,Forward,257,62,0.9%,8,0.4%,38,3.8%,54,2.9%,31,10.2%,0,0.0%,15,10.0%
Blake Griffin,23.6,LAC,Big,157,45,1.8%,0,0.0%,32,6.2%,23,6.0%,57,17.2%,0,0.0%,52,27.3%
Tyler Hansbrough,27.0,IND,Big,221,0,0.0%,61,1.2%,20,7.1%,86,13.5%,7,10.6%,84,12.5%,73,36.4%
James Harden,23.2,HOU,Wing,242,93,1.3%,97,2.2%,86,2.3%,52,2.2%,83,14.1%,0,0.0%,86,40.0%
Devin Harris,29.7,ATL,Combo,225,23,0.3%,54,2.1%,8,3.8%,23,0.5%,38,7.5%,100,5.6%,0,0.0%
Udonis Haslem,32.4,MIA,Big,357,20,0.8%,98,2.1%,25,6.5%,50,8.3%,34,13.7%,77,7.7%,82,42.9%
Roy Hibbert,25.9,IND,Big,692,77,3.0%,7,0.2%,70,4.1%,98,15.6%,39,13.8%,61,2.2%,48,25.0%
George Hill,26.5,IND,Point,683,56,0.3%,38,1.5%,75,2.5%,13,0.7%,69,9.6%,88,2.1%,88,3.1%
