Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Ray Allen,29.3,SEA,Wing,434,73,+8.5,+22,96,+18.3,95,+7.7%,28,+1.8%,85,+6.4%,56,+0.0,13,+9.8,25,+3.9%,2,-8.5%,99,-13.4%,70,-6.0
Carmelo Anthony,20.4,DEN,Forward,179,62,+3.3,+6,84,+10.2,82,+5.6%,46,+0.5%,37,-0.7%,93,+10.8,19,+6.9,40,+2.4%,14,-3.8%,16,+5.6%,64,-4.3
Gilbert Arenas,22.8,WAS,Wing,450,100,+52.7,+40,100,+51.7,100,+22.6%,97,-5.3%,79,+5.5%,96,+12.6,55,-1.0,46,+1.6%,100,+7.9%,12,+7.0%,4,+15.9
Carlos Arroyo,25.3,DET,Point,133,38,-5.0,-12,24,-5.7,42,-0.6%,32,+1.4%,49,+0.5%,18,-8.3,54,-0.7,82,-4.3%,41,-0.2%,48,+0.8%,11,+10.2
Leandro Barbosa,21.9,PHX,Combo,110,5,-21.9,-47,2,-20.8,2,-9.1%,14,+4.0%,69,+2.5%,24,-6.7,48,+1.1,74,-2.4%,18,-3.0%,78,-3.6%,13,+9.4
Brent Barry,32.8,SAS,Wing,536,28,-7.5,-18,30,-4.8,28,-2.1%,23,+2.3%,58,+1.4%,70,+3.4,41,+2.7,47,+1.6%,71,+1.5%,53,+0.1%,33,+2.3
Jon Barry,35.3,HOU,Wing,180,84,+14.9,+35,53,+1.6,61,+1.9%,78,-1.9%,5,-7.6%,68,+3.1,93,-13.3,95,-7.4%,79,+2.8%,61,-0.9%,58,-3.0
Shane Battier,26.1,MEM,Forward,118,11,-16.4,-29,44,-1.6,94,+7.6%,1,+9.8%,65,+1.9%,21,-7.7,5,+14.8,11,+5.8%,11,-4.1%,46,+1.2%,25,+5.8
Mike Bibby,26.5,SAC,Point,201,32,-6.4,-14,94,+16.0,83,+5.7%,54,-0.1%,88,+6.7%,65,+2.4,2,+22.5,7,+7.0%,4,-5.5%,21,+4.9%,16,+8.2
Chauncey Billups,28.1,DET,Combo,983,47,-0.9,-3,75,+7.6,65,+2.4%,48,+0.3%,21,-2.9%,71,+3.5,18,+8.5,36,+3.1%,13,-3.9%,29,+3.2%,61,-3.6
Bruce Bowen,33.4,SAS,Wing,809,18,-12.8,-27,34,-4.2,40,-0.9%,69,-1.2%,34,-1.0%,8,-11.6,17,+8.6,31,+3.6%,17,-3.5%,58,-0.7%,56,-2.9
Ryan Bowen,29.0,HOU,Forward,115,30,-7.4,-18,32,-4.4,76,+3.3%,4,+6.2%,70,+2.6%,15,-9.6,39,+3.0,9,+6.7%,80,+2.8%,96,-10.4%,6,+14.7
Earl Boykins,28.4,DEN,Point,147,4,-22.6,-41,39,-3.1,13,-4.3%,7,+5.4%,97,+11.2%,46,-1.8,4,+19.6,34,+3.4%,33,-1.1%,0,+20.5%,24,+5.9
Rasual Butler,25.4,MIA,Wing,175,2,-25.7,-56,9,-13.0,9,-4.8%,63,-0.8%,8,-6.9%,16,-9.3,7,+12.7,38,+2.9%,9,-4.3%,54,-0.1%,29,+4.4
Marcus Camby,30.6,DEN,Big,186,96,+24.3,+23,88,+12.4,92,+7.0%,68,-1.2%,84,+6.3%,53,-0.6,90,-11.9,99,-11.8%,48,+0.1%,3,+13.2%,99,-22.7
Vince Carter,27.8,NJN,Wing,180,29,-7.5,-15,40,-2.7,55,+1.1%,86,-2.8%,96,+9.8%,1,-41.2,32,+4.8,56,-0.2%,66,+1.1%,13,+6.6%,40,+0.7
