Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Arron Afflalo,24.0,DEN,Wing,118,100,71.9%,97,100%,80,50%,0,0%,69,43%,0,45%,0,33%,0,43%
LaMarcus Aldridge,24.3,POR,Big,225,23,44.0%,100,88%,91,60%,23,23%,26,33%,0,100%,0,0%,0,50%
Ray Allen,34.3,BOS,Wing,922,71,52.3%,40,53%,34,31%,83,48%,80,43%,44,48%,55,34%,48,39%
Tony Allen,27.8,BOS,Wing,379,54,50.0%,54,55%,69,44%,51,38%,66,42%,0,0%,0,0%,0,0%
Lou Amundson,26.9,PHX,Big,172,60,52.9%,28,54%,47,40%,98,67%,81,50%,0,0%,0,0%,0,0%
Chris Andersen,31.3,DEN,Big,115,60,52.9%,28,54%,0,0%,88,50%,81,50%,0,0%,0,0%,0,0%
Carmelo Anthony,25.4,DEN,Wing,252,40,48.9%,60,56%,54,42%,69,44%,83,43%,0,25%,0,36%,31,33%
Carlos Arroyo,30.3,MIA,Point,110,20,45.8%,0,0%,0,0%,100,58%,93,55%,0,0%,0,0%,0,0%
Leandro Barbosa,26.9,PHX,Wing,227,54,50.0%,34,52%,26,25%,86,50%,69,43%,0,50%,25,30%,41,36%
Matt Barnes,29.6,ORL,Wing,325,49,49.3%,20,47%,26,25%,40,33%,26,30%,11,38%,0,40%,52,39%
Nicolas Batum,20.9,POR,Wing,138,77,59.7%,66,58%,0,0%,31,25%,14,25%,0,27%,0,67%,79,45%
Jerryd Bayless,21.2,POR,Combo,156,67,50.0%,92,62%,33,36%,0,29%,17,32%,0,75%,0,30%,0,43%
Michael Beasley,20.8,MIA,Forward,131,30,45.7%,30,53%,20,18%,90,53%,50,38%,0,0%,0,50%,0,50%
Mike Bibby,31.5,ATL,Point,291,87,53.8%,87,67%,0,0%,73,49%,60,47%,0,55%,11,35%,89,41%
Chauncey Billups,33.1,DEN,Combo,206,92,51.2%,100,65%,75,57%,25,32%,33,38%,0,50%,60,33%,56,35%
Matt Bonner,29.6,SAS,Big,169,72,53.5%,12,50%,88,56%,30,33%,81,50%,0,43%,75,35%,75,37%
Carlos Boozer,27.9,UTA,Big,400,65,53.0%,58,62%,67,50%,63,43%,67,45%,0,0%,0,0%,0,0%
Shannon Brown,23.9,LAL,Combo,296,25,44.7%,67,56%,42,38%,17,31%,25,33%,0,44%,20,29%,33,35%
Kobe Bryant,31.2,LAL,Wing,921,63,50.9%,43,54%,77,48%,80,47%,89,47%,0,33%,60,39%,45,38%
Caron Butler,29.6,DAL,Wing,195,37,47.8%,74,65%,34,31%,66,43%,60,40%,0,36%,0,25%,24,32%
Andrew Bynum,22.0,LAL,Big,546,74,53.7%,49,60%,58,43%,12,0%,44,39%,0,0%,0,0%,0,0%
Marcus Camby,35.6,POR,Big,177,19,43.2%,12,50%,21,25%,58,40%,35,37%,0,0%,0,0%,0,0%
Vince Carter,32.8,ORL,Wing,477,23,44.0%,51,55%,71,45%,60,41%,77,43%,0,27%,10,23%,14,24%
Mario Chalmers,23.5,MIA,Combo,130,100,56.6%,25,43%,100,80%,75,50%,100,62%,0,40%,0,38%,67,39%
Jarron Collins,30.9,PHX,Big,112,5,33.3%,2,40%,21,25%,30,33%,21,30%,0,0%,0,0%,0,0%
Nick Collison,29.0,OKC,Big,121,5,33.3%,2,40%,2,0%,26,25%,7,20%,0,0%,0,0%,0,0%
Jamal Crawford,29.6,ATL,Combo,323,8,42.7%,50,47%,17,33%,8,30%,8,31%,0,35%,100,42%,89,40%
Erick Dampier,34.3,DAL,Big,118,0,0.0%,0,0%,2,0%,0,0%,0,0%,0,0%,0,0%,0,0%
Glen Davis,23.8,BOS,Big,467,30,48.7%,37,56%,42,36%,56,39%,42,39%,0,0%,0,0%,0,0%
Carlos Delfino,27.2,MIL,Wing,224,26,45.9%,37,53%,9,14%,0,0%,3,6%,33,43%,0,40%,69,42%
Luol Deng,24.5,CHI,Forward,201,40,46.9%,50,65%,70,44%,80,49%,90,48%,0,0%,0,25%,0,8%
Boris Diaw,27.5,CHA,Big,151,51,51.8%,95,83%,93,63%,95,60%,100,62%,0,0%,0,11%,0,11%
Goran Dragic,23.5,PHX,Combo,214,58,48.3%,83,58%,67,50%,58,39%,67,43%,0,50%,0,26%,22,30%
Jared Dudley,24.3,PHX,Wing,364,94,64.4%,63,58%,43,33%,100,67%,94,50%,78,52%,70,40%,83,45%
Tim Duncan,33.5,SAS,Big,371,56,52.3%,81,71%,49,41%,47,37%,49,40%,0,0%,0,50%,0,50%
Kevin Durant,21.1,OKC,Wing,230,9,39.7%,11,45%,23,23%,57,41%,31,34%,0,0%,30,31%,21,30%
Maurice Evans,31.0,ATL,Wing,126,0,35.0%,3,22%,80,50%,20,20%,23,29%,0,33%,0,100%,0,43%
Jordan Farmar,22.9,LAL,Point,270,67,52.4%,27,45%,27,25%,33,36%,13,32%,0,64%,0,33%,100,44%
Raymond Felton,25.3,CHA,Point,129,13,42.7%,33,47%,47,50%,53,42%,40,43%,0,0%,0,25%,0,25%
Rudy Fernandez,24.6,POR,Wing,108,97,64.8%,0,0%,94,100%,0,0%,29,33%,0,0%,95,50%,93,48%
Kyrylo Fesenko,22.9,UTA,Big,177,21,43.3%,12,50%,21,25%,0,0%,9,25%,0,0%,0,0%,0,0%
Derek Fisher,35.2,LAL,Point,749,73,52.5%,40,48%,67,53%,87,52%,80,52%,0,28%,67,38%,33,36%
Channing Frye,26.5,PHX,Big,426,44,50.4%,12,50%,67,50%,49,38%,56,41%,0,43%,50,34%,50,35%
Kevin Garnett,33.5,BOS,Big,763,40,49.5%,51,61%,56,42%,79,47%,65,45%,0,0%,0,0%,0,0%
Pau Gasol,29.3,LAL,Big,910,77,53.9%,60,63%,81,50%,70,45%,77,48%,0,0%,0,0%,0,0%
Taj Gibson,24.4,CHI,Big,143,16,42.1%,35,55%,16,22%,67,44%,37,37%,0,0%,0,0%,0,0%
Manu Ginobili,32.3,SAS,Wing,351,43,48.9%,71,61%,60,43%,34,29%,40,36%,0,42%,35,32%,34,34%
Marcin Gortat,25.7,ORL,Big,190,100,68.4%,93,79%,67,50%,12,0%,49,40%,0,0%,0,0%,0,0%
Jeff Green,23.2,OKC,Forward,216,0,39.1%,10,41%,30,33%,20,22%,20,27%,0,50%,0,25%,50,31%
