Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Steven Adams,28.3,MEM,Big,109,79,+7.5,77,+6.9,27,-3.8%,12,+3.3%,69,+3.8,30,-2.4,91,+34.7
Kyle Anderson,28.1,MEM,Forward,211,73,+5.8,63,+2.5,38,-1.9%,9,+3.9%,41,-2.8,8,-7.0,83,+26.8
Giannis Antetokounmpo,26.9,MIL,Big,447,91,+14.9,90,+11.9,52,+0.1%,48,+0.2%,51,+0.4,19,-3.6,79,+22.4
Will Barton,30.8,DEN,Wing,172,33,-4.7,9,-11.9,68,+2.4%,96,-5.4%,74,+5.5,50,-0.1,83,+26.3
Malik Beasley,24.9,MIN,Wing,144,13,-11.3,16,-9.1,62,+1.4%,78,-2.2%,21,-6.3,18,-3.9,36,-12.6
Davis Bertans,29.0,DAL,Forward,179,55,+0.7,50,+0.4,48,-1.0%,74,-2.0%,34,-3.9,34,-2.1,25,-18.3
Patrick Beverley,33.3,MIN,Combo,226,22,-6.1,23,-7.0,15,-7.0%,33,+1.0%,27,-5.4,33,-2.3,26,-17.9
Nemanja Bjelica,33.5,GSW,Big,125,15,-10.5,27,-5.0,10,-9.5%,11,+3.6%,3,-16.0,3,-10.0,25,-17.9
Bojan Bogdanovic,32.5,UTA,Forward,214,28,-5.5,44,-0.8,1,-18.2%,8,+4.2%,2,-19.5,2,-12.2,27,-17.0
Devin Booker,25.0,PHX,Wing,365,56,+1.6,60,+1.9,40,-1.7%,58,-0.6%,13,-8.9,51,-0.1,6,-51.0
Jaylen Brown,25.0,BOS,Wing,919,52,+0.3,68,+3.6,60,+0.9%,38,+0.9%,67,+3.6,66,+2.0,65,+11.2
Reggie Bullock,30.6,DAL,Forward,707,58,+1.7,42,-1.4,14,-7.2%,63,-1.0%,31,-4.5,10,-6.3,72,+17.5
