Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Alex Abrines,24.3,OKC,Wing,1066,33,0.4%,40,1.3%,7,4.8%,56,2.2%,21,8.1%,0,0.0%,30,3.7%
Quincy Acy,27.1,BKN,Big,1287,32,1.1%,52,1.1%,38,4.4%,10,2.9%,25,14.7%,74,4.1%,35,24.1%
Steven Adams,24.3,OKC,Big,2465,53,1.7%,79,1.5%,87,2.9%,97,14.5%,12,12.8%,95,10.6%,2,1.9%
Bam Adebayo,20.3,MIA,Big,1319,54,1.7%,53,1.1%,48,4.2%,64,8.9%,55,18.2%,77,4.5%,81,41.7%
Arron Afflalo,32.0,ORL,Wing,618,67,0.7%,0,0.3%,29,3.8%,4,0.5%,20,8.1%,0,0.0%,70,11.6%
LaMarcus Aldridge,32.3,SAS,Big,2474,62,1.9%,21,0.8%,95,2.6%,77,10.2%,32,15.4%,42,1.8%,29,22.4%
Jarrett Allen,19.5,BKN,Big,1421,88,3.0%,29,0.8%,59,3.8%,75,9.8%,27,14.9%,92,8.4%,57,32.1%
Tony Allen,35.8,NOP,Wing,258,50,0.6%,79,1.7%,1,7.1%,100,8.0%,22,8.2%,0,0.0%,94,28.6%
Al-Farouq Aminu,27.1,POR,Big,2055,27,1.0%,86,1.7%,93,2.7%,24,4.6%,64,18.9%,55,2.6%,68,36.2%
Justin Anderson,24.0,PHI,Wing,420,75,0.8%,37,1.2%,10,4.6%,90,4.6%,61,11.3%,99,6.7%,75,12.5%
Kyle Anderson,24.1,SAS,Forward,1946,94,1.6%,96,2.6%,84,2.5%,78,4.3%,71,15.0%,76,2.2%,96,36.0%
Ryan Anderson,29.5,HOU,Big,1672,12,0.6%,12,0.6%,84,3.0%,34,5.6%,20,14.0%,53,2.4%,20,18.7%
Giannis Antetokounmpo,22.9,MIL,Forward,2740,98,2.0%,82,1.8%,59,3.2%,96,6.3%,98,20.7%,71,1.9%,100,44.1%
Carmelo Anthony,33.4,OKC,Big,2473,28,1.0%,24,0.8%,86,3.0%,6,2.4%,29,15.3%,71,3.9%,42,27.6%
OG Anunoby,20.3,TOR,Forward,1441,29,0.5%,65,1.5%,31,3.7%,55,3.3%,10,8.9%,0,0.0%,22,15.4%
Ryan Arcidiacono,23.6,CHI,Combo,262,0,0.0%,86,2.2%,79,2.7%,0,0.0%,25,8.1%,98,6.7%,71,7.1%
Trevor Ariza,32.3,HOU,Wing,2221,21,0.3%,84,1.9%,81,2.4%,34,1.4%,62,11.4%,85,2.3%,90,17.2%
Darrell Arthur,29.6,DEN,Big,118,18,0.8%,100,3.1%,8,6.1%,9,2.7%,2,9.6%,0,0.0%,6,10.0%
Jamel Artis,24.8,ORL,Forward,243,43,0.6%,2,0.4%,96,1.6%,4,0.8%,31,10.9%,0,0.0%,33,16.7%
Omer Asik,31.3,NOP,Big,103,21,1.0%,3,0.4%,45,4.2%,45,6.7%,94,26.5%,0,0.0%,58,33.3%
D.J. Augustin,30.0,ORL,Point,1739,0,0.0%,33,1.3%,95,2.0%,46,1.7%,16,7.3%,0,0.0%,70,5.4%
Luke Babbitt,28.4,MIA,Forward,106,27,0.5%,4,0.4%,80,2.5%,29,2.0%,0,4.7%,0,0.0%,39,20.0%
Luke Babbitt,28.4,ATL,Big,517,6,0.4%,16,0.7%,69,3.4%,0,0.8%,12,12.8%,0,0.0%,58,33.3%
Dwayne Bacon,22.2,CHA,Wing,627,7,0.2%,15,0.9%,58,3.0%,1,0.3%,95,15.2%,0,0.0%,95,29.0%
Ron Baker,24.6,NYK,Combo,334,79,0.9%,98,2.8%,27,3.9%,14,1.4%,0,5.6%,0,0.0%,0,0.0%
Lonzo Ball,20.0,LAL,Combo,1769,91,1.2%,82,2.1%,80,2.6%,91,3.8%,98,15.5%,71,0.9%,93,15.4%
J.J. Barea,33.3,DAL,Combo,1595,4,0.1%,9,1.0%,93,2.3%,11,1.1%,86,12.5%,0,0.0%,68,6.2%
Harrison Barnes,25.4,DAL,Forward,2590,10,0.3%,22,0.9%,100,1.5%,49,2.9%,69,15.0%,63,1.8%,65,25.2%
Will Barton,26.8,DEN,Combo,2634,82,1.0%,27,1.3%,84,2.6%,71,2.6%,84,12.4%,88,2.5%,95,16.2%
Nicolas Batum,28.9,CHA,Wing,1960,53,0.6%,53,1.4%,96,1.4%,73,3.0%,73,12.3%,0,0.0%,87,16.4%
Jerryd Bayless,29.2,PHI,Wing,898,24,0.3%,24,1.1%,22,4.1%,39,1.6%,7,6.4%,82,1.9%,56,8.7%
Aron Baynes,30.9,BOS,Big,1448,58,1.8%,13,0.7%,16,5.4%,61,8.6%,60,18.6%,46,2.0%,64,34.8%
Kent Bazemore,28.3,ATL,Wing,1771,93,1.3%,95,2.5%,41,3.4%,33,1.4%,75,12.5%,76,1.4%,59,9.3%
Bradley Beal,24.3,WAS,Wing,2957,61,0.6%,56,1.5%,84,2.3%,54,2.1%,55,10.3%,66,0.8%,47,6.8%
Malik Beasley,20.9,DEN,Wing,493,67,0.7%,36,1.2%,68,2.8%,47,1.8%,58,10.5%,0,0.0%,0,0.0%
Michael Beasley,28.8,NYK,Big,1611,39,1.3%,38,0.9%,71,3.4%,35,5.7%,61,18.7%,75,4.3%,39,25.8%
Marco Belinelli,31.6,PHI,Wing,714,43,0.5%,33,1.2%,66,2.8%,10,0.9%,5,6.0%,0,0.0%,16,1.9%
Marco Belinelli,31.6,ATL,Wing,1192,6,0.1%,70,1.6%,99,1.3%,13,1.0%,15,7.4%,0,0.0%,64,9.7%
Jordan Bell,22.8,GSW,Big,719,92,3.4%,94,2.0%,27,4.9%,60,8.5%,21,14.1%,77,4.5%,40,27.3%
DeAndre' Bembry,23.3,ATL,Wing,435,94,1.4%,90,2.2%,31,3.7%,50,1.9%,90,14.5%,0,0.0%,44,6.3%
Dragan Bender,20.0,PHX,Big,2003,40,1.3%,4,0.4%,73,3.4%,4,2.0%,22,14.2%,0,0.0%,41,27.5%
Davis Bertans,25.0,SAS,Big,977,46,1.5%,49,1.1%,55,3.8%,3,1.8%,9,12.5%,50,2.2%,9,14.0%
Patrick Beverley,29.3,LAC,Point,333,90,0.8%,93,2.5%,13,4.3%,98,5.0%,43,9.0%,0,0.0%,90,10.0%
Khem Birch,25.1,ORL,Big,510,69,2.0%,61,1.2%,62,3.7%,88,11.6%,58,18.4%,84,6.3%,69,37.0%
Bismack Biyombo,25.2,ORL,Big,1441,90,3.2%,13,0.6%,53,4.0%,70,9.4%,73,21.0%,47,2.1%,50,29.9%
