Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Steven Adams,31.3,HOU,Big,784,79,+5.0,+10,80,+3.6,46,-0.5%,3,+3.1%,100,+11.7%,68,+1.2,63,-1.4,65,-0.8%,24,-1.1%,65,-1.0%,86,-2.5
Kyle Anderson,31.1,GSW,Big,508,16,-7.8,-20,5,-10.2,7,-4.5%,4,+2.9%,60,+0.6%,20,-2.2,72,-2.3,78,-1.9%,50,+0.1%,42,+0.5%,19,+2.6
Kyle Anderson,31.1,MIA,Big,444,85,+6.2,+15,66,+1.7,32,-1.3%,53,-0.0%,79,+2.7%,79,+2.2,85,-4.6,75,-1.6%,82,+1.4%,76,-1.8%,31,+1.5
Giannis Antetokounmpo,29.9,MIL,Big,2287,96,+11.8,+28,96,+9.1,96,+4.1%,74,-0.8%,72,+1.8%,90,+3.4,75,-2.8,76,-1.7%,48,-0.1%,77,-1.9%,17,+2.7
Harrison Barnes,32.4,SAS,Big,2224,86,+6.5,+15,83,+4.0,87,+2.2%,88,-1.6%,35,-1.2%,37,-0.9,74,-2.5,49,+0.0%,22,-1.1%,41,+0.6%,99,-6.3
Nicolas Batum,35.9,LAC,Forward,1344,60,+1.5,+4,35,-2.2,24,-2.0%,66,-0.4%,27,-1.8%,80,+2.3,80,-3.7,96,-4.2%,38,-0.5%,27,+1.6%,21,+2.3
Bradley Beal,31.3,PHX,Wing,1699,17,-7.1,-16,19,-5.2,68,+0.7%,20,+1.2%,2,-6.3%,51,+0.0,32,+1.9,24,+1.5%,39,-0.5%,93,-3.6%,6,+4.9
Malik Beasley,27.9,DET,Wing,2272,77,+4.8,+12,73,+2.3,75,+1.2%,47,+0.1%,13,-3.3%,71,+1.4,73,-2.5,76,-1.6%,62,+0.5%,36,+0.9%,19,+2.6
Bismack Biyombo,32.2,SAS,Big,511,19,-6.7,-14,7,-8.4,63,+0.5%,25,+0.9%,1,-6.5%,1,-8.2,65,-1.7,79,-1.9%,7,-2.1%,56,-0.4%,99,-6.2
Devin Booker,28.0,PHX,Combo,2780,54,+0.6,+2,82,+3.9,57,+0.1%,84,-1.3%,50,-0.1%,29,-1.4,24,+3.3,23,+1.5%,41,-0.4%,43,+0.5%,23,+2.2
Malcolm Brogdon,31.9,WAS,Combo,563,70,+3.1,+5,77,+3.0,76,+1.2%,75,-0.8%,59,+0.5%,92,+3.7,52,-0.1,12,+2.4%,52,+0.1%,92,-3.6%,96,-4.5
Jaylen Brown,28.0,BOS,Wing,2154,47,-0.8,-2,71,+2.2,87,+2.2%,79,-1.0%,15,-3.0%,82,+2.4,25,+3.0,23,+1.5%,6,-2.2%,75,-1.7%,27,+1.9
Alec Burks,33.3,MIA,Wing,859,88,+7.1,+17,78,+3.4,74,+1.1%,50,+0.1%,64,+1.0%,64,+1.0,80,-3.8,83,-2.2%,53,+0.2%,38,+0.7%,85,-2.4
Jimmy Butler,35.1,MIA,Forward,765,84,+5.9,+15,98,+9.7,83,+1.9%,96,-2.3%,88,+4.2%,80,+2.3,20,+3.8,7,+3.1%,33,-0.7%,77,-1.9%,80,-2.1
Jimmy Butler,35.1,GSW,Forward,979,53,+0.5,+2,21,-4.8,21,-2.3%,33,+0.7%,40,-0.8%,99,+6.5,88,-5.3,23,+1.5%,87,+1.8%,64,-1.0%,100,-6.7
Kentavious Caldwell-Pope,31.7,ORL,Wing,2277,54,+0.7,+2,52,-0.5,70,+0.8%,59,-0.2%,18,-2.5%,46,-0.4,61,-1.2,64,-0.8%,57,+0.3%,58,-0.6%,34,+1.3
Clint Capela,30.5,ATL,Big,1173,35,-3.1,-8,12,-7.1,12,-3.5%,52,+0.1%,81,+3.1%,5,-5.1,82,-4.0,73,-1.4%,62,+0.5%,17,+2.3%,98,-5.5
Jordan Clarkson,32.4,UTA,Combo,961,46,-1.1,-2,37,-1.9,37,-0.9%,27,+0.9%,60,+0.6%,85,+2.8,58,-0.8,54,-0.2%,68,+0.7%,43,+0.4%,32,+1.4
Mike Conley,37.1,MIN,Point,1755,72,+3.4,+8,57,+0.1,72,+0.9%,51,+0.1%,43,-0.7%,25,-1.7,78,-3.3,37,+0.7%,51,+0.1%,76,-1.8%,83,-2.3
Pat Connaughton,31.8,MIL,Wing,570,35,-3.2,-8,59,+0.5,45,-0.5%,42,+0.3%,80,+2.9%,9,-3.7,21,+3.7,58,-0.5%,31,-0.8%,22,+2.0%,54,-0.2
Seth Curry,34.2,CHA,Wing,1056,64,+2.0,+4,70,+2.1,61,+0.4%,66,-0.4%,64,+1.0%,30,-1.4,50,+0.1,52,-0.1%,22,-1.1%,56,-0.4%,39,+0.9
Stephen Curry,36.6,GSW,Point,2250,89,+7.2,+17,99,+13.1,100,+7.1%,57,-0.2%,59,+0.5%,50,-0.1,9,+6.0,8,+3.0%,13,-1.7%,39,+0.7%,32,+1.4
Anthony Davis,31.6,LAL,Big,1439,70,+3.0,+8,66,+1.7,59,+0.2%,34,+0.6%,53,+0.0%,89,+3.3,63,-1.4,64,-0.8%,31,-0.8%,83,-2.4%,95,-4.2
Anthony Davis,31.6,DAL,Big,265,96,+12.1,+27,75,+2.6,87,+2.4%,48,+0.1%,38,-0.9%,75,+1.7,98,-9.6,96,-4.1%,10,-1.9%,97,-4.4%,94,-4.0
DeMar DeRozan,35.2,SAC,Wing,2761,80,+5.1,+13,89,+5.4,71,+0.9%,98,-2.9%,10,-3.7%,70,+1.3,47,+0.3,39,+0.5%,28,-0.9%,32,+1.2%,62,-0.8
Spencer Dinwiddie,31.6,DAL,Combo,2097,16,-7.8,-19,22,-4.3,30,-1.4%,26,+0.9%,8,-4.1%,84,+2.6,22,+3.5,24,+1.5%,25,-1.0%,62,-0.8%,47,+0.4
Andre Drummond,31.2,PHI,Big,741,6,-12.0,-21,8,-8.3,8,-4.2%,14,+1.6%,94,+5.4%,10,-3.6,21,+3.7,17,+1.9%,65,+0.6%,58,-0.6%,19,+2.6
Kris Dunn,30.6,LAC,Combo,1779,76,+4.6,+11,54,-0.2,68,+0.7%,70,-0.6%,28,-1.7%,25,-1.7,86,-4.8,62,-0.7%,96,+3.3%,39,+0.7%,72,-1.5
Kevin Durant,36.1,PHX,Big,2262,83,+5.6,+13,90,+6.2,99,+5.8%,11,+1.8%,8,-4.1%,93,+3.9,44,+0.6,65,-0.8%,12,-1.8%,81,-2.2%,51,+0.1
Joel Embiid,30.6,PHI,Big,574,65,+2.2,+4,10,-7.5,16,-3.0%,24,+1.0%,2,-6.1%,97,+5.5,98,-9.7,90,-3.1%,88,+1.9%,94,-3.8%,92,-3.5
Dante Exum,29.3,DAL,Combo,370,21,-6.4,-15,21,-4.9,27,-1.8%,80,-1.1%,25,-2.0%,25,-1.7,36,+1.5,32,+1.0%,23,-1.1%,25,+1.7%,87,-2.8
Dorian Finney-Smith,31.5,BKN,Big,579,99,+15.5,+34,98,+10.8,99,+6.7%,82,-1.2%,19,-2.4%,77,+1.9,86,-4.7,92,-3.2%,42,-0.4%,14,+2.7%,82,-2.2
Dorian Finney-Smith,31.5,LAL,Forward,1236,99,+17.1,+38,97,+9.3,95,+3.7%,91,-2.0%,29,-1.7%,93,+4.0,95,-7.8,87,-2.7%,80,+1.3%,55,-0.4%,91,-3.1
Paul George,34.5,PHI,Wing,1321,85,+6.2,+13,34,-2.3,57,+0.1%,31,+0.7%,8,-4.1%,73,+1.4,96,-8.5,73,-1.4%,93,+2.7%,92,-3.4%,74,-1.6
Taj Gibson,39.4,CHA,Big,386,24,-5.8,-10,5,-10.3,14,-3.3%,19,+1.3%,36,-1.1%,20,-2.2,85,-4.5,97,-4.4%,8,-2.0%,44,+0.4%,63,-0.9
Rudy Gobert,32.4,MIN,Big,2382,73,+3.9,+9,24,-3.9,43,-0.7%,12,+1.7%,87,+4.1%,9,-3.9,94,-7.8,83,-2.2%,71,+0.9%,72,-1.5%,98,-4.7
Aaron Gordon,29.1,DEN,Big,1444,92,+8.9,+19,90,+5.9,94,+3.6%,26,+0.9%,62,+0.8%,79,+2.1,75,-3.0,56,-0.3%,37,-0.6%,84,-2.5%,66,-1.1
Eric Gordon,35.9,PHI,Wing,756,63,+1.9,+4,76,+2.7,92,+3.1%,11,+1.8%,37,-1.0%,75,+1.7,41,+0.9,60,-0.5%,68,+0.8%,13,+2.8%,6,+5.3
Jerami Grant,30.6,POR,Big,1523,21,-6.3,-15,15,-6.2,17,-2.9%,65,-0.4%,13,-3.4%,72,+1.4,49,+0.1,54,-0.3%,24,-1.1%,55,-0.4%,29,+1.7
Draymond Green,34.7,GSW,Big,1980,90,+7.9,+19,87,+4.8,98,+5.7%,40,+0.4%,4,-5.0%,82,+2.5,76,-3.1,38,+0.6%,88,+1.9%,53,-0.3%,88,-2.8
Jeff Green,38.2,HOU,Forward,348,4,-12.8,-30,55,-0.1,66,+0.6%,84,-1.3%,29,-1.7%,2,-7.2,1,+12.6,11,+2.6%,0,-5.7%,51,-0.1%,62,-0.8
Tim Hardaway Jr.,32.6,DET,Forward,2152,37,-2.9,-7,60,+0.8,69,+0.8%,60,-0.3%,49,-0.2%,60,+0.7,21,+3.7,14,+2.3%,19,-1.3%,37,+0.8%,92,-3.5
James Harden,35.2,LAC,Point,2787,82,+5.5,+13,93,+7.4,69,+0.8%,38,+0.5%,83,+3.3%,95,+4.7,32,+1.9,29,+1.1%,64,+0.6%,41,+0.5%,52,+0.0
Gary Harris,30.1,ORL,Wing,709,83,+5.7,+14,79,+3.5,60,+0.3%,69,-0.6%,75,+2.2%,86,+2.8,71,-2.2,79,-1.9%,83,+1.5%,18,+2.2%,85,-2.4
Tobias Harris,32.3,DET,Forward,2305,77,+4.8,+12,73,+2.4,85,+2.1%,47,+0.2%,49,-0.3%,32,-1.2,73,-2.4,45,+0.2%,53,+0.2%,92,-3.6%,86,-2.5
Buddy Hield,31.9,GSW,Wing,1834,56,+0.9,+2,74,+2.5,39,-0.8%,48,+0.1%,65,+1.1%,18,-2.4,35,+1.7,55,-0.3%,25,-1.0%,17,+2.3%,34,+1.3
Jrue Holiday,34.4,BOS,Combo,1891,43,-1.7,-2,18,-5.6,40,-0.8%,75,-0.9%,0,-8.4%,63,+0.8,81,-3.9,79,-2.0%,52,+0.1%,53,-0.3%,65,-1.0
Richaun Holmes,31.0,WAS,Big,507,96,+12.1,+24,96,+8.7,97,+4.5%,19,+1.4%,91,+4.9%,51,+0.0,78,-3.4,74,-1.5%,79,+1.3%,74,-1.6%,46,+0.4
Al Horford,38.4,BOS,Big,1658,76,+4.5,+8,73,+2.4,66,+0.6%,86,-1.4%,25,-2.0%,18,-2.4,69,-2.0,66,-0.9%,23,-1.1%,93,-3.7%,54,-0.1
Joe Ingles,37.1,MIN,Forward,114,30,-4.4,-11,47,-0.9,35,-1.1%,2,+3.6%,52,-0.0%,98,+5.9,22,+3.6,11,+2.5%,29,-0.8%,30,+1.3%,81,-2.1
Brandon Ingram,27.2,NOP,Wing,595,40,-2.2,-4,24,-4.0,53,-0.2%,9,+2.0%,65,+1.1%,20,-2.2,67,-1.8,59,-0.5%,25,-1.0%,85,-2.6%,63,-0.9
Kyrie Irving,32.6,DAL,Combo,1802,91,+8.2,+20,90,+6.2,77,+1.3%,52,+0.1%,91,+4.9%,40,-0.8,68,-2.0,68,-1.1%,66,+0.7%,13,+2.8%,56,-0.3
Reggie Jackson,34.5,PHI,Combo,362,57,+1.1,+3,53,-0.2,32,-1.3%,91,-2.0%,60,+0.6%,23,-1.8,62,-1.3,71,-1.3%,27,-0.9%,47,+0.2%,75,-1.7
LeBron James,39.8,LAL,Big,2443,18,-6.9,-16,29,-2.8,76,+1.2%,41,+0.4%,17,-2.7%,23,-1.8,18,+4.1,7,+3.1%,20,-1.2%,56,-0.4%,79,-2.0
Nikola Jokic,29.7,DEN,Big,2570,100,+21.3,+46,100,+22.4,100,+8.5%,98,-3.0%,71,+1.7%,95,+4.5,40,+1.1,16,+2.1%,49,-0.1%,90,-3.0%,90,-3.1
Tyus Jones,28.5,PHX,Point,2163,63,+1.9,+4,41,-1.5,66,+0.6%,59,-0.2%,6,-4.6%,10,-3.4,79,-3.4,60,-0.5%,59,+0.4%,29,+1.4%,96,-4.3
Derrick Jones Jr.,27.7,LAC,Big,1864,72,+3.7,+9,84,+4.2,82,+1.8%,52,+0.0%,71,+1.7%,29,-1.4,45,+0.4,27,+1.2%,49,-0.0%,79,-1.9%,41,+0.8
DeAndre Jordan,36.3,DEN,Big,670,6,-11.7,-28,2,-15.0,3,-5.8%,13,+1.7%,66,+1.2%,10,-3.3,77,-3.3,88,-2.8%,15,-1.6%,74,-1.6%,13,+3.4
Cory Joseph,33.2,ORL,Point,552,81,+5.3,+13,85,+4.5,90,+2.8%,87,-1.5%,10,-3.9%,25,-1.6,59,-0.9,50,-0.0%,10,-1.9%,65,-1.0%,58,-0.4
Zach LaVine,29.6,CHI,Wing,1431,92,+9.2,+21,95,+8.2,98,+5.6%,87,-1.5%,26,-1.9%,33,-1.1,60,-0.9,77,-1.7%,36,-0.6%,19,+2.2%,69,-1.3
Zach LaVine,29.6,SAC,Combo,1169,9,-10.0,-24,28,-3.1,84,+2.0%,48,+0.1%,3,-5.6%,28,-1.4,6,+6.9,18,+1.8%,1,-4.2%,19,+2.2%,52,+0.1
Caris LeVert,30.2,CLE,Wing,896,58,+1.2,+1,84,+4.2,85,+2.1%,30,+0.8%,6,-4.6%,87,+3.0,25,+3.1,63,-0.7%,26,-1.0%,22,+1.9%,52,+0.0
Caris LeVert,30.2,ATL,Wing,691,41,-2.1,-5,87,+4.9,18,-2.7%,90,-1.9%,67,+1.4%,100,+8.6,5,+7.0,26,+1.3%,45,-0.3%,25,+1.8%,18,+2.7
Alex Len,31.4,SAC,Big,215,1,-24.1,-42,1,-16.5,2,-7.4%,85,-1.4%,7,-4.2%,16,-2.6,4,+7.6,5,+3.8%,35,-0.6%,6,+4.3%,48,+0.3
Alex Len,31.4,LAL,Big,101,0,-31.8,-46,3,-11.6,29,-1.6%,56,-0.1%,7,-4.3%,0,-13.3,0,+20.3,1,+6.9%,3,-2.6%,1,+7.3%,30,+1.6
Kawhi Leonard,33.3,LAC,Forward,1179,95,+10.5,+22,93,+7.4,97,+4.6%,99,-3.7%,14,-3.1%,12,-3.1,77,-3.2,38,+0.6%,58,+0.4%,88,-2.9%,98,-4.8
Damian Lillard,34.3,MIL,Point,2092,37,-2.9,-7,49,-0.8,20,-2.5%,63,-0.4%,68,+1.4%,90,+3.5,31,+2.2,46,+0.2%,3,-2.5%,63,-0.9%,27,+1.8
Kevon Looney,28.7,GSW,Big,1110,59,+1.2,+3,65,+1.5,11,-3.6%,85,-1.4%,97,+7.8%,48,-0.2,48,+0.3,87,-2.6%,28,-0.9%,46,+0.2%,40,+0.8
Brook Lopez,36.6,MIL,Big,2544,58,+1.1,+3,32,-2.5,49,-0.4%,56,-0.2%,20,-2.3%,23,-1.9,80,-3.6,47,+0.1%,17,-1.4%,87,-2.8%,85,-2.4
Kevin Love,36.2,MIA,Big,251,13,-8.6,-20,24,-3.9,13,-3.4%,78,-1.0%,48,-0.3%,96,+4.9,15,+4.8,10,+2.7%,83,+1.4%,84,-2.5%,61,-0.7
Kyle Lowry,38.6,PHI,Combo,652,70,+3.1,+6,17,-5.7,20,-2.6%,54,-0.1%,16,-2.9%,45,-0.4,97,-8.8,92,-3.2%,75,+1.1%,91,-3.3%,28,+1.8
Trey Lyles,29.0,SAC,Big,1317,29,-4.6,-11,33,-2.4,19,-2.7%,64,-0.4%,73,+1.9%,65,+1.0,30,+2.2,35,+0.8%,78,+1.2%,24,+1.8%,44,+0.6
CJ McCollum,33.1,NOP,Combo,1828,83,+5.7,+11,91,+6.7,95,+3.7%,86,-1.4%,36,-1.1%,31,-1.2,40,+0.9,37,+0.7%,44,-0.3%,40,+0.6%,21,+2.3
