Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Kyle Anderson,27.1,MEM,Forward,213,58,+0.8%,72,+5.7%,53,+0.7%,8,-16.7%,34,-3.0%,47,-1.1%,61,+2.0%,54,+1.1%
Giannis Antetokounmpo,25.9,MIL,Big,792,29,-2.7%,68,+4.6%,29,-5.7%,48,+0.9%,33,-3.2%,31,-4.6%,19,-7.3%,18,-6.7%
Carmelo Anthony,36.4,POR,Forward,143,11,-7.1%,0,-23.0%,79,+7.0%,30,-3.7%,53,+1.2%,44,-1.4%,44,-1.3%,46,-1.0%
Nicolas Batum,31.9,LAC,Wing,554,91,+11.4%,66,+4.2%,60,+2.1%,77,+10.5%,78,+5.5%,77,+9.1%,91,+13.1%,91,+11.8%
Bradley Beal,27.3,WAS,Wing,258,85,+6.9%,82,+8.2%,32,-5.2%,59,+4.0%,37,-2.6%,50,0.0%,99,+23.3%,98,+17.0%
Davis Bertans,28.0,WAS,Forward,150,24,-3.0%,81,+8.0%,24,-8.4%,37,-2.7%,23,-6.2%,57,+4.0%,24,-6.5%,34,-4.0%
Patrick Beverley,32.3,LAC,Combo,314,10,-7.3%,30,-3.9%,18,-10.0%,20,-6.1%,18,-8.4%,46,-1.2%,25,-6.5%,26,-5.0%
Bojan Bogdanovic,31.5,UTA,Forward,389,86,+7.2%,39,-1.4%,47,-1.2%,24,-4.9%,39,-1.9%,66,+6.7%,88,+10.5%,86,+9.7%
Devin Booker,24.0,PHX,Wing,887,75,+4.2%,48,+0.5%,91,+15.2%,32,-3.6%,83,+7.8%,66,+6.4%,53,+1.3%,65,+3.1%
Reggie Bullock,29.6,NYK,Wing,162,57,+0.8%,47,0.0%,25,-7.8%,4,-21.3%,6,-13.3%,92,+19.9%,71,+4.7%,86,+9.3%
