Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Arron Afflalo,24.0,DEN,Wing,2157,66,0.7%,11,0.9%,15,4.5%,48,2.8%,24,8.7%,72,2.0%,50,9.1%
LaMarcus Aldridge,24.3,POR,Big,2911,19,1.0%,58,1.1%,88,3.3%,31,7.6%,43,16.2%,32,1.4%,26,22.3%
Malik Allen,31.3,DEN,Big,383,12,0.7%,56,1.1%,13,7.0%,52,9.3%,3,9.8%,75,5.9%,31,24.0%
Ray Allen,34.3,BOS,Wing,2813,46,0.5%,24,1.1%,68,2.7%,28,2.0%,15,8.0%,46,0.6%,27,3.6%
Tony Allen,27.8,BOS,Wing,838,92,1.3%,100,3.1%,4,5.5%,98,7.4%,54,10.7%,0,0.0%,65,13.1%
Rafer Alston,33.3,BKN,Combo,744,57,0.4%,40,1.5%,79,2.8%,15,1.1%,55,9.0%,0,0.0%,98,11.1%
Rafer Alston,33.3,MIA,Point,652,67,0.4%,61,1.6%,22,3.7%,6,0.7%,53,8.4%,0,0.0%,0,0.0%
Lou Amundson,26.9,PHX,Big,1029,84,3.2%,36,0.8%,24,6.3%,92,12.7%,45,16.4%,29,1.3%,64,34.4%
Chris Andersen,31.3,DEN,Big,1668,96,4.5%,57,1.1%,69,4.2%,62,9.9%,65,18.3%,31,1.4%,67,34.7%
David Andersen,29.4,HOU,Big,848,10,0.7%,26,0.7%,35,5.7%,13,6.2%,60,17.8%,42,2.4%,65,34.5%
Ryan Anderson,21.5,ORL,Big,837,16,0.8%,77,1.4%,87,3.4%,34,7.9%,26,14.5%,94,10.2%,13,14.5%
Carmelo Anthony,25.4,DEN,Wing,2624,54,0.6%,64,1.5%,61,2.9%,95,6.1%,72,12.0%,83,3.1%,42,6.8%
Joel Anthony,27.2,MIA,Big,1249,97,4.6%,24,0.7%,50,5.1%,69,10.5%,1,8.7%,93,10.1%,19,20.0%
Gilbert Arenas,27.8,WAS,Combo,1166,68,0.4%,47,1.5%,64,3.1%,34,1.4%,91,10.6%,62,1.2%,32,1.6%
Trevor Ariza,24.3,HOU,Wing,2625,76,0.8%,93,2.1%,85,2.4%,50,2.9%,81,12.8%,89,4.0%,92,23.0%
Hilton Armstrong,24.9,NOP,Big,197,59,2.2%,43,1.0%,5,8.0%,13,6.1%,75,19.6%,96,11.8%,16,18.2%
Carlos Arroyo,30.3,MIA,Point,1503,45,0.2%,12,1.1%,63,2.9%,57,1.8%,16,7.0%,0,0.0%,82,5.3%
Darrell Arthur,21.6,MEM,Big,444,40,1.7%,78,1.4%,52,5.0%,38,8.2%,38,15.8%,48,2.9%,48,31.0%
Chucky Atkins,35.2,DET,Point,607,0,0.0%,16,1.2%,43,3.4%,12,0.9%,0,4.8%,0,0.0%,0,0.0%
D.J. Augustin,22.0,CHA,Point,1392,33,0.2%,43,1.5%,16,3.9%,4,0.6%,2,5.7%,96,2.1%,90,7.2%
Jeff Ayres,22.5,POR,Big,376,54,2.1%,28,0.8%,2,8.4%,25,7.3%,66,18.5%,0,0.0%,36,26.7%
Kelenna Azubuike,25.9,GSW,Wing,220,100,2.1%,16,1.0%,71,2.7%,88,4.7%,86,13.5%,0,0.0%,68,14.3%
Marcus Banks,28.0,TOR,Point,183,90,0.6%,94,2.4%,0,5.6%,67,1.8%,51,8.3%,0,0.0%,0,0.0%
Leandro Barbosa,26.9,PHX,Wing,688,61,0.7%,35,1.2%,47,3.2%,12,1.3%,15,8.0%,0,0.0%,0,0.0%
J.J. Barea,25.3,DAL,Combo,1484,30,0.2%,17,1.1%,45,3.5%,19,1.3%,53,8.9%,0,0.0%,70,4.8%
Andrea Bargnani,24.0,TOR,Big,2794,55,2.1%,3,0.4%,94,3.1%,4,4.0%,25,14.1%,66,4.7%,29,23.2%
Matt Barnes,29.6,ORL,Wing,2039,73,0.8%,44,1.3%,28,3.9%,93,5.8%,93,14.8%,90,4.1%,99,38.7%
Earl Barron,28.2,NYK,Big,231,20,1.0%,31,0.8%,56,4.7%,97,14.5%,92,23.6%,92,10.0%,37,27.8%
Brandon Bass,24.5,ORL,Big,552,58,2.2%,38,0.8%,58,4.6%,63,9.9%,7,11.0%,0,0.0%,5,10.8%
Tony Battie,33.7,BKN,Big,115,18,0.9%,65,1.2%,21,6.4%,0,1.6%,16,12.9%,0,0.0%,89,44.4%
Shane Battier,31.1,HOU,Forward,2163,89,1.9%,20,1.1%,71,2.8%,33,3.6%,29,11.4%,42,0.8%,18,12.0%
Nicolas Batum,20.9,POR,Wing,911,97,1.6%,41,1.2%,20,4.2%,75,3.9%,75,12.3%,91,4.4%,95,29.4%
Jerryd Bayless,21.2,POR,Combo,1264,32,0.2%,11,0.9%,11,4.9%,40,1.5%,64,9.3%,74,1.6%,21,1.1%
Michael Beasley,20.8,MIA,Forward,2264,69,1.2%,80,1.6%,36,3.9%,69,5.6%,87,16.8%,91,6.4%,71,24.3%
Rodrigue Beaubois,21.7,DAL,Wing,620,80,0.9%,85,1.8%,5,5.4%,10,1.3%,36,9.2%,95,5.6%,36,5.7%
Marco Belinelli,23.6,TOR,Wing,1022,12,0.3%,79,1.7%,50,3.2%,16,1.5%,10,7.6%,0,0.0%,30,4.5%
Charlie Bell,30.6,MIL,Wing,1567,31,0.4%,32,1.1%,29,3.8%,27,1.9%,4,6.7%,60,1.3%,41,6.8%
Raja Bell,33.1,CHA,Wing,157,75,0.8%,37,1.2%,63,2.9%,58,3.2%,80,12.6%,0,0.0%,0,0.0%
Jonathan Bender,28.8,NYK,Big,249,80,2.9%,1,0.2%,60,4.5%,5,4.5%,13,12.2%,97,12.5%,70,36.4%
Mike Bibby,31.5,ATL,Point,2191,10,0.1%,39,1.4%,51,3.3%,20,1.0%,37,8.1%,0,0.0%,31,1.0%
Andris Biedrins,23.6,GSW,Big,761,81,2.9%,55,1.1%,21,6.4%,42,8.6%,97,25.1%,0,0.0%,50,31.6%
Chauncey Billups,33.1,DEN,Combo,2483,23,0.2%,38,1.5%,89,2.5%,13,1.1%,43,8.3%,49,0.6%,96,8.1%
DeJuan Blair,20.5,SAS,Big,1409,31,1.4%,89,1.6%,26,6.1%,98,14.5%,83,20.8%,72,5.6%,90,44.7%
Steve Blake,29.7,LAC,Point,737,57,0.3%,22,1.2%,80,2.4%,14,0.9%,78,9.5%,0,0.0%,0,0.0%
Steve Blake,29.7,POR,Point,1392,14,0.1%,31,1.3%,76,2.7%,35,1.3%,45,8.3%,0,0.0%,45,2.3%
Andray Blatche,23.2,WAS,Big,2214,46,1.8%,92,1.7%,74,3.9%,27,7.4%,40,15.9%,45,2.5%,47,31.0%
Keith Bogans,29.5,SAS,Wing,1515,38,0.4%,46,1.3%,15,4.4%,21,1.7%,53,10.5%,75,2.1%,19,2.6%
Andrew Bogut,24.9,MIL,Big,2225,96,4.4%,33,0.8%,73,4.0%,58,9.6%,89,22.4%,47,2.6%,93,46.0%
Matt Bonner,29.6,SAS,Big,1138,25,1.2%,67,1.2%,72,4.0%,7,4.7%,23,14.0%,57,4.0%,16,18.1%
Josh Boone,24.9,BKN,Big,992,68,2.5%,72,1.3%,54,4.9%,86,12.1%,62,18.0%,62,4.5%,87,43.3%
Carlos Boozer,27.9,UTA,Big,2668,13,0.7%,79,1.4%,74,3.9%,28,7.5%,99,25.9%,79,6.7%,92,45.8%
Chris Bosh,25.6,TOR,Big,2522,32,1.4%,31,0.8%,99,2.6%,57,9.5%,89,21.8%,31,1.4%,62,33.8%
Earl Boykins,33.4,WAS,Point,1100,24,0.1%,6,1.0%,90,1.9%,47,1.6%,4,5.9%,0,0.0%,0,0.0%
Elton Brand,30.6,PHI,Big,2294,51,1.9%,90,1.6%,69,4.2%,40,8.5%,14,12.6%,65,4.7%,31,23.9%
Corey Brewer,23.7,MIN,Wing,2468,58,0.6%,92,2.1%,38,3.5%,46,2.8%,35,9.2%,76,2.1%,26,3.5%
Ronnie Brewer,24.6,UTA,Wing,1650,47,0.5%,96,2.3%,95,2.1%,59,3.3%,34,9.1%,50,0.7%,24,3.1%
Jon Brockman,22.6,SAC,Big,637,2,0.4%,49,1.0%,8,7.4%,99,15.4%,49,16.7%,99,14.0%,67,34.9%
Aaron Brooks,24.8,HOU,Point,2904,55,0.3%,10,1.0%,73,2.8%,71,1.9%,6,6.2%,0,0.0%,0,0.0%
Bobby Brown,25.1,LAC,Combo,157,0,0.0%,36,1.5%,53,3.2%,98,4.8%,26,7.3%,0,0.0%,0,0.0%
