Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
LaMarcus Aldridge,25.3,POR,Big,258,63,2.3%,84,1.6%,72,3.8%,35,7.5%,42,14.6%,0,0.0%,0,0.0%
Ray Allen,35.3,BOS,Wing,360,15,0.2%,44,1.5%,82,2.8%,44,1.7%,26,8.3%,0,0.0%,41,4.0%
Tony Allen,28.8,MEM,Combo,348,100,0.8%,100,3.2%,0,5.3%,100,4.4%,22,6.6%,100,3.7%,100,23.1%
Ryan Anderson,22.5,ORL,Big,145,7,0.4%,86,1.6%,53,4.8%,28,7.1%,33,13.4%,95,14.3%,0,0.0%
Carmelo Anthony,26.4,NYK,Wing,155,88,1.1%,38,1.4%,26,4.0%,97,7.3%,100,20.1%,100,12.5%,71,20.0%
Joel Anthony,28.2,MIA,Big,572,91,3.7%,35,0.7%,65,4.2%,26,7.0%,21,10.7%,70,2.8%,30,13.6%
Trevor Ariza,25.3,NOP,Wing,240,65,0.7%,65,1.7%,56,3.1%,74,3.6%,94,15.4%,0,0.0%,56,15.4%
Darrell Arthur,22.6,MEM,Big,197,81,3.4%,93,1.6%,33,5.4%,30,7.1%,5,8.5%,0,0.0%,0,0.0%
Omer Asik,24.3,CHI,Big,136,79,3.4%,42,0.7%,14,6.9%,56,8.2%,58,16.3%,0,0.0%,0,0.0%
J.J. Barea,26.3,DAL,Combo,384,0,0.0%,11,0.8%,56,3.3%,56,2.4%,56,9.0%,0,0.0%,0,0.0%
Matt Barnes,30.6,LAL,Wing,125,82,1.0%,97,2.2%,0,7.5%,100,7.6%,74,13.5%,0,0.0%,71,20.0%
Brandon Bass,25.5,ORL,Big,138,60,2.0%,67,1.1%,100,1.8%,67,9.4%,16,10.1%,0,0.0%,0,0.0%
Shane Battier,32.1,MEM,Forward,337,25,1.0%,8,0.9%,67,3.2%,83,5.0%,33,10.9%,75,4.2%,17,9.7%
Nicolas Batum,21.9,POR,Forward,150,75,2.0%,58,1.7%,25,3.8%,17,0.9%,0,6.3%,0,0.0%,25,14.3%
Marco Belinelli,24.6,NOP,Wing,171,0,0.0%,38,1.4%,79,2.8%,0,0.0%,3,3.5%,0,0.0%,0,0.0%
Mike Bibby,32.5,MIA,Point,413,95,0.8%,11,1.3%,32,3.4%,42,1.4%,21,7.7%,0,0.0%,79,4.8%
Steve Blake,30.7,LAL,Point,144,0,0.0%,16,1.3%,53,2.7%,32,0.7%,89,10.9%,0,0.0%,0,0.0%
Keith Bogans,30.5,CHI,Wing,307,50,0.6%,53,1.5%,35,3.8%,26,1.3%,9,6.0%,0,0.0%,0,0.0%
Matt Bonner,30.6,SAS,Big,122,12,0.4%,12,0.4%,16,6.8%,12,5.8%,14,10.0%,0,0.0%,33,15.4%
Carlos Boozer,28.9,CHI,Big,506,16,0.8%,51,0.8%,79,3.5%,44,7.8%,98,24.3%,79,5.6%,81,43.5%
Chris Bosh,26.6,MIA,Big,831,37,1.3%,53,0.8%,93,2.7%,21,6.8%,53,15.9%,0,0.0%,60,30.0%
Elton Brand,31.6,PHI,Big,183,53,1.8%,21,0.5%,44,5.0%,23,6.9%,60,16.7%,0,0.0%,40,20.0%
Ronnie Brewer,25.6,CHI,Forward,247,42,1.4%,92,2.2%,92,2.7%,33,3.2%,42,11.7%,0,0.0%,0,0.0%
Shannon Brown,24.9,LAL,Wing,158,74,0.8%,50,1.5%,88,2.7%,62,2.8%,71,12.3%,97,9.1%,0,0.0%
Kobe Bryant,32.2,LAL,Wing,353,44,0.5%,91,2.2%,62,3.1%,59,2.6%,41,9.2%,0,0.0%,0,0.0%
Andrew Bynum,23.0,LAL,Big,318,70,2.6%,47,0.8%,70,3.8%,84,12.2%,81,20.1%,81,7.1%,95,53.8%
Marcus Camby,36.6,POR,Big,166,77,3.2%,74,1.2%,28,5.6%,93,13.3%,91,22.5%,0,0.0%,100,81.8%
Mario Chalmers,24.5,MIA,Point,502,42,0.1%,89,2.6%,11,4.3%,26,0.7%,37,8.1%,100,3.2%,0,0.0%
Tyson Chandler,28.1,DAL,Big,678,49,1.6%,58,0.9%,51,4.9%,95,13.7%,65,18.2%,0,0.0%,37,17.5%
Wilson Chandler,23.5,DEN,Wing,114,97,1.8%,29,1.2%,6,6.0%,53,1.9%,91,14.9%,0,0.0%,100,42.9%
Jason Collins,31.9,ATL,Big,157,28,1.1%,91,1.6%,0,9.4%,5,4.4%,0,6.6%,0,0.0%,26,12.5%
Darren Collison,23.2,IND,Point,145,89,0.7%,42,1.5%,79,2.2%,63,2.7%,11,6.2%,0,0.0%,0,0.0%
Nick Collison,30.0,OKC,Big,411,56,2.0%,98,1.7%,19,6.6%,91,13.3%,23,10.7%,81,7.1%,65,30.8%
