Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Alex Abrines,24.3,OKC,Wing,106,74,1.0%,86,2.1%,23,4.6%,89,3.1%,66,10.7%,0,0.0%,69,11.8%
Steven Adams,24.3,OKC,Big,199,22,1.0%,34,0.9%,63,3.2%,63,9.1%,24,13.4%,0,0.0%,0,0.0%
LaMarcus Aldridge,32.3,SAS,Big,175,5,0.6%,32,0.8%,95,2.3%,44,7.1%,80,21.5%,0,0.0%,68,33.3%
Al-Farouq Aminu,27.1,POR,Big,130,20,0.8%,61,1.3%,98,2.3%,59,8.3%,83,21.7%,0,0.0%,32,16.7%
Giannis Antetokounmpo,22.9,MIL,Forward,279,47,1.0%,93,1.7%,13,4.5%,67,3.6%,100,20.2%,0,0.0%,67,33.3%
Carmelo Anthony,33.4,OKC,Big,193,24,1.1%,93,2.3%,78,3.0%,2,1.5%,34,14.3%,0,0.0%,68,33.3%
OG Anunoby,20.3,TOR,Forward,237,40,0.8%,33,1.1%,40,4.2%,93,4.8%,0,5.1%,0,0.0%,20,11.1%
Trevor Ariza,32.3,HOU,Wing,579,17,0.2%,69,1.5%,51,3.4%,51,1.6%,57,9.6%,0,0.0%,91,21.7%
Aron Baynes,30.9,BOS,Big,372,49,1.6%,17,0.5%,24,5.2%,93,11.9%,78,19.1%,0,0.0%,20,6.7%
Bradley Beal,24.3,WAS,Wing,215,40,0.5%,66,1.4%,60,3.3%,11,0.5%,43,9.0%,97,12.5%,57,11.1%
Marco Belinelli,31.6,PHI,Wing,272,0,0.0%,46,1.1%,66,3.1%,9,0.4%,20,7.5%,0,0.0%,34,5.0%
Jordan Bell,22.8,GSW,Big,133,66,2.0%,71,1.3%,22,5.4%,80,10.8%,56,17.4%,0,0.0%,85,40.0%
Eric Bledsoe,27.9,MIL,Point,223,92,1.4%,38,1.6%,31,3.6%,46,1.8%,15,9.9%,0,0.0%,0,0.0%
