Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Quincy Acy,24.1,NYK,Big,1179,81,79.0%,42,11.2%,66,1.9%,84,27.8%
Jordan Adams,20.3,MEM,Wing,185,0,64.3%,59,9.5%,50,1.2%,91,33.3%
Steven Adams,21.3,OKC,Big,1767,9,50.2%,89,18.3%,84,2.4%,76,26.2%
Jeff Adrien,28.7,MIN,Big,189,13,53.6%,98,27.1%,96,3.6%,88,30.8%
Arron Afflalo,29.0,DEN,Wing,1746,77,84.1%,40,7.4%,54,1.2%,83,27.5%
Arron Afflalo,29.0,POR,Wing,747,80,85.1%,33,6.8%,58,1.3%,36,18.8%
Alexis Ajinca,26.5,NOP,Big,873,83,80.0%,49,12.1%,77,2.2%,36,17.1%
Furkan Aldemir,23.2,PHI,Big,488,0,43.5%,47,11.8%,56,1.7%,14,11.1%
Cole Aldrich,26.0,NYK,Big,915,74,77.6%,35,9.7%,32,1.3%,79,26.7%
LaMarcus Aldridge,29.3,POR,Big,2508,96,84.5%,41,10.7%,75,2.1%,55,21.8%
Lavoy Allen,25.7,IND,Big,1025,54,71.7%,8,5.4%,44,1.4%,43,18.8%
Tony Allen,32.8,MEM,Wing,1631,5,62.1%,75,11.2%,30,0.8%,75,25.5%
Al-Farouq Aminu,24.1,DAL,Forward,1277,32,70.3%,81,13.9%,56,1.1%,67,23.5%
Lou Amundson,31.9,NYK,Big,856,3,46.3%,61,13.9%,48,1.5%,31,15.8%
Chris Andersen,36.3,MIA,Big,1127,38,66.7%,90,19.2%,70,2.0%,23,12.8%
Alan Anderson,32.0,BKN,Wing,1713,59,81.0%,49,8.1%,80,1.7%,37,18.9%
Kyle Anderson,21.1,SAS,Wing,316,0,66.7%,64,10.0%,8,0.4%,97,50.0%
Ryan Anderson,26.5,NOP,Big,1653,97,85.3%,34,9.7%,36,1.4%,65,24.0%
Giannis Antetokounmpo,19.9,MIL,Forward,2507,49,74.3%,98,17.6%,93,2.2%,70,24.2%
Carmelo Anthony,30.4,NYK,Forward,1424,68,79.7%,59,11.3%,100,3.2%,72,24.2%
Joel Anthony,32.2,DET,Big,367,0,66.7%,85,16.9%,2,0.4%,94,36.4%
Pero Antic,32.3,ATL,Big,1015,53,71.5%,48,11.9%,92,2.9%,77,26.3%
Trevor Ariza,29.3,HOU,Forward,2924,95,85.3%,35,6.7%,19,0.7%,35,17.2%
Darrell Arthur,26.6,DEN,Forward,959,66,78.9%,15,5.1%,41,1.0%,4,5.0%
Omer Asik,28.3,NOP,Big,1975,18,58.3%,92,21.4%,46,1.5%,40,17.8%
D.J. Augustin,27.0,DET,Point,1261,90,87.0%,82,12.1%,90,2.9%,40,20.0%
D.J. Augustin,27.0,OKC,Point,624,73,84.4%,37,6.6%,42,1.6%,10,8.3%
Jeff Ayres,27.5,SAS,Big,274,0,80.0%,65,14.5%,59,1.8%,82,27.3%
Luke Babbitt,25.4,NOP,Forward,748,0,70.6%,6,2.8%,17,0.7%,56,20.0%
Leandro Barbosa,31.9,GSW,Combo,863,28,74.6%,49,7.4%,23,1.0%,22,15.4%
J.J. Barea,30.3,DAL,Combo,1236,44,80.0%,45,6.7%,66,1.7%,35,17.1%
Andrea Bargnani,29.0,NYK,Big,768,86,81.3%,48,12.0%,94,3.0%,44,19.1%
Harrison Barnes,22.4,GSW,Forward,2240,34,70.6%,50,9.8%,15,0.6%,30,16.4%
Matt Barnes,34.6,LAC,Wing,2248,47,78.5%,38,7.3%,10,0.5%,17,14.6%
Earl Barron,33.2,PHX,Big,117,0,50.0%,64,14.3%,2,0.4%,0,0.0%
Will Barton,23.8,DEN,Wing,630,53,80.3%,88,13.7%,33,0.9%,29,17.1%
Will Barton,23.8,POR,Wing,246,0,64.3%,58,9.4%,25,0.7%,71,25.0%
Brandon Bass,29.5,BOS,Big,1917,81,79.0%,59,13.6%,21,1.1%,58,22.3%
Nicolas Batum,25.9,POR,Wing,2376,83,85.7%,23,5.6%,44,1.0%,47,20.0%
Jerryd Bayless,26.2,MIL,Combo,1692,94,88.0%,57,8.0%,69,1.7%,38,18.2%
Aron Baynes,27.9,SAS,Big,1077,97,86.7%,43,11.2%,76,2.2%,61,23.7%
Kent Bazemore,25.3,ATL,Wing,1235,1,59.2%,87,13.4%,48,1.2%,60,22.2%
Bradley Beal,21.3,WAS,Wing,2097,45,78.2%,28,6.4%,77,1.6%,53,21.1%
Michael Beasley,25.8,MIA,Big,495,69,76.9%,14,6.4%,33,1.3%,85,28.6%
Marco Belinelli,28.6,SAS,Combo,1336,78,84.8%,51,7.5%,58,1.6%,14,11.4%
Anthony Bennett,21.6,MIN,Big,839,43,68.6%,23,8.1%,11,0.8%,20,12.5%
