Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Jeff Adrien,24.7,GSW,Big,159,6,40.4%,7,40.4%,0,0.0%,0,80.0%,13,79%,13,73%,2,100%,0,0%
Arron Afflalo,25.0,DEN,Wing,2270,98,58.1%,93,54.2%,95,42.6%,77,83.6%,32,72%,51,58%,45,58%,4,100%
Alexis Ajinca,22.5,TOR,Big,240,57,51.1%,66,52.2%,43,31.8%,0,73.3%,23,74%,84,50%,13,89%,70,100%
Cole Aldrich,22.0,OKC,Big,101,44,50.0%,48,50.0%,0,0.0%,0,0.0%,94,50%,84,50%,0,0%,0,0%
LaMarcus Aldridge,25.3,POR,Big,3202,47,50.1%,55,50.5%,11,21.1%,84,79.1%,84,55%,56,59%,88,51%,95,75%
Malik Allen,32.3,ORL,Big,159,0,24.0%,0,24.0%,0,0.0%,0,50.0%,48,67%,97,33%,2,100%,0,0%
Ray Allen,35.3,BOS,Wing,2883,97,57.9%,87,52.1%,98,44.8%,92,88.1%,31,74%,38,62%,31,63%,49,96%
Tony Allen,28.8,MEM,Combo,1474,92,52.3%,98,53.2%,2,20.0%,22,75.3%,16,58%,6,60%,20,48%,2,100%
Al-Farouq Aminu,20.1,LAC,Wing,1391,12,44.1%,26,43.8%,15,29.9%,46,77.1%,69,59%,86,42%,45,57%,36,98%
Lou Amundson,27.9,GSW,Big,664,22,46.0%,23,46.0%,0,0.0%,2,41.3%,81,56%,81,52%,37,75%,0,0%
Chris Andersen,32.3,DEN,Big,708,95,60.0%,95,60.0%,0,0.0%,31,63.5%,26,73%,15,71%,17,88%,0,0%
David Andersen,30.4,NOP,Big,191,39,49.2%,42,49.1%,0,33.3%,0,66.7%,9,80%,97,33%,24,83%,70,100%
David Andersen,30.4,TOR,Big,140,44,50.0%,62,51.4%,0,30.0%,0,100.0%,31,71%,100,0%,37,75%,70,100%
James Anderson,21.6,SAS,Wing,268,71,51.4%,5,36.4%,94,42.5%,0,75.0%,15,83%,6,83%,61,50%,59,94%
Ryan Anderson,22.5,ORL,Big,1342,87,57.0%,69,52.8%,71,39.4%,88,80.4%,16,77%,96,39%,25,82%,88,99%
Carmelo Anthony,26.4,DEN,Forward,1762,18,47.4%,35,46.9%,36,33.9%,78,82.3%,94,49%,71,52%,92,35%,84,93%
Carmelo Anthony,26.4,NYK,Wing,975,65,51.1%,50,47.2%,95,42.7%,90,87.2%,88,46%,93,38%,76,36%,93,77%
Joel Anthony,28.2,MIA,Big,1410,74,53.8%,77,53.8%,0,0.0%,30,63.2%,59,64%,53,59%,45,72%,0,0%
Gilbert Arenas,28.8,ORL,Combo,1027,10,41.5%,8,38.7%,20,29.7%,12,72.8%,71,35%,59,27%,92,11%,80,67%
Gilbert Arenas,28.8,WAS,Combo,708,27,46.1%,45,44.8%,27,31.9%,59,83.1%,41,49%,88,15%,31,35%,45,82%
Trevor Ariza,25.3,NOP,Wing,2589,19,45.7%,36,45.2%,19,30.9%,20,70.1%,52,67%,55,57%,58,52%,41,96%
Hilton Armstrong,25.9,WAS,Big,398,37,48.3%,40,48.3%,0,0.0%,0,60.9%,75,59%,78,53%,56,67%,0,0%
Carlos Arroyo,31.3,BOS,Combo,170,4,39.1%,0,29.6%,0,60.0%,0,91.7%,27,55%,14,50%,14,50%,82,67%
Carlos Arroyo,31.3,MIA,Point,962,86,52.7%,69,46.7%,98,45.9%,46,81.8%,7,73%,0,100%,5,63%,19,96%
Darrell Arthur,22.6,MEM,Big,1573,41,49.6%,48,49.9%,0,0.0%,94,83.5%,22,75%,40,63%,22,83%,0,0%
Omer Asik,24.3,CHI,Big,926,62,51.6%,64,51.6%,0,0.0%,7,50.0%,91,53%,80,52%,56,67%,0,0%
D.J. Augustin,23.0,CHA,Point,2739,55,48.1%,59,46.3%,38,34.3%,91,90.5%,48,36%,48,27%,60,19%,60,67%
Luke Babbitt,21.4,POR,Forward,107,2,33.8%,4,32.1%,0,25.0%,0,40.0%,84,58%,90,40%,73,50%,8,100%
Leandro Barbosa,27.9,TOR,Combo,1348,76,50.2%,90,49.8%,43,34.2%,41,80.8%,39,49%,35,39%,49,31%,31,89%
J.J. Barea,26.3,DAL,Combo,1593,65,49.4%,67,47.2%,57,36.0%,66,84.3%,94,23%,90,12%,88,12%,88,59%
Andrea Bargnani,25.0,TOR,Big,2344,37,48.3%,31,47.2%,46,35.3%,92,82.0%,62,64%,35,65%,81,56%,92,91%
Matt Barnes,30.6,LAL,Wing,983,74,51.7%,95,54.5%,18,30.6%,49,77.6%,25,77%,16,69%,7,89%,78,87%
Earl Barron,29.2,PHX,Big,170,1,24.5%,1,24.5%,0,0.0%,0,61.1%,48,67%,44,63%,37,75%,0,0%
Brandon Bass,25.5,ORL,Big,1956,59,51.3%,61,51.3%,0,0.0%,90,81.4%,53,66%,57,58%,47,72%,0,0%
Tony Battie,34.7,PHI,Big,361,27,46.7%,24,46.1%,0,50.0%,0,57.1%,8,81%,15,71%,20,85%,70,100%
Shane Battier,32.1,HOU,Wing,1808,93,56.4%,92,53.3%,77,39.3%,5,64.5%,22,79%,26,64%,37,60%,35,98%
Shane Battier,32.1,MEM,Forward,531,16,46.9%,45,48.3%,12,30.0%,0,88.2%,80,60%,94,36%,55,57%,88,92%
Nicolas Batum,21.9,POR,Forward,2500,71,53.0%,78,53.4%,57,34.9%,90,84.5%,14,81%,24,69%,14,82%,51,98%
Jerryd Bayless,22.2,NOP,Point,142,2,37.8%,19,40.0%,0,21.4%,0,76.5%,62,29%,84,14%,19,43%,93,33%
Jerryd Bayless,22.2,TOR,Combo,1289,51,48.4%,57,46.3%,55,35.9%,44,81.0%,61,40%,55,31%,82,17%,33,89%
Michael Beasley,21.8,MIN,Forward,2350,20,47.7%,33,46.3%,69,37.5%,37,75.3%,98,45%,86,45%,86,41%,98,68%
Rodrigue Beaubois,22.7,DAL,Wing,481,36,48.2%,67,48.9%,22,31.3%,42,76.7%,84,51%,67,52%,93,14%,90,80%
Marco Belinelli,24.6,NOP,Wing,1922,79,52.9%,39,45.8%,84,41.0%,52,78.0%,13,85%,7,79%,14,74%,44,96%
Charlie Bell,31.6,GSW,Wing,123,2,38.5%,1,28.6%,0,33.3%,0,50.0%,0,100%,0,0%,1,100%,4,100%
Raja Bell,34.1,UTA,Wing,2080,38,48.4%,32,44.9%,41,35.4%,94,88.8%,7,88%,23,66%,8,88%,29,99%
Mike Bibby,32.5,ATL,Point,1670,98,56.5%,36,42.7%,92,44.1%,2,63.0%,5,78%,21,41%,7,54%,17,96%
Mike Bibby,32.5,MIA,Point,556,100,61.5%,24,40.5%,100,47.1%,0,57.1%,0,89%,3,75%,3,64%,14,98%
Andris Biedrins,24.6,GSW,Big,1390,70,53.4%,74,53.4%,0,0.0%,0,32.3%,44,68%,19,70%,74,61%,0,0%
Chauncey Billups,34.1,DEN,Combo,1641,96,53.8%,33,43.6%,95,44.3%,98,92.3%,63,39%,61,26%,55,28%,92,54%
