Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Steven Adams,26.3,OKC,Big,1680,11,59.1%,77,15.8%,92,3.1%,29,19.8%
Bam Adebayo,22.3,MIA,Big,2414,37,69.0%,88,18.9%,88,2.7%,43,24.1%
LaMarcus Aldridge,34.3,SAS,Big,1753,89,82.7%,42,9.8%,68,2.0%,61,27.7%
Nickeil Alexander-Walker,21.2,NOP,Combo,534,13,72.4%,38,6.7%,26,1.0%,29,18.8%
Grayson Allen,24.1,MEM,Wing,684,72,83.8%,42,6.6%,76,1.4%,58,25.0%
Jarrett Allen,21.5,BKN,Big,1838,19,63.9%,93,20.7%,95,3.5%,61,27.7%
Al-Farouq Aminu,29.1,ORL,Forward,380,7,65.5%,87,14.1%,75,1.3%,7,7.1%
Kyle Anderson,26.1,MEM,Forward,1296,8,66.7%,69,11.5%,16,0.7%,21,17.5%
Giannis Antetokounmpo,24.9,MIL,Big,1915,18,63.1%,94,21.0%,99,4.3%,70,30.4%
Carmelo Anthony,35.4,POR,Big,1897,94,84.9%,39,9.4%,57,1.7%,31,20.3%
OG Anunoby,22.3,TOR,Forward,2062,25,70.6%,25,7.1%,24,0.7%,72,28.6%
Ryan Arcidiacono,25.6,CHI,Wing,896,17,71.1%,19,4.2%,82,1.6%,0,0.0%
Trevor Ariza,34.3,SAC,Forward,783,43,77.8%,23,6.9%,37,0.9%,16,16.7%
Trevor Ariza,34.3,POR,Wing,701,88,87.2%,90,13.7%,46,0.9%,58,25.0%
D.J. Augustin,32.0,ORL,Point,1419,93,89.1%,82,12.5%,63,1.9%,25,17.5%
Deandre Ayton,21.3,PHX,Big,1235,59,75.3%,27,7.4%,49,1.6%,79,34.1%
Dwayne Bacon,24.2,CHA,Wing,660,9,66.0%,79,11.4%,12,0.5%,79,31.0%
Marvin Bagley,20.6,SAC,Big,326,90,82.8%,42,9.8%,68,2.0%,90,41.2%
Lonzo Ball,22.0,NOP,Combo,2014,4,56.6%,9,3.7%,24,1.0%,18,15.4%
Mohamed Bamba,21.5,ORL,Big,859,29,67.4%,24,7.0%,25,1.1%,27,19.0%
J.J. Barea,35.3,DAL,Point,388,0,89.5%,29,5.5%,35,1.2%,41,20.0%
Harrison Barnes,27.4,SAC,Forward,2474,58,80.2%,83,13.6%,77,1.4%,27,18.2%
RJ Barrett,19.4,NYK,Wing,1678,5,61.7%,92,14.7%,84,1.6%,46,22.0%
Will Barton,28.8,DEN,Wing,1903,37,76.9%,45,7.4%,62,1.1%,69,26.3%
Keita Bates-Diop,23.8,MIN,Big,617,38,69.8%,74,14.7%,11,0.7%,36,21.9%
Nicolas Batum,30.9,CHA,Wing,488,0,90.0%,27,5.0%,32,0.7%,58,25.0%
Aron Baynes,32.9,PHX,Big,934,56,74.7%,20,6.7%,79,2.3%,65,29.6%
Kent Bazemore,30.3,POR,Wing,1077,57,81.4%,59,9.0%,72,1.3%,36,20.0%
Kent Bazemore,30.3,SAC,Forward,556,35,75.0%,75,12.8%,88,1.7%,72,28.6%
Darius Bazley,19.4,OKC,Big,1072,39,70.7%,35,8.5%,7,0.5%,8,10.7%
Bradley Beal,26.3,WAS,Wing,2051,75,84.1%,88,13.5%,95,2.7%,42,20.4%
Malik Beasley,22.9,MIN,Wing,462,27,75.0%,26,5.0%,55,1.0%,58,25.0%
Malik Beasley,22.9,DEN,Wing,697,84,86.2%,11,3.5%,29,0.7%,10,10.0%
Marco Belinelli,33.6,SAS,Wing,833,67,83.0%,31,5.8%,69,1.2%,47,22.2%
Jordan Bell,24.8,MIN,Big,205,0,66.7%,54,10.9%,69,2.0%,16,16.7%
DeAndre' Bembry,25.3,ATL,Combo,881,2,50.0%,64,8.8%,6,0.5%,17,14.3%
Dragan Bender,22.0,GSW,Big,184,0,62.5%,13,5.6%,55,1.7%,0,0.0%
Davis Bertans,27.0,WAS,Forward,1570,92,85.2%,13,5.6%,87,1.7%,47,22.9%
Patrick Beverley,31.3,LAC,Point,1341,13,67.4%,24,4.6%,33,1.2%,76,31.3%
Khem Birch,27.1,ORL,Big,885,25,65.7%,98,26.6%,33,1.3%,8,10.6%
Goga Bitadze,20.3,IND,Big,407,0,80.0%,28,7.7%,20,1.0%,0,0.0%
Bismack Biyombo,27.2,CHA,Big,1029,12,60.3%,88,18.4%,90,2.9%,30,20.0%
Nemanja Bjelica,31.5,SAC,Big,2009,85,82.1%,13,5.9%,23,1.0%,74,32.5%
Eric Bledsoe,29.9,MIL,Point,1644,38,79.0%,90,13.7%,43,1.4%,75,30.2%
Bogdan Bogdanovic,27.2,SAC,Wing,1752,26,74.1%,29,5.5%,89,1.8%,90,37.2%
Bojan Bogdanovic,30.5,UTA,Forward,2082,97,90.3%,63,10.8%,84,1.6%,56,24.5%
Isaac Bonga,20.0,WAS,Forward,1192,65,80.7%,95,17.1%,73,1.3%,85,33.3%
Devin Booker,23.0,PHX,Wing,2508,98,91.9%,85,13.0%,99,4.0%,34,19.4%
Chris Boucher,26.8,TOR,Big,742,72,78.3%,83,17.3%,44,1.5%,46,24.5%
Ky Bowman,22.4,GSW,Point,958,45,81.1%,27,5.2%,8,0.8%,76,31.3%
Avery Bradley,28.9,LAL,Combo,1184,0,81.8%,3,2.3%,2,0.4%,48,22.2%
Tony Bradley,21.8,UTA,Big,613,26,65.7%,40,9.5%,24,1.1%,64,29.4%
Mikal Bridges,23.2,PHX,Wing,1999,81,85.6%,54,8.6%,78,1.4%,69,25.6%
Miles Bridges,21.6,CHA,Forward,1962,75,81.9%,27,7.2%,40,0.9%,39,21.4%
Oshae Brissett,21.4,TOR,Forward,100,0,66.7%,52,9.4%,35,0.9%,0,0.0%
Ryan Broekhoff,29.2,DAL,Forward,144,0,87.5%,16,5.8%,0,0.0%,0,0.0%
Malcolm Brogdon,26.9,IND,Combo,1665,96,89.2%,47,7.3%,89,2.1%,38,20.7%
Dillon Brooks,23.8,MEM,Wing,2111,53,80.8%,50,8.0%,74,1.3%,70,26.7%
Bruce Brown,23.2,DET,Combo,1616,23,73.5%,79,11.1%,39,1.1%,39,20.8%
Jaylen Brown,23.0,BOS,Wing,1929,22,72.3%,80,11.5%,86,1.7%,50,22.5%
Sterling Brown,24.7,MIL,Wing,671,64,82.9%,53,8.4%,22,0.6%,81,31.6%
Troy Brown,20.3,WAS,Wing,1732,47,80.3%,62,9.5%,48,0.9%,75,28.8%
Jalen Brunson,23.2,DAL,Point,973,43,80.9%,47,7.1%,82,2.6%,84,35.7%
Thomas Bryant,22.3,WAS,Big,1144,51,73.9%,65,13.3%,30,1.2%,85,36.1%
Reggie Bullock,28.6,NYK,Wing,682,0,81.0%,15,3.9%,16,0.6%,96,44.4%
Trey Burke,27.0,PHI,Point,282,0,76.9%,8,2.9%,51,1.7%,80,33.3%
Trey Burke,27.0,DAL,Point,190,0,90.9%,37,5.9%,2,0.7%,41,20.0%
Alec Burks,28.3,GSW,Wing,1384,95,89.5%,93,14.9%,88,1.7%,36,20.0%
Alec Burks,28.3,PHI,Combo,361,51,82.9%,76,10.9%,74,1.7%,89,36.8%
Deonte Burton,25.7,OKC,Forward,283,0,45.5%,4,4.3%,59,1.1%,57,25.0%
Jimmy Butler,30.1,MIA,Wing,1957,69,83.4%,99,24.9%,97,3.5%,43,20.7%
Bruno Caboclo,24.1,MEM,Big,150,0,66.7%,5,3.6%,1,0.3%,92,50.0%
Kentavious Caldwell-Pope,26.7,LAL,Wing,1749,41,77.8%,49,7.9%,19,0.6%,45,22.0%
Clint Capela,25.5,HOU,Big,1275,5,52.9%,61,12.7%,35,1.3%,65,29.6%
DeMarre Carroll,33.3,SAS,Forward,110,0,80.0%,100,18.5%,0,0.0%,0,0.0%
DeMarre Carroll,33.3,HOU,Big,114,0,75.0%,97,25.0%,14,0.8%,11,14.3%
Jevon Carter,24.1,PHX,Combo,866,0,81.0%,8,2.8%,11,0.8%,88,33.3%
Vince Carter,42.8,ATL,Big,857,74,79.3%,1,3.0%,17,0.9%,38,22.2%
Wendell Carter,20.5,CHI,Big,1253,49,73.7%,80,16.5%,82,2.3%,13,15.2%
Michael Carter-Williams,28.1,ORL,Combo,808,53,83.3%,95,15.5%,76,1.7%,82,29.5%
Alex Caruso,25.7,LAL,Combo,1128,19,73.1%,77,11.1%,79,1.8%,71,26.5%
Willie Cauley-Stein,26.2,DAL,Big,147,0,55.6%,65,13.3%,17,0.9%,92,50.0%
Willie Cauley-Stein,26.2,GSW,Big,938,15,61.4%,46,10.1%,39,1.4%,21,17.9%
Tyson Chandler,37.1,HOU,Big,219,0,46.2%,99,27.3%,53,1.7%,16,16.7%
Wilson Chandler,32.5,BKN,Big,730,0,90.9%,10,4.7%,5,0.4%,38,22.2%
Chris Chiozza,23.9,BKN,Point,244,0,100.0%,4,2.2%,0,0.5%,94,50.0%
Chris Chiozza,23.9,WAS,Point,103,0,0.0%,0,0.0%,37,1.3%,100,0.0%
Marquese Chriss,22.3,GSW,Big,1160,65,76.7%,75,15.1%,76,2.2%,20,17.2%
Gary Clark,25.0,HOU,Big,194,0,83.3%,4,3.6%,16,0.9%,0,0.0%
Gary Clark,25.0,ORL,Forward,337,0,100.0%,0,2.8%,5,0.5%,97,50.0%
Brandon Clarke,23.1,MEM,Big,1258,64,76.4%,47,10.4%,13,0.7%,87,37.3%
Jordan Clarkson,27.4,CLE,Wing,665,90,88.4%,74,10.7%,91,1.9%,94,40.5%
Jordan Clarkson,27.4,UTA,Wing,1025,43,78.2%,38,6.1%,59,1.0%,76,29.4%
Nicolas Claxton,20.5,BKN,Big,161,0,41.7%,85,17.8%,36,1.3%,88,37.5%
Chris Clemons,22.3,HOU,Combo,211,0,80.0%,0,0.0%,70,1.6%,100,0.0%
Amir Coffey,22.4,LAC,Wing,106,0,60.0%,33,5.9%,85,1.6%,0,0.0%
John Collins,22.1,ATL,Big,1362,78,80.0%,50,10.6%,81,2.3%,74,31.9%
Zach Collins,21.9,POR,Big,289,0,75.0%,8,4.2%,66,2.0%,0,0.0%
Mike Conley,32.1,UTA,Point,1359,55,82.7%,67,9.5%,59,1.8%,49,21.1%
Pat Connaughton,26.8,MIL,Wing,1146,58,81.6%,34,6.0%,19,0.6%,88,35.3%
Quinn Cook,26.6,LAL,Combo,430,0,87.5%,6,2.4%,3,0.4%,64,25.0%
Robert Covington,28.9,HOU,Big,725,78,80.0%,18,6.3%,12,0.7%,54,26.7%
Robert Covington,28.9,MIN,Forward,1410,57,79.8%,35,8.0%,65,1.2%,67,26.2%
Allen Crabbe,27.6,ATL,Wing,504,0,77.8%,13,3.7%,1,0.2%,94,40.0%
Allen Crabbe,27.6,MIN,Wing,131,0,50.0%,6,3.0%,4,0.3%,0,0.0%
Torrey Craig,28.9,DEN,Wing,1041,1,59.4%,25,4.9%,42,0.8%,93,38.5%
Jae Crowder,29.3,MIA,Big,553,46,73.3%,23,7.0%,13,0.7%,48,25.0%
Jae Crowder,29.3,MEM,Forward,1321,52,78.9%,31,7.6%,85,1.6%,43,21.9%
Jarrett Culver,20.7,MIN,Combo,1454,0,45.5%,70,9.0%,27,1.0%,24,17.0%
Seth Curry,29.2,DAL,Combo,1543,49,81.5%,17,4.5%,30,1.0%,92,38.5%
Stephen Curry,31.6,GSW,Point,139,100,100.0%,94,14.4%,41,1.4%,55,23.1%
Troy Daniels,28.3,LAL,Wing,387,0,58.3%,7,3.1%,8,0.5%,97,50.0%
Anthony Davis,26.6,LAL,Big,2130,93,84.5%,73,14.7%,98,4.2%,69,30.3%
Ed Davis,30.4,UTA,Big,281,0,50.0%,21,6.8%,93,3.2%,98,66.7%
Terence Davis,22.5,TOR,Combo,1136,66,85.7%,20,5.6%,9,0.6%,97,47.8%
DeMar DeRozan,30.2,SAS,Forward,2315,85,84.4%,96,17.8%,92,2.0%,53,23.7%
Dewayne Dedmon,30.2,ATL,Big,233,0,87.5%,22,7.0%,8,0.6%,98,66.7%
Dewayne Dedmon,30.2,SAC,Big,526,81,80.8%,17,6.3%,70,2.0%,85,36.4%
Matthew Dellavedova,29.1,CLE,Combo,804,94,88.9%,12,4.1%,35,1.0%,77,28.6%
Donte DiVincenzo,22.7,MIL,Combo,1488,21,73.2%,26,6.0%,42,1.2%,11,12.9%
Cheick Diallo,23.1,PHX,Big,406,0,92.0%,36,8.6%,40,1.4%,56,27.3%
Hamidou Diallo,21.3,OKC,Wing,837,4,61.5%,65,9.7%,15,0.6%,79,31.0%
Gorgui Dieng,29.8,MIN,Big,769,76,79.7%,33,8.3%,60,1.8%,16,16.7%
Gorgui Dieng,29.8,MEM,Big,297,52,74.4%,73,14.6%,89,2.8%,72,30.8%
Spencer Dinwiddie,26.6,BKN,Combo,1993,36,77.7%,100,17.0%,71,1.6%,32,20.0%
Luka Doncic,20.7,DAL,Wing,2047,32,75.7%,94,17.5%,100,4.1%,82,32.3%
Luguentz Dort,20.5,OKC,Wing,799,42,78.0%,76,10.9%,57,1.0%,89,36.0%
Damyean Dotson,25.5,NYK,Wing,771,10,66.7%,12,3.6%,14,0.6%,10,10.0%
Sekou Doumbouya,18.9,DET,Forward,724,18,68.9%,65,11.2%,20,0.7%,85,33.3%
PJ Dozier,23.0,DEN,Combo,385,13,72.4%,62,8.8%,55,1.4%,18,15.4%
Goran Dragic,33.5,MIA,Point,1645,30,77.9%,69,9.6%,78,2.5%,27,17.6%
Andre Drummond,26.2,CLE,Big,220,3,51.3%,82,16.8%,78,2.3%,80,35.0%
Andre Drummond,26.2,DET,Big,1651,10,58.7%,78,15.9%,85,2.4%,28,19.7%
Jared Dudley,34.3,LAL,Big,292,0,0.0%,0,0.0%,1,0.3%,100,0.0%
Kris Dunn,25.6,CHI,Point,1259,20,74.1%,43,6.5%,16,0.9%,82,34.8%
Carsen Edwards,21.6,BOS,Combo,284,0,62.5%,18,4.6%,53,1.3%,32,20.0%
Wayne Ellington,31.9,NYK,Combo,528,0,84.6%,5,2.4%,33,1.0%,64,25.0%
Joel Embiid,25.6,PHI,Big,1505,80,80.7%,89,19.0%,99,4.5%,47,24.9%
James Ennis,29.3,PHI,Wing,758,44,78.7%,77,11.0%,51,0.9%,33,19.2%
James Ennis,29.3,ORL,Forward,484,83,83.8%,84,13.9%,76,1.4%,15,15.0%
Drew Eubanks,22.7,SAS,Big,247,66,76.9%,83,17.2%,77,2.2%,7,9.1%
Jacob Evans,22.4,GSW,Wing,385,84,86.2%,71,10.1%,35,0.8%,9,7.1%
Dante Exum,24.3,CLE,Wing,385,25,73.2%,96,18.5%,50,0.9%,18,15.0%
Derrick Favors,28.3,NOP,Big,1241,7,56.3%,51,10.8%,28,1.2%,84,35.9%
Cristiano Felicio,27.3,CHI,Big,380,0,78.3%,89,19.0%,15,0.8%,48,25.0%
Terrance Ferguson,21.5,OKC,Wing,1224,0,80.0%,4,2.8%,7,0.4%,22,16.7%
Bruno Fernando,21.2,ATL,Big,666,6,54.5%,52,10.8%,47,1.5%,85,36.4%
Yogi Ferrell,26.5,SAC,Point,460,65,84.8%,39,6.3%,27,1.2%,0,0.0%
Dorian Finney-Smith,26.5,DAL,Forward,2116,28,72.0%,43,8.8%,11,0.6%,29,18.4%
Bryn Forbes,26.3,SAS,Wing,1570,68,83.3%,41,6.3%,6,0.4%,44,21.1%
Evan Fournier,27.0,ORL,Wing,2075,62,81.8%,57,9.0%,81,1.5%,74,28.1%
De'Aaron Fox,21.9,SAC,Point,1631,15,70.5%,98,17.9%,75,2.4%,47,20.7%
Tim Frazier,29.0,DET,Point,322,0,80.0%,53,8.3%,47,1.7%,0,0.0%
Markelle Fultz,21.4,ORL,Combo,1984,17,73.0%,56,8.6%,56,1.4%,74,27.5%
Wenyen Gabriel,22.6,POR,Big,138,0,80.0%,90,19.2%,10,0.6%,0,0.0%
Daniel Gafford,21.1,CHI,Big,588,4,51.8%,82,17.0%,26,1.1%,39,23.1%
Danilo Gallinari,31.2,OKC,Big,1833,100,89.3%,60,12.2%,86,2.6%,22,18.0%
Langston Galloway,27.9,DET,Wing,1684,86,86.4%,31,5.8%,36,0.8%,95,40.6%
Darius Garland,19.8,CLE,Combo,1781,85,87.0%,15,4.5%,36,1.0%,21,16.1%
Marc Gasol,34.8,TOR,Big,1157,48,73.5%,10,4.9%,82,2.3%,82,35.7%
Rudy Gay,33.2,SAS,Big,1455,98,88.2%,38,9.3%,26,1.1%,25,18.3%
Paul George,29.5,LAC,Wing,1412,89,87.6%,68,10.0%,94,2.4%,41,20.2%
Taj Gibson,34.4,NYK,Big,1020,44,73.2%,40,9.5%,29,1.2%,80,34.5%
Harry Giles,21.5,SAC,Big,638,65,76.6%,29,7.8%,80,2.3%,13,15.0%
