Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Arron Afflalo,24.0,DEN,Wing,2157,23,72.4%,28,7.3%,12,0.6%,70,25.6%
LaMarcus Aldridge,24.3,POR,Big,2911,71,75.7%,34,11.3%,73,1.9%,65,26.4%
Malik Allen,31.3,DEN,Big,383,0,90.9%,3,4.7%,9,0.8%,34,20.0%
Ray Allen,34.3,BOS,Wing,2813,99,91.7%,24,7.0%,68,1.4%,65,25.0%
Tony Allen,27.8,BOS,Wing,838,0,58.8%,99,19.4%,67,1.3%,55,22.6%
Rafer Alston,33.3,BKN,Combo,744,51,81.5%,47,8.7%,21,1.1%,77,28.0%
Rafer Alston,33.3,MIA,Point,652,0,55.6%,53,7.8%,0,0.5%,47,21.4%
Lou Amundson,26.9,PHX,Big,1029,6,50.0%,75,18.0%,48,1.4%,52,24.0%
Chris Andersen,31.3,DEN,Big,1668,46,70.0%,97,28.2%,71,1.9%,19,14.4%
David Andersen,29.4,HOU,Big,848,43,68.9%,11,7.2%,82,2.2%,34,20.0%
Ryan Anderson,21.5,ORL,Big,837,97,84.7%,19,8.7%,25,1.1%,69,27.3%
Carmelo Anthony,25.4,DEN,Wing,2624,74,83.0%,89,15.2%,100,3.1%,58,23.0%
Joel Anthony,27.2,MIA,Big,1249,51,70.9%,89,21.6%,14,1.0%,19,14.6%
Gilbert Arenas,27.8,WAS,Combo,1166,13,73.9%,81,14.1%,94,2.5%,47,22.9%
Trevor Ariza,24.3,HOU,Wing,2625,9,65.2%,56,10.0%,48,1.0%,50,21.5%
Hilton Armstrong,24.9,NOP,Big,197,0,36.4%,67,16.3%,91,2.7%,0,0.0%
Carlos Arroyo,30.3,MIA,Point,1503,71,82.9%,39,6.3%,49,1.5%,51,21.7%
Darrell Arthur,21.6,MEM,Big,444,15,56.7%,14,7.8%,44,1.4%,0,0.0%
Chucky Atkins,35.2,DET,Point,607,98,92.3%,12,3.9%,45,1.5%,27,16.7%
D.J. Augustin,22.0,CHA,Point,1392,37,76.8%,69,9.5%,69,1.9%,24,16.3%
Jeff Ayres,22.5,POR,Big,376,0,85.7%,30,10.8%,8,0.8%,73,28.6%
Kelenna Azubuike,25.9,GSW,Wing,220,0,66.7%,80,13.2%,56,1.2%,85,33.3%
Marcus Banks,28.0,TOR,Point,183,0,84.2%,29,5.5%,94,2.7%,0,0.0%
Leandro Barbosa,26.9,PHX,Wing,688,84,85.5%,30,7.4%,54,1.2%,85,33.3%
J.J. Barea,25.3,DAL,Combo,1484,79,83.9%,26,6.0%,72,1.9%,79,28.1%
Andrea Bargnani,24.0,TOR,Big,2794,77,77.4%,18,8.4%,64,1.6%,39,20.6%
Matt Barnes,29.6,ORL,Wing,2039,29,73.8%,63,11.1%,41,1.0%,53,21.9%
Earl Barron,28.2,NYK,Big,231,72,75.9%,79,18.3%,17,1.0%,7,6.7%
Brandon Bass,24.5,ORL,Big,552,91,81.8%,48,13.7%,31,1.2%,92,34.5%
Tony Battie,33.7,BKN,Big,115,0,83.3%,17,8.3%,0,0.0%,0,0.0%
Shane Battier,31.1,HOU,Forward,2163,40,72.6%,36,8.8%,47,1.2%,49,19.0%
Nicolas Batum,20.9,POR,Wing,911,78,84.3%,51,9.6%,41,1.0%,95,40.7%
Jerryd Bayless,21.2,POR,Combo,1264,74,83.2%,94,17.5%,91,2.5%,32,17.7%
Michael Beasley,20.8,MIA,Forward,2264,77,79.4%,47,10.2%,31,1.1%,58,21.2%
Rodrigue Beaubois,21.7,DAL,Wing,620,71,82.5%,20,6.6%,73,1.5%,99,55.6%
Marco Belinelli,23.6,TOR,Wing,1022,70,82.5%,60,10.4%,93,2.3%,18,15.8%
Charlie Bell,30.6,MIL,Wing,1567,20,71.2%,15,5.9%,28,0.8%,59,23.1%
Raja Bell,33.1,CHA,Wing,157,0,100.0%,6,3.6%,11,0.6%,97,50.0%
