Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Steven Adams,28.3,MEM,Big,109,33,+3.2,41,+2.6,34,+1.5%,5,-4.6%,65,-2.9,10,+5.2,90,-49.5
Kyle Anderson,28.1,MEM,Forward,211,28,+6.3,44,+1.4,49,-0.3%,43,-0.2%,10,+7.8,34,+1.9,17,+29.6
Giannis Antetokounmpo,26.9,MIL,Big,447,97,-14.4,94,-12.9,44,+0.0%,69,+1.7%,83,-8.5,87,-5.4,60,-13.3
Will Barton,30.8,DEN,Wing,172,40,+1.4,14,+10.3,89,-7.7%,10,-3.0%,17,+5.9,23,+3.3,27,+15.3
Malik Beasley,24.9,MIN,Wing,144,29,+4.1,33,+4.8,42,+0.5%,85,+3.2%,27,+3.2,52,-0.3,25,+20.5
Davis Bertans,29.0,DAL,Forward,179,60,-3.7,46,+0.9,59,-1.2%,83,+3.0%,87,-9.2,70,-2.3,85,-37.0
Patrick Beverley,33.3,MIN,Combo,226,63,-3.9,63,-1.8,52,-0.5%,64,+1.4%,97,-15.7,78,-3.4,93,-59.3
Nemanja Bjelica,33.5,GSW,Big,125,24,+6.7,21,+8.3,56,-1.0%,77,+2.5%,41,+1.0,83,-3.8,10,+38.5
Bojan Bogdanovic,32.5,UTA,Forward,214,18,+8.3,7,+15.9,83,-6.3%,87,+3.5%,24,+4.2,40,+1.1,13,+34.3
Devin Booker,25.0,PHX,Wing,365,33,+3.2,50,+0.5,29,+2.4%,86,+3.3%,67,-3.1,76,-3.1,40,+3.2
Jaylen Brown,25.0,BOS,Wing,919,45,+0.5,32,+5.1,20,+4.2%,50,+0.2%,23,+4.2,21,+3.4,40,+3.9
