Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
LaMarcus Aldridge,29.3,POR,Big,208,33,-1.2%,81,+4.2%,48,-0.6%,94,+6.7%,81,+6.1%,93,+3.5%,2,-13.9%,6,-10.4%
Tony Allen,32.8,MEM,Wing,278,73,+3.1%,61,+2.1%,18,-3.9%,62,+1.2%,39,-2.7%,65,+1.1%,43,-0.5%,52,+0.6%
Al-Farouq Aminu,24.1,DAL,Forward,148,60,+1.3%,38,-1.1%,27,-3.0%,51,+0.1%,36,-2.9%,48,-0.0%,85,+4.0%,81,+4.0%
Alan Anderson,32.0,BKN,Wing,141,94,+8.4%,19,-4.0%,46,-0.9%,75,+3.1%,69,+2.2%,32,-0.8%,76,+2.6%,65,+1.8%
Giannis Antetokounmpo,19.9,MIL,Forward,200,5,-9.8%,3,-8.1%,81,+3.6%,99,+15.3%,99,+18.9%,1,-6.6%,21,-4.2%,5,-10.8%
Pero Antic,32.3,ATL,Big,195,24,-2.6%,48,+0.5%,31,-2.7%,23,-3.9%,16,-6.6%,95,+3.8%,73,+2.3%,87,+6.1%
Trevor Ariza,29.3,HOU,Forward,653,64,+2.1%,18,-4.1%,79,+3.2%,40,-1.0%,67,+2.2%,30,-1.2%,79,+3.1%,67,+2.0%
Leandro Barbosa,31.9,GSW,Combo,217,39,-1.1%,94,+7.5%,63,+1.8%,26,-2.7%,44,-0.9%,2,-3.7%,25,-2.8%,13,-6.5%
J.J. Barea,30.3,DAL,Combo,152,77,+4.2%,55,+0.9%,9,-5.6%,77,+3.2%,40,-2.4%,39,-0.4%,67,+1.9%,62,+1.5%
Harrison Barnes,22.4,GSW,Forward,678,19,-4.1%,32,-1.8%,40,-1.9%,77,+3.2%,62,+1.2%,73,+1.6%,39,-1.0%,51,+0.6%
Matt Barnes,34.6,LAC,Wing,404,77,+4.0%,85,+5.0%,27,-3.0%,35,-1.7%,26,-4.7%,68,+1.2%,35,-1.4%,47,-0.2%
Nicolas Batum,25.9,POR,Wing,208,68,+2.7%,34,-1.6%,44,-1.4%,9,-7.2%,11,-8.5%,67,+1.2%,97,+9.0%,94,+10.2%
Jerryd Bayless,26.2,MIL,Combo,108,98,+10.1%,10,-6.3%,2,-7.1%,68,+2.2%,25,-4.9%,100,+7.3%,85,+4.0%,96,+11.2%
Kent Bazemore,25.3,ATL,Wing,299,25,-2.6%,59,+1.6%,49,-0.5%,40,-1.3%,43,-1.9%,52,+0.2%,50,+0.1%,49,+0.2%
Bradley Beal,21.3,WAS,Wing,416,31,-1.9%,99,+9.7%,4,-6.1%,56,+0.5%,19,-5.6%,19,-1.8%,27,-2.3%,20,-4.0%
Marco Belinelli,28.6,SAS,Combo,108,85,+4.7%,12,-5.4%,0,-8.9%,17,-4.7%,2,-13.6%,26,-1.3%,100,+20.3%,100,+19.0%
Bojan Bogdanovic,25.5,BKN,Forward,205,40,-1.0%,48,+0.5%,5,-6.1%,29,-2.3%,12,-8.4%,80,+2.1%,92,+5.8%,92,+7.9%
Andrew Bogut,29.9,GSW,Big,438,50,+0.3%,5,-7.7%,66,+2.1%,73,+2.8%,77,+4.8%,53,+0.3%,75,+2.6%,76,+2.9%
Avery Bradley,23.9,BOS,Combo,132,72,+3.1%,69,+2.8%,23,-3.6%,87,+5.3%,65,+1.8%,60,+0.9%,13,-5.4%,18,-4.6%
Corey Brewer,28.7,HOU,Wing,417,11,-5.9%,74,+3.0%,17,-4.0%,47,-0.0%,28,-4.1%,35,-0.6%,65,+1.7%,56,+1.1%
Aaron Brooks,29.8,CHI,Point,120,6,-9.0%,15,-4.5%,77,+2.9%,57,+0.6%,73,+3.5%,31,-0.9%,66,+1.9%,55,+1.0%
Jimmy Butler,25.1,CHI,Wing,505,97,+9.9%,82,+4.6%,8,-5.7%,38,-1.5%,15,-7.2%,86,+2.7%,47,-0.2%,72,+2.6%
Nick Calathes,25.7,MEM,Combo,117,69,+2.9%,57,+1.5%,60,+1.6%,37,-1.5%,54,+0.1%,56,+0.4%,30,-2.0%,37,-1.6%
Clint Capela,20.5,HOU,Big,108,26,-2.5%,71,+2.8%,19,-3.8%,83,+3.5%,51,-0.3%,15,-2.0%,41,-0.5%,27,-2.5%
DeMarre Carroll,28.3,ATL,Wing,556,82,+4.6%,27,-2.3%,71,+2.4%,67,+1.8%,76,+4.2%,6,-2.8%,61,+0.9%,35,-1.9%
Vince Carter,37.8,MEM,Wing,193,23,-3.2%,40,-0.8%,80,+3.4%,19,-4.3%,45,-0.9%,66,+1.1%,60,+0.6%,65,+1.8%
Michael Carter-Williams,23.1,MIL,Point,190,9,-7.1%,92,+7.1%,98,+6.4%,58,+0.6%,88,+7.0%,0,-7.7%,8,-6.5%,2,-14.2%
Tyson Chandler,32.1,DAL,Big,160,48,-0.0%,54,+0.9%,19,-3.8%,52,+0.3%,31,-3.5%,6,-2.9%,91,+5.5%,71,+2.6%
Norris Cole,26.1,NOP,Point,105,89,+6.0%,73,+2.9%,77,+2.9%,43,-0.7%,66,+2.1%,44,-0.3%,15,-4.8%,17,-5.1%
Mike Conley,27.1,MEM,Point,243,32,-1.6%,81,+4.2%,45,-1.3%,20,-4.1%,21,-5.5%,52,+0.2%,62,+1.1%,58,+1.3%
Jamal Crawford,34.6,LAC,Wing,372,69,+2.7%,37,-1.2%,84,+3.7%,39,-1.4%,69,+2.3%,19,-1.8%,59,+0.6%,41,-1.2%
Jae Crowder,24.3,BOS,Forward,100,59,+1.2%,53,+0.9%,72,+2.5%,13,-6.1%,30,-3.6%,27,-1.3%,84,+4.0%,74,+2.7%
Stephen Curry,26.6,GSW,Point,823,41,-1.0%,27,-2.1%,10,-5.4%,10,-6.8%,5,-12.2%,99,+5.2%,98,+9.1%,98,+14.3%
Anthony Davis,21.6,NOP,Big,171,1,-13.0%,97,+8.3%,42,-1.6%,6,-8.2%,9,-9.8%,90,+3.1%,33,-1.6%,63,+1.5%
Glen Davis,28.8,LAC,Big,136,22,-3.2%,17,-4.2%,90,+4.4%,80,+3.3%,91,+7.7%,2,-5.5%,68,+2.0%,25,-3.5%
DeMar DeRozan,25.2,TOR,Wing,158,79,+4.5%,23,-3.0%,37,-2.2%,94,+6.7%,77,+4.6%,97,+4.0%,12,-5.5%,38,-1.6%
Matthew Dellavedova,24.1,CLE,Combo,486,52,+0.4%,33,-1.7%,87,+4.0%,23,-3.6%,55,+0.4%,16,-1.9%,80,+3.2%,59,+1.3%
Boris Diaw,32.5,SAS,Big,197,83,+4.6%,46,+0.2%,57,+1.3%,18,-4.3%,34,-3.1%,35,-0.7%,81,+3.5%,75,+2.9%
Jared Dudley,29.3,MIL,Forward,110,62,+1.5%,84,+4.7%,10,-5.4%,15,-5.5%,6,-10.9%,94,+3.7%,74,+2.5%,89,+6.2%
Tim Duncan,38.5,SAS,Big,249,91,+7.6%,39,-1.0%,97,+6.0%,93,+6.7%,96,+12.7%,31,-1.0%,4,-10.7%,4,-11.6%
Mike Dunleavy,34.1,CHI,Wing,388,93,+7.9%,31,-1.9%,58,+1.3%,44,-0.3%,60,+1.0%,58,+0.7%,54,+0.2%,54,+0.9%
Monta Ellis,29.0,DAL,Wing,196,99,+11.0%,91,+7.1%,2,-6.9%,66,+1.8%,23,-5.1%,8,-2.7%,60,+0.8%,34,-1.9%
Tyreke Evans,25.1,NOP,Wing,125,21,-3.3%,13,-5.3%,14,-4.6%,44,-0.3%,24,-4.9%,79,+2.0%,95,+8.2%,95,+10.2%
Festus Ezeli,25.0,GSW,Big,179,27,-2.4%,63,+2.2%,62,+1.7%,64,+1.4%,71,+3.1%,33,-0.8%,19,-4.5%,15,-5.3%
Marc Gasol,29.8,MEM,Big,413,71,+3.0%,83,+4.6%,1,-7.9%,90,+5.7%,40,-2.2%,41,-0.4%,29,-2.0%,29,-2.4%
Pau Gasol,34.3,CHI,Big,315,90,+7.3%,29,-2.1%,52,+0.3%,56,+0.6%,59,+0.9%,75,+1.7%,42,-0.5%,57,+1.2%
Taj Gibson,29.4,CHI,Big,270,15,-4.7%,56,+1.0%,55,+1.0%,89,+5.5%,84,+6.5%,11,-2.5%,15,-5.0%,10,-7.5%
Manu Ginobili,37.3,SAS,Wing,130,45,-0.3%,65,+2.3%,39,-2.1%,12,-6.1%,13,-8.2%,76,+1.8%,86,+4.0%,85,+5.8%
Drew Gooden,33.1,WAS,Big,177,53,+0.5%,47,+0.5%,56,+1.1%,21,-4.1%,35,-3.0%,90,+3.1%,40,-0.5%,70,+2.5%
Eric Gordon,25.9,NOP,Combo,143,2,-11.1%,21,-3.2%,85,+3.9%,11,-6.8%,35,-2.9%,82,+2.2%,82,+3.9%,86,+6.1%
Marcin Gortat,30.7,WAS,Big,306,87,+5.4%,8,-6.5%,68,+2.2%,59,+0.9%,72,+3.1%,69,+1.4%,69,+2.0%,78,+3.4%
Danny Green,27.4,SAS,Wing,203,76,+3.6%,72,+2.8%,86,+3.9%,70,+2.7%,85,+6.6%,29,-1.2%,6,-8.2%,8,-9.4%
Draymond Green,24.7,GSW,Big,781,81,+4.6%,44,+0.1%,13,-5.1%,6,-8.3%,2,-13.3%,98,+4.6%,96,+8.7%,97,+13.2%
Jeff Green,28.2,MEM,Forward,295,34,-1.2%,35,-1.6%,73,+2.7%,27,-2.6%,53,+0.1%,48,-0.0%,64,+1.6%,64,+1.5%
Blake Griffin,25.6,LAC,Big,556,35,-1.2%,58,+1.6%,38,-2.1%,72,+2.8%,57,+0.6%,83,+2.3%,19,-4.5%,31,-2.2%
James Harden,25.2,HOU,Wing,633,80,+4.5%,36,-1.5%,20,-3.8%,74,+3.1%,47,-0.7%,84,+2.3%,48,-0.1%,69,+2.2%
John Henson,23.8,MIL,Big,152,51,+0.3%,94,+7.7%,25,-3.2%,2,-10.0%,3,-13.2%,65,+1.1%,88,+4.5%,84,+5.5%
Nene Hilario,32.1,WAS,Big,256,13,-5.2%,64,+2.3%,22,-3.6%,81,+3.3%,52,-0.3%,37,-0.6%,36,-1.4%,33,-2.0%
Kirk Hinrich,33.8,CHI,Combo,116,10,-7.1%,24,-2.5%,93,+4.8%,50,+0.1%,78,+4.9%,71,+1.5%,23,-3.9%,30,-2.4%
Al Horford,28.4,ATL,Big,520,66,+2.3%,15,-4.8%,61,+1.6%,97,+10.3%,95,+11.9%,12,-2.3%,16,-4.8%,11,-7.1%
Dwight Howard,28.9,HOU,Big,572,73,+3.2%,52,+0.7%,95,+5.0%,24,-3.2%,65,+1.8%,40,-0.4%,28,-2.1%,28,-2.5%
Andre Iguodala,30.8,GSW,Wing,632,36,-1.2%,49,+0.5%,65,+2.0%,60,+1.1%,73,+3.1%,21,-1.7%,31,-2.0%,23,-3.6%
Ersan Ilyasova,27.5,MIL,Big,141,58,+1.2%,22,-3.0%,98,+6.2%,54,+0.4%,85,+6.6%,10,-2.5%,37,-1.1%,24,-3.6%
Kyrie Irving,22.6,CLE,Point,463,57,+0.9%,77,+3.5%,6,-5.9%,76,+3.1%,37,-2.8%,73,+1.7%,26,-2.4%,43,-0.7%
Jarrett Jack,31.0,BKN,Combo,152,100,+13.5%,7,-6.8%,83,+3.7%,55,+0.5%,75,+4.2%,28,-1.2%,83,+3.9%,73,+2.6%
LeBron James,29.8,CLE,Wing,843,40,-1.1%,78,+3.8%,89,+4.3%,32,-2.1%,68,+2.2%,50,+0.1%,10,-6.1%,14,-6.0%
Amir Johnson,27.5,TOR,Big,111,37,-1.1%,25,-2.4%,94,+4.8%,15,-5.3%,50,-0.5%,62,+0.9%,69,+2.0%,77,+2.9%
Joe Johnson,33.3,BKN,Wing,248,0,-17.1%,41,-0.6%,24,-3.4%,48,+0.1%,33,-3.2%,92,+3.4%,57,+0.5%,80,+3.8%
James Jones,34.1,CLE,Forward,290,46,-0.3%,80,+3.9%,6,-5.8%,22,-4.0%,8,-9.8%,70,+1.5%,89,+4.5%,85,+6.0%
Terrence Jones,22.8,HOU,Big,396,17,-4.5%,31,-1.9%,94,+4.9%,71,+2.7%,90,+7.6%,24,-1.4%,20,-4.3%,15,-5.7%
DeAndre Jordan,26.3,LAC,Big,481,70,+2.9%,79,+3.9%,56,+1.3%,16,-4.8%,31,-3.6%,69,+1.3%,32,-1.6%,46,-0.3%
Kyle Korver,33.6,ATL,Wing,524,85,+4.8%,69,+2.8%,33,-2.4%,65,+1.6%,46,-0.9%,88,+2.8%,18,-4.7%,35,-1.9%
Kosta Koufos,25.7,MEM,Big,127,15,-4.7%,4,-7.8%,99,+6.8%,60,+0.9%,90,+7.7%,44,-0.4%,56,+0.4%,48,+0.1%
Courtney Lee,29.1,MEM,Wing,366,74,+3.2%,45,+0.2%,30,-2.9%,79,+3.3%,56,+0.4%,42,-0.4%,46,-0.2%,44,-0.6%
David Lee,31.5,GSW,Big,102,65,+2.3%,67,+2.6%,78,+3.1%,35,-1.8%,63,+1.3%,10,-2.5%,35,-1.4%,22,-3.9%
Kawhi Leonard,23.3,SAS,Wing,249,2,-10.9%,90,+6.1%,92,+4.7%,90,+6.1%,94,+10.8%,25,-1.4%,0,-15.5%,1,-16.9%
Meyers Leonard,22.7,POR,Big,103,81,+4.6%,89,+5.8%,11,-5.4%,8,-7.5%,4,-12.9%,78,+1.9%,90,+5.2%,90,+7.1%
Damian Lillard,24.3,POR,Combo,200,44,-0.4%,98,+8.6%,15,-4.1%,1,-10.6%,1,-14.7%,77,+1.9%,87,+4.2%,88,+6.1%
Shaun Livingston,29.1,GSW,Combo,369,52,+0.4%,86,+5.3%,76,+2.8%,69,+2.5%,79,+5.4%,3,-3.6%,7,-7.2%,6,-10.7%
Brook Lopez,26.6,BKN,Big,232,8,-7.7%,52,+0.9%,91,+4.6%,86,+4.5%,93,+9.1%,7,-2.7%,6,-7.2%,7,-9.9%
Robin Lopez,26.6,POR,Big,117,4,-9.8%,2,-8.8%,85,+3.7%,78,+3.2%,87,+7.0%,46,-0.2%,71,+2.1%,66,+1.9%
Kevin Love,26.1,CLE,Big,106,95,+8.7%,76,+3.2%,15,-4.1%,36,-1.5%,19,-5.6%,85,+2.5%,49,-0.0%,69,+2.5%
Kyle Lowry,28.6,TOR,Point,131,16,-4.5%,1,-8.9%,50,-0.2%,95,+8.4%,92,+8.2%,98,+4.5%,23,-3.8%,52,+0.7%
O.J. Mayo,27.0,MIL,Wing,155,84,+4.7%,50,+0.5%,36,-2.2%,25,-3.2%,22,-5.4%,94,+3.7%,63,+1.2%,82,+4.9%
CJ McCollum,23.1,POR,Wing,165,92,+7.8%,100,+13.1%,32,-2.5%,4,-9.4%,6,-11.8%,23,-1.5%,55,+0.2%,40,-1.3%
Khris Middleton,23.2,MIL,Wing,231,10,-6.9%,98,+8.8%,47,-0.6%,2,-10.3%,7,-10.9%,38,-0.6%,77,+2.7%,68,+2.1%
Patty Mills,26.2,SAS,Combo,112,94,+8.6%,11,-6.0%,43,-1.5%,7,-8.0%,10,-9.5%,91,+3.3%,98,+12.2%,99,+15.5%
Paul Millsap,29.7,ATL,Big,564,98,+10.9%,87,+5.4%,54,+0.9%,14,-5.8%,23,-4.9%,63,+1.0%,34,-1.5%,44,-0.5%
