Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Shareef Abdur-Rahim,29.9,SAC,Big,1996,76,19.0%,44,105.1,74,9.2%,68,0.48,68,13.6%
Hassan Adams,22.4,BKN,Wing,448,16,14.8%,65,112.1,1,4.4%,4,0.30,21,15.4%
Maurice Ager,22.7,DAL,Wing,158,63,19.6%,1,77.2,3,4.8%,1,0.25,15,16.3%
LaMarcus Aldridge,21.3,POR,Big,1342,60,16.9%,45,105.5,18,3.0%,10,0.18,99,8.9%
Malik Allen,28.3,CHI,Big,572,69,17.9%,8,86.7,23,3.7%,13,0.21,100,8.4%
Ray Allen,31.3,OKC,Wing,2214,93,29.0%,80,115.2,81,18.3%,44,0.63,72,10.9%
Tony Allen,24.8,BOS,Wing,772,74,21.8%,94,119.7,59,12.4%,36,0.57,2,19.7%
Rafer Alston,30.3,HOU,Point,3027,42,21.2%,32,98.6,32,23.3%,23,1.10,74,12.3%
Alan Anderson,24.0,CHA,Wing,242,62,19.2%,85,117.1,69,14.3%,72,0.74,8,17.8%
Derek Anderson,32.3,CHA,Wing,1172,25,15.8%,96,120.9,78,17.3%,97,1.09,47,13.2%
Carmelo Anthony,22.4,DEN,Wing,2479,97,31.8%,67,112.1,80,18.3%,37,0.57,50,12.8%
Rafael Araujo,26.2,UTA,Big,193,35,14.4%,19,94.3,51,5.9%,51,0.41,18,20.6%
Gilbert Arenas,24.8,WAS,Combo,2935,96,32.0%,88,114.4,77,25.7%,27,0.81,89,10.9%
Trevor Ariza,21.3,ORL,Wing,1230,52,18.0%,75,113.7,34,9.1%,28,0.50,10,17.0%
Darrell Armstrong,38.4,IND,Combo,1236,27,18.7%,84,111.9,71,24.9%,95,1.34,43,14.3%
Hilton Armstrong,21.9,NOP,Big,546,21,12.5%,66,112.2,12,2.8%,16,0.22,34,17.3%
Carlos Arroyo,27.3,ORL,Point,1255,83,25.3%,47,103.7,60,28.5%,28,1.13,64,12.5%
Chucky Atkins,32.2,MEM,Point,2050,70,23.7%,87,117.3,58,27.7%,32,1.17,75,11.7%
Kelenna Azubuike,22.9,GSW,Wing,595,42,17.1%,63,111.6,14,6.5%,12,0.38,33,14.4%
Renaldo Balkman,22.3,NYK,Forward,998,18,14.9%,47,106.6,22,7.1%,45,0.48,49,13.1%
Marcus Banks,25.0,PHX,Combo,447,84,24.4%,39,100.5,43,20.4%,32,0.84,21,15.6%
Leandro Barbosa,23.9,PHX,Combo,2570,77,23.4%,98,120.7,38,18.6%,21,0.80,88,10.9%
J.J. Barea,22.3,DAL,Combo,112,91,26.3%,32,98.1,41,19.7%,20,0.75,79,12.3%
Andrea Bargnani,21.0,TOR,Big,1594,81,20.4%,58,109.5,42,5.2%,21,0.26,55,15.0%
Matt Barnes,26.6,GSW,Forward,1735,43,17.4%,61,108.8,78,12.6%,76,0.72,45,13.5%
Earl Barron,25.2,MIA,Big,128,87,21.6%,1,69.8,14,2.9%,6,0.13,36,17.1%
