Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Alex Abrines,25.3,OKC,Wing,558,45,0.6%,46,1.3%,36,3.6%,6,0.8%,13,7.4%,0,0.0%,0,0.0%
Quincy Acy,28.1,PHX,Big,102,57,1.8%,1,0.4%,1,7.8%,1,0.9%,25,14.9%,96,10.0%,5,10.0%
Jaylen Adams,22.5,ATL,Point,395,50,0.5%,30,1.3%,7,4.3%,59,2.1%,85,12.1%,96,4.2%,57,3.2%
Steven Adams,25.3,OKC,Big,2678,45,1.5%,92,1.8%,93,2.6%,91,13.0%,23,14.0%,99,12.8%,1,1.9%
Bam Adebayo,21.3,MIA,Big,1876,59,1.8%,90,1.7%,56,3.9%,60,8.6%,76,21.4%,68,4.3%,71,37.1%
Deng Adel,21.7,CLE,Forward,187,76,1.1%,1,0.2%,62,3.1%,13,1.5%,11,8.9%,0,0.0%,0,0.0%
LaMarcus Aldridge,33.3,SAS,Big,2698,65,2.0%,18,0.7%,98,2.3%,73,9.8%,53,17.7%,76,5.1%,42,26.2%
Rawle Alkins,21.0,CHI,Forward,108,0,0.0%,0,0.0%,85,2.3%,99,7.7%,72,14.4%,0,0.0%,0,0.0%
Grayson Allen,23.1,UTA,Combo,322,85,0.9%,0,0.7%,17,4.5%,2,0.6%,2,5.3%,0,0.0%,0,0.0%
Jarrett Allen,20.5,BKN,Big,2093,83,2.7%,26,0.9%,82,3.2%,64,9.1%,67,20.0%,68,4.3%,82,42.6%
Kadeem Allen,25.8,NYK,Combo,377,44,0.4%,71,1.6%,12,4.7%,59,2.3%,49,9.4%,0,0.0%,88,9.5%
Al-Farouq Aminu,28.1,POR,Big,2291,13,0.7%,61,1.2%,98,2.4%,26,4.8%,65,19.8%,67,4.2%,61,32.3%
Justin Anderson,25.0,ATL,Wing,414,94,1.4%,73,1.6%,23,4.1%,96,5.6%,74,12.0%,0,0.0%,85,17.2%
Kyle Anderson,25.1,MEM,Forward,1270,90,1.6%,82,2.0%,34,3.7%,75,4.1%,82,15.3%,65,1.4%,87,33.3%
Ryan Anderson,30.5,PHX,Big,277,1,0.2%,5,0.5%,75,3.4%,31,5.2%,5,10.9%,0,0.0%,17,18.2%
Giannis Antetokounmpo,23.9,MIL,Forward,2364,97,2.3%,73,1.6%,65,2.9%,96,6.9%,100,26.4%,89,3.7%,99,51.2%
Carmelo Anthony,34.4,HOU,Forward,291,80,1.3%,8,0.6%,24,4.0%,37,2.6%,77,15.0%,0,0.0%,93,38.5%
OG Anunoby,21.3,TOR,Forward,1293,48,0.7%,62,1.5%,17,4.2%,79,4.1%,14,9.0%,97,5.7%,73,25.9%
Ryan Arcidiacono,24.6,CHI,Combo,1912,8,0.1%,64,1.5%,42,3.6%,25,1.3%,61,9.9%,81,1.3%,53,5.0%
Trevor Ariza,33.3,PHX,Wing,883,37,0.5%,84,1.9%,96,2.0%,38,1.7%,88,13.8%,94,3.7%,99,37.5%
Trevor Ariza,33.3,WAS,Wing,1463,34,0.4%,69,1.5%,88,2.4%,60,2.3%,73,11.8%,0,0.0%,99,36.6%
D.J. Augustin,31.0,ORL,Point,2265,4,0.1%,13,1.0%,94,2.0%,43,1.8%,13,7.3%,0,0.0%,63,3.8%
Deandre Ayton,20.3,PHX,Big,2182,49,1.6%,60,1.2%,62,3.7%,80,10.5%,83,23.0%,0,0.0%,80,41.3%
Dwayne Bacon,23.2,CHA,Wing,651,21,0.3%,9,0.8%,19,4.3%,18,1.2%,44,9.9%,0,0.0%,44,7.1%
Marvin Bagley,19.6,SAC,Big,1524,60,1.9%,25,0.9%,91,2.7%,72,9.7%,51,17.6%,37,1.0%,52,29.1%
