Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Shareef Abdur-Rahim,28.9,SAC,Big,122,83,23.3%,53,112.5,78,10.8%,53,0.46,22,20.0%
Malik Allen,27.3,CHI,Big,116,42,15.3%,14,93.3,61,8.5%,69,0.55,8,26.0%
Carmelo Anthony,21.4,DEN,Forward,192,100,31.6%,12,85.4,88,14.4%,41,0.46,59,10.9%
Gilbert Arenas,23.8,WAS,Combo,283,100,31.5%,90,121.1,80,23.2%,50,0.74,50,10.4%
Chucky Atkins,31.2,MEM,Point,101,65,24.9%,18,92.7,53,23.1%,24,0.93,94,8.2%
Leandro Barbosa,22.9,PHX,Wing,625,53,20.3%,66,115.8,56,13.6%,56,0.67,56,10.4%
Brent Barry,33.8,SAS,Wing,281,13,11.3%,100,148.4,47,11.4%,84,1.01,44,12.1%
Shane Battier,27.1,MEM,Forward,128,0,11.6%,53,109.1,18,2.6%,24,0.23,0,27.6%
Raja Bell,29.1,PHX,Wing,673,22,12.9%,84,125.7,25,7.6%,47,0.59,88,4.4%
Mike Bibby,27.5,SAC,Point,255,53,24.5%,24,94.3,41,20.4%,18,0.83,41,13.5%
Chauncey Billups,29.1,DET,Point,702,76,25.3%,82,116.2,82,31.0%,76,1.23,65,11.8%
Andrew Bogut,20.9,MIL,Big,168,56,16.8%,6,87.8,86,15.6%,100,0.93,56,13.8%
Bruce Bowen,34.4,SAS,Wing,440,0,7.5%,88,129.0,9,5.5%,63,0.74,31,13.6%
Earl Boykins,29.4,DEN,Point,139,47,23.1%,6,81.3,76,27.8%,65,1.20,100,4.1%
Elton Brand,26.6,LAC,Big,516,86,24.5%,78,118.2,89,15.8%,83,0.64,83,10.3%
Kwame Brown,23.6,LAL,Big,224,64,17.9%,67,115.4,39,5.6%,28,0.31,50,14.2%
Kobe Bryant,27.2,LAL,Combo,313,90,30.1%,100,121.1,70,21.1%,30,0.70,0,16.2%
Greg Buckner,29.1,DEN,Wing,137,34,16.3%,38,108.6,34,8.5%,34,0.52,97,1.9%
Caron Butler,25.6,WAS,Wing,261,66,22.3%,16,98.2,41,10.3%,22,0.46,50,11.2%
Marcus Camby,31.6,DEN,Big,175,50,16.7%,3,86.4,81,11.5%,89,0.69,97,6.1%
Vince Carter,28.8,BKN,Wing,449,97,33.6%,50,112.4,97,26.9%,75,0.80,78,8.3%
Sam Cassell,36.0,LAC,Point,403,88,27.2%,71,110.2,71,26.6%,29,0.98,82,10.9%
Tyson Chandler,23.1,CHI,Big,103,6,7.3%,44,110.0,19,4.3%,81,0.59,0,35.3%
Jason Collins,26.9,BKN,Big,302,3,6.8%,11,88.6,3,1.4%,11,0.20,17,21.4%
Austin Croshere,30.5,IND,Forward,173,24,14.0%,59,111.4,35,6.7%,47,0.48,41,12.4%
Erick Dampier,30.3,DAL,Big,447,8,9.0%,61,114.8,6,2.0%,14,0.22,61,12.8%
Antonio Daniels,30.6,WAS,Point,215,18,16.2%,100,129.5,18,16.1%,41,0.99,47,13.4%
