Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Precious Achiuwa,21.1,MIA,Big,685,57,17.3%,20,108.6,26,6.6%,18,0.38,39,13.9%
Steven Adams,27.3,NOP,Big,1604,14,12.0%,54,118.7,53,8.8%,75,0.73,13,17.7%
Bam Adebayo,23.3,MIA,Big,2130,92,24.5%,72,125.2,98,26.8%,95,1.10,30,14.9%
LaMarcus Aldridge,35.3,SAS,Big,544,83,21.2%,21,108.7,66,10.3%,38,0.49,90,7.7%
LaMarcus Aldridge,35.3,BKN,Big,130,77,20.3%,60,120.8,78,12.9%,61,0.63,58,12.1%
Nickeil Alexander-Walker,22.2,NOP,Combo,958,70,23.4%,24,102.6,31,15.0%,15,0.64,30,12.8%
Grayson Allen,25.1,MEM,Wing,1249,47,16.1%,73,118.7,65,11.5%,68,0.71,67,9.9%
Jarrett Allen,22.5,BKN,Big,315,29,14.2%,98,144.9,44,8.1%,54,0.57,5,21.0%
Jarrett Allen,22.5,CLE,Big,1529,46,15.7%,80,128.5,56,9.0%,55,0.57,37,14.2%
Al-Farouq Aminu,30.1,ORL,Forward,366,50,15.3%,11,98.9,69,11.6%,73,0.75,2,20.2%
Kyle Anderson,27.1,MEM,Forward,1884,77,19.3%,60,115.2,89,18.2%,93,0.94,70,10.0%
Giannis Antetokounmpo,25.9,MIL,Big,2010,99,33.6%,77,127.0,98,28.2%,88,0.84,49,12.9%
Thanasis Antetokounmpo,28.3,MIL,Forward,448,49,15.2%,26,104.8,49,8.9%,44,0.59,0,21.5%
Carmelo Anthony,36.4,POR,Forward,1671,87,22.7%,39,110.3,57,9.7%,13,0.43,97,6.8%
Cole Anthony,20.5,ORL,Point,1229,61,25.9%,16,101.6,27,23.9%,18,0.92,48,13.7%
OG Anunoby,23.3,TOR,Forward,1433,69,18.4%,84,121.4,59,9.8%,32,0.53,37,12.6%
Ryan Arcidiacono,26.6,CHI,Combo,415,6,13.7%,44,110.3,46,17.7%,92,1.29,94,7.1%
Trevor Ariza,35.3,MIA,Forward,836,40,14.5%,36,107.7,50,9.0%,52,0.62,94,7.9%
D.J. Augustin,33.0,HOU,Combo,405,74,23.6%,93,123.4,89,28.1%,87,1.19,25,13.3%
D.J. Augustin,33.0,MIL,Point,697,5,16.3%,41,107.0,11,19.0%,57,1.17,57,12.7%
Deni Avdija,19.8,WAS,Forward,1224,11,11.1%,21,104.1,18,6.5%,46,0.59,88,8.9%
Deandre Ayton,22.3,PHX,Big,2108,49,16.0%,85,131.9,26,6.6%,23,0.41,43,13.5%
Dwayne Bacon,25.2,ORL,Wing,1812,68,19.1%,13,96.8,30,7.9%,14,0.41,97,5.5%
Marvin Bagley,21.6,SAC,Big,1091,82,21.1%,27,110.2,14,5.6%,6,0.27,69,11.0%
LaMelo Ball,19.2,CHA,Point,1454,73,27.8%,50,108.8,68,32.4%,55,1.16,25,14.8%
