Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Derek Fisher,35.2,LAL,Point,749,13,14.9%,80,115.7,0,12.0%,0,0.81,20,14.6%
Channing Frye,26.5,PHX,Big,426,33,12.9%,53,107.4,40,5.2%,44,0.40,95,6.8%
Kevin Garnett,33.5,BOS,Big,763,79,20.7%,47,106.2,93,13.9%,84,0.67,81,9.2%
Pau Gasol,29.3,LAL,Big,910,81,20.9%,79,118.7,95,14.8%,88,0.71,70,10.5%
Taj Gibson,24.4,CHI,Big,143,35,12.9%,16,88.4,23,3.3%,26,0.26,100,4.9%
Manu Ginobili,32.3,SAS,Wing,351,83,28.2%,66,116.2,97,28.8%,97,1.02,17,14.1%
Marcin Gortat,25.7,ORL,Big,190,0,6.8%,100,137.5,49,6.4%,95,0.94,63,11.5%
Jeff Green,23.2,OKC,Forward,216,40,16.5%,10,92.2,80,9.4%,80,0.57,60,7.5%
Udonis Haslem,29.4,MIA,Big,141,44,13.8%,7,75.0,37,5.0%,42,0.36,56,12.0%
Brendan Haywood,29.9,DAL,Big,133,14,11.2%,88,120.0,21,3.1%,30,0.28,77,9.5%
Nene Hilario,27.1,DEN,Big,168,28,12.7%,95,123.9,65,9.1%,91,0.72,88,8.2%
George Hill,23.5,SAS,Combo,343,8,15.8%,83,113.6,0,3.3%,0,0.21,83,6.9%
Grant Hill,37.1,PHX,Wing,449,43,16.1%,49,109.5,49,11.4%,69,0.71,37,12.1%
Kirk Hinrich,28.8,CHI,Combo,195,0,14.9%,67,105.1,17,15.7%,83,1.06,100,3.1%
Al Horford,23.4,ATL,Big,386,72,17.9%,70,115.2,67,9.4%,63,0.53,72,10.5%
Dwight Howard,23.9,ORL,Big,494,88,24.9%,81,119.2,58,7.5%,35,0.30,12,20.6%
Serge Ibaka,20.1,OKC,Big,132,19,12.2%,86,119.4,12,1.5%,9,0.12,37,14.3%
Ersan Ilyasova,22.5,MIL,Big,150,67,17.7%,88,120.0,14,2.5%,12,0.14,23,17.4%
Stephen Jackson,31.6,CHA,Wing,155,89,29.7%,14,94.7,89,19.2%,54,0.64,3,18.1%
LeBron James,24.8,CLE,Forward,459,100,32.9%,100,121.5,100,36.1%,100,1.10,20,12.9%
Antawn Jamison,33.4,CLE,Forward,373,70,19.0%,60,107.7,50,6.4%,40,0.33,40,11.7%
Richard Jefferson,29.4,SAS,Forward,331,10,13.7%,70,111.9,70,8.3%,90,0.60,10,15.5%
Brandon Jennings,20.1,MIL,Combo,248,75,28.3%,17,100.0,50,19.5%,25,0.69,92,5.5%
Joe Johnson,28.3,ATL,Wing,440,86,28.3%,6,91.2,91,23.3%,86,0.82,71,9.7%
Jason Kidd,36.6,DAL,Point,243,20,15.0%,13,92.3,47,26.3%,100,1.75,53,11.7%
Kyle Korver,28.6,UTA,Wing,209,14,13.6%,91,131.7,31,9.1%,60,0.67,57,11.0%
Nenad Krstic,26.3,OKC,Big,129,56,15.6%,21,100.0,51,7.0%,53,0.45,67,11.1%
Ty Lawson,22.0,DEN,Combo,115,42,21.6%,58,104.8,58,21.3%,50,0.99,25,14.4%
Rashard Lewis,30.2,ORL,Big,511,65,17.1%,72,116.1,77,10.9%,77,0.64,44,14.1%
Robin Lopez,21.6,PHX,Big,100,53,15.5%,77,118.4,0,0.0%,0,0.00,86,8.7%
Shawn Marion,31.5,DAL,Forward,148,80,19.9%,0,86.7,60,7.4%,60,0.37,30,12.7%
Kenyon Martin,31.8,DEN,Big,204,47,14.0%,35,103.4,47,5.9%,47,0.42,28,16.9%
Wesley Matthews,23.0,UTA,Wing,368,37,15.9%,43,107.3,11,6.6%,11,0.42,51,11.3%
Luc Mbah a Moute,23.1,MIL,Forward,172,20,16.0%,90,114.3,30,5.4%,50,0.34,50,8.9%
Antonio McDyess,35.2,SAS,Big,245,21,12.4%,56,107.9,53,7.4%,70,0.60,37,14.3%
CJ Miles,22.6,UTA,Wing,336,57,18.8%,71,117.1,69,13.2%,66,0.70,26,13.6%
Andre Miller,33.6,POR,Combo,208,92,28.7%,8,97.9,83,30.0%,75,1.05,17,15.3%
Paul Millsap,24.7,UTA,Big,322,74,20.3%,93,123.3,79,11.6%,65,0.57,84,9.0%
Steve Nash,35.7,PHX,Point,536,87,29.9%,100,129.1,100,47.2%,93,1.58,0,17.0%
Jameer Nelson,27.7,ORL,Point,479,67,27.6%,93,123.7,60,27.6%,33,1.00,33,12.9%
Joakim Noah,24.7,CHI,Big,187,70,17.8%,84,119.4,70,10.5%,67,0.59,14,19.9%
Dirk Nowitzki,31.4,DAL,Big,229,100,26.8%,98,129.0,98,17.1%,79,0.64,91,7.7%
Jermaine O'Neal,31.1,MIA,Big,116,84,21.2%,2,44.7,56,7.5%,40,0.35,47,13.3%
Shaquille O'Neal,37.7,CLE,Big,242,95,25.0%,60,111.4,74,10.7%,49,0.43,16,18.3%
Lamar Odom,30.0,LAL,Big,650,63,16.6%,33,102.8,72,10.5%,74,0.63,65,11.4%
Zaza Pachulia,25.7,ATL,Big,135,30,12.7%,19,90.0,7,1.4%,7,0.11,7,25.0%
Anthony Parker,34.4,CLE,Wing,327,0,10.3%,94,131.9,9,6.2%,46,0.60,14,15.1%
Tony Parker,27.5,SAS,Point,333,93,29.9%,33,100.0,53,27.1%,7,0.91,80,10.2%
Kendrick Perkins,25.0,BOS,Big,571,42,13.1%,49,106.7,44,5.8%,51,0.45,5,27.4%
Paul Pierce,32.1,BOS,Wing,926,74,24.2%,60,113.0,83,15.5%,51,0.64,23,13.6%
Mickael Pietrus,27.7,ORL,Wing,258,29,15.5%,80,125.3,20,7.6%,23,0.49,97,5.1%
JJ Redick,25.4,ORL,Wing,244,60,19.2%,77,123.4,80,14.9%,83,0.78,3,18.1%
Jason Richardson,28.8,PHX,Wing,531,63,19.5%,83,127.9,3,5.2%,3,0.27,100,4.4%
Quentin Richardson,29.6,MIA,Wing,148,34,15.6%,34,104.3,34,9.3%,43,0.60,66,10.1%
Luke Ridnour,28.7,MIL,Point,116,53,25.5%,67,114.0,40,24.1%,20,0.94,13,15.7%
Nate Robinson,25.4,BOS,Combo,105,100,31.6%,42,101.7,100,32.0%,67,1.01,75,8.8%
Rajon Rondo,23.7,BOS,Point,972,60,25.8%,33,100.0,87,39.5%,87,1.53,27,13.3%
Derrick Rose,21.1,CHI,Point,211,100,33.3%,27,99.3,73,31.6%,27,0.95,93,8.2%
John Salmons,29.9,MIL,Wing,283,69,23.9%,26,97.5,86,17.7%,77,0.74,86,8.5%
Thabo Sefolosha,25.5,OKC,Wing,124,6,11.8%,3,90.0,40,10.1%,91,0.86,94,6.1%
JR Smith,24.1,DEN,Wing,156,46,17.1%,54,110.5,43,10.9%,49,0.63,74,9.7%
Josh Smith,23.9,ATL,Big,390,77,20.3%,40,105.4,91,13.2%,81,0.65,74,10.4%
Jerry Stackhouse,35.0,MIL,Wing,134,49,17.5%,20,95.7,37,9.5%,31,0.54,91,8.0%
Amar'e Stoudemire,27.0,PHX,Big,581,93,25.0%,74,117.5,42,5.2%,19,0.21,49,12.8%
Jason Terry,32.1,DAL,Wing,166,66,21.3%,23,97.2,60,12.6%,40,0.59,89,8.2%
Kurt Thomas,37.1,MIL,Big,198,12,11.0%,21,100.0,60,8.6%,93,0.78,21,18.0%
Anderson Varejao,27.1,CLE,Big,255,40,13.0%,21,100.0,35,4.6%,37,0.35,26,17.1%
Dwyane Wade,27.8,MIA,Wing,209,100,35.1%,97,133.9,100,38.6%,100,1.10,11,16.4%
Gerald Wallace,27.3,CHA,Forward,163,50,18.9%,80,113.3,90,10.1%,70,0.53,70,4.9%
Rasheed Wallace,35.1,BOS,Big,404,58,15.7%,44,105.8,30,3.9%,23,0.25,93,6.9%
Martell Webster,22.9,POR,Forward,132,30,16.1%,50,104.3,20,4.1%,10,0.25,80,4.4%
Delonte West,26.3,CLE,Combo,261,25,18.2%,17,100.0,33,17.2%,42,0.95,8,18.3%
Russell Westbrook,21.0,OKC,Point,211,73,28.6%,73,115.0,80,37.5%,60,1.31,67,10.4%
Deron Williams,25.3,UTA,Point,397,80,29.8%,87,123.4,93,41.1%,73,1.38,60,11.3%
Jason Williams,34.0,ORL,Point,172,7,14.0%,0,91.2,27,21.3%,80,1.52,100,6.6%
Marvin Williams,23.4,ATL,Forward,329,0,12.9%,30,101.1,0,3.6%,20,0.28,90,3.5%
Mo Williams,26.9,CLE,Point,409,40,20.6%,53,109.1,33,22.9%,47,1.11,40,12.7%
Metta World Peace,30.0,LAL,Wing,837,40,16.0%,17,95.2,26,8.5%,29,0.53,83,8.5%
Dorell Wright,23.9,MIA,Wing,107,26,15.5%,9,92.6,63,12.9%,89,0.83,9,17.1%
