Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Arron Afflalo,24.0,DEN,Wing,118,20,14.3%,100,148.6,23,8.3%,37,0.58,60,10.7%
LaMarcus Aldridge,24.3,POR,Big,225,98,25.7%,21,100.0,81,11.8%,56,0.46,79,9.3%
Ray Allen,34.3,BOS,Wing,922,51,18.0%,69,116.2,54,11.7%,57,0.65,63,10.3%
Tony Allen,27.8,BOS,Wing,379,31,15.6%,51,110.1,14,7.4%,20,0.47,0,19.0%
Lou Amundson,26.9,PHX,Big,172,16,11.3%,30,102.3,5,0.9%,5,0.08,60,11.8%
Chris Andersen,31.3,DEN,Big,115,7,9.6%,63,112.5,7,1.4%,14,0.15,30,16.3%
Carmelo Anthony,25.4,DEN,Wing,252,91,32.3%,57,112.2,77,14.6%,17,0.45,49,11.4%
Carlos Arroyo,30.3,MIA,Point,110,0,12.8%,7,91.7,13,16.2%,53,1.26,87,10.2%
Leandro Barbosa,26.9,PHX,Wing,227,71,24.2%,37,106.0,71,13.5%,34,0.56,40,12.0%
Matt Barnes,29.6,ORL,Wing,325,11,13.5%,40,107.2,29,9.0%,63,0.67,54,11.2%
Nicolas Batum,20.9,POR,Wing,138,17,13.9%,74,122.5,6,6.0%,14,0.43,69,10.0%
Jerryd Bayless,21.2,POR,Combo,156,50,24.9%,75,111.6,67,27.6%,100,1.11,58,9.9%
Michael Beasley,20.8,MIA,Forward,131,90,20.4%,20,98.0,10,3.9%,0,0.19,0,19.3%
Mike Bibby,31.5,ATL,Point,291,27,16.6%,60,109.4,7,15.1%,13,0.91,47,12.2%
Chauncey Billups,33.1,DEN,Combo,206,67,27.6%,92,120.8,92,30.4%,92,1.10,33,13.6%
Matt Bonner,29.6,SAS,Big,169,26,12.5%,58,109.1,28,3.7%,33,0.30,35,15.1%
Carlos Boozer,27.9,UTA,Big,400,86,21.9%,51,107.1,88,13.1%,72,0.60,51,12.3%
Shannon Brown,23.9,LAL,Combo,296,17,17.9%,0,95.3,8,10.8%,8,0.60,42,11.4%
Kobe Bryant,31.2,LAL,Wing,921,97,34.0%,63,114.0,94,25.0%,71,0.74,46,11.5%
Caron Butler,29.6,DAL,Wing,195,80,26.4%,46,107.6,17,7.4%,6,0.28,29,13.5%
Andrew Bynum,22.0,LAL,Big,546,51,14.5%,67,114.8,19,2.8%,16,0.20,58,11.9%
Marcus Camby,35.6,POR,Big,177,23,12.4%,14,87.5,86,12.5%,98,1.01,98,6.6%
Vince Carter,32.8,ORL,Wing,477,77,24.5%,31,102.8,57,12.1%,26,0.49,80,9.3%
Mario Chalmers,23.5,MIA,Combo,130,33,19.9%,100,128.6,42,18.3%,33,0.92,0,21.8%
Jarron Collins,30.9,PHX,Big,112,2,7.0%,7,75.0,0,0.0%,0,0.00,19,18.2%
Nick Collison,29.0,OKC,Big,121,9,9.9%,5,65.2,16,2.6%,28,0.26,33,15.4%
Jamal Crawford,29.6,ATL,Combo,323,58,26.8%,17,100.0,25,16.8%,17,0.63,50,10.1%
Erick Dampier,34.3,DAL,Big,118,5,8.4%,0,35.7,33,4.0%,58,0.48,0,27.9%
Glen Davis,23.8,BOS,Big,467,60,16.3%,65,113.2,26,3.5%,21,0.21,42,14.2%
Carlos Delfino,27.2,MIL,Wing,224,54,18.8%,11,93.3,74,13.8%,74,0.74,20,13.9%
Luol Deng,24.5,CHI,Forward,201,60,19.0%,40,103.3,40,5.5%,30,0.29,90,3.5%
Boris Diaw,27.5,CHA,Big,151,49,14.0%,35,103.4,100,18.8%,100,1.34,2,27.6%
Goran Dragic,23.5,PHX,Combo,214,83,28.5%,50,103.9,75,28.2%,58,0.99,67,9.5%
Jared Dudley,24.3,PHX,Wing,364,9,12.1%,89,131.0,46,11.1%,94,0.92,77,9.5%
Tim Duncan,33.5,SAS,Big,371,91,24.9%,42,105.6,84,12.2%,60,0.49,53,12.3%
Kevin Durant,21.1,OKC,Wing,230,94,32.5%,29,98.7,66,13.0%,9,0.40,31,13.1%
Maurice Evans,31.0,ATL,Wing,126,3,11.4%,0,70.0,0,1.4%,0,0.12,34,12.7%
Jordan Farmar,22.9,LAL,Point,270,33,18.2%,47,104.7,20,18.8%,40,1.03,7,17.0%
Raymond Felton,25.3,CHA,Point,129,47,21.8%,20,95.7,67,29.0%,67,1.33,73,10.3%
Rudy Fernandez,24.6,POR,Wing,108,23,15.1%,86,130.0,49,11.4%,80,0.76,43,11.9%
Kyrylo Fesenko,22.9,UTA,Big,177,37,12.9%,12,82.1,63,8.9%,86,0.69,9,23.3%
