Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Steven Adams,29.3,MEM,Big,1132,60,-0.7%,75,-1.4%,21,+1.5%,12,+1.2%,10,+2.8%,46,+0.1%,83,-1.4%,74,-1.3%
Kyle Anderson,29.1,MIN,Forward,1954,37,+0.7%,67,-0.9%,37,+0.5%,15,+1.1%,22,+1.6%,95,-1.7%,34,+0.9%,67,-0.8%
Giannis Antetokounmpo,27.9,MIL,Big,2021,66,-1.0%,69,-1.0%,45,+0.2%,16,+1.1%,27,+1.3%,51,-0.1%,56,-0.2%,57,-0.3%
Thanasis Antetokounmpo,30.3,MIL,Big,113,0,+8.1%,1,+6.3%,98,-5.0%,100,-6.7%,100,-11.7%,48,+0.1%,1,+5.4%,2,+5.4%
Harrison Barnes,30.4,SAC,Forward,2658,45,+0.3%,46,+0.3%,46,+0.2%,53,-0.2%,47,-0.0%,63,-0.4%,47,+0.1%,58,-0.3%
Will Barton,31.8,WAS,Wing,767,12,+2.8%,6,+3.6%,72,-1.1%,40,+0.3%,62,-0.8%,92,-1.4%,81,-1.4%,90,-2.8%
Will Barton,31.8,TOR,Combo,201,51,-0.1%,78,-1.7%,12,+2.2%,66,-0.6%,24,+1.5%,80,-0.8%,32,+1.0%,50,+0.1%
Nicolas Batum,33.9,LAC,Forward,1699,72,-1.4%,8,+3.3%,61,-0.6%,31,+0.6%,47,+0.0%,95,-1.7%,84,-1.5%,93,-3.3%
Bradley Beal,29.3,WAS,Combo,1672,56,-0.4%,64,-0.7%,48,+0.0%,48,-0.0%,46,+0.0%,50,-0.0%,38,+0.7%,40,+0.7%
Malik Beasley,25.9,UTA,Wing,1465,19,+2.0%,23,+1.7%,50,+0.0%,56,-0.3%,55,-0.3%,64,-0.4%,72,-1.0%,76,-1.4%
Malik Beasley,25.9,LAL,Wing,611,3,+4.4%,27,+1.4%,5,+3.0%,81,-1.3%,19,+1.7%,100,-3.3%,46,+0.2%,92,-3.1%
Davis Bertans,30.0,DAL,Big,457,55,-0.4%,35,+0.9%,94,-3.3%,40,+0.3%,89,-3.0%,45,+0.2%,19,+1.9%,19,+2.0%
Patrick Beverley,34.3,LAL,Combo,1210,26,+1.6%,76,-1.5%,78,-1.5%,3,+2.4%,31,+0.9%,10,+1.3%,68,-0.7%,41,+0.6%
Patrick Beverley,34.3,CHI,Point,605,22,+1.9%,42,+0.5%,38,+0.5%,8,+1.6%,16,+2.2%,33,+0.5%,95,-3.2%,90,-2.7%
Bismack Biyombo,30.2,PHX,Big,822,81,-2.0%,56,-0.3%,10,+2.4%,56,-0.3%,16,+2.1%,48,+0.0%,87,-1.8%,82,-1.7%
Bojan Bogdanovic,33.5,DET,Forward,1892,37,+0.8%,27,+1.4%,78,-1.4%,31,+0.6%,63,-0.9%,58,-0.3%,58,-0.3%,63,-0.6%
Devin Booker,26.0,PHX,Wing,1828,38,+0.7%,74,-1.3%,63,-0.7%,23,+0.8%,45,+0.1%,42,+0.2%,33,+1.0%,28,+1.2%
