Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Steven Adams,23.3,OKC,Big,156,98,+46.0,+56,86,+12.2,69,+3.0%,15,+3.4%,95,+8.6%,96,+11.2,98,-33.9,99,-16.9%,93,+6.5%,72,-2.8%,35,+2.0
LaMarcus Aldridge,31.3,SAS,Big,535,12,-18.4,-40,7,-18.2,15,-5.5%,28,+2.1%,43,-1.2%,21,-5.3,45,+0.2,83,-4.7%,10,-3.8%,15,+6.1%,63,-3.0
Al-Farouq Aminu,26.1,POR,Big,111,71,+9.8,+5,70,+5.7,48,-0.4%,38,+1.2%,41,-1.5%,98,+15.0,66,-4.2,14,+4.4%,66,+1.5%,93,-7.0%,93,-11.9
Kyle Anderson,23.1,SAS,Wing,150,24,-9.1,-22,34,-4.8,67,+2.9%,37,+1.3%,8,-7.1%,12,-8.5,31,+4.4,27,+2.3%,45,-0.9%,41,+1.0%,20,+5.3
Ryan Anderson,28.5,HOU,Big,328,42,-3.0,-7,30,-6.0,23,-4.3%,54,+0.2%,84,+5.9%,5,-10.4,59,-3.0,5,+6.6%,39,-1.1%,98,-9.5%,85,-9.0
Giannis Antetokounmpo,21.9,MIL,Forward,242,48,-2.0,-6,53,+1.9,61,+1.6%,2,+6.9%,99,+12.7%,53,+0.3,33,+4.0,22,+3.1%,24,-2.3%,59,-1.3%,48,-0.3
Trevor Ariza,31.3,HOU,Forward,412,5,-25.3,-43,11,-15.8,1,-10.2%,52,+0.4%,48,-0.2%,49,-0.2,14,+9.5,8,+5.6%,95,+7.3%,9,+8.3%,32,+3.0
Kent Bazemore,27.3,ATL,Wing,149,78,+12.9,+32,82,+10.9,82,+4.7%,47,+0.5%,62,+1.8%,85,+6.7,54,-2.0,92,-8.3%,65,+1.5%,14,+6.4%,1,+18.0
Bradley Beal,23.3,WAS,Wing,464,91,+22.8,+45,90,+14.0,95,+9.0%,85,-3.8%,37,-2.2%,13,-7.5,79,-8.9,54,-0.6%,20,-2.5%,85,-5.3%,100,-20.5
Patrick Beverley,28.3,HOU,Point,323,59,+3.1,+8,57,+2.3,24,-4.1%,64,-0.6%,80,+5.1%,47,-0.5,50,-0.8,74,-2.4%,34,-1.3%,7,+8.7%,54,-1.6
